year	읍면동명	자치구	선거인수	새누리당	더불어민주당	국민의당	비율	독거노인수	유년부양비	노년부양비	노령화지수	사업체수	종사자수	사업체 창업률	기초수급자인원수	보육시설	금융기관	사업체 평균연령	장애등급별 장애인현황	인구	면적	인구밀도	소득(동별)
2016	화곡8동	강서구	22054	3620	4354	2118	0.35869996	619	14.7	17.1	116.1	1230	3229	13.58	594	836	3	9.75	1018	27232	0.53	51381	475811.9651
2016	우장산동	강서구	34715	7424	8294	2955	0.397579393	741	22.1	13	58.7	1708	7430	14.4	321	1199	7	9.083	1289	46886	1.36	34475	810614.112
2016	발산1동	강서구	28886	5395	7233	2928	0.34681152	601	24.5	12.9	52.7	2322	11966	9.52	848	1446	7	10.167	1451	39921	2.96	13487	689912.1409
2016	염창동	강서구	31048	5889	9687	4159	0.298403851	446	22.8	10.7	46.9	2149	15633	8.98	129	1302	4	10.667	1048	41116	1.74	23630	760032.364
2016	등촌1동	강서구	18183	3127	4879	2072	0.310279817	552	12.6	12.9	101.8	1939	15729	11.96	174	524	4	8.75	730	23067	0.59	39097	424407.1678
2016	등촌2동	강서구	17331	3596	4225	2124	0.361588738	348	14.3	13.9	97.6	735	3454	9.66	262	444	1	11	709	22072	0.92	23991	392236.6751
2016	화곡본동	강서구	28769	4253	6145	3059	0.316043695	691	16	13.6	85.5	1355	4047	10.7	1189	1480	2	11.083	1394	36628	1.11	32998	645270.6619
2016	화곡4동	강서구	18828	3261	3650	2139	0.360331492	650	13.5	16.5	122.9	1444	3860	12.19	560	776	3	9.999	940	23317	0.82	28435	396763.4463
2016	화곡6동	강서구	20901	4456	4642	2235	0.393188035	553	13.9	14.2	102.4	1850	11322	13.84	536	817	5	8.917	950	25797	1.12	23033	446056.9432
2016	가양3동	강서구	14822	3064	3758	1786	0.355947955	781	11.2	21.8	195.3	933	7631	8.68	1890	391	4	12.334	1637	17289	0.99	17464	291234.2104
2016	등촌3동	강서구	28742	7865	6937	2524	0.453942052	1652	12.6	19.5	154.7	2627	22329	15.76	5271	998	7	9.083	3821	34962	0.79	44256	585349.0934
2016	가양1동	강서구	19628	5580	4979	1640	0.457414542	334	14.5	10.2	70.6	1809	14040	21.72	141	470	3	8.417	774	27547	4.7	5861	611901.3799
2016	가양2동	강서구	14892	4295	3203	1304	0.487957282	997	7.5	24.6	329.5	640	3495	8.75	2673	393	3	10.667	2399	16432	1	16432	273771.251
2016	공항동	강서구	16883	3815	3226	1516	0.44583382	1308	16.8	16.5	98.3	1973	35503	12.47	618	759	8	9.5	1014	24660	10.87	2269	506998.3772
2016	방화1동	강서구	33912	9528	8315	2912	0.459070104	906	22.7	15.4	67.6	2879	10377	12.16	585	1652	4	12	1734	46284	1.04	44504	820311.78
2016	방화2동	강서구	20415	5492	3817	1818	0.493574189	1001	12.7	21.1	166.5	2932	13631	8.77	1116	651	3	14.833	1613	25035	6.41	3906	433049.1856
2016	방화3동	강서구	21700	6548	5084	1807	0.487238634	1065	14.9	21.1	141.6	932	4739	8.26	1692	769	2	13.583	1997	25779	2.38	10832	439830.3962
2016	보라매동	관악구	21183	2920	3972	4433	0.257836645	846	12.7	18.2	142.9	1397	6434	11.38	710	701	2	9.583	1090	26649	0.76	35064	275025.7599
2016	은천동	관악구	28717	3429	5851	7077	0.209635019	1048	16.7	17.8	106.7	1596	7330	9.77	1051	971	1	11.25	1643	36111	0.78	46296	365886.9007
2016	성현동	관악구	26477	3505	5679	7182	0.21416351	1079	18.6	19.7	105.9	880	2964	10.34	1167	893	4	11.917	1523	34015	0.68	50022	333095.6848
2016	중앙동	관악구	12820	1244	2597	2974	0.182538518	552	7.9	17.2	218.6	1086	5076	13.44	284	252	3	10.5	618	15368	0.39	39405	162637.0107
2016	청림동	관악구	13289	1883	3138	3520	0.220465988	584	20	19.7	98.4	443	1185	9.26	439	491	4	10.999	690	16974	0.3	56580	168294.5775
2016	행운동	관악구	25499	2891	6117	5658	0.197122596	912	9.8	15.3	155.6	1464	6151	14.82	768	580	5	9.583	1136	30578	0.72	42469	312000.8958
2016	청룡동	관악구	24647	2496	5283	5411	0.189234268	933	8.8	14.6	165.5	1866	11207	12.75	479	622	7	9.417	977	29582	1.18	25069	346327.5896
2016	낙성대동	관악구	14769	1487	3584	3422	0.175085364	481	10.1	12.2	121.5	1265	7741	16.44	267	856	3	8.25	521	18213	2.27	8023	182773.4142
2016	인헌동	관악구	23195	2781	5143	5368	0.209223593	704	12.7	15.6	123.1	1047	4006	8.98	305	569	5	10.667	906	28004	1.08	25930	280302.0335
2016	남현동	관악구	15217	2231	3285	3191	0.256230619	396	12.5	14.9	119.4	874	5163	9.73	130	398	1	9.75	566	18981	3.27	5805	196128.9816
2016	신림동	관악구	18299	1701	3963	2957	0.197308897	475	4.5	9.5	210.3	1623	5671	15.65	316	217	2	7.167	566	21341	0.54	39520	232630.0773
2016	조원동	관악구	15471	3054	2920	2213	0.373030414	559	10.1	14.5	144.5	2184	7073	10.71	330	510	2	10	719	20413	0.67	30467	202714.0184
2016	미성동	관악구	27195	6670	4765	4095	0.429491307	972	14	17.9	127.9	1625	6027	10.58	895	894	4	11.167	1355	33604	1.38	24351	339340.6492
2016	난곡동	관악구	24857	5665	3966	3496	0.431553287	1121	12.8	19.7	153.7	959	2411	10.53	1242	668	1	12.917	1539	30539	0.96	31811	300634.2361
2016	난향동	관악구	13296	3177	2803	1966	0.399823811	476	20.4	18.8	92.3	420	1926	9.29	427	534	4	12.917	697	17013	0.8	21266	169376.6258
2016	서원동	관악구	20218	3555	4371	2488	0.34136739	613	7.3	14.3	195.2	1296	7974	13.66	502	373	2	8.667	827	23973	0.65	36882	248304.3197
2016	신원동	관악구	16111	3167	3237	1962	0.37855606	697	9.8	17.6	180.6	851	2453	13.4	607	504	1	10.25	835	20272	0.55	36858	204991.4724
2016	서림동	관악구	21046	4112	4934	2466	0.357192495	636	8.6	14	162.9	1316	3296	7.52	532	374	1	16.667	859	25475	0.99	25732	252323.3562
2016	삼성동	관악구	23296	5768	4798	3108	0.421822437	1325	11.8	24.7	210.2	1062	2372	6.59	1009	567	4	14.75	1473	27467	2.66	10326	262309.1162
2016	대학동	관악구	20292	3899	5199	2326	0.34129902	545	7	11.6	164.9	1701	12609	14.11	476	315	6	8.583	678	24408	8.3	2941	253539.3724
2016	중곡1동	광진구	13504	2689	2843	1592	0.377456485	485	10.6	16.1	151.5	1639	6476	11.71	444	304	2	9.583	683	16342	0.62	26358	266146.5004
2016	중곡2동	광진구	18357	3641	4091	2045	0.372404623	480	13	14.3	110.2	1660	6711	12.77	622	615	4	9.083	871	22877	0.55	41595	366883.4371
2016	중곡3동	광진구	14767	3053	2900	1662	0.400919238	534	11.6	16.1	138.9	1347	5601	12.77	704	966	1	9.917	748	17960	0.6	29933	283522.2037
2016	중곡4동	광진구	25930	5555	5648	2960	0.392219163	842	12.8	16.4	128.2	1545	4810	11.65	1079	868	2	10.833	1348	31786	2.32	13701	495353.4226
2016	능동	광진구	9624	1872	2493	1046	0.345961929	260	11.1	14.4	130.4	758	5945	18.34	191	248	4	8.833	364	11648	1.1	10589	192348.3874
2016	구의2동	광진구	20286	4374	4337	2329	0.396195652	669	15.8	16.8	106.4	1251	5199	11.27	677	697	2	11.083	1044	25889	1.39	18625	454361.6747
2016	광장동	광진구	25721	6682	6649	2872	0.412392767	493	25.8	11.5	44.8	1402	12078	14.41	124	608	9	8.833	708	36613	2.39	15319	586429.9869
2016	군자동	광진구	17435	3401	4016	1894	0.365266889	574	10.3	13.8	134.4	1609	10040	11.5	531	709	6	9.334	774	22048	0.74	29795	358892.5586
2016	구의1동	광진구	19127	3512	5316	1638	0.335562775	580	9.9	14.1	142.6	1900	6556	13.47	519	474	4	8.75	792	23387	0.56	41763	374841.8982
2016	구의3동	광진구	23623	5955	7158	1912	0.396339434	608	14.8	13.7	92.3	2636	19517	13.81	249	613	8	8.25	775	29789	1.02	29205	489161.7074
2016	자양1동	광진구	19275	3931	5169	1527	0.369906841	681	11.2	14.4	128.3	1736	8527	11	685	731	4	10.083	880	23951	0.57	42019	392720.0705
2016	자양2동	광진구	21608	4860	5877	1827	0.386819484	532	15.3	14.3	94	1524	7659	10.5	416	619	2	10.5	973	27532	1.68	16388	439368.6472
2016	자양3동	광진구	23895	6535	7244	1966	0.415052398	562	19	13.7	72.1	1356	6395	11.5	255	776	6	9.75	777	30555	1.2	25463	479404.083
2016	자양4동	광진구	19756	4171	4583	1681	0.399712506	938	8.3	15.7	188.8	2058	6388	13.07	692	655	2	9.167	1038	27232	1.16	23476	378764.3984
2016	화양동	광진구	19224	2771	5220	1475	0.292731883	622	5	9.9	196.8	2474	15035	16.77	315	414	7	7.334	581	24495	1.16	21116	412057.024
2016	고척1동	구로구	20153	4225	6520	1221	0.353083737	663	15.7	18	114.3	2629	9475	9.59	421	815	4	10.833	1118	25371	1.16	21872	660824.2227
2016	고척2동	구로구	23486	4575	7357	1559	0.339114966	850	16.6	17.4	104.9	1427	3976	9.32	734	1014	2	10.167	1233	30410	1.02	29814	789382.049
2016	개봉1동	구로구	28163	5721	8538	1864	0.354834708	1116	15.4	19	123.9	1756	5596	11.45	912	969	3	9.583	1590	35883	1.31	27392	929691.2468
2016	개봉2동	구로구	27625	5982	9346	2015	0.344923024	815	17.3	19.3	111.6	1133	2989	9.53	592	1049	3	10	1435	34663	0.8	43329	909316.7627
2016	개봉3동	구로구	17603	3318	5140	1324	0.339194439	579	15.8	17.9	112.7	1012	5099	9.98	587	826	2	9.833	906	22262	0.81	27484	603237.0626
2016	오류1동	구로구	17821	3901	5311	1091	0.378627584	686	12.9	18.2	141.1	1121	5158	12.13	596	722	4	9.833	982	21943	0.59	37192	626331.7716
2016	오류2동	구로구	34069	6578	11610	2105	0.324151185	987	23.8	18.1	76.1	1573	7882	13.1	955	1880	1	9.167	2021	45854	4.6	9968	1402738.348
2016	수궁동	구로구	20266	5155	5839	1163	0.424035535	699	17.5	17.6	100.4	1272	5881	9.04	555	813	1	11.083	1204	25920	2.67	9708	680056.2123
2016	신도림동	구로구	28914	6343	10788	1981	0.331885726	501	21.8	12.9	59.3	2835	14839	13.69	131	975	5	9.083	974	38202	1.47	25988	1017146.476
2016	구로1동	구로구	16984	3282	6598	1245	0.295011236	270	20.6	10.8	52.1	626	3021	8.95	69	807	2	9.917	509	22645	1.02	22201	601713.7367
2016	구로2동	구로구	24165	4825	5819	1576	0.394844517	1383	10	17.4	173.9	7912	30343	6.52	775	1043	12	11.167	1411	37072	1.76	21064	965162.9788
2016	구로3동	구로구	22456	3299	7625	2004	0.25518255	648	13.3	12.9	96.8	6881	82785	15.3	290	898	19	7.833	870	28081	1.02	27530	719771.4951
2016	구로4동	구로구	20146	3582	5664	1647	0.328835032	1011	11.4	17.3	152.5	2023	5011	12.65	662	752	5	9.167	1234	28651	0.46	62285	720968.3941
2016	구로5동	구로구	26032	4914	8377	1869	0.32414248	731	13.2	13.9	105.5	4857	26516	12.25	312	1149	6	8.917	1107	35068	1.03	34047	916443.7518
2016	가리봉동	구로구	9597	1543	2110	565	0.365813182	793	6.3	13.6	215.2	976	2820	14.14	587	282	1	9.417	619	17575	0.4	43938	422124.4921
2016	가산동	금천구	17334	2574	4108	2118	0.2925	623	7.4	10.9	148.3	13752	153745	14.18	468	893	30	7.75	761	23488	2.52	9321	1453629.009
2016	독산1동	금천구	25878	4595	5771	3315	0.335867261	889	12.5	14.7	117.7	3922	24440	10.76	1258	835	7	9.583	1761	36800	2.09	17608	2582970.042
2016	독산2동	금천구	17719	3054	3210	2137	0.363528151	781	11.7	15.4	131.5	1178	3542	12.65	1031	982	2	8.417	949	23077	0.6	38462	1281842.423
2016	독산3동	금천구	22666	3834	4283	2917	0.347471452	980	10.3	14.9	144.8	2190	8267	11.92	942	769	3	8.833	1187	31245	0.92	33962	1789191.406
2016	독산4동	금천구	15214	2655	2843	1946	0.356663084	535	11.5	15.2	132.5	1011	3674	12.56	743	661	2	8.75	758	19158	0.59	32471	1094449.665
2016	시흥1동	금천구	29359	6001	5670	3640	0.391940435	1315	14.5	17.1	117.8	2986	13912	13.53	1223	958	9	8.917	1604	38320	1.71	22409	2197562.832
2016	시흥2동	금천구	18869	4213	4392	2956	0.364414843	701	19.5	19	97.8	576	2005	9.2	1115	610	1	9.5	1109	24154	1.26	19170	1349073.581
2016	시흥3동	금천구	10366	2282	2180	1331	0.393923701	431	13.2	21	159.1	3340	10610	6.41	275	338	5	11.083	565	12255	1.07	11453	688214.4443
2016	시흥4동	금천구	18820	3734	3593	2558	0.377744057	759	13.8	17.9	129.1	859	1938	10.36	934	936	1	9	1024	23271	0.87	26748	1320056.779
2016	시흥5동	금천구	18496	3732	3453	2438	0.387820846	1056	13.4	21.6	161.2	1173	3445	10.06	1240	1364	1	9.417	1202	22886	1.39	16465	1247959.819
2016	월계1동	노원구	18698	4557	4519	1947	0.413408328	764	14.5	19.2	132.4	1444	6011	10.04	644	759	2	10.667	1008	24289	1.16	20939	235740.0469
2016	월계2동	노원구	22413	5408	4779	2375	0.430504697	1338	15.5	22.1	142.1	922	3313	5.97	2749	568	4	15.833	2168	26914	1.94	13873	256966.8479
2016	월계3동	노원구	27052	6768	7170	3047	0.398469238	1200	18.6	19.3	104.1	965	3371	7.25	1642	928	3	14.5	1976	33919	1.17	28991	312803.6291
2016	공릉1동	노원구	32340	7155	7808	3883	0.37965616	1166	13.7	16.3	119	2776	11472	11.56	1789	992	7	10.5	2186	40220	1.41	28525	384886.5115
2016	공릉2동	노원구	33265	7872	8986	3809	0.380897082	910	19.2	12.9	67.5	1944	11763	10.8	626	1488	6	11.75	1438	44747	6.82	6561	403789.6395
2016	상계1동	노원구	33715	6590	2853	11256	0.318372868	1061	15.1	17.3	114.5	3133	10559	7.88	1049	1367	2	16.999	1902	42402	5.62	7545	395700.9048
2016	상계2동	노원구	17591	3464	1439	5474	0.333815168	627	12.6	15.5	123.1	2459	9991	17.24	716	917	2	6.833	887	22171	0.61	36346	209405.0874
2016	상계3.4동	노원구	25798	5313	1827	7201	0.370476257	1718	13.4	25.4	189.9	1434	4495	8.65	2014	1042	1	12.667	1760	30174	5.62	5369	254388.2573
2016	상계5동	노원구	22441	4654	1764	6677	0.355402826	1063	13.5	20.7	153.5	1568	4708	12.88	1284	605	1	9.5	1349	27742	0.44	63050	252015.5617
2016	상계8동	노원구	18201	3355	2017	6889	0.273631841	511	25.1	12.3	48.8	577	1935	5.89	158	844	3	13.583	724	25627	0.67	38249	236151.8371
2016	상계9동	노원구	17965	3699	1713	6446	0.311941305	636	18.4	14.7	80.2	721	2519	8.46	298	587	4	14.833	761	23300	0.81	28765	215719.2028
2016	상계10동	노원구	15395	3000	1530	5381	0.302693976	504	15.1	13.2	87.4	469	2191	8.53	298	411	1	14.417	583	19155	0.8	23944	164088.5637
2016	하계1동	노원구	23136	4464	7145	2495	0.316505956	1109	13	15.2	116.8	1023	7727	12.61	2539	637	5	10.917	2095	29914	1.55	19299	292312.1677
2016	하계2동	노원구	18995	3386	6784	2053	0.277018735	610	18.6	14.4	77.4	387	1248	5.68	1005	351	1	16.334	1021	24778	0.51	48584	230327.948
2016	중계본동	노원구	20225	3802	6528	2222	0.302899936	634	19.5	11.2	57.4	1184	5296	11.15	438	367	2	10.083	895	28026	1.97	14226	256496.2306
2016	중계1동	노원구	20193	3725	7147	2279	0.283248422	473	22.8	9.3	40.9	951	4219	9.67	607	597	3	10.5	792	29363	0.63	46608	276017.0438
2016	중계2.3동	노원구	31449	5900	10271	3157	0.305256623	1703	16.8	21.7	129.5	1360	5472	10.81	4120	746	2	11.083	3214	39542	0.9	43936	363826.3875
2016	중계4동	노원구	17493	3457	5117	2083	0.324387726	845	16.5	19.8	119.9	1044	3766	11.49	1378	388	3	10.083	1399	22336	1.7	13139	210601.2397
2016	상계6.7동	노원구	27466	5061	8532	3558	0.295084835	1072	18.9	14.2	74.8	1910	14943	10.73	734	842	14	11.167	1272	36593	1.11	32967	341530.8931
2016	쌍문1동	도봉구	17961	3959	5518	0	0.417748233	758	14.5	21.8	149.8	928	3908	11.64	872	632	2	8.667	1051	22555	1.24	18190	187971.4075
2016	쌍문3동	도봉구	14783	3135	4575	0	0.406614786	588	12.7	21.3	168.3	975	4078	14.46	464	639	2	7.833	764	17762	0.5	35524	144558.0892
2016	창1동	도봉구	21695	5073	7672	0	0.398038446	798	16.9	18.1	106.5	1404	3739	10.11	369	690	3	8.334	1032	27745	0.88	31528	220596.0614
2016	창2동	도봉구	24892	5183	8071	0	0.391051758	766	15.4	17.1	111.6	1398	4457	10.94	889	1120	1	7.917	1268	31477	1.07	29418	256349.6782
2016	창3동	도봉구	12769	2643	3623	0	0.421800192	594	14.4	21.2	147.5	969	2242	13.42	813	623	4	7.667	794	15568	0.67	23236	124516.0384
2016	창4동	도봉구	22692	5488	8854	0	0.38265235	678	17.4	15.8	90.5	1284	7286	13.01	275	665	4	7.917	1000	29374	0.96	30598	233912.9278
2016	창5동	도봉구	21578	5589	7379	0	0.430983961	611	15.5	16.8	108	2219	7259	10.86	351	713	5	7.167	991	26862	0.7	38374	215823.3498
2016	쌍문2동	도봉구	17402	3970	3456	1914	0.425053533	755	13.8	19.9	144.4	1308	5503	14.07	798	627	1	6.999	929	21104	0.54	39081	167987.764
2016	쌍문4동	도봉구	16090	4084	3738	1852	0.422162497	399	16	14.6	91.2	616	1922	14.45	184	363	2	7.667	668	20763	0.52	39929	166427.4544
2016	방학1동	도봉구	25293	6268	4807	2887	0.448932818	986	13.3	18.9	142.3	2330	10831	14.25	1141	982	6	6.917	1439	31371	0.69	45465	253187.3397
2016	방학2동	도봉구	18358	4203	3137	1983	0.450820551	934	12.8	21	163.9	1244	3029	12.7	1867	920	4	7.999	1183	22391	0.74	30258	177458.0919
2016	방학3동	도봉구	24060	6252	5934	2604	0.422718053	646	17.4	16.4	93.9	871	3127	10.68	285	847	3	8.167	1014	30448	2.64	11533	240688.1756
2016	도봉1동	도봉구	19899	5195	3432	2111	0.483795865	1135	11.1	27.6	250.1	1701	6063	12.58	1016	697	2	8.833	1476	23628	8.72	2710	187162.049
2016	도봉2동	도봉구	24385	6524	5352	3000	0.438558752	953	15.1	24.2	160.5	1439	6722	12.44	745	1025	3	7.417	1406	29224	0.83	35210	240212.5732
