기간	컬럼1	컬럼2	출생	출생	출생	사망	사망	사망
기간	컬럼1	컬럼2	계	남자	여자	계	남자	여자
2008	노원구	공릉1.3동	426	224	202	166	89	77
2008	노원구	상계3.4동	320	159	161	215	116	99
2008	노원구	상계6.7동	435	213	222	101	62	39
2008	노원구	미상	23	16	7	-	-	-
2008	은평구	소계	3,856	2,019	1,837	1,918	1,133	785
2008	은평구	녹번동	367	190	177	137	75	62
2008	은평구	불광1동	252	148	104	131	75	56
2008	은평구	갈현1동	215	116	99	115	62	53
2008	은평구	갈현2동	208	100	108	108	61	47
2008	은평구	구산동	213	108	105	198	150	48
2008	은평구	대조동	278	152	126	138	76	62
2008	은평구	응암1동	333	162	171	132	82	50
2008	은평구	응암2동	117	56	61	100	61	39
2008	은평구	신사1동	262	142	120	113	70	43
2008	은평구	신사2동	191	102	89	89	52	37
2008	은평구	증산동	217	118	99	92	52	40
2008	은평구	수색동	212	113	99	94	52	42
2008	은평구	진관동	66	28	38	29	13	16
2008	은평구	불광2동	244	138	106	157	96	61
2008	은평구	응암3동	221	124	97	122	76	46
2008	은평구	역촌동	445	215	230	163	80	83
2008	은평구	미상	15	7	8	-	-	-
2008	서대문구	소계	2,937	1,518	1,419	1,456	830	626
2008	서대문구	천연동	228	120	108	76	50	26
2008	서대문구	홍제1동	372	193	179	154	92	62
2008	서대문구	홍제3동	163	87	76	112	58	54
2008	서대문구	홍제2동	61	30	31	41	23	18
2008	서대문구	홍은1동	219	115	104	123	73	50
2008	서대문구	홍은2동	236	124	112	123	71	52
2008	서대문구	남가좌1동	101	46	55	79	44	35
2008	서대문구	남가좌2동	246	119	127	140	80	60
2008	서대문구	북가좌1동	176	99	77	70	40	30
2008	서대문구	북가좌2동	320	159	161	127	68	59
2008	서대문구	충현동	176	86	90	91	46	45
2008	서대문구	북아현동	173	98	75	75	46	29
2008	서대문구	신촌동	101	46	55	73	42	31
2008	서대문구	연희동	352	184	168	172	97	75
2008	서대문구	미상	13	12	1	-	-	-
2008	마포구	소계	4,144	2,175	1,969	1,500	890	610
2008	마포구	용강동	306	169	137	83	48	35
2008	마포구	대흥동	113	48	65	69	46	23
2008	마포구	염리동	157	98	59	81	55	26
2008	마포구	신수동	265	143	122	83	46	37
2008	마포구	서교동	210	111	99	89	52	37
2008	마포구	합정동	215	109	106	95	56	39
2008	마포구	망원1동	263	138	125	103	69	34
2008	마포구	망원2동	227	104	123	76	43	33
2008	마포구	연남동	161	83	78	79	53	26
2008	마포구	성산1동	208	101	107	75	40	35
2008	마포구	성산2동	499	262	237	146	90	56
2008	마포구	상암동	298	160	138	75	42	33
2008	마포구	도화동	267	148	119	79	54	25
2008	마포구	서강동	313	187	126	79	35	44
2008	마포구	공덕동	387	190	197	178	98	80
2008	마포구	아현동	237	110	127	110	63	47
2008	마포구	미상	18	14	4	-	-	-
2008	양천구	소계	4,110	2,127	1,983	1,693	958	735
2008	양천구	목1동	234	124	110	81	29	52
2008	양천구	목2동	292	156	136	96	59	37
2008	양천구	목3동	241	119	122	93	50	43
2008	양천구	목4동	186	94	92	92	50	42
