기간	자치구	동	출생	출생	출생	사망	사망	사망
기간	자치구	동	계	남자	여자	계	남자	여자
2012	도봉구	창4동	289	151	138	98	52	46
2012	도봉구	창5동	259	140	119	108	67	41
2012	도봉구	도봉1동	177	99	78	161	95	66
2012	도봉구	도봉2동	270	130	140	153	92	61
2012	노원구	소계	5,296	2,659	2,637	2,622	1,380	1,242
2012	노원구	월계1동	247	129	118	112	76	36
2012	노원구	월계2동	255	119	136	185	92	93
2012	노원구	월계3동	456	247	209	159	88	71
2012	노원구	공릉2동	471	245	226	162	75	87
2012	노원구	하계1동	147	66	81	174	96	78
2012	노원구	하계2동	161	82	79	98	48	50
2012	노원구	중계본동	95	49	46	138	74	64
2012	노원구	중계1동	68	35	33	96	53	43
2012	노원구	중계4동	171	90	81	112	66	46
2012	노원구	상계1동	403	201	202	224	97	127
2012	노원구	상계2동	141	68	73	115	64	51
2012	노원구	상계5동	208	99	109	116	62	54
2012	노원구	상계8동	547	257	290	88	42	46
2012	노원구	상계9동	260	124	136	81	41	40
2012	노원구	상계10동	238	116	122	66	30	36
2012	노원구	상계3.4동	262	133	129	195	108	87
2012	노원구	상계6.7동	426	205	221	125	64	61
2012	노원구	중계2.3동	358	193	165	220	111	109
2012	노원구	공릉1동	382	201	181	156	93	63
2012	은평구	소계	4,654	2,360	2,294	2,230	1,300	930
2012	은평구	녹번동	329	167	162	158	96	62
2012	은평구	불광1동	500	231	269	163	91	72
2012	은평구	갈현1동	235	132	103	135	80	55
2012	은평구	갈현2동	213	109	104	99	53	46
2012	은평구	구산동	241	112	129	224	147	77
2012	은평구	대조동	285	137	148	162	92	70
2012	은평구	응암1동	308	174	134	153	91	62
2012	은평구	응암2동	236	117	119	115	70	45
2012	은평구	신사1동	311	161	150	105	66	39
2012	은평구	신사2동	175	95	80	85	47	38
2012	은평구	증산동	224	113	111	92	46	46
2012	은평구	수색동	161	83	78	105	60	45
2012	은평구	진관동	515	255	260	187	95	92
2012	은평구	불광2동	220	127	93	154	91	63
2012	은평구	응암3동	222	109	113	105	63	42
2012	은평구	역촌동	478	237	241	188	112	76
2012	은평구	미상	1	1	-	-	-	-
2012	서대문구	소계	2,470	1,299	1,171	1,453	848	605
2012	서대문구	천연동	213	116	97	83	50	33
2012	서대문구	홍제1동	255	133	122	142	88	54
2012	서대문구	홍제3동	144	64	80	103	52	51
2012	서대문구	홍제2동	153	86	67	64	30	34
2012	서대문구	홍은1동	219	120	99	145	90	55
2012	서대문구	홍은2동	191	96	95	111	63	48
2012	서대문구	남가좌1동	60	33	27	35	18	17
2012	서대문구	남가좌2동	224	135	89	138	77	61
2012	서대문구	북가좌1동	135	69	66	56	34	22
2012	서대문구	북가좌2동	257	137	120	165	105	60
2012	서대문구	충현동	141	62	79	47	27	20
2012	서대문구	북아현동	92	50	42	107	58	49
2012	서대문구	신촌동	119	62	57	79	48	31
2012	서대문구	연희동	264	134	130	178	108	70
2012	서대문구	미상	3	2	1	-	-	-
2012	마포구	소계	3,797	1,987	1,810	1,586	849	737
2012	마포구	용강동	216	111	105	52	26	26
2012	마포구	대흥동	75	48	27	85	57	28
2012	마포구	염리동	134	68	66	81	46	35
2012	마포구	신수동	226	108	118	99	57	42
2012	마포구	서교동	214	112	102	104	47	57
2012	마포구	합정동	207	112	95	72	43	29
2012	마포구	망원1동	265	128	137	115	56	59
2012	마포구	망원2동	207	107	100	84	39	45
2012	마포구	연남동	158	86	72	71	43	28
2012	마포구	성산1동	172	93	79	101	49	52
2012	마포구	성산2동	454	237	217	155	82	73
2012	마포구	상암동	391	201	190	121	57	64
2012	마포구	도화동	261	144	117	101	56	45
2012	마포구	서강동	244	127	117	94	48	46
2012	마포구	공덕동	327	170	157	169	101	68
2012	마포구	아현동	238	130	108	82	42	40
2012	마포구	미상	8	5	3	-	-	-
2012	양천구	소계	3,869	1,976	1,893	1,780	971	809
2012	양천구	목1동	248	137	111	96	57	39
2012	양천구	목2동	321	161	160	105	57	48
2012	양천구	목3동	205	112	93	74	44	30
2012	양천구	목4동	162	82	80	91	51	40
2012	양천구	신월1동	221	109	112	143	79	64
2012	양천구	신월2동	176	92	84	90	45	45
2012	양천구	신월3동	115	66	49	86	47	39
2012	양천구	신월4동	225	120	105	82	48	34
2012	양천구	신월5동	144	75	69	53	27	26
2012	양천구	신월6동	81	41	40	72	40	32
2012	양천구	신월7동	281	131	150	104	67	37
2012	양천구	신정1동	105	50	55	82	48	34
2012	양천구	신정2동	92	45	47	77	47	30
2012	양천구	신정3동	610	313	297	179	98	81
2012	양천구	신정6동	171	71	100	59	27	32
2012	양천구	신정7동	187	92	95	143	83	60
2012	양천구	목5동	150	80	70	118	56	62
2012	양천구	신정4동	375	199	176	126	50	76
2012	강서구	소계	5,875	2,922	2,953	2,433	1,332	1,101
2012	강서구	염창동	466	244	222	111	55	56
2012	강서구	등촌1동	255	127	128	98	55	43
2012	강서구	등촌2동	167	81	86	84	49	35
2012	강서구	등촌3동	311	157	154	214	137	77
2012	강서구	화곡본동	529	252	277	165	93	72
2012	강서구	화곡2동	229	109	120	97	49	48
2012	강서구	화곡3동	182	99	83	123	58	65
2012	강서구	화곡4동	258	129	129	88	56	32
2012	강서구	화곡6동	264	123	141	81	50	31
2012	강서구	화곡8동	374	206	168	109	65	44
2012	강서구	가양1동	269	121	148	79	35	44
2012	강서구	가양2동	110	60	50	141	72	69
2012	강서구	가양3동	222	113	109	109	57	52
2012	강서구	발산1동	293	147	146	111	60	51
2012	강서구	공항동	258	110	148	102	52	50
2012	강서구	방화1동	342	180	162	148	83	65
2012	강서구	방화2동	215	110	105	123	64	59
2012	강서구	방화3동	316	155	161	143	80	63
2012	강서구	화곡1동	504	235	269	179	101	78
2012	강서구	우장산동	311	164	147	128	61	67
2012	구로구	소계	4,936	2,504	2,432	1,641	946	695
2012	구로구	신도림동	575	267	308	89	44	45
2012	구로구	구로1동	383	212	171	74	41	33
2012	구로구	구로3동	364	176	188	69	51	18
2012	구로구	구로4동	337	169	168	114	75	39
2012	구로구	구로5동	391	205	186	113	65	48
2012	구로구	고척1동	237	136	101	120	61	59
2012	구로구	고척2동	256	123	133	128	76	52
2012	구로구	개봉2동	412	208	204	138	83	55
2012	구로구	개봉3동	209	116	93	90	52	38
2012	구로구	오류1동	264	131	133	93	51	42
2012	구로구	오류2동	533	272	261	145	77	68
2012	구로구	수궁동	333	162	171	104	57	47
2012	구로구	가리봉동	70	33	37	87	57	30
2012	구로구	구로2동	249	127	122	150	91	59
2012	구로구	개봉1동	321	165	156	127	65	62
2012	구로구	미상	2	2	-	-	-	-
2012	금천구	소계	2,077	1,049	1,028	1,106	642	464
2012	금천구	가산동	130	57	73	93	64	29
2012	금천구	독산1동	370	205	165	182	113	69
2012	금천구	독산2동	155	71	84	84	48	36
2012	금천구	독산3동	220	114	106	117	65	52
2012	금천구	독산4동	136	67	69	69	44	25
2012	금천구	시흥1동	390	195	195	176	92	84
2012	금천구	시흥2동	219	109	110	99	49	50
2012	금천구	시흥3동	105	54	51	65	38	27
2012	금천구	시흥4동	198	95	103	106	61	45
2012	금천구	시흥5동	154	82	72	115	68	47
2012	영등포구	소계	4,050	2,095	1,955	1,677	932	745
2012	영등포구	여의동	329	170	159	140	74	66
2012	영등포구	당산1동	234	113	121	102	65	37
2012	영등포구	당산2동	396	196	200	124	63	61
2012	영등포구	양평1동	297	159	138	72	41	31
2012	영등포구	양평2동	281	147	134	79	41	38
2012	영등포구	신길1동	178	86	92	115	62	53
2012	영등포구	신길3동	134	69	65	84	52	32
2012	영등포구	신길4동	69	42	27	53	27	26
2012	영등포구	신길5동	113	53	60	80	47	33
2012	영등포구	신길6동	215	106	109	73	33	40
2012	영등포구	신길7동	136	66	70	57	29	28
2012	영등포구	대림1동	120	55	65	85	44	41
2012	영등포구	대림2동	166	95	71	79	43	36
2012	영등포구	대림3동	282	152	130	111	59	52
2012	영등포구	영등포본동	250	131	119	100	68	32
2012	영등포구	영등포동	148	78	70	109	72	37
2012	영등포구	도림동	220	121	99	79	39	40
2012	영등포구	문래동	482	256	226	135	73	62
2012	동작구	소계	3,883	2,047	1,836	1,591	910	681
2012	동작구	노량진2동	93	54	39	77	46	31
2012	동작구	상도1동	419	224	195	164	91	73
2012	동작구	상도2동	249	130	119	95	49	46
2012	동작구	상도3동	249	134	115	114	61	53
2012	동작구	상도4동	259	122	137	118	72	46
2012	동작구	사당1동	264	140	124	98	48	50
