기간	자치구	동	계	계	계	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	목적세	목적세	목적세	목적세	목적세	과년도수입	과년도수입
기간	자치구	동	계	시세	구세	시세	시세	시세	시세	시세	시세	시세	시세	구세	구세	구세	구세	구세	시세	시세	시세	시세	구세	시세	구세
기간	자치구	동	계	시세	구세	취득세	레저세	주민세	자동차세	담배소비세	재산세	지방소비세	지방소득세	등록면허세	주민세	재산세	종합토지세	지방소득세	지역자원시설세	지방교육세	도시계획세	공동시설세	사업소세	시세	구세
2012	성동구	소계	285,666	220,240	65,426	70,116	-	1,861	16,153	-	49,950	-	53,244	9,199	2	55,824	0	2	4,703	20,804	-	-	0	3,409	400
2012	성동구	왕십리2동	8,048	6,211	1,837	1,830	-	49	746	-	1,751	-	892	62	-	1,760	-	-	134	654	-	-	0	155	15
2012	성동구	마장동	18,921	14,353	4,568	4,264	-	174	1,297	-	3,420	-	3,291	708	-	3,834	0	-	292	1,372	-	-	-	243	26
2012	성동구	사근동	7,103	5,635	1,468	2,075	-	76	354	-	1,251	-	1,036	110	-	1,347	-	-	117	625	-	-	-	101	11
2012	성동구	행당1동	14,553	11,351	3,202	2,365	-	111	822	-	2,286	-	4,327	698	-	2,493	-	-	326	958	-	-	-	156	11
2012	성동구	행당2동	12,903	9,873	3,030	2,742	-	50	1,615	-	2,938	-	942	99	-	2,907	-	-	213	1,163	-	-	-	210	24
2012	성동구	응봉동	8,556	6,511	2,045	1,856	-	36	1,023	-	1,803	-	777	274	-	1,755	-	-	88	747	-	-	-	181	16
2012	성동구	금호1가동	7,339	5,600	1,739	1,786	-	30	800	-	1,525	-	564	243	-	1,481	-	-	130	621	-	-	-	144	15
2012	성동구	금호4가동	13,453	10,584	2,869	4,868	-	35	919	-	2,216	-	1,132	502	-	2,350	-	-	132	1,115	-	-	-	167	17
2012	성동구	성수1가1동	28,722	21,217	7,505	7,975	-	97	963	-	4,967	-	4,488	1,206	-	6,277	-	-	312	2,223	-	-	-	192	22
2012	성동구	성수1가2동	19,222	12,900	6,322	2,981	-	130	1,026	-	4,363	-	2,339	808	-	5,487	-	-	297	1,561	-	-	-	203	27
2012	성동구	성수2가1동	22,535	16,696	5,839	4,074	-	168	1,133	-	3,768	-	5,239	1,517	1	4,302	-	-	472	1,616	-	-	-	226	19
2012	성동구	성수2가3동	49,447	40,983	8,464	10,549	-	466	1,422	-	6,587	-	17,880	608	-	7,786	-	-	1,052	2,684	-	-	-	343	70
2012	성동구	송정동	5,003	3,943	1,060	1,500	-	47	454	-	870	-	492	137	-	917	-	-	63	408	-	-	-	109	6
2012	성동구	용답동	13,990	10,881	3,109	1,884	-	170	634	-	2,192	-	4,600	489	1	2,593	-	-	443	770	-	-	-	188	26
2012	성동구	왕십리도선동	15,226	10,978	4,248	3,319	-	101	605	-	3,506	-	1,797	328	-	3,895	-	-	291	1,148	-	-	-	211	25
2012	성동구	금호2.3가동	17,159	13,997	3,162	8,000	-	57	906	-	2,558	-	765	630	-	2,508	-	2	150	1,329	-	-	-	232	22
2012	성동구	옥수동	23,487	18,527	4,960	8,048	-	64	1,434	-	3,949	-	2,683	780	-	4,132	-	-	191	1,810	-	-	-	348	48
2012	광진구	소계	278,001	215,751	62,250	75,575	-	1,693	17,826	-	47,132	-	43,793	7,395	-1	54,312	0	1	4,555	21,445	-	-	-4	3,732	547
2012	광진구	화양동	24,166	16,707	7,459	4,987	-	151	652	-	5,973	-	2,594	553	-1	6,888	-	-	402	1,752	-	-	-	194	19
2012	광진구	군자동	14,266	10,951	3,315	3,810	-	100	829	-	2,547	-	2,224	369	-	2,934	0	-	243	1,013	-	-	-	185	12
2012	광진구	중곡1동	10,864	7,679	3,185	2,288	-	84	643	-	2,198	-	1,309	645	-	2,534	-	-	153	858	-	-	-	145	6
2012	광진구	중곡2동	9,916	7,713	2,203	2,866	-	79	854	-	1,784	-	963	143	-	2,054	0	-	202	790	-	-	-	174	6
2012	광진구	중곡3동	6,391	4,918	1,472	1,683	-	63	629	-	1,175	-	560	116	-	1,353	-	-	130	525	-	-	-	154	4
2012	광진구	중곡4동	11,387	9,326	2,061	3,937	-	101	1,249	-	1,640	-	1,018	158	-	1,888	-	-	177	962	-	-	-	241	15
2012	광진구	능동	8,036	6,294	1,742	2,315	-	75	535	-	1,332	-	1,219	202	-	1,535	-	-	126	589	-	-	-	102	5
2012	광진구	구의1동	12,821	9,233	3,588	3,192	-	107	869	-	2,000	-	1,577	1,278	-	2,304	-	-	226	1,081	-	-	-	181	6
2012	광진구	구의2동	13,056	10,545	2,511	4,247	-	86	1,114	-	1,969	-	1,782	172	-	2,268	0	-	186	991	-	-	-	169	71
2012	광진구	구의3동	31,855	24,688	7,167	7,568	-	192	2,108	-	5,385	-	5,598	687	-	6,202	-	-	707	2,302	-	-	-1	828	278
2012	광진구	광장동	66,671	56,195	10,475	24,789	-	170	2,874	-	7,967	-	15,028	1,254	-	9,182	0	-	576	4,436	-	-	-	357	39
2012	광진구	자양1동	12,460	9,030	3,431	2,704	-	100	887	-	2,039	-	1,887	1,071	-	2,349	-	-	197	993	-	-	-	223	10
2012	광진구	자양2동	15,034	11,615	3,420	3,360	-	101	1,496	-	2,686	-	2,226	283	-	3,094	-	-	242	1,169	-	-	-3	334	46
2012	광진구	자양3동	29,423	22,390	7,033	5,501	-	185	2,172	-	5,822	-	4,581	299	-	6,712	0	1	813	3,076	-	-	-	241	21
2012	광진구	자양4동	11,655	8,468	3,187	2,327	-	97	916	-	2,616	-	1,228	165	-	3,015	-	-	174	907	-	-	-	203	8
2012	동대문구	소계	288,497	227,930	60,567	61,256	22,388	1,889	16,388	-	45,472	-	43,881	6,789	29	53,364	0	40	5,076	27,668	-	-	0	3,911	344
2012	동대문구	회기동	8,460	6,823	1,638	1,654	-	65	459	-	1,293	-	2,597	213	0	1,418	-	-	130	510	-	-	-	115	7
2012	동대문구	휘경1동	8,410	6,465	1,945	2,526	-	70	564	-	1,386	-	969	376	0	1,553	-	8	158	652	-	-	-	141	7
2012	동대문구	휘경2동	13,838	11,598	2,240	3,604	-	78	1,280	-	2,107	-	3,164	161	-	2,075	-	-	210	972	-	-	-	182	4
2012	동대문구	청량리동	15,172	11,715	3,457	2,935	-	118	972	-	2,833	-	3,298	292	0	3,122	-	-	220	1,045	-	-	-	295	43
2012	동대문구	용신동	61,124	50,790	10,333	8,410	12,285	301	1,622	-	7,421	-	11,658	1,133	4	9,140	-	0	998	7,562	-	-	-	532	56
2012	동대문구	제기동	22,126	15,661	6,465	4,792	-	205	1,190	-	4,783	-	2,191	617	1	5,778	-	2	372	1,719	-	-	-	408	67
2012	동대문구	전농1동	19,320	14,518	4,803	2,816	-	157	758	-	3,559	-	5,391	507	-	4,274	-	-	385	1,193	-	-	-	260	22
2012	동대문구	전농2동	11,429	8,960	2,469	3,019	-	58	1,076	-	2,099	-	1,378	285	3	2,168	-	3	185	978	-	-	-	167	11
2012	동대문구	답십리1동	18,802	14,020	4,781	5,642	-	137	930	-	3,372	-	1,857	787	1	3,948	-	27	332	1,411	-	-	-	340	19
2012	동대문구	답십리2동	15,308	11,985	3,323	4,017	-	129	1,589	-	2,964	-	1,452	179	3	3,116	-	-	275	1,269	-	-	-	289	25
2012	동대문구	장안1동	49,629	41,319	8,310	10,145	9,904	257	2,024	-	5,632	-	5,486	1,565	9	6,703	-	-	813	6,608	-	-	-	450	32
2012	동대문구	장안2동	23,530	17,536	5,995	5,288	199	200	1,786	-	4,659	-	2,491	283	7	5,669	-	-	583	1,938	-	-	-	391	36
2012	동대문구	이문1동	12,829	10,216	2,614	4,030	-	78	1,106	-	2,206	-	1,330	326	1	2,271	-	-	228	1,016	-	-	-	222	15
2012	동대문구	이문2동	8,519	6,325	2,194	2,378	-	36	1,032	-	1,160	-	620	64	-	2,129	-	-	187	795	-	-	-	118	1
2012	중랑구	소계	210,497	159,077	51,420	51,546	15,760	1,392	16,232	-	30,039	-	16,534	5,266	0	45,897	0	0	3,113	20,650	-	-	0	3,812	258
2012	중랑구	면목2동	11,036	7,666	3,369	2,862	-	87	942	-	1,807	-	609	642	-	2,712	-	-	164	883	-	-	-	313	15
2012	중랑구	면목4동	8,381	6,385	1,997	2,892	-	55	766	-	1,217	-	481	245	-	1,735	-	-	87	676	-	-	-	212	17
2012	중랑구	면목5동	4,589	3,196	1,393	970	-	49	490	-	851	-	271	97	-	1,291	-	-	76	357	-	-	-	133	5
2012	중랑구	면목7동	10,036	7,379	2,657	2,664	-	68	1,028	-	1,695	-	744	135	-	2,504	-	-	167	777	-	-	-	235	18
2012	중랑구	상봉1동	16,645	13,031	3,614	2,472	2,540	72	1,175	-	1,980	-	1,174	580	-	3,022	-	-	154	3,282	-	-	-	182	12
2012	중랑구	상봉2동	23,558	17,911	5,647	2,566	6,646	126	702	-	2,940	-	2,238	203	-	5,429	-	-	348	2,107	-	-	-	238	15
2012	중랑구	중화1동	7,682	5,686	1,996	2,026	-	59	862	-	1,179	-	637	345	-	1,641	-	-	120	637	-	-	-	167	10
2012	중랑구	중화2동	10,672	7,546	3,126	2,567	-	96	835	-	1,966	-	814	124	-	2,979	-	-	177	759	-	-	-	333	23
2012	중랑구	묵1동	20,512	15,034	5,478	5,882	-	108	1,854	-	3,201	-	1,705	626	-	4,807	-	-	347	1,632	-	-	-	306	45
2012	중랑구	묵2동	9,114	7,000	2,114	3,097	-	64	776	-	1,347	-	701	153	-	1,954	-	-	136	713	-	-	-	167	7
2012	중랑구	망우3동	6,048	4,513	1,535	1,845	-	54	578	-	882	-	403	311	0	1,219	0	0	84	488	-	-	0	180	5
2012	중랑구	신내1동	14,777	10,800	3,977	3,194	-	126	1,644	-	2,259	-	1,853	645	-	3,312	-	-	296	1,161	-	-	-	267	20
2012	중랑구	신내2동	9,818	7,465	2,353	2,328	-	85	1,203	-	1,612	-	1,064	116	-	2,226	-	-	200	772	-	-	-	202	11
2012	중랑구	면목본동	14,056	10,545	3,511	4,714	-	98	1,033	-	2,094	-	801	384	-	3,111	-	-	187	1,317	-	-	-	301	15
2012	중랑구	면목3.8동	10,960	8,069	2,891	2,672	-	95	1,044	-	1,793	-	1,239	203	-	2,674	-	-	181	811	-	-	-	234	14
2012	중랑구	망우본동	32,613	26,851	5,763	8,796	6,574	150	1,300	-	3,218	-	1,801	457	-	5,280	-	-	388	4,282	-	-	-	341	27
2012	성북구	소계	296,324	235,120	61,203	83,705	4,653	1,652	22,048	-	47,930	-	42,218	7,364	1	53,343	0	10	4,735	23,597	-	-	-	4,582	485
2012	성북구	돈암1동	7,929	5,853	2,075	1,850	-	46	856	-	1,391	-	718	665	-	1,399	-	-	119	754	-	-	-	119	11
2012	성북구	돈암2동	13,351	10,548	2,802	3,259	-	16	1,627	-	2,548	-	1,438	135	-	2,640	-	-	198	1,217	-	-	-	246	27
2012	성북구	안암동	14,341	11,772	2,569	2,836	-	118	629	-	1,905	-	4,970	364	-	2,168	-	-	262	841	-	-	-	212	37
2012	성북구	보문동	10,020	7,885	2,135	2,904	-	87	534	-	1,655	-	1,604	252	-	1,866	-	-	181	751	-	-	-	170	17
2012	성북구	정릉1동	9,763	7,111	2,651	2,144	-	62	1,064	-	1,651	-	898	981	-	1,651	-	-	158	931	-	-	-	204	19
2012	성북구	정릉2동	9,209	7,267	1,942	2,508	-	78	1,101	-	1,694	-	608	111	-	1,806	-	-	178	846	-	-	-	254	25
2012	성북구	정릉3동	6,097	4,849	1,247	1,484	-	55	611	-	1,017	-	955	83	-	1,149	-	-	69	503	-	-	-	157	15
2012	성북구	정릉4동	11,568	9,370	2,198	3,277	-	81	1,506	-	2,020	-	937	127	1	2,048	-	-	195	1,072	-	-	-	283	22
2012	성북구	길음1동	21,705	16,272	5,433	4,945	-	121	2,277	-	4,581	-	1,497	652	-	4,728	-	-	399	2,206	-	-	-	246	53
2012	성북구	길음2동	26,001	21,636	4,365	8,578	4,653	126	803	-	3,387	-	1,614	119	-	4,226	-	-	469	1,834	-	-	-	173	20
2012	성북구	월곡1동	14,977	11,855	3,122	3,279	-	108	1,404	-	2,692	-	2,413	240	-	2,864	-	-	272	1,478	-	-	-	210	18
2012	성북구	월곡2동	15,038	12,269	2,769	4,165	-	157	1,021	-	2,337	-	2,898	133	-	2,617	-	-	355	1,134	-	-	-	203	19
2012	성북구	장위1동	6,637	4,848	1,789	1,190	-	64	847	-	1,303	-	452	465	-	1,311	-	-	77	625	-	-	-	290	13
2012	성북구	장위2동	7,634	5,703	1,931	1,528	-	84	773	-	1,659	-	662	90	-	1,827	-	-	115	659	-	-	-	223	14
2012	성북구	장위3동	7,013	5,248	1,765	1,539	-	71	744	-	1,516	-	471	97	-	1,659	-	-	119	622	-	-	-	167	9
2012	성북구	성북동	42,653	36,120	6,533	15,753	-	-194	1,053	-	4,243	-	12,737	716	-	5,764	-	-	221	2,025	-	-	-	281	53
2012	성북구	삼선동	21,617	17,930	3,687	9,346	-	135	1,063	-	2,797	-	2,323	571	-	3,098	-	-	294	1,703	-	-	-	269	18
2012	성북구	동선동	14,924	11,248	3,676	4,345	-	139	604	-	2,621	-	1,832	404	-	3,249	0	10	354	1,198	-	-	-	156	13
2012	성북구	종암동	21,033	16,112	4,921	5,369	-	152	2,051	-	4,021	-	1,807	683	-	4,209	-	-	442	1,912	-	-	-	358	29
2012	성북구	석관동	14,815	11,223	3,591	3,406	-	146	1,483	-	2,896	-	1,385	476	-	3,065	-	-	255	1,289	-	-	-	363	50
2012	강북구	소계	178,484	129,924	48,559	47,660	8,148	1,125	12,097	-	24,990	-	14,243	4,152	0	44,092	0	0	2,686	15,664	-	-	0	3,311	315
2012	강북구	번1동	33,325	26,225	5,290	5,443	8,148	125	670	-	2,621	-	2,253	510	-	4,625	-	-	247	4,909	-	-	-	195	17
2012	강북구	번2동	4,886	3,516	1,162	995	-	52	615	-	678	-	581	58	-	1,196	-	-	81	349	-	-	-	169	12
2012	강북구	번3동	6,412	4,674	1,529	1,785	-	52	793	-	931	-	397	55	-	1,642	-	-	113	491	-	-	-	172	17
2012	강북구	수유1동	12,072	8,056	5,235	3,248	-	83	678	-	1,542	-	1,369	1,067	-	2,720	-	-	163	887	-	-	-	232	24
2012	강북구	수유2동	10,634	7,860	2,621	3,422	-	68	935	-	1,497	-	840	147	-	2,641	-	-	184	780	-	-	-	186	13
2012	강북구	수유3동	13,786	10,009	3,873	4,594	-	121	687	-	2,283	-	1,055	179	-	4,028	-	-	239	988	-	-	-	243	21
2012	강북구	삼양동	11,304	8,104	2,797	3,422	-	52	1,029	-	1,752	-	700	73	-	3,092	-	-	199	834	-	-	-	374	40
2012	강북구	미아동	15,117	10,182	6,634	4,586	-	111	717	-	2,047	-	1,457	1,303	-	3,611	-	-	203	1,133	-	-	-	206	14
2012	강북구	송중동	15,872	11,266	5,046	3,625	-	141	1,061	-	3,123	-	1,387	126	-	5,510	-	-	317	1,159	-	-	-	311	27
2012	강북구	송천동	13,814	9,836	4,246	3,672	-	105	955	-	2,641	-	981	122	-	4,659	-	-	261	1,035	-	-	-	285	27
2012	강북구	삼각산동	16,449	12,091	4,090	4,713	-	60	1,966	-	2,525	-	655	127	-	4,454	-	-	335	1,358	-	-	-	314	43
2012	강북구	우이동	12,103	8,738	3,243	4,048	-	62	861	-	1,766	-	1,197	226	-	3,117	-	-	162	861	-	-	-	289	31
2012	강북구	인수동	12,711	9,365	2,794	4,108	-	95	1,128	-	1,586	-	1,372	160	-	2,798	-	-	181	879	-	-	-	335	31
2012	도봉구	소계	180,609	130,841	49,768	41,055	8,555	1,139	16,250	-	27,087	-	14,347	4,768	-	44,684	0	-	2,910	16,561	-	-	-	2,938	316
2012	도봉구	쌍문1동	7,319	6,226	1,093	2,366	-	73	851	-	1,131	-	704	646	-	431	-	-	112	754	-	-	-	235	16
2012	도봉구	쌍문2동	6,418	5,733	686	1,835	-	67	783	-	1,340	-	671	138	-	528	-	-	186	627	-	-	-	223	20
2012	도봉구	쌍문3동	5,444	4,868	575	1,521	-	57	655	-	1,197	-	641	83	-	483	-	-	116	539	-	-	-	142	10
2012	도봉구	쌍문4동	5,786	5,225	562	1,667	-	43	1,037	-	1,196	-	373	94	-	451	-	-	103	655	-	-	-	150	16
2012	도봉구	방학1동	10,582	8,769	1,813	2,558	-	106	1,287	-	2,224	-	1,105	888	-	912	-	-	199	1,117	-	-	-	173	13
2012	도봉구	방학2동	11,178	10,140	1,038	4,022	-	96	1,342	-	2,022	-	1,035	214	-	792	-	-	268	1,122	-	-	-	232	32
2012	도봉구	방학3동	3,430	3,105	325	976	-	42	537	-	697	-	306	74	-	243	-	-	67	355	-	-	-	125	8
2012	도봉구	창1동	17,776	16,108	1,668	3,235	-	103	1,774	-	3,603	-	1,739	150	-	1,490	-	-	375	5,085	-	-	-	194	28
2012	도봉구	창2동	13,422	11,777	1,645	2,980	-	111	1,621	-	3,430	-	1,713	167	-	1,452	-	-	379	1,340	-	-	-	203	26
2012	도봉구	창3동	53,735	17,425	36,310	6,955	-	124	1,610	-	3,432	-	3,099	1,046	-	35,192	-	-	481	1,468	-	-	-	255	72
