기간	자치구	행정동	출생	출생	출생	사망	사망	사망
기간	자치구	행정동	계	남자	여자	계	남자	여자
2016	관악구	낙성대동	117	62	55	52	31	21
2016	관악구	중앙동	85	43	42	59	38	21
2016	관악구	인헌동	208	97	111	85	50	35
2016	관악구	남현동	179	104	75	63	37	26
2016	관악구	서원동	161	88	73	116	73	43
2016	관악구	신원동	125	63	62	86	54	32
2016	관악구	서림동	165	88	77	94	60	34
2016	관악구	신사동	157	84	73	83	50	33
2016	관악구	신림동	114	60	54	87	47	40
2016	관악구	난향동	132	53	79	74	44	30
2016	관악구	조원동	131	73	58	78	44	34
2016	관악구	대학동	97	45	52	84	50	34
2016	관악구	은천동	305	153	152	136	78	58
2016	관악구	성현동	284	139	145	144	80	64
2016	관악구	청룡동	144	74	70	92	53	39
2016	관악구	난곡동	189	90	99	156	93	63
2016	관악구	삼성동	110	63	47	153	90	63
2016	관악구	미성동	195	96	99	155	87	68
2016	서초구	소계	3,629	1,827	1,802	1,480	755	725
2016	서초구	서초1동	205	100	105	87	47	40
2016	서초구	서초2동	205	104	101	65	32	33
2016	서초구	서초3동	211	99	112	110	67	43
2016	서초구	서초4동	168	91	77	55	26	29
2016	서초구	잠원동	284	151	133	98	50	48
2016	서초구	반포본동	62	27	35	50	30	20
2016	서초구	반포1동	188	86	102	83	42	41
2016	서초구	반포2동	136	80	56	53	22	31
2016	서초구	반포3동	146	69	77	60	25	35
2016	서초구	반포4동	164	90	74	65	32	33
2016	서초구	방배본동	125	63	62	76	43	33
2016	서초구	방배1동	183	98	85	57	30	27
2016	서초구	방배2동	209	106	103	88	43	45
2016	서초구	방배3동	171	97	74	99	40	59
2016	서초구	방배4동	211	106	105	82	40	42
2016	서초구	양재1동	450	222	228	202	107	95
2016	서초구	양재2동	262	128	134	70	37	33
2016	서초구	내곡동	249	110	139	80	42	38
2016	강남구	소계	4,122	2,047	2,075	1,780	899	881
2016	강남구	신사동	123	63	60	64	35	29
2016	강남구	논현1동	187	96	91	93	49	44
2016	강남구	논현2동	180	66	114	62	30	32
2016	강남구	삼성1동	123	67	56	58	36	22
2016	강남구	삼성2동	245	126	119	54	31	23
2016	강남구	대치1동	82	28	54	67	41	26
2016	강남구	대치4동	109	61	48	39	22	17
2016	강남구	역삼1동	323	175	148	91	55	36
2016	강남구	역삼2동	298	142	156	69	36	33
2016	강남구	도곡1동	193	101	92	77	36	41
2016	강남구	도곡2동	228	109	119	74	36	38
2016	강남구	개포1동	148	72	76	95	47	48
2016	강남구	개포4동	142	71	71	61	28	33
2016	강남구	일원본동	177	89	88	67	26	41
2016	강남구	일원1동	85	38	47	112	52	60
2016	강남구	일원2동	167	98	69	73	37	36
2016	강남구	수서동	163	79	84	113	58	55
2016	강남구	세곡동	373	184	189	172	79	93
2016	강남구	압구정동	203	95	108	87	46	41
2016	강남구	청담동	251	123	128	101	51	50
2016	강남구	대치2동	124	63	61	90	42	48
2016	강남구	개포2동	198	101	97	61	26	35
2016	송파구	소계	5,500	2,915	2,585	2,174	1,158	1,016
2016	송파구	풍납1동	127	64	63	72	39	33
2016	송파구	풍납2동	235	138	97	86	49	37
2016	송파구	거여1동	97	50	47	62	37	25
2016	송파구	거여2동	185	92	93	90	56	34
2016	송파구	마천1동	125	62	63	130	75	55
2016	송파구	마천2동	106	54	52	117	65	52
2016	송파구	방이1동	121	57	64	64	32	32
2016	송파구	방이2동	224	116	108	76	33	43
2016	송파구	오륜동	60	34	26	46	25	21
2016	송파구	오금동	269	139	130	154	76	78
2016	송파구	송파1동	302	153	149	92	48	44
2016	송파구	송파2동	135	77	58	68	33	35
