기간	자치구	행정동	합계	남자	여자
2016	강북구	수유3동	44.1	42.5	45.7
2016	강북구	삼양동	44.2	42.9	45.6
2016	강북구	미아동	44.2	43	45.4
2016	강북구	송중동	45.2	43.6	46.7
2016	강북구	송천동	46.1	44.8	47.4
2016	강북구	삼각산동	40	39.4	40.4
2016	강북구	우이동	45.8	44.2	47.2
2016	강북구	인수동	45.7	44	47.1
2016	도봉구	소계	43.5	42.2	44.8
2016	도봉구	쌍문1동	44.1	43.1	45
2016	도봉구	쌍문2동	43.4	41.4	45.4
2016	도봉구	쌍문3동	43.5	42.2	44.9
2016	도봉구	쌍문4동	42.3	41	43.4
2016	도봉구	방학1동	44.4	43.2	45.5
2016	도봉구	방학2동	45.3	43.4	46.8
2016	도봉구	방학3동	42.7	41	44.2
2016	도봉구	창1동	42	40.6	43.2
2016	도봉구	창2동	41.8	40.8	42.8
2016	도봉구	창3동	44.5	43.2	45.7
2016	도봉구	창4동	41.7	40.6	42.7
2016	도봉구	창5동	42	40.8	43.1
2016	도봉구	도봉1동	47.7	46.2	49.3
2016	도봉구	도봉2동	45.5	44.1	46.9
2016	노원구	소계	41.5	40.1	42.8
2016	노원구	월계1동	41.1	39.4	43
2016	노원구	월계2동	44.4	42.8	46.1
2016	노원구	월계3동	41.4	40.2	42.7
2016	노원구	공릉2동	38.7	37.6	39.8
2016	노원구	하계1동	42.1	38	44.7
2016	노원구	하계2동	41.1	40	42
2016	노원구	중계본동	41.5	41	41.8
2016	노원구	중계1동	40.7	39.6	41.4
2016	노원구	중계4동	43.2	41.4	44.9
2016	노원구	상계1동	42.7	41.6	43.8
2016	노원구	상계2동	42.8	42	43.7
2016	노원구	상계5동	44.4	42.6	45.9
2016	노원구	상계8동	36.6	36.1	37.1
2016	노원구	상계9동	40.9	38.9	42.4
2016	노원구	상계10동	40.2	38.4	41.9
2016	노원구	상계3.4동	46.5	45.1	48.1
2016	노원구	상계6.7동	39.9	38.7	40.9
2016	노원구	중계2.3동	42.8	41	44.6
2016	노원구	공릉1동	40.3	39.3	41.6
2016	은평구	소계	42.4	41.4	43.4
2016	은평구	녹번동	43.3	42.1	44.6
2016	은평구	불광1동	42.5	41.3	43.7
2016	은평구	갈현1동	43.3	41.5	45.1
2016	은평구	갈현2동	41.2	39.8	42.5
2016	은평구	구산동	43.4	43.5	43.2
2016	은평구	대조동	41.8	41.1	42.6
2016	은평구	응암1동	41.2	40.3	42
2016	은평구	응암2동	40.9	40.2	41.7
2016	은평구	신사1동	41.9	40.6	43.3
2016	은평구	신사2동	42.8	41.2	44.3
2016	은평구	증산동	43.7	42.7	44.7
2016	은평구	수색동	46.1	44.3	47.9
2016	은평구	진관동	40.4	40.3	40.5
2016	은평구	불광2동	44.8	42.8	46.5
2016	은평구	응암3동	45.1	43.2	46.8
2016	은평구	역촌동	41.4	40.5	42.4
2016	서대문구	소계	41.6	40.9	42.4
2016	서대문구	천연동	42.5	41.5	43.6
2016	서대문구	홍제1동	43.5	42.1	44.9
2016	서대문구	홍제3동	45.7	44.3	46.9
2016	서대문구	홍제2동	44.3	42.9	45.4
2016	서대문구	홍은1동	45	43.7	46.1
2016	서대문구	홍은2동	43.3	42	44.6
2016	서대문구	남가좌1동	38.8	38.9	38.7
2016	서대문구	남가좌2동	43	41.8	44.3
2016	서대문구	북가좌1동	41	40.5	41.6
2016	서대문구	북가좌2동	42.9	41.7	44.1
2016	서대문구	충현동	43.8	43	44.8
2016	서대문구	북아현동	42.2	40.9	43.5
2016	서대문구	신촌동	29.5	32	28.4
2016	서대문구	연희동	39.8	38.7	40.9
2016	마포구	소계	39.5	39.2	39.7
2016	마포구	용강동	39.6	39.5	39.6
2016	마포구	대흥동	36.8	38.3	35.1
2016	마포구	염리동	40.9	41.1	40.7
2016	마포구	신수동	40.1	39.3	40.8
2016	마포구	서교동	36.8	37.2	36.3
2016	마포구	합정동	37.3	37.2	37.5
2016	마포구	망원1동	40.3	39.6	41.1
2016	마포구	망원2동	40.5	40.1	40.9
2016	마포구	연남동	38.7	38.5	39
2016	마포구	성산1동	40.4	39.8	41
2016	마포구	성산2동	40.5	39.5	41.3
2016	마포구	상암동	38.8	38.6	38.9
2016	마포구	도화동	41.4	40.6	42.2
2016	마포구	서강동	37.7	37.7	37.8
2016	마포구	공덕동	41.8	41	42.5
2016	마포구	아현동	39.2	39.1	39.2
2016	양천구	소계	41.1	40.2	41.9
2016	양천구	목1동	39.6	39.8	39.5
2016	양천구	목2동	38.8	37.7	40
2016	양천구	목3동	40.3	38.5	42.2
2016	양천구	목4동	40.6	38.4	42
2016	양천구	신월1동	44.4	43.6	45.2
2016	양천구	신월2동	41.8	40.5	43.1
2016	양천구	신월3동	43.5	42.6	44.5
2016	양천구	신월4동	40.6	39.9	41.3
2016	양천구	신월5동	40.9	39.8	41.9
2016	양천구	신월6동	44	42.8	45.1
2016	양천구	신월7동	43.3	41.7	45
2016	양천구	신정1동	41	40.7	41.2
2016	양천구	신정2동	41.9	41.2	42.3
2016	양천구	신정3동	40.8	39.9	41.7
2016	양천구	신정6동	40	38.8	40.6
2016	양천구	신정7동	43.1	41.8	44.2
2016	양천구	목5동	40.2	38.5	40.9
2016	양천구	신정4동	41.5	40.5	42.4
2016	강서구	소계	40.1	39.3	41
2016	강서구	염창동	38.4	38.1	38.7
2016	강서구	등촌1동	36.7	37.1	36.3
2016	강서구	등촌2동	40.1	38.5	41.8
2016	강서구	등촌3동	43.5	40.5	45.9
2016	강서구	화곡본동	38.8	38	39.7
