기간	자치구	동	합계	합계	합계	개인사업체	개인사업체	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체
기간	자치구	동	사업체수	총종사자수	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수
2012	성북구	길음1동	1,116	3,328	1,989	2,165	1,317	366	187	542	380	255	105
2012	성북구	길음2동	1,100	4,255	2,454	2,398	1,546	1,238	639	401	178	218	91
2012	성북구	월곡1동	1,440	5,165	2,452	3,109	1,564	1,076	376	748	419	232	93
2012	성북구	월곡2동	1,517	7,627	3,858	3,448	1,813	979	526	2,977	1,420	223	99
2012	성북구	장위1동	1,164	2,660	1,382	2,183	1,143	191	65	183	131	103	43
2012	성북구	장위2동	1,657	5,127	2,248	3,464	1,757	1,151	223	401	228	111	40
2012	성북구	장위3동	1,233	4,548	1,927	2,639	1,302	1,357	280	400	252	152	93
2012	성북구	성북동	1,040	5,608	2,835	2,033	1,049	2,508	1,237	790	428	277	121
2012	성북구	삼선동	1,893	8,666	4,160	3,791	2,140	1,263	531	3,467	1,414	145	75
2012	성북구	동선동	1,940	7,957	4,166	4,395	2,430	2,011	866	1,354	773	197	97
2012	성북구	종암동	2,104	7,316	3,575	4,539	2,406	1,256	486	1,128	499	393	184
2012	성북구	석관동	2,331	7,042	3,146	4,415	2,189	1,511	344	965	551	151	62
2012	강북구	소계	19,485	69,508	35,929	39,908	21,475	16,618	7,476	10,154	5,396	2,828	1,582
2012	강북구	번1동	1,797	8,763	5,085	3,737	2,178	4,014	2,467	868	385	144	55
2012	강북구	번2동	669	3,665	1,275	1,207	526	1,252	228	1,018	419	188	102
2012	강북구	번3동	815	2,637	1,113	1,411	625	596	155	441	243	189	90
2012	강북구	수유1동	1,601	5,376	2,639	2,953	1,534	1,134	352	905	536	384	217
2012	강북구	수유2동	1,340	3,853	1,931	2,507	1,209	916	463	149	83	281	176
2012	강북구	수유3동	2,484	8,736	4,759	5,591	3,058	1,522	992	1,460	623	163	86
2012	강북구	삼양동	1,255	3,305	1,819	2,223	1,236	416	124	411	297	255	162
2012	강북구	미아동	1,952	6,044	3,301	4,045	2,183	1,178	675	732	403	89	40
2012	강북구	송중동	1,994	7,986	4,357	4,958	2,755	1,427	673	1,367	782	234	147
2012	강북구	송천동	2,246	7,511	4,114	5,129	2,968	1,321	601	792	375	269	170
2012	강북구	삼각산동	730	2,165	1,290	1,501	877	188	91	341	252	135	70
2012	강북구	우이동	979	3,511	1,278	1,823	959	1,250	120	175	71	263	128
2012	강북구	인수동	1,623	5,956	2,968	2,823	1,367	1,404	535	1,495	927	234	139
2012	도봉구	소계	17,893	62,820	28,829	32,933	16,695	15,608	4,644	11,064	6,037	3,215	1,453
2012	도봉구	쌍문1동	921	3,734	1,875	1,618	777	625	112	1,309	884	182	102
2012	도봉구	쌍문2동	1,210	3,838	1,856	2,298	1,256	917	241	408	257	215	102
2012	도봉구	쌍문3동	910	3,293	1,758	1,678	817	668	330	819	558	128	53
2012	도봉구	쌍문4동	584	1,880	975	993	495	106	60	613	362	168	58
2012	도봉구	방학1동	2,358	10,834	4,779	4,896	2,692	3,069	750	2,464	1,102	405	235
2012	도봉구	방학2동	1,327	3,121	1,575	2,550	1,295	253	83	221	150	97	47
2012	도봉구	방학3동	918	2,874	1,262	1,578	745	651	115	448	308	197	94
2012	도봉구	창1동	1,062	3,207	1,749	1,965	1,087	529	271	440	287	273	104
2012	도봉구	창2동	1,328	4,135	1,814	2,551	1,240	1,063	274	367	237	154	63
2012	도봉구	창3동	945	1,886	1,002	1,451	727	144	63	200	149	91	63
2012	도봉구	창4동	1,138	6,659	3,059	2,271	1,213	2,595	1,185	1,433	526	360	135
2012	도봉구	창5동	2,115	6,557	2,971	3,944	1,851	1,715	663	601	333	297	124
2012	도봉구	도봉1동	1,675	5,316	2,111	2,825	1,403	1,574	193	583	339	334	176
2012	도봉구	도봉2동	1,402	5,486	2,043	2,315	1,097	1,699	304	1,158	545	314	97
2012	노원구	소계	24,864	102,327	51,542	49,024	25,916	25,008	10,807	22,871	12,608	5,424	2,211
2012	노원구	월계1동	1,387	5,054	1,896	2,560	1,204	1,027	157	1,258	412	209	123
2012	노원구	월계2동	1,055	3,651	1,531	1,734	717	620	162	1,095	555	202	97
2012	노원구	월계3동	939	3,549	1,678	1,540	821	1,065	449	684	303	260	105
2012	노원구	공릉2동	1,780	9,436	4,715	2,906	1,487	1,160	303	5,025	2,775	345	150
2012	노원구	하계1동	891	6,891	3,221	1,915	1,037	1,734	545	2,916	1,508	326	131
2012	노원구	하계2동	370	1,169	645	634	324	50	34	316	249	169	38
2012	노원구	중계본동	1,167	4,561	2,268	2,459	1,250	1,023	498	774	437	305	83
2012	노원구	중계1동	895	3,728	2,029	1,972	1,096	930	515	622	371	204	47
2012	노원구	중계4동	994	3,618	1,857	2,185	1,199	425	143	725	426	283	89
2012	노원구	상계1동	2,795	8,031	3,255	4,604	1,925	2,305	621	776	548	346	161
2012	노원구	상계2동	2,195	8,249	4,567	5,718	3,219	1,777	955	383	234	371	159
2012	노원구	상계5동	1,306	2,729	1,460	2,127	1,171	218	93	149	97	235	99
2012	노원구	상계8동	590	1,965	1,185	1,221	747	157	108	392	276	195	54
2012	노원구	상계9동	730	2,314	1,287	1,259	695	211	141	709	434	135	17
2012	노원구	상계10동	460	1,757	854	826	479	173	72	698	283	60	20
2012	노원구	상계3.4동	1,721	4,957	2,009	2,806	1,406	1,517	244	328	220	306	139
2012	노원구	상계6.7동	1,892	14,903	8,858	4,855	2,917	5,051	3,160	4,143	2,380	854	401
2012	노원구	중계2.3동	1,161	5,049	3,040	2,614	1,586	930	556	1,294	803	211	95
2012	노원구	공릉1동	2,536	10,716	5,187	5,089	2,636	4,635	2,051	584	297	408	203
2012	은평구	소계	23,325	80,672	41,132	45,089	24,668	18,978	7,452	13,859	7,781	2,746	1,231
2012	은평구	녹번동	1,500	7,024	3,288	3,170	1,767	1,633	558	1,991	848	230	115
2012	은평구	불광1동	1,611	6,304	3,682	3,132	1,839	1,347	856	1,567	874	258	113
2012	은평구	갈현1동	1,513	5,562	3,220	3,087	1,658	1,945	1,310	354	172	176	80
2012	은평구	갈현2동	1,535	5,927	3,493	3,422	1,988	1,269	734	992	625	244	146
2012	은평구	구산동	1,153	5,491	2,601	1,799	898	1,570	294	1,949	1,339	173	70
2012	은평구	대조동	2,559	7,450	4,440	5,510	3,382	1,254	616	494	330	192	112
2012	은평구	응암1동	2,115	7,517	3,516	4,231	2,177	2,322	789	823	506	141	44
2012	은평구	응암2동	804	2,180	1,103	1,428	693	141	56	492	305	119	49
2012	은평구	신사1동	1,208	3,569	1,645	2,208	1,136	774	187	469	278	118	44
2012	은평구	신사2동	858	2,707	1,124	1,474	691	500	38	592	351	141	44
2012	은평구	증산동	1,127	3,917	1,512	1,876	938	1,598	321	341	227	102	26
2012	은평구	수색동	859	2,550	957	1,419	673	807	155	275	120	49	9
2012	은평구	진관동	885	4,228	1,953	1,539	923	929	184	1,460	712	300	134
2012	은평구	불광2동	1,330	3,919	2,047	2,481	1,394	395	209	938	390	105	54
2012	은평구	응암3동	1,892	4,906	2,688	3,718	2,103	502	199	520	311	166	75
2012	은평구	역촌동	2,376	7,421	3,863	4,595	2,408	1,992	946	602	393	232	116
2012	서대문구	소계	18,653	97,686	46,492	35,124	18,494	30,513	11,705	28,901	14,809	3,148	1,484
2012	서대문구	천연동	793	2,488	1,234	1,424	773	201	88	646	274	217	99
2012	서대문구	홍제1동	1,112	4,145	2,166	2,235	1,267	919	400	731	413	260	86
2012	서대문구	홍제3동	1,207	3,835	2,209	2,115	1,126	500	206	1,013	767	207	110
2012	서대문구	홍제2동	571	1,623	807	949	569	218	83	233	41	223	114
2012	서대문구	홍은1동	980	2,315	1,144	1,504	747	252	102	331	186	228	109
2012	서대문구	홍은2동	1,130	5,853	2,584	2,132	1,070	1,706	450	1,647	878	368	186
2012	서대문구	남가좌1동	644	1,179	703	935	586	90	37	107	62	47	18
2012	서대문구	남가좌2동	1,489	4,110	2,032	2,658	1,385	491	196	748	357	213	94
2012	서대문구	북가좌1동	461	3,218	726	705	280	2,321	312	137	111	55	23
2012	서대문구	북가좌2동	2,225	6,278	2,602	3,645	1,524	2,311	964	165	51	157	63
2012	서대문구	충현동	1,613	20,424	7,310	2,354	1,201	12,336	4,437	5,293	1,466	441	206
2012	서대문구	북아현동	674	1,795	882	1,207	628	129	52	395	178	64	24
2012	서대문구	신촌동	3,732	30,867	17,862	9,808	5,634	6,034	3,399	14,646	8,630	379	199
2012	서대문구	연희동	2,022	9,556	4,231	3,453	1,704	3,005	979	2,809	1,395	289	153
2012	마포구	소계	32,053	212,720	96,193	66,242	37,220	118,350	46,468	23,647	10,293	4,481	2,212
2012	마포구	용강동	2,398	15,858	6,391	3,364	1,776	10,740	3,784	1,389	686	365	145
2012	마포구	대흥동	1,563	16,141	10,942	9,757	8,196	3,371	1,520	2,844	1,142	169	84
2012	마포구	염리동	759	4,257	1,858	1,164	569	1,133	408	1,783	772	177	109
2012	마포구	신수동	1,397	5,375	2,386	2,503	1,053	1,976	904	739	361	157	68
2012	마포구	서교동	8,003	51,978	25,360	18,229	9,484	31,153	14,412	2,136	1,173	460	291
2012	마포구	합정동	1,812	8,490	3,619	2,910	1,377	4,769	1,745	619	383	192	114
2012	마포구	망원1동	1,362	3,790	1,749	2,589	1,287	872	347	227	72	102	43
2012	마포구	망원2동	1,224	3,572	1,489	1,858	923	1,293	294	246	173	175	99
2012	마포구	연남동	1,150	4,543	1,721	1,786	779	2,344	713	284	158	129	71
2012	마포구	성산1동	1,579	8,483	3,507	2,722	1,226	5,002	1,793	492	320	267	168
2012	마포구	성산2동	1,660	8,608	3,878	3,249	1,564	1,928	751	2,785	1,211	646	352
2012	마포구	상암동	1,639	27,067	9,492	2,908	1,719	20,706	6,459	3,031	1,114	422	200
2012	마포구	도화동	1,879	14,457	6,466	2,995	1,722	10,396	4,395	711	257	355	92
2012	마포구	서강동	1,351	10,411	4,891	2,850	1,435	4,944	2,341	2,392	974	225	141
2012	마포구	공덕동	2,536	17,164	7,862	4,654	2,553	9,669	4,202	2,449	960	392	147
2012	마포구	아현동	1,741	12,526	4,582	2,704	1,557	8,054	2,400	1,520	537	248	88
2012	양천구	소계	25,750	108,802	49,628	51,188	27,104	36,504	12,125	16,648	8,470	4,462	1,929
2012	양천구	목1동	2,543	21,035	8,907	5,916	3,533	12,763	4,519	2,004	745	352	110
2012	양천구	목2동	1,174	3,613	1,775	2,086	1,113	1,038	425	273	141	216	96
2012	양천구	목3동	1,241	3,535	2,023	2,253	1,268	883	538	288	156	111	61
