기간	자치구	동	시설합계	노인복지관	노인복지관	경로당	노인교실
기간	자치구	동	시설합계	시설수	종사자수	경로당	노인교실
2012	양천구	신월4동	12	-	-	10	2
2012	양천구	신월5동	6	-	-	5	1
2012	양천구	신월6동	8	-	-	7	1
2012	양천구	신월7동	8	-	-	8	-
2012	양천구	신정1동	5	-	-	4	1
2012	양천구	신정2동	15	-	-	13	2
2012	양천구	신정3동	29	-	-	26	3
2012	양천구	신정6동	7	1	23	4	2
2012	양천구	신정7동	13	-	-	12	1
2012	양천구	목5동	14	-	-	11	3
2012	양천구	신정4동	9	-	-	6	3
2012	강서구	소계	215	1	23	200	14
2012	강서구	염창동	33	-	-	33	-
2012	강서구	등촌1동	17	-	-	14	3
2012	강서구	등촌2동	9	-	-	8	1
2012	강서구	등촌3동	17	1	23	16	-
2012	강서구	화곡본동	7	-	-	5	2
2012	강서구	화곡2동	3	-	-	2	1
2012	강서구	화곡3동	5	-	-	5	-
2012	강서구	화곡4동	4	-	-	4	-
2012	강서구	화곡6동	8	-	-	7	1
2012	강서구	화곡8동	5	-	-	5	-
2012	강서구	가양1동	14	-	-	14	-
2012	강서구	가양2동	6	-	-	6	-
2012	강서구	가양3동	8	-	-	8	-
2012	강서구	발산1동	10	-	-	9	1
2012	강서구	공항동	6	-	-	6	-
2012	강서구	방화1동	18	-	-	18	-
2012	강서구	방화2동	12	-	-	11	1
2012	강서구	방화3동	17	-	-	16	1
2012	강서구	화곡1동	8	-	-	6	2
2012	강서구	우장산동	8	-	-	7	1
2012	구로구	소계	192	1	23	179	12
2012	구로구	신도림동	…	-	-	…	…
2012	구로구	구로1동	…	-	-	…	…
2012	구로구	구로3동	…	-	-	…	…
2012	구로구	구로4동	…	-	-	…	…
2012	구로구	구로5동	…	1	23	…	…
2012	구로구	고척1동	…	-	-	…	…
2012	구로구	고척2동	…	-	-	…	…
2012	구로구	개봉2동	…	-	-	…	…
2012	구로구	개봉3동	…	-	-	…	…
2012	구로구	오류1동	…	-	-	…	…
2012	구로구	오류2동	…	-	-	…	…
2012	구로구	수궁동	…	-	-	…	…
2012	구로구	가리봉동	…	-	-	…	…
2012	구로구	구로2동	…	-	-	…	…
2012	구로구	개봉1동	…	-	-	…	…
2012	금천구	소계	75	1	23	66	8
2012	금천구	가산동	8	-	-	8	-
2012	금천구	독산1동	16	-	-	15	1
2012	금천구	독산2동	3	-	-	2	1
2012	금천구	독산3동	5	-	-	5	-
2012	금천구	독산4동	5	-	-	4	1
