기간	자치구	동	합계	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	집단급식소	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업
기간	자치구	동	합계	소계	휴게음식점	일반음식점	제과점	단란주점	유흥주점	위탁급식영업	집단급식소	소계	식품제조가공업	즉석판매제조가공업	식품첨가물 제조업	소계	식품운반업	식품판매업	식품보존업	용기·포장류제조업	소계	건강기능식품수입업	건강기능식품판매업	건강기능식품제조업
2012	성북구	정릉3동	165	114	12	101	-	-	-	1	15	15	6	9	-	14	-	14	-	-	7	-	7	-
2012	성북구	정릉4동	171	96	6	83	3	3	-	1	12	16	3	13	-	27	-	27	-	-	20	-	20	-
2012	성북구	길음1동	427	306	78	205	20	1	1	1	16	46	1	45	-	20	-	20	-	-	39	1	38	-
2012	성북구	길음2동	222	131	45	75	10	-	-	1	4	37	-	37	-	12	-	12	-	-	38	2	36	-
2012	성북구	월곡1동	511	360	68	267	14	7	-	4	2	46	5	41	-	66	-	66	-	-	37	-	37	-
2012	성북구	월곡2동	298	198	23	165	6	1	-	3	8	27	1	26	-	31	-	31	-	-	34	3	31	-
2012	성북구	장위1동	382	274	31	228	11	3	-	1	6	34	3	31	-	35	-	35	-	-	33	-	33	-
2012	성북구	장위2동	304	207	7	189	3	8	-	-	9	49	1	48	-	24	-	24	-	-	15	1	14	-
2012	성북구	장위3동	212	142	6	132	2	2	-	-	7	16	-	16	-	37	1	36	-	-	10	-	10	-
2012	성북구	성북동	259	188	53	131	2	-	-	2	10	15	4	11	-	27	-	27	-	-	19	-	19	-
2012	성북구	삼선동	635	454	58	366	11	14	1	4	18	55	1	54	-	53	-	53	-	-	55	2	53	-
2012	성북구	동선동	682	582	86	467	9	14	3	3	9	10	1	9	-	41	-	41	-	-	40	1	39	-
2012	성북구	종암동	495	333	46	265	12	6	1	3	24	43	8	35	-	45	-	45	-	-	50	-	50	-
2012	성북구	석관동	575	402	39	346	12	4	-	1	12	53	7	46	-	60	-	60	-	-	48	3	45	-
2012	강북구	소계	6,190	4,343	349	3,675	96	131	78	14	161	542	43	498	1	609	2	607	-	-	535	9	526	-
2012	강북구	번1동	…	446	38	368	9	23	8	-	12	…	…	39	-	52	-	52	-	-	…	6	…	-
2012	강북구	번2동	…	65	5	56	3	-	-	1	7	…	…	12	-	65	-	65	-	-	…	-	…	-
2012	강북구	번3동	…	92	13	73	6	-	-	-	6	…	…	8	-	32	1	31	-	-	…	-	…	-
2012	강북구	수유1동	…	298	28	248	6	7	8	1	16	…	…	86	-	22	-	22	-	-	…	1	…	-
2012	강북구	수유2동	…	241	12	215	7	7	-	-	13	…	…	33	-	18	-	18	-	-	…	-	…	-
2012	강북구	수유3동	…	767	34	641	10	50	32	-	8	…	…	53	1	44	-	44	-	-	…	2	…	-
2012	강북구	삼양동	…	226	30	178	12	5	-	1	18	…	…	63	-	48	1	47	-	-	…	-	…	-
2012	강북구	미아동	…	414	34	344	10	8	15	3	11	…	…	30	-	69	-	69	-	-	…	-	…	-
2012	강북구	송중동	…	553	61	456	10	16	7	3	16	…	…	59	-	45	-	45	-	-	…	-	…	-
2012	강북구	송천동	…	481	28	438	8	5	1	1	15	…	…	50	-	37	-	37	-	-	…	-	…	-
2012	강북구	삼각산동	…	154	19	126	8	1	-	-	8	…	…	27	-	78	-	78	-	-	…	-	…	-
2012	강북구	우이동	…	328	19	296	3	8	-	2	14	…	…	14	-	43	-	43	-	-	…	-	…	-
2012	강북구	인수동	…	278	28	236	4	1	7	2	17	…	…	24	-	56	-	56	-	-	…	-	…	-
2012	도봉구	소계	4,703	2,962	338	2,434	86	55	22	27	186	617	53	564	-	451	4	447	-	-	487	13	474	-
2012	도봉구	쌍문1동	247	145	30	109	3	-	-	3	18	32	4	28	-	29	-	29	-	-	23	-	23	-
2012	도봉구	쌍문2동	317	196	24	165	5	2	-	-	10	41	3	38	-	29	1	28	-	-	41	-	41	-
2012	도봉구	쌍문3동	214	138	14	112	5	5	1	1	8	23	1	22	-	11	-	11	-	-	34	1	33	-
