기간	자치구	동	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2016	성북구	성북동	240	161	39	-	27	13	-	-	209	153	21	-	22	13	-	-
2016	성북구	삼선동	526	203	-	-	194	80	-	49	445	195	-	-	134	78	-	38
2016	성북구	동선동	405	157	-	90	158	-	-	-	355	155	-	86	114	-	-	-
2016	성북구	종암동	1,409	326	-	46	715	322	-	-	1,212	292	-	44	587	289	-	-
2016	성북구	석관동	773	155	-	-	392	226	-	-	673	134	-	-	349	190	-	-
2016	강북구	소계	9,017	1,990	74	196	5,537	1,092	27	101	7,948	1,834	62	177	4,891	909	26	49
2016	강북구	번1동	654	72	-	-	463	70	-	49	439	70	-	-	303	62	-	4
2016	강북구	번2동	552	176	-	-	303	73	-	-	504	168	-	-	276	60	-	-
2016	강북구	번3동	457	61	74	-	227	95	-	-	408	58	62	-	202	86	-	-
2016	강북구	수유1동	870	109	-	-	749	12	-	-	821	98	-	-	712	11	-	-
2016	강북구	수유2동	745	82	-	-	568	95	-	-	658	76	-	-	525	57	-	-
2016	강북구	수유3동	517	49	-	49	367	-	-	52	468	42	-	44	337	-	-	45
2016	강북구	삼양동	870	293	-	70	359	148	-	-	795	266	-	64	328	137	-	-
2016	강북구	미아동	426	163	-	-	223	40	-	-	374	153	-	-	194	27	-	-
2016	강북구	송중동	771	226	-	-	475	70	-	-	647	215	-	-	399	33	-	-
2016	강북구	송천동	716	129	-	38	505	44	-	-	554	79	-	37	405	33	-	-
2016	강북구	삼각산동	1,213	237	-	-	546	430	-	-	1,156	229	-	-	539	388	-	-
2016	강북구	우이동	702	140	-	-	535	-	27	-	637	137	-	-	474	-	26	-
2016	강북구	인수동	524	253	-	39	217	15	-	-	487	243	-	32	197	15	-	-
2016	도봉구	소계	10,543	2,034	33	74	5,609	2,560	39	194	9,044	1,844	24	69	4,774	2,182	29	122
2016	도봉구	쌍문1동	632	79	-	-	498	55	-	-	575	79	-	-	442	54	-	-
2016	도봉구	쌍문2동	627	149	-	-	366	112	-	-	472	56	-	-	320	96	-	-
2016	도봉구	쌍문3동	639	99	-	-	471	69	-	-	555	95	-	-	395	65	-	-
2016	도봉구	쌍문4동	363	-	-	-	81	282	-	-	295	-	-	-	79	216	-	-
2016	도봉구	방학1동	982	228	-	47	501	112	-	94	820	214	-	43	397	78	-	88
2016	도봉구	방학2동	920	135	-	-	765	20	-	-	852	130	-	-	703	19	-	-
2016	도봉구	방학3동	847	202	-	-	198	428	19	-	726	196	-	-	156	356	18	-
2016	도봉구	창1동	690	134	-	-	247	309	-	-	613	127	-	-	219	267	-	-
2016	도봉구	창2동	1,120	213	-	-	703	204	-	-	911	171	-	-	558	182	-	-
2016	도봉구	창3동	623	79	33	27	446	38	-	-	571	79	24	26	410	32	-	-
2016	도봉구	창4동	665	223	-	-	131	311	-	-	602	222	-	-	94	286	-	-
2016	도봉구	창5동	713	152	-	-	359	202	-	-	647	148	-	-	331	168	-	-
2016	도봉구	도봉1동	697	110	-	-	509	58	20	-	562	103	-	-	392	56	11	-
2016	도봉구	도봉2동	1,025	231	-	-	334	360	-	100	843	224	-	-	278	307	-	34
2016	노원구	소계	14,436	3,575	188	20	4,693	5,640	30	290	12,748	3,289	171	20	4,024	4,985	30	229
2016	노원구	월계1동	759	184	-	20	359	196	-	-	674	176	-	20	305	173	-	-
2016	노원구	월계2동	568	236	-	-	46	286	-	-	510	221	-	-	41	248	-	-
2016	노원구	월계3동	928	148	-	-	78	702	-	-	844	148	-	-	74	622	-	-
2016	노원구	공릉2동	1,488	393	-	-	539	421	-	135	1,360	377	-	-	503	405	-	75
2016	노원구	하계1동	637	427	-	-	111	99	-	-	582	392	-	-	98	92	-	-
2016	노원구	하계2동	351	99	-	-	59	193	-	-	326	97	-	-	54	175	-	-
2016	노원구	중계본동	367	251	-	-	28	88	-	-	326	217	-	-	25	84	-	-
2016	노원구	중계1동	597	116	-	-	352	129	-	-	531	110	-	-	325	96	-	-
2016	노원구	중계4동	388	71	-	-	161	156	-	-	347	59	-	-	153	135	-	-
