기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	시설수급자	시설수급자	비고
기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	소계	소계	개인단위보장특례	개인단위보장특례	타법령에 의한 특례	타법령에 의한 특례	시설수급자	시설수급자	비고
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	가구	인원	가구	인원	가구	인원	비고
2008	성북구	정릉4동	224	1	357	222	346	…	…	2	2	2	2	-	-	1	9	-
2008	성북구	길음1동	217	-	327	215	325	…	…	2	2	-	-	2	2	-	-	-
2008	성북구	길음2동	316	-	477	311	470	…	…	5	7	1	1	4	6	-	-	-
2008	성북구	월곡1동	364	-	614	359	609	…	…	5	5	1	1	4	4	-	-	-
2008	성북구	월곡2동	264	-	428	263	427	…	…	1	1	1	1	-	-	-	-	-
2008	성북구	장위1동	401	-	773	397	769	…	…	4	4	4	4	-	-	-	-	-
2008	성북구	장위2동	404	-	743	403	742	…	…	1	1	1	1	-	-	-	-	-
2008	성북구	장위3동	400	-	697	397	694	…	…	3	3	3	3	-	-	-	-	-
2008	성북구	성북동	194	2	291	192	278	…	…	2	2	1	1	1	1	2	11	-
2008	성북구	삼선동	281	2	546	280	435	…	…	1	1	-	-	1	1	2	110	-
2008	성북구	동선동	179	-	276	178	275	…	…	1	1	1	1	-	-	-	-	-
2008	성북구	종암동	427	-	683	424	679	…	…	3	4	-	-	3	4	-	-	-
2008	성북구	석관동	449	-	715	438	701	…	…	11	14	4	4	7	10	-	-	-
2008	성북구	기타	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-
2008	강북구	소계	5,674	7	10,092	5,556	9,785	…	…	118	170	41	62	77	108	7	137	-
2008	강북구	번1동	569	-	976	554	961	…	…	15	15	7	7	8	8	-	-	-
2008	강북구	번2동	283	-	404	274	391	…	…	9	13	1	1	8	12	-	-	-
2008	강북구	번3동	443	-	696	440	693	…	…	3	3	2	2	1	1	-	-	-
2008	강북구	수유1동	537	-	837	528	827	…	…	9	10	7	8	2	2	-	-	-
2008	강북구	수유2동	477	-	823	426	742	…	…	51	81	2	7	49	74	-	-	-
2008	강북구	수유3동	275	-	470	272	467	…	…	3	3	3	3	-	-	-	-	-
2008	강북구	삼양동	538	-	1,093	536	1,091	…	…	2	2	2	2	-	-	-	-	-
2008	강북구	미아동	984	-	2,166	973	2,148	…	…	11	18	10	17	1	1	-	-	-
2008	강북구	송중동	355	-	568	347	555	…	…	8	13	4	9	4	4	-	-	-
2008	강북구	송천동	263	-	431	261	428	…	…	2	3	1	1	1	2	-	-	-
2008	강북구	삼각산동	329	-	473	328	472	…	…	1	1	1	1	-	-	-	-	-
2008	강북구	우이동	184	-	279	182	276	…	…	2	3	-	-	2	3	-	-	-
2008	강북구	인수동	437	-	739	435	734	…	…	2	5	1	4	1	1	-	-	-
2008	강북구	기타	-	7	137	-	-	…	…	-	-	-	-	-	-	7	137	-
2008	도봉구	소계	2,965	1	4,859	2,931	4,720	…	…	34	39	17	19	17	20	1	100	-
2008	도봉구	쌍문1동	259	-	442	259	442	…	…	-	-	-	-	-	-	-	-	-
2008	도봉구	쌍문2동	229	-	379	224	373	…	…	5	6	1	1	4	5	-	-	-
2008	도봉구	쌍문3동	162	-	265	161	264	…	…	1	1	-	-	1	1	-	-	-
2008	도봉구	쌍문4동	56	-	81	54	78	…	…	2	3	-	-	2	3	-	-	-
2008	도봉구	방학1동	304	-	498	299	493	…	…	5	5	5	5	-	-	-	-	-
2008	도봉구	방학2동	360	-	587	358	584	…	…	2	3	2	3	-	-	-	-	-
2008	도봉구	방학3동	68	-	93	67	92	…	…	1	1	-	-	1	1	-	-	-
2008	도봉구	창1동	110	-	150	110	150	…	…	-	-	-	-	-	-	-	-	-
2008	도봉구	창2동	228	-	417	226	415	…	…	2	2	-	-	2	2	-	-	-
2008	도봉구	창3동	284	-	466	281	462	…	…	3	4	3	4	-	-	-	-	-
2008	도봉구	창4동	70	-	92	68	89	…	…	2	3	-	-	2	3	-	-	-
2008	도봉구	창5동	103	-	139	101	137	…	…	2	2	2	2	-	-	-	-	-
2008	도봉구	도봉1동	399	-	634	395	630	…	…	4	4	1	1	3	3	-	-	-
2008	도봉구	도봉2동	316	-	499	311	494	…	…	5	5	3	3	2	2	-	-	-
2008	도봉구	기타	17	1	117	17	17	…	…	-	-	-	-	-	-	1	100	한국사회봉사회0입양아동
2008	노원구	소계	11,269	12	22,331	10,748	20,585	…	…	521	891	61	100	460	791	12	855	-
2008	노원구	월계1동	111	-	177	110	176	…	…	1	1	…	…	…	…	-	-	-
2008	노원구	월계2동	1,441	-	2,654	1,370	2,543	…	…	71	111	…	…	…	…	-	-	-
2008	노원구	월계3동	1,200	-	2,213	1,134	2,109	…	…	66	104	…	…	…	…	-	-	-
2008	노원구	공릉2동	314	-	525	274	451	…	…	40	74	…	…	…	…	-	-	-
2008	노원구	하계1동	1,363	2	2,670	1,355	2,552	…	…	8	12	…	…	…	…	2	106	-
2008	노원구	하계2동	401	-	870	392	860	…	…	9	10	…	…	…	…	-	-	-
2008	노원구	중계본동	159	2	357	158	262	…	…	1	1	…	…	…	…	2	94	-
2008	노원구	중계1동	277	1	589	276	561	…	…	1	2	…	…	…	…	1	26	-
2008	노원구	중계4동	622	-	1,199	617	1,190	…	…	5	9	…	…	…	…	-	-	-
2008	노원구	상계1동	349	5	872	308	514	…	…	41	63	…	…	…	…	5	295	-
2008	노원구	상계2동	277	-	445	270	434	…	…	7	11	…	…	…	…	-	-	-
2008	노원구	상계5동	372	-	777	360	754	…	…	12	23	…	…	…	…	-	-	-
2008	노원구	상계8동	44	-	67	44	67	…	…	-	-	…	…	…	…	-	-	-
2008	노원구	상계9동	84	-	166	81	159	…	…	3	7	…	…	…	…	-	-	-
2008	노원구	상계10동	64	-	121	64	121	…	…	-	-	…	…	…	…	-	-	-
2008	노원구	공릉1.3동	1,033	-	1,885	1,026	1,875	…	…	7	10	…	…	…	…	-	-	-
2008	노원구	상계3.4동	979	-	1,607	960	1,575	…	…	19	32	…	…	…	…	-	-	-
2008	노원구	상계6.7동	256	1	710	254	628	…	…	2	3	…	…	…	…	1	79	-
2008	노원구	중계2.3동	1,923	1	4,427	1,695	3,754	…	…	228	418	…	…	…	…	1	255	-
2008	노원구	기타	-	-	-	-	-	…	…	-	-	…	…	…	…	-	-	-
2008	은평구	소계	5,364	11	11,958	5,208	8,681	…	…	156	261	55	95	101	166	11	3,016	-
2008	은평구	녹번동	409	-	651	399	637	…	…	10	14	4	6	6	8	-	-	-
2008	은평구	불광1동	372	-	570	368	563	…	…	4	7	-	-	4	7	-	-	-
2008	은평구	불광2동	471	-	737	460	711	…	…	11	26	5	15	6	11	-	-	-
2008	은평구	갈현1동	417	-	741	404	717	…	…	13	24	7	13	6	11	-	-	-
2008	은평구	갈현2동	280	-	526	270	511	…	…	10	15	2	3	8	12	-	-	-
2008	은평구	구산동	271	-	486	262	467	…	…	9	19	1	1	8	18	-	-	-
2008	은평구	대조동	435	-	707	425	691	…	…	10	16	6	6	4	10	-	-	-
2008	은평구	응암1동	354	-	552	345	537	…	…	9	15	1	1	8	14	-	-	-
2008	은평구	응암2동	345	-	567	340	556	…	…	5	11	-	-	5	11	-	-	-
2008	은평구	응암3동	466	-	774	449	747	…	…	17	27	4	7	13	20	-	-	-
2008	은평구	역촌동	441	-	758	415	718	…	…	26	40	8	15	18	25	-	-	-
2008	은평구	신사1동	192	-	311	181	296	…	…	11	15	7	10	4	5	-	-	-
2008	은평구	신사2동	215	-	379	213	375	…	…	2	4	1	3	1	1	-	-	-
2008	은평구	증산동	151	-	284	148	281	…	…	3	3	3	3	-	-	-	-	-
2008	은평구	수색동	382	-	666	369	644	…	…	13	22	6	12	7	10	-	-	-
2008	은평구	진관동	64	-	100	61	97	…	…	3	3	-	-	3	3	-	-	-
2008	은평구	기타	99	11	3,149	99	133	…	…	-	-	-	-	-	-	11	3,016	입양아동포함
2008	서대문구	소계	3,754	4	5,804	3,707	5,525	…	…	47	58	31	41	16	17	4	221	-
2008	서대문구	천연동	351	2	591	347	458	…	…	4	5	2	3	2	2	2	128	-
2008	서대문구	홍제1동	293	1	477	292	420	…	…	1	1	-	-	1	1	1	56	-
2008	서대문구	홍제3동	236	-	331	234	329	…	…	2	2	1	1	1	1	-	-	-
2008	서대문구	홍제2동	178	-	272	175	268	…	…	3	4	1	1	2	3	-	-	-
2008	서대문구	홍은1동	354	-	534	350	530	…	…	4	4	4	4	-	-	-	-	-
2008	서대문구	홍은2동	235	-	356	232	353	…	…	3	3	1	1	2	2	-	-	-
2008	서대문구	남가좌1동	111	-	137	111	137	…	…	-	-	-	-	-	-	-	-	-
2008	서대문구	남가좌2동	486	-	893	475	874	…	…	11	19	9	17	2	2	-	-	-
2008	서대문구	북가좌1동	57	-	100	57	100	…	…	-	-	-	-	-	-	-	-	-
2008	서대문구	북가좌2동	309	-	543	299	533	…	…	10	10	5	5	5	5	-	-	-
2008	서대문구	충현동	267	-	366	263	362	…	…	4	4	3	3	1	1	-	-	-
2008	서대문구	북아현동	189	-	279	187	277	…	…	2	2	2	2	-	-	-	-	-
2008	서대문구	신촌동	139	1	210	138	172	…	…	1	1	1	1	-	-	1	37	-
2008	서대문구	연희동	316	-	482	314	479	…	…	2	3	2	3	-	-	-	-	-
2008	서대문구	기타	233	-	233	233	233	…	…	-	-	-	-	-	-	-	-	미상
2008	마포구	소계	3,656	7	6,265	3,523	5,883	…	…	133	208	60	93	73	115	7	174	-
2008	마포구	용강동	130	-	187	126	178	…	…	4	9	1	3	3	6	-	-	-
2008	마포구	대흥동	277	-	393	263	375	…	…	14	18	6	7	8	11	-	-	-
2008	마포구	염리동	212	-	308	211	307	…	…	1	1	-	-	1	1	-	-	-
2008	마포구	신수동	94	-	125	90	120	…	…	4	5	4	5	-	-	-	-	-
2008	마포구	서교동	148	-	227	145	223	…	…	3	4	1	1	2	3	-	-	-
2008	마포구	합정동	181	-	310	173	296	…	…	8	14	5	8	3	6	-	-	-
2008	마포구	망원1동	231	-	378	219	359	…	…	12	19	7	12	5	7	-	-	-
2008	마포구	망원2동	152	-	245	144	232	…	…	8	13	1	1	7	12	-	-	-
2008	마포구	연남동	135	-	182	127	171	…	…	8	11	5	8	3	3	-	-	-
2008	마포구	성산1동	145	-	241	140	229	…	…	5	12	5	12	-	-	-	-	-
2008	마포구	성산2동	728	-	1,578	714	1,552	…	…	14	26	9	16	5	10	-	-	-
2008	마포구	상암동	162	-	327	145	301	…	…	17	26	8	9	9	17	-	-	-
2008	마포구	도화동	209	-	319	206	315	…	…	3	4	1	1	2	3	-	-	-
2008	마포구	서강동	168	-	238	162	229	…	…	6	9	4	7	2	2	-	-	-
2008	마포구	공덕동	481	-	747	458	713	…	…	23	34	2	2	21	32	-	-	-
2008	마포구	아현동	203	-	286	200	283	…	…	3	3	1	1	2	2	-	-	-
2008	마포구	기타	-	7	174	-	-	…	…	-	-	-	-	-	-	7	174	-
2008	양천구	소계	4,396	4	7,660	3,970	6,563	…	…	426	694	78	97	348	597	4	403	-
2008	양천구	목1동	108	-	174	102	168	…	…	6	6	5	5	1	1	-	-	-
2008	양천구	목2동	199	-	299	193	293	…	…	6	6	1	1	5	5	-	-	-
2008	양천구	목3동	265	-	428	239	399	…	…	26	29	23	23	3	6	-	-	-
2008	양천구	목4동	181	-	316	180	314	…	…	1	2	-	-	1	2	-	-	-
2008	양천구	목5동	15	-	17	15	17	…	…	-	-	-	-	-	-	-	-	-
2008	양천구	신월1동	388	-	637	384	631	…	…	4	6	4	6	-	-	-	-	-
2008	양천구	신월2동	188	-	311	184	306	…	…	4	5	4	5	-	-	-	-	-
2008	양천구	신월3동	332	-	575	325	568	…	…	7	7	7	7	-	-	-	-	-
2008	양천구	신월4동	120	-	184	115	179	…	…	5	5	1	1	4	4	-	-	-
2008	양천구	신월5동	168	-	293	166	290	…	…	2	3	1	2	1	1	-	-	-
2008	양천구	신월6동	197	-	350	195	345	…	…	2	5	-	-	2	5	-	-	-
2008	양천구	신월7동	186	-	292	173	271	…	…	13	21	3	3	10	18	-	-	-
2008	양천구	신정1동	204	-	340	198	332	…	…	6	8	6	8	-	-	-	-	-
2008	양천구	신정2동	226	-	368	203	333	…	…	23	35	3	9	20	26	-	-	-
2008	양천구	신정3동	501	-	829	348	526	…	…	153	303	9	11	144	292	-	-	-
2008	양천구	신정4동	357	-	589	354	585	…	…	3	4	-	-	3	4	-	-	-
2008	양천구	신정6동	1	-	1	1	1	…	…	-	-	-	-	-	-	-	-	-
2008	양천구	신정7동	646	-	1,140	481	891	…	…	165	249	11	16	154	233	-	-	-
2008	양천구	기타	114	4	517	114	114	…	…	-	-	-	-	-	-	4	403	-
2008	강서구	소계	10,029	8	19,067	9,589	17,915	…	…	440	690	164	244	276	446	8	462	-
2008	강서구	염창동	69	-	96	66	93	…	…	3	3	3	3	-	-	-	-	-
2008	강서구	등촌1동	101	-	151	98	148	…	…	3	3	3	3	-	-	-	-	-
2008	강서구	등촌2동	98	-	162	97	161	…	…	1	1	-	-	1	1	-	-	-
2008	강서구	등촌3동	2,999	-	6,329	2,893	6,168	…	…	106	161	44	71	62	90	-	-	-
2008	강서구	화곡본동	380	-	645	376	641	…	…	4	4	4	4	-	-	-	-	-
2008	강서구	화곡2동	175	-	276	166	267	…	…	9	9	9	9	-	-	-	-	-
2008	강서구	화곡3동	118	-	222	113	212	…	…	5	10	5	10	-	-	-	-	-
2008	강서구	화곡4동	252	-	427	237	409	…	…	15	18	12	14	3	4	-	-	-
2008	강서구	화곡6동	165	-	268	162	265	…	…	3	3	3	3	-	-	-	-	-
2008	강서구	화곡8동	165	-	256	162	253	…	…	3	3	3	3	-	-	-	-	-
2008	강서구	가양1동	42	-	68	42	68	…	…	-	-	-	-	-	-	-	-	-
2008	강서구	가양2동	1,424	-	2,689	1,394	2,639	…	…	30	50	29	49	1	1	-	-	-
2008	강서구	가양3동	1,084	-	2,056	930	1,797	…	…	154	259	13	18	141	241	-	-	-
2008	강서구	발산1동	211	-	449	199	429	…	…	12	20	4	5	8	15	-	-	-
2008	강서구	공항동	235	-	338	230	333	…	…	5	5	3	3	2	2	-	-	-
2008	강서구	방화1동	162	-	249	160	244	…	…	2	5	2	5	-	-	-	-	-
