기간	자치구	동	사업체수	종사자수	평균종사자	사업체밀도	종사자밀도(A)	인구밀도(B)	종사자밀도비(A/B*100)
2016	관악구	대학동	1,701	12,609	7.41	205	1,519	2,941	51.66
2016	관악구	은천동	1,596	7,330	4.59	2,046	9,397	46,296	20.3
2016	관악구	성현동	880	2,964	3.37	1,294	4,359	50,022	8.71
2016	관악구	청룡동	1,866	11,207	6.01	1,581	9,497	25,069	37.88
2016	관악구	난곡동	959	2,411	2.51	999	2,511	31,811	7.89
2016	관악구	삼성동	1,062	2,372	2.23	399	892	10,326	8.64
2016	관악구	미성동	1,625	6,027	3.71	1,178	4,367	24,351	17.94
2016	서초구	소계	46,404	427,227	9.21	988	9,093	9,610	94.63
2016	서초구	서초1동	3,626	29,810	8.22	2,554	20,993	15,062	139.38
2016	서초구	서초2동	4,406	48,060	10.91	3,553	38,758	17,128	226.28
2016	서초구	서초3동	7,466	74,335	9.96	2,548	25,370	10,281	246.77
2016	서초구	서초4동	2,916	27,163	9.32	3,314	30,867	32,976	93.6
2016	서초구	잠원동	2,273	16,956	7.46	1,291	9,634	19,906	48.4
2016	서초구	반포본동	677	2,727	4.03	670	2,700	12,833	21.04
2016	서초구	반포1동	1,517	8,836	5.82	1,517	8,836	30,431	29.04
2016	서초구	반포2동	452	2,841	6.29	335	2,104	17,401	12.09
2016	서초구	반포3동	922	7,073	7.67	720	5,526	15,046	36.73
2016	서초구	반포4동	3,594	32,423	9.02	2,513	22,673	14,378	157.69
2016	서초구	방배본동	1,670	10,580	6.34	2,493	15,791	32,770	48.19
2016	서초구	방배1동	1,767	14,930	8.45	2,524	21,329	24,574	86.79
2016	서초구	방배2동	1,957	17,422	8.9	1,014	9,027	14,370	62.82
2016	서초구	방배3동	1,222	13,934	11.4	509	5,806	10,023	57.93
2016	서초구	방배4동	2,384	14,073	5.9	2,433	14,360	27,038	53.11
2016	서초구	양재1동	3,631	46,647	12.85	630	8,098	8,289	97.7
2016	서초구	양재2동	5,257	50,006	9.51	694	6,597	3,139	210.14
2016	서초구	내곡동	667	9,411	14.11	53	742	1,497	49.57
2016	강남구	소계	72,281	689,623	9.54	1,830	17,458	14,484	120.53
2016	강남구	신사동	4,503	27,741	6.16	2,383	14,678	9,708	151.19
2016	강남구	논현1동	5,788	44,157	7.63	4,630	35,326	19,894	177.57
2016	강남구	논현2동	5,656	60,642	10.72	3,848	41,253	15,401	267.87
2016	강남구	삼성1동	4,330	66,958	15.46	2,232	34,514	7,916	436.01
2016	강남구	삼성2동	3,734	38,887	10.41	3,011	31,360	24,999	125.45
2016	강남구	대치1동	1,066	7,154	6.71	1,349	9,056	31,435	28.81
2016	강남구	대치4동	3,716	27,829	7.49	5,090	38,122	29,167	130.7
2016	강남구	역삼1동	15,079	147,157	9.76	6,417	62,620	15,449	405.34
2016	강남구	역삼2동	3,416	38,937	11.4	2,970	33,858	32,215	105.1
2016	강남구	도곡1동	1,614	17,135	10.62	1,582	16,799	22,605	74.32
2016	강남구	도곡2동	1,926	22,629	11.75	1,888	22,185	34,249	64.78
2016	강남구	개포1동	503	1,616	3.21	396	1,272	16,663	7.64
2016	강남구	개포4동	2,221	12,024	5.41	1,491	8,070	12,450	64.82
2016	강남구	일원본동	564	8,402	14.9	219	3,257	9,730	33.47
2016	강남구	일원1동	1,870	7,340	3.93	2,033	7,978	18,777	42.49
2016	강남구	일원2동	636	10,125	15.92	513	8,165	13,323	61.29
2016	강남구	수서동	1,584	15,857	10.01	1,108	11,089	11,684	94.91
2016	강남구	세곡동	950	5,285	5.56	149	831	6,972	11.92
2016	강남구	압구정동	4,314	29,474	6.83	1,705	11,650	11,209	103.93
2016	강남구	청담동	4,497	39,652	8.82	1,930	17,018	13,143	129.48
2016	강남구	대치2동	3,468	57,241	16.51	1,734	28,621	21,034	136.07
2016	강남구	개포2동	846	3,381	4	337	1,347	8,664	15.55
2016	송파구	소계	45,555	312,661	6.86	1,345	9,229	19,629	47.02
2016	송파구	풍납1동	770	2,443	3.17	1,000	3,173	23,421	13.55
2016	송파구	풍납2동	1,182	15,395	13.02	743	9,682	16,253	59.57
2016	송파구	거여1동	881	3,041	3.45	1,727	5,963	28,969	20.58
2016	송파구	거여2동	951	4,152	4.37	1,794	7,834	36,998	21.17
2016	송파구	마천1동	948	2,165	2.28	1,634	3,733	39,503	9.45
2016	송파구	마천2동	1,373	4,414	3.21	1,543	4,960	23,739	20.89
2016	송파구	방이1동	1,326	12,889	9.72	2,652	25,778	32,716	78.79
2016	송파구	방이2동	2,969	22,135	7.46	3,711	27,669	31,808	86.99
2016	송파구	오륜동	516	4,514	8.75	163	1,424	6,219	22.9
2016	송파구	오금동	2,427	16,661	6.86	1,471	10,098	22,466	44.95
2016	송파구	송파1동	2,487	13,710	5.51	3,148	17,354	33,819	51.32
2016	송파구	송파2동	936	6,088	6.5	1,766	11,487	41,460	27.71
2016	송파구	석촌동	2,663	13,767	5.17	2,803	14,492	37,284	38.87
2016	송파구	삼전동	2,050	14,868	7.25	2,158	15,651	35,633	43.92
2016	송파구	가락본동	3,598	28,777	8	3,184	25,466	25,128	101.35
2016	송파구	가락1동	2,865	10,639	3.71	2,138	7,940	685	###.##
2016	송파구	가락2동	1,909	10,539	5.52	1,989	10,978	36,525	30.06
2016	송파구	문정1동	1,381	8,917	6.46	2,466	15,923	38,679	41.17
2016	송파구	문정2동	3,823	24,211	6.33	1,738	11,005	10,929	100.7
2016	송파구	장지동	1,426	10,324	7.24	1,041	7,536	26,156	28.81
2016	송파구	위례동	329	2,815	8.56	129	1,104	6,799	16.24
2016	송파구	잠실본동	3,149	22,442	7.13	3,350	23,874	32,114	74.34
2016	송파구	잠실4동	503	2,071	4.12	322	1,328	19,573	6.78
2016	송파구	잠실6동	2,493	39,676	15.91	894	14,221	6,340	224.3
2016	송파구	잠실7동	199	1,194	6	332	1,990	17,527	11.35
2016	송파구	잠실2동	821	4,616	5.62	377	2,117	16,905	12.53
2016	송파구	잠실3동	1,580	10,198	6.45	1,060	6,844	24,877	27.51
2016	강동구	소계	30,268	141,100	4.66	1,231	5,738	18,238	31.46
2016	강동구	강일동	946	15,030	15.89	338	5,368	12,270	43.75
2016	강동구	상일동	1,018	5,201	5.11	384	1,963	4,813	40.78
2016	강동구	명일1동	1,681	6,083	3.62	2,756	9,972	37,764	26.41
2016	강동구	명일2동	1,151	4,698	4.08	1,187	4,843	19,075	25.39
2016	강동구	고덕1동	610	1,993	3.27	353	1,152	9,432	12.21
2016	강동구	고덕2동	1,786	3,245	1.82	889	1,614	4,315	37.41
2016	강동구	암사2동	864	5,139	5.95	732	4,355	13,137	33.15
2016	강동구	암사3동	609	2,009	3.3	243	800	7,686	10.41
2016	강동구	천호1동	1,529	5,643	3.69	2,154	7,948	41,627	19.09
2016	강동구	천호3동	1,863	7,584	4.07	2,358	9,600	32,730	29.33
2016	강동구	성내1동	2,105	18,175	8.63	3,629	31,336	36,193	86.58
2016	강동구	성내2동	1,978	7,625	3.85	2,952	11,381	38,775	29.35
2016	강동구	성내3동	2,461	9,455	3.84	3,466	13,317	34,687	38.39
2016	강동구	둔촌1동	408	1,371	3.36	443	1,490	20,342	7.33
2016	강동구	둔촌2동	1,637	9,468	5.78	1,670	9,661	29,347	32.92
2016	강동구	암사1동	1,927	5,510	2.86	1,889	5,402	37,243	14.5
2016	강동구	천호2동	3,707	14,190	3.83	2,361	9,038	23,010	39.28
2016	강동구	길동	3,988	18,681	4.68	1,838	8,609	23,702	36.32
