기간	자치구	동	사업체수	종사자수	평균종사자	사업체밀도	종사자밀도(A)	인구밀도(B)	종사자밀도비(A/B*100)
2016	광진구	자양1동	1,736	8,527	4.91	3,046	14,960	42,019	35.6
2016	광진구	자양2동	1,524	7,659	5.03	907	4,559	16,388	27.82
2016	광진구	자양3동	1,356	6,395	4.72	1,130	5,329	25,463	20.93
2016	광진구	자양4동	2,058	6,388	3.1	1,774	5,507	23,476	23.46
2016	동대문구	소계	32,762	144,172	4.4	2,305	10,142	26,050	38.93
2016	동대문구	회기동	988	9,709	9.83	1,300	12,775	16,562	77.14
2016	동대문구	휘경1동	1,027	4,606	4.48	1,630	7,311	23,752	30.78
2016	동대문구	휘경2동	1,197	4,977	4.16	1,140	4,740	24,254	19.54
2016	동대문구	청량리동	1,683	8,132	4.83	1,403	6,777	19,633	34.52
2016	동대문구	용신동	5,820	32,819	5.64	3,615	20,384	20,798	98.01
2016	동대문구	제기동	4,739	11,977	2.53	4,016	10,150	24,196	41.95
2016	동대문구	전농1동	2,178	8,303	3.81	1,800	6,862	25,437	26.98
2016	동대문구	전농2동	875	4,824	5.51	1,017	5,609	24,178	23.2
2016	동대문구	답십리1동	2,242	10,402	4.64	2,838	13,167	31,451	41.87
2016	동대문구	답십리2동	2,055	6,059	2.95	2,418	7,128	35,636	20
2016	동대문구	장안1동	4,539	21,790	4.8	3,631	17,432	31,050	56.14
2016	동대문구	장안2동	3,204	11,468	3.58	2,939	10,521	28,845	36.47
2016	동대문구	이문1동	1,486	6,849	4.61	1,429	6,586	30,813	21.37
2016	동대문구	이문2동	729	2,257	3.1	1,057	3,271	32,887	9.95
2016	중랑구	소계	27,915	101,190	3.62	1,509	5,471	22,474	24.34
2016	중랑구	면목2동	2,053	6,620	3.22	2,812	9,068	37,567	24.14
2016	중랑구	면목4동	1,102	3,702	3.36	1,002	3,365	19,961	16.86
2016	중랑구	면목5동	873	2,976	3.41	1,364	4,650	16,913	27.49
2016	중랑구	면목7동	1,512	4,175	2.76	1,738	4,799	26,847	17.87
2016	중랑구	상봉1동	1,124	6,360	5.66	1,322	7,482	30,767	24.32
2016	중랑구	상봉2동	2,131	9,451	4.44	3,134	13,899	28,015	49.61
2016	중랑구	중화1동	1,061	3,715	3.5	1,560	5,463	31,301	17.45
2016	중랑구	중화2동	2,126	7,516	3.54	2,169	7,669	29,161	26.3
2016	중랑구	묵1동	1,471	5,369	3.65	1,226	4,474	28,763	15.56
2016	중랑구	묵2동	1,815	4,712	2.6	2,593	6,731	28,929	23.27
2016	중랑구	망우3동	1,107	3,728	3.37	1,118	3,766	18,930	19.89
2016	중랑구	신내1동	1,945	9,956	5.12	769	3,935	16,610	23.69
2016	중랑구	신내2동	1,136	6,165	5.43	1,147	6,227	23,748	26.22
2016	중랑구	면목본동	2,498	7,459	2.99	2,473	7,385	36,474	20.25
2016	중랑구	면목3.8동	2,090	7,040	3.37	1,251	4,216	16,849	25.02
2016	중랑구	망우본동	3,871	12,246	3.16	1,344	4,252	11,470	37.07
2016	성북구	소계	24,560	111,442	4.54	999	4,534	18,781	24.14
