기간	자치구	동	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황
기간	자치구	동	합계	개	개	개	개	개	고양이	고양이	고양이	고양이	고양이	기타	기타	기타	기타	기타
기간	자치구	동	합계	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증
2012	광진구	군자동	31	19	3	5	10	1	12	-	3	9	-	-	-	-	-	-
2012	광진구	중곡1동	35	21	3	7	10	1	14	1	5	8	-	-	-	-	-	-
2012	광진구	중곡2동	43	26	5	4	15	2	17	-	6	10	1	-	-	-	-	-
2012	광진구	중곡3동	38	22	6	2	8	6	15	-	3	12	-	1	-	-	-	1
2012	광진구	중곡4동	29	12	1	4	7	-	16	-	9	7	-	1	-	-	1	-
2012	광진구	능동	37	17	3	6	5	3	20	-	10	9	1	-	-	-	-	-
2012	광진구	구의1동	25	16	5	2	7	2	9	1	4	4	-	-	-	-	-	-
2012	광진구	구의2동	37	23	9	5	9	-	13	-	2	10	1	1	-	-	1	-
2012	광진구	구의3동	29	17	5	3	8	1	11	-	4	6	1	1	-	-	1	-
2012	광진구	광장동	29	20	7	4	9	-	9	-	1	8	-	-	-	-	-	-
2012	광진구	자양1동	44	24	4	7	11	2	19	-	12	7	-	1	-	-	1	-
2012	광진구	자양2동	40	18	4	6	7	1	21	-	10	11	-	1	-	-	1	-
2012	광진구	자양3동	44	26	6	4	13	3	16	-	6	9	1	2	-	1	1	-
2012	광진구	자양4동	46	22	9	3	10	-	24	-	17	7	-	-	-	-	-	-
2012	동대문구	소계	818	341	56	76	205	4	452	3	75	368	6	25	-	9	16	-
2012	동대문구	회기동	48	18	2	6	10	-	27	-	7	20	-	3	-	3	-	-
2012	동대문구	휘경1동	61	20	1	4	15	-	30	-	3	26	1	11	-	-	11	-
2012	동대문구	휘경2동	52	22	3	2	17	-	30	-	2	28	-	-	-	-	-	-
2012	동대문구	청량리동	51	18	2	3	13	-	33	-	6	26	1	-	-	-	-	-
2012	동대문구	용신동	64	26	2	11	12	1	34	1	8	24	1	4	-	2	2	-
2012	동대문구	제기동	59	23	2	8	13	-	33	1	5	27	-	3	-	1	2	-
2012	동대문구	전농1동	63	32	7	8	16	1	30	-	4	26	-	1	-	-	1	-
2012	동대문구	전농2동	64	31	10	6	15	-	33	-	3	29	1	-	-	-	-	-
2012	동대문구	답십리1동	53	22	5	4	13	-	30	-	5	25	-	1	-	1	-	-
2012	동대문구	답십리2동	47	18	3	3	12	-	29	-	3	26	-	-	-	-	-	-
2012	동대문구	장안1동	71	32	6	7	18	1	39	-	10	28	1	-	-	-	-	-
2012	동대문구	장안2동	66	28	4	7	17	-	38	-	9	29	-	-	-	-	-	-
2012	동대문구	이문1동	60	25	4	4	16	1	34	-	5	28	1	1	-	1	-	-
2012	동대문구	이문2동	59	26	5	3	18	-	32	1	5	26	-	1	-	1	-	-
2012	중랑구	소계	513	392	74	72	230	16	109	-	70	28	11	12	-	6	6	-
2012	중랑구	면목2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중랑구	면목4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중랑구	면목5동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중랑구	면목7동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중랑구	상봉1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중랑구	상봉2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중랑구	중화1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중랑구	중화2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중랑구	묵1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중랑구	묵2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중랑구	망우3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중랑구	신내1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중랑구	신내2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중랑구	면목본동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중랑구	면목3.8동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	중랑구	망우본동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	성북구	소계	569	349	66	49	218	16	198	3	11	182	2	22	-	10	11	1
2012	성북구	돈암1동	5	5	1	1	3	-	-	-	-	-	-	-	-	-	-	-
2012	성북구	돈암2동	15	10	3	-	4	3	4	1	-	3	-	1	-	-	1	-
2012	성북구	안암동	28	15	3	4	8	-	12	-	1	11	-	1	-	1	-	-
2012	성북구	보문동	17	9	4	3	2	-	7	-	-	7	-	1	-	-	1	-
2012	성북구	정릉1동	27	20	3	3	13	1	7	-	1	6	-	-	-	-	-	-
2012	성북구	정릉2동	29	18	2	2	12	2	9	-	1	7	1	2	-	-	2	-
2012	성북구	정릉3동	27	17	3	1	11	2	9	-	-	9	-	1	-	1	-	-
2012	성북구	정릉4동	23	16	1	1	13	1	5	-	-	5	-	2	-	2	-	-
2012	성북구	길음1동	22	14	2	2	9	1	8	-	-	8	-	-	-	-	-	-
2012	성북구	길음2동	32	19	3	4	12	-	13	1	-	12	-	-	-	-	-	-
2012	성북구	월곡1동	22	13	3	2	6	2	8	-	-	8	-	1	-	-	1	-
2012	성북구	월곡2동	34	20	2	-	15	3	14	-	-	14	-	-	-	-	-	-
2012	성북구	장위1동	32	21	5	5	11	-	10	1	-	9	-	1	-	-	1	-
2012	성북구	장위2동	30	20	5	4	11	-	10	-	1	9	-	-	-	-	-	-
2012	성북구	장위3동	31	20	3	3	14	-	11	-	1	10	-	-	-	-	-	-
2012	성북구	성북동	25	14	1	4	9	-	11	-	1	10	-	-	-	-	-	-
2012	성북구	삼선동	39	27	6	4	17	-	10	-	1	9	-	2	-	1	1	-
2012	성북구	동선동	30	13	2	1	10	-	17	-	-	16	1	-	-	-	-	-
2012	성북구	종암동	42	26	6	3	17	-	15	-	1	14	-	1	-	1	-	-
2012	성북구	석관동	59	32	8	2	21	1	18	-	3	15	-	9	-	4	4	1
2012	강북구	소계	581	365	56	69	225	15	199	1	6	184	8	17	1	7	9	-
2012	강북구	번1동	37	25	6	6	13	-	10	-	1	9	-	2	-	2	-	-
2012	강북구	번2동	26	14	1	1	12	-	11	-	-	10	1	1	-	-	1	-
2012	강북구	번3동	34	25	5	6	14	-	9	-	-	9	-	-	-	-	-	-
2012	강북구	수유1동	58	41	6	9	25	1	14	-	1	13	-	3	-	-	3	-
2012	강북구	수유2동	32	17	2	4	11	-	15	-	-	15	-	-	-	-	-	-
2012	강북구	수유3동	58	34	2	10	19	3	20	-	-	19	1	4	1	2	1	-
2012	강북구	삼양동	37	27	4	4	18	1	10	-	-	9	1	-	-	-	-	-
2012	강북구	미아동	53	46	9	7	25	5	7	-	-	7	-	-	-	-	-	-
2012	강북구	송중동	48	25	2	4	18	1	23	1	-	20	2	-	-	-	-	-
2012	강북구	송천동	53	24	1	3	19	1	24	-	3	20	1	5	-	2	3	-
2012	강북구	삼각산동	26	13	6	-	7	-	13	-	-	13	-	-	-	-	-	-
2012	강북구	우이동	74	41	6	8	25	2	31	-	1	29	1	2	-	1	1	-
2012	강북구	인수동	45	33	6	7	19	1	12	-	-	11	1	-	-	-	-	-
2012	도봉구	소계	374	258	56	53	148	1	110	5	17	88	-	6	-	3	3	-
2012	도봉구	쌍문1동	25	21	2	5	14	-	4	-	2	2	-	-	-	-	-	-
2012	도봉구	쌍문2동	26	15	5	1	9	-	10	-	1	9	-	1	-	-	1	-
2012	도봉구	쌍문3동	15	12	3	3	6	-	3	-	-	3	-	-	-	-	-	-
2012	도봉구	쌍문4동	7	5	1	-	4	-	2	-	1	1	-	-	-	-	-	-
2012	도봉구	방학1동	96	59	12	18	28	1	35	4	4	27	-	2	-	2	-	-
2012	도봉구	방학2동	30	16	1	5	10	-	14	-	2	12	-	-	-	-	-	-
2012	도봉구	방학3동	23	21	7	3	11	-	2	-	1	1	-	-	-	-	-	-
2012	도봉구	창1동	23	14	5	1	8	-	8	-	-	8	-	1	-	1	-	-
2012	도봉구	창2동	18	16	2	3	11	-	1	-	1	-	-	1	-	-	1	-
2012	도봉구	창3동	24	17	1	1	15	-	6	-	1	5	-	1	-	-	1	-
2012	도봉구	창4동	9	4	1	-	3	-	5	-	1	4	-	-	-	-	-	-
2012	도봉구	창5동	22	14	6	2	6	-	8	1	1	6	-	-	-	-	-	-
2012	도봉구	도봉1동	32	27	4	9	14	-	5	-	1	4	-	-	-	-	-	-
2012	도봉구	도봉2동	24	17	6	2	9	-	7	-	1	6	-	-	-	-	-	-
2012	노원구	소계	356	265	59	46	153	7	83	1	8	74	-	8	-	1	6	1
2012	노원구	월계1동	22	16	4	3	7	2	6	-	1	5	-	-	-	-	-	-
2012	노원구	월계2동	25	15	3	5	7	-	8	-	2	6	-	2	-	-	2	-
2012	노원구	월계3동	13	11	2	3	6	-	2	-	-	2	-	-	-	-	-	-
2012	노원구	공릉2동	22	17	4	3	10	-	4	-	-	4	-	1	-	1	-	-
2012	노원구	하계1동	18	15	5	2	8	-	3	-	-	3	-	-	-	-	-	-
2012	노원구	하계2동	13	8	2	2	4	-	5	-	-	5	-	-	-	-	-	-
2012	노원구	중계본동	21	17	3	4	8	2	4	-	-	4	-	-	-	-	-	-
2012	노원구	중계1동	16	14	3	2	9	-	2	-	-	2	-	-	-	-	-	-
2012	노원구	중계4동	13	11	2	1	8	-	2	-	-	2	-	-	-	-	-	-
2012	노원구	상계1동	30	19	5	2	12	-	11	-	-	11	-	-	-	-	-	-
2012	노원구	상계2동	14	12	4	3	5	-	1	-	-	1	-	1	-	-	-	1
2012	노원구	상계5동	23	17	6	2	8	1	5	-	1	4	-	1	-	-	1	-
2012	노원구	상계8동	13	12	3	1	8	-	1	-	-	1	-	-	-	-	-	-
2012	노원구	상계9동	11	9	2	1	5	1	2	-	-	2	-	-	-	-	-	-
2012	노원구	상계10동	18	14	1	4	9	-	4	-	-	4	-	-	-	-	-	-
2012	노원구	상계3.4동	29	21	4	2	15	-	8	1	-	7	-	-	-	-	-	-
2012	노원구	상계6.7동	13	7	1	1	4	1	5	-	2	3	-	1	-	-	1	-
2012	노원구	중계2.3동	19	14	4	2	8	-	4	-	2	2	-	1	-	-	1	-
2012	노원구	공릉1동	23	16	1	3	12	-	6	-	-	6	-	1	-	-	1	-
2012	은평구	소계	529	406	91	53	262	-	111	1	6	104	-	12	-	10	2	-
2012	은평구	녹번동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	불광1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	갈현1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	갈현2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	구산동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	대조동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	응암1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	응암2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	신사1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	신사2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	증산동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	수색동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	진관동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	불광2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	응암3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	역촌동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	소계	455	258	47	99	98	14	189	3	43	139	4	8	1	2	4	1
2012	서대문구	천연동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	홍제1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
