기간	자치구	행정동	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업
기간	자치구	행정동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
기간	자치구	행정동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
2016	서대문구	홍은2동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	서대문구	남가좌2동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	서대문구	북가좌1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	서대문구	북가좌2동	7	123	2,879	10,000	9,947	…	…	5,195	4,805	616	7	123	2,879	10,000	9,947	…	…	5,195	4,805	616
2016	서대문구	충현동	4	74	2,330	9,946	9,936	…	…	6,128	3,818	402	4	74	2,330	9,946	9,936	…	…	6,128	3,818	402
2016	서대문구	북아현동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	서대문구	신촌동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	서대문구	연희동	5	90	3,330	24,293	24,593	…	…	16,381	7,912	1,466	5	90	3,330	24,293	24,593	…	…	16,381	7,912	1,466
2016	마포구	소계	59	1,650	53,805	385,720	389,482	49,750	45,988	227,824	157,896	59,550	59	1,650	53,805	385,720	389,482	49,750	45,988	227,824	157,896	59,550
2016	마포구	용강동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	마포구	대흥동	3	47	681	3,464	3,376	…	…	1,329	2,135	1,713	3	47	681	3,464	3,376	…	…	1,329	2,135	1,713
2016	마포구	염리동	4	63	1,449	11,856	11,811	…	…	7,513	4,343	1,834	4	63	1,449	11,856	11,811	…	…	7,513	4,343	1,834
2016	마포구	신수동	3	136	2,938	8,532	8,532	…	…	2,831	5,701	178	3	136	2,938	8,532	8,532	…	…	2,831	5,701	178
2016	마포구	서교동	11	569	20,503	148,282	152,263	…	…	94,000	54,282	12,648	11	569	20,503	148,282	152,263	…	…	94,000	54,282	12,648
2016	마포구	합정동	5	156	5,284	32,527	32,208	…	…	18,017	14,510	7,974	5	156	5,284	32,527	32,208	…	…	18,017	14,510	7,974
2016	마포구	망원1동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	마포구	망원2동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	마포구	연남동	3	45	1,074	6,905	6,170	…	…	2,988	3,917	809	3	45	1,074	6,905	6,170	…	…	2,988	3,917	809
2016	마포구	성산1동	5	108	3,422	55,741	54,884	…	…	38,388	17,353	5,184	5	108	3,422	55,741	54,884	…	…	38,388	17,353	5,184
2016	마포구	성산2동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	마포구	상암동	8	248	10,764	47,081	48,173	…	…	22,516	24,565	12,907	8	248	10,764	47,081	48,173	…	…	22,516	24,565	12,907
2016	마포구	도화동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	마포구	서강동	4	48	1,577	15,766	15,074	…	…	11,983	3,783	1,290	4	48	1,577	15,766	15,074	…	…	11,983	3,783	1,290
2016	마포구	공덕동	5	122	2,844	29,962	30,161	…	…	12,923	17,039	6,754	5	122	2,844	29,962	30,161	…	…	12,923	17,039	6,754
2016	양천구	소계	99	2,124	61,650	517,281	516,073	21,069	22,277	305,949	211,332	70,713	99	2,124	61,650	517,281	516,073	21,069	22,277	305,949	211,332	70,713
2016	양천구	목1동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	양천구	목2동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	양천구	목3동	4	79	2,069	10,155	10,045	…	…	6,563	3,592	2,739	4	79	2,069	10,155	10,045	…	…	6,563	3,592	2,739
2016	양천구	목4동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	양천구	신월1동	19	326	7,930	90,005	89,137	…	…	63,875	26,130	18,419	19	326	7,930	90,005	89,137	…	…	63,875	26,130	18,419
2016	양천구	신월2동	8	152	3,012	13,681	13,692	…	…	6,323	7,358	3,385	8	152	3,012	13,681	13,692	…	…	6,323	7,358	3,385
2016	양천구	신월3동	18	390	10,061	80,007	79,509	…	…	48,643	31,364	4,744	18	390	10,061	80,007	79,509	…	…	48,643	31,364	4,744
2016	양천구	신월4동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	양천구	신월5동	13	233	3,977	43,282	43,942	…	…	23,032	20,250	5,104	13	233	3,977	43,282	43,942	…	…	23,032	20,250	5,104
2016	양천구	신월6동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	양천구	신월7동	7	114	2,014	8,964	8,984	…	…	3,613	5,351	610	7	114	2,014	8,964	8,984	…	…	3,613	5,351	610
2016	양천구	신정1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	양천구	신정2동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	양천구	신정3동	9	212	5,863	88,728	88,484	…	…	64,988	23,740	11,569	9	212	5,863	88,728	88,484	…	…	64,988	23,740	11,569
2016	양천구	신정6동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	양천구	신정7동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	양천구	신정4동	10	160	3,008	14,709	14,296	…	…	6,529	8,180	5,496	10	160	3,008	14,709	14,296	…	…	6,529	8,180	5,496
2016	강서구	소계	139	3,648	118,993	929,895	926,370	42,949	46,474	559,702	370,193	214,606	139	3,648	118,993	929,895	926,370	42,949	46,474	559,702	370,193	214,606
2016	강서구	염창동	22	448	14,007	88,425	88,549	…	…	49,796	38,629	23,099	22	448	14,007	88,425	88,549	…	…	49,796	38,629	23,099
2016	강서구	등촌1동	19	707	26,402	232,588	230,681	…	…	116,603	115,985	70,495	19	707	26,402	232,588	230,681	…	…	116,603	115,985	70,495
2016	강서구	등촌2동	5	148	6,719	73,737	70,337	…	…	33,666	40,071	12,011	5	148	6,719	73,737	70,337	…	…	33,666	40,071	12,011
2016	강서구	등촌3동	15	375	13,264	107,364	106,620	…	…	45,977	61,387	6,709	15	375	13,264	107,364	106,620	…	…	45,977	61,387	6,709
2016	강서구	화곡본동	3	81	1,189	19,251	19,046	…	…	16,737	2,514	1,055	3	81	1,189	19,251	19,046	…	…	16,737	2,514	1,055
2016	강서구	화곡2동	3	58	1,406	11,096	11,092	…	…	6,965	4,131	3,694	3	58	1,406	11,096	11,092	…	…	6,965	4,131	3,694
2016	강서구	화곡3동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	강서구	화곡4동	3	68	656	4,722	4,745	…	…	3,341	1,381	111	3	68	656	4,722	4,745	…	…	3,341	1,381	111
2016	강서구	화곡6동	5	99	2,725	18,925	19,163	…	…	11,385	7,540	9,626	5	99	2,725	18,925	19,163	…	…	11,385	7,540	9,626
2016	강서구	가양1동	16	412	11,051	57,590	57,487	…	…	29,387	28,203	21,184	16	412	11,051	57,590	57,487	…	…	29,387	28,203	21,184
2016	강서구	가양2동	3	66	2,757	9,530	9,518	…	…	4,012	5,518	4,558	3	66	2,757	9,530	9,518	…	…	4,012	5,518	4,558
2016	강서구	가양3동	23	464	15,188	89,238	91,317	…	…	52,310	36,928	17,196	23	464	15,188	89,238	91,317	…	…	52,310	36,928	17,196
2016	강서구	발산1동	3	143	4,451	32,209	31,988	…	…	16,987	15,222	10,774	3	143	4,451	32,209	31,988	…	…	16,987	15,222	10,774
2016	강서구	공항동	4	282	12,085	148,983	148,961	…	…	151,485	-2,502	2,781	4	282	12,085	148,983	148,961	…	…	151,485	-2,502	2,781
2016	강서구	방화1동	4	93	2,890	12,479	13,020	…	…	8,105	4,374	30,272	4	93	2,890	12,479	13,020	…	…	8,105	4,374	30,272
2016	강서구	방화2동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	강서구	화곡1동	7	103	1,096	15,794	15,841	…	…	10,323	5,471	277	7	103	1,096	15,794	15,841	…	…	10,323	5,471	277
2016	강서구	우장산동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	구로구	소계	342	8,868	310,730	2,725,609	2,704,407	218,705	239,907	1,694,903	1,030,706	810,981	342	8,868	310,730	2,725,609	2,704,407	218,705	239,907	1,694,903	1,030,706	810,981
2016	구로구	신도림동	17	260	9,431	44,252	43,870	…	…	20,325	23,927	8,675	17	260	9,431	44,252	43,870	…	…	20,325	23,927	8,675
2016	구로구	구로1동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	구로구	구로3동	227	6,650	233,980	2,028,450	2,013,084	…	…	1,238,841	789,609	483,212	227	6,650	233,980	2,028,450	2,013,084	…	…	1,238,841	789,609	483,212
2016	구로구	구로5동	6	126	3,303	35,939	36,283	…	…	26,065	9,874	9,455	6	126	3,303	35,939	36,283	…	…	26,065	9,874	9,455
2016	구로구	고척1동	9	191	6,609	59,297	58,627	…	…	42,346	16,951	14,234	9	191	6,609	59,297	58,627	…	…	42,346	16,951	14,234
2016	구로구	고척2동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	구로구	개봉2동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	구로구	개봉3동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	구로구	오류1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	구로구	오류2동	8	183	5,485	31,843	30,220	…	…	21,892	9,951	7,797	8	183	5,485	31,843	30,220	…	…	21,892	9,951	7,797
2016	구로구	수궁동	39	716	24,793	157,020	156,781	…	…	103,499	53,521	78,710	39	716	24,793	157,020	156,781	…	…	103,499	53,521	78,710
2016	구로구	가리봉동	3	49	1,016	2,103	2,100	…	…	952	1,151	82	3	49	1,016	2,103	2,100	…	…	952	1,151	82
2016	구로구	구로2동	15	344	17,427	245,215	242,306	…	…	147,979	97,236	186,042	15	344	17,427	245,215	242,306	…	…	147,979	97,236	186,042
2016	구로구	개봉1동	10	147	3,492	49,194	49,124	…	…	34,194	15,000	1,918	10	147	3,492	49,194	49,124	…	…	34,194	15,000	1,918
2016	금천구	소계	963	26,938	833,199	6,139,514	6,130,184	526,495	535,825	3,494,190	2,645,324	1,999,156	963	26,938	833,199	6,139,514	6,130,184	526,495	535,825	3,494,190	2,645,324	1,999,156
2016	금천구	가산동	655	19,308	633,317	4,803,682	4,782,403	…	…	2,741,462	2,062,220	1,411,576	655	19,308	633,317	4,803,682	4,782,403	…	…	2,741,462	2,062,220	1,411,576
2016	금천구	독산1동	218	5,873	168,626	1,127,762	1,138,833	…	…	632,845	494,917	550,620	218	5,873	168,626	1,127,762	1,138,833	…	…	632,845	494,917	550,620
2016	금천구	독산2동	3	58	508	2,274	2,274	…	…	676	1,598	50	3	58	508	2,274	2,274	…	…	676	1,598	50
2016	금천구	독산3동	36	647	6,567	47,282	47,835	…	…	20,425	26,857	1,378	36	647	6,567	47,282	47,835	…	…	20,425	26,857	1,378
2016	금천구	독산4동	13	266	2,653	17,677	17,766	…	…	8,537	9,140	1,744	13	266	2,653	17,677	17,766	…	…	8,537	9,140	1,744
2016	금천구	시흥1동	24	549	14,650	113,172	113,523	…	…	76,757	36,415	21,058	24	549	14,650	113,172	113,523	…	…	76,757	36,415	21,058
2016	금천구	시흥3동	10	163	5,729	23,202	23,087	…	…	10,804	12,398	12,621	10	163	5,729	23,202	23,087	…	…	10,804	12,398	12,621
2016	금천구	시흥4동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	금천구	시흥5동	3	64	965	4,213	4,213	…	…	2,609	1,604	53	3	64	965	4,213	4,213	…	…	2,609	1,604	53
2016	영등포구	소계	185	5,377	199,833	1,629,153	1,608,185	98,060	119,028	824,099	805,054	683,807	185	5,377	199,833	1,629,153	1,608,185	98,060	119,028	824,099	805,054	683,807
2016	영등포구	여의동	5	353	9,058	35,284	35,217	…	…	16,034	19,250	3,855	5	353	9,058	35,284	35,217	…	…	16,034	19,250	3,855
2016	영등포구	당산1동	5	139	3,674	21,139	21,028	…	…	13,473	7,666	3,581	5	139	3,674	21,139	21,028	…	…	13,473	7,666	3,581
2016	영등포구	당산2동	17	458	17,758	153,399	149,759	…	…	83,094	70,305	45,815	17	458	17,758	153,399	149,759	…	…	83,094	70,305	45,815
2016	영등포구	양평1동	27	706	25,012	180,925	179,058	…	…	93,985	86,940	48,474	27	706	25,012	180,925	179,058	…	…	93,985	86,940	48,474
2016	영등포구	양평2동	30	1,366	68,317	749,747	748,278	…	…	351,366	398,381	413,915	30	1,366	68,317	749,747	748,278	…	…	351,366	398,381	413,915
2016	영등포구	신길1동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	영등포구	신길3동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	영등포구	신길4동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	영등포구	신길5동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	영등포구	신길6동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	영등포구	신길7동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	영등포구	대림1동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	영등포구	대림2동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	영등포구	대림3동	15	424	10,523	47,692	47,783	…	…	26,467	21,225	20,697	15	424	10,523	47,692	47,783	…	…	26,467	21,225	20,697
2016	영등포구	영등포본동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	영등포구	영등포동	13	441	14,182	173,585	158,350	…	…	106,457	67,128	72,974	13	441	14,182	173,585	158,350	…	…	106,457	67,128	72,974
2016	영등포구	도림동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	영등포구	문래동	58	1,267	45,573	205,641	205,528	…	…	97,857	107,784	70,293	58	1,267	45,573	205,641	205,528	…	…	97,857	107,784	70,293
2016	동작구	소계	24	607	13,398	62,747	63,117	3,158	2,788	28,121	34,626	25,715	24	607	13,398	62,747	63,117	3,158	2,788	28,121	34,626	25,715
2016	동작구	상도1동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	동작구	상도2동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	동작구	상도3동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	동작구	상도4동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	동작구	사당1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	동작구	사당3동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	동작구	대방동	6	143	1,910	11,555	11,582	…	…	7,470	4,085	7,617	6	143	1,910	11,555	11,582	…	…	7,470	4,085	7,617
2016	동작구	신대방2동	4	73	1,235	4,951	4,860	…	…	2,186	2,765	876	4	73	1,235	4,951	4,860	…	…	2,186	2,765	876
2016	동작구	흑석동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	동작구	사당2동	4	145	3,310	7,990	7,891	…	…	2,607	5,383	7,924	4	145	3,310	7,990	7,891	…	…	2,607	5,383	7,924
2016	관악구	소계	69	1,529	31,785	273,069	270,376	26,209	28,902	147,362	125,707	59,087	69	1,529	31,785	273,069	270,376	26,209	28,902	147,362	125,707	59,087
2016	관악구	보라매동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	관악구	행운동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	관악구	낙성대동	5	67	427	3,983	3,757	…	…	1,672	2,311	212	5	67	427	3,983	3,757	…	…	1,672	2,311	212
2016	관악구	인헌동	6	372	11,019	119,657	119,206	…	…	68,569	51,088	37,050	6	372	11,019	119,657	119,206	…	…	68,569	51,088	37,050
2016	관악구	남현동	3	51	1,817	8,573	8,038	…	…	3,669	4,904	5,550	3	51	1,817	8,573	8,038	…	…	3,669	4,904	5,550
2016	관악구	서원동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	관악구	신사동	12	163	1,545	7,463	7,463	…	…	2,682	4,781	224	12	163	1,545	7,463	7,463	…	…	2,682	4,781	224
2016	관악구	조원동	12	188	3,609	15,316	15,285	…	…	7,280	8,036	731	12	188	3,609	15,316	15,285	…	…	7,280	8,036	731
2016	관악구	대학동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	관악구	은천동	10	178	3,316	15,933	15,512	…	…	9,452	6,481	591	10	178	3,316	15,933	15,512	…	…	9,452	6,481	591
2016	관악구	성현동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	관악구	청룡동	4	63	1,396	7,226	7,226	…	…	4,894	2,332	172	4	63	1,396	7,226	7,226	…	…	4,894	2,332	172
2016	관악구	미성동	8	245	4,462	59,019	57,238	…	…	27,881	31,138	11,727	8	245	4,462	59,019	57,238	…	…	27,881	31,138	11,727
2016	서초구	소계	78	3,747	140,045	1,841,602	1,827,187	551,649	566,064	890,369	951,233	250,376	78	3,747	140,045	1,841,602	1,827,187	551,649	566,064	890,369	951,233	250,376
2016	서초구	서초1동	11	386	14,418	157,635	162,583	…	…	70,744	86,891	21,273	11	386	14,418	157,635	162,583	…	…	70,744	86,891	21,273
2016	서초구	서초2동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	서초구	서초3동	17	1,215	32,559	433,572	420,329	…	…	217,180	216,392	15,391	17	1,215	32,559	433,572	420,329	…	…	217,180	216,392	15,391
2016	서초구	서초4동	4	149	4,793	40,652	40,052	…	…	12,859	27,793	6,615	4	149	4,793	40,652	40,052	…	…	12,859	27,793	6,615
2016	서초구	잠원동	4	432	18,683	170,354	169,866	…	…	73,440	96,914	65,562	4	432	18,683	170,354	169,866	…	…	73,440	96,914	65,562
2016	서초구	반포1동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	서초구	방배1동	3	38	1,583	5,332	6,679	…	…	1,994	3,338	653	3	38	1,583	5,332	6,679	…	…	1,994	3,338	653
2016	서초구	방배2동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	서초구	방배3동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	서초구	방배4동	7	151	5,642	43,372	44,935	…	…	24,664	18,708	4,211	7	151	5,642	43,372	44,935	…	…	24,664	18,708	4,211
2016	서초구	양재1동	8	561	24,026	528,110	526,566	…	…	242,688	285,422	115,649	8	561	24,026	528,110	526,566	…	…	242,688	285,422	115,649
2016	서초구	양재2동	16	472	18,317	209,109	206,505	…	…	153,289	55,820	5,943	16	472	18,317	209,109	206,505	…	…	153,289	55,820	5,943
2016	서초구	내곡동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	강남구	소계	152	9,528	409,810	6,783,446	6,846,825	1,461,614	1,398,235	3,425,569	3,357,877	1,259,066	152	9,528	409,810	6,783,446	6,846,825	1,461,614	1,398,235	3,425,569	3,357,877	1,259,066
2016	강남구	신사동	11	188	4,812	51,715	52,136	…	…	29,863	21,852	18,656	11	188	4,812	51,715	52,136	…	…	29,863	21,852	18,656
2016	강남구	논현1동	21	829	26,543	373,151	369,845	…	…	152,688	220,463	55,781	21	829	26,543	373,151	369,845	…	…	152,688	220,463	55,781
2016	강남구	논현2동	15	872	31,527	905,254	901,573	…	…	409,719	495,535	146,050	15	872	31,527	905,254	901,573	…	…	409,719	495,535	146,050
2016	강남구	삼성1동	8	633	23,700	102,373	99,935	…	…	21,444	80,929	22,162	8	633	23,700	102,373	99,935	…	…	21,444	80,929	22,162
2016	강남구	삼성2동	6	187	7,660	95,088	93,717	…	…	72,745	22,343	3,964	6	187	7,660	95,088	93,717	…	…	72,745	22,343	3,964
2016	강남구	대치4동	3	65	1,675	8,783	9,067	…	…	4,982	3,801	184	3	65	1,675	8,783	9,067	…	…	4,982	3,801	184
2016	강남구	역삼1동	21	823	36,900	592,533	606,446	…	…	275,518	317,015	70,153	21	823	36,900	592,533	606,446	…	…	275,518	317,015	70,153
2016	강남구	역삼2동	9	687	28,794	535,511	552,791	…	…	339,754	195,757	41,467	9	687	28,794	535,511	552,791	…	…	339,754	195,757	41,467
2016	강남구	도곡1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	강남구	도곡2동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	강남구	개포4동	5	95	3,169	26,264	24,518	…	…	18,948	7,316	8,139	5	95	3,169	26,264	24,518	…	…	18,948	7,316	8,139
2016	강남구	일원1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	강남구	수서동	6	193	4,918	136,042	151,418	…	…	138,969	-2,927	25,750	6	193	4,918	136,042	151,418	…	…	138,969	-2,927	25,750
2016	강남구	세곡동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	강남구	압구정동	13	845	34,970	667,078	687,108	…	…	292,067	375,011	284,228	13	845	34,970	667,078	687,108	…	…	292,067	375,011	284,228
2016	강남구	청담동	17	1,221	53,865	1,052,488	1,038,543	…	…	456,131	596,357	200,083	17	1,221	53,865	1,052,488	1,038,543	…	…	456,131	596,357	200,083
2016	강남구	대치2동	11	1,159	51,101	847,070	861,973	…	…	372,726	474,344	152,925	11	1,159	51,101	847,070	861,973	…	…	372,726	474,344	152,925
2016	강남구	개포2동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	송파구	소계	126	4,463	146,248	1,709,087	1,726,793	221,054	203,348	883,862	825,225	291,323	126	4,463	146,248	1,709,087	1,726,793	221,054	203,348	883,862	825,225	291,323
2016	송파구	풍납1동	4	117	3,921	60,932	71,704	…	…	23,761	37,171	1,850	4	117	3,921	60,932	71,704	…	…	23,761	37,171	1,850
2016	송파구	풍납2동	4	279	7,462	94,037	94,010	…	…	60,348	33,689	29,972	4	279	7,462	94,037	94,010	…	…	60,348	33,689	29,972
2016	송파구	거여1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	송파구	거여2동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	송파구	마천1동	3	49	813	1,757	1,817	…	…	554	1,203	159	3	49	813	1,757	1,817	…	…	554	1,203	159
2016	송파구	마천2동	5	93	2,498	8,987	8,886	…	…	3,779	5,208	2,432	5	93	2,498	8,987	8,886	…	…	3,779	5,208	2,432
2016	송파구	방이1동	7	352	10,179	130,998	130,675	…	…	81,396	49,602	26,025	7	352	10,179	130,998	130,675	…	…	81,396	49,602	26,025
2016	송파구	방이2동	9	364	14,344	158,241	154,567	…	…	45,018	113,223	21,180	9	364	14,344	158,241	154,567	…	…	45,018	113,223	21,180
2016	송파구	오금동	20	567	15,801	145,736	148,894	…	…	56,614	89,122	48,516	20	567	15,801	145,736	148,894	…	…	56,614	89,122	48,516
2016	송파구	송파1동	3	83	2,057	14,825	14,669	…	…	8,041	6,784	1,731	3	83	2,057	14,825	14,669	…	…	8,041	6,784	1,731
2016	송파구	송파2동	3	47	1,580	8,961	8,986	…	…	5,099	3,862	3,804	3	47	1,580	8,961	8,986	…	…	5,099	3,862	3,804
2016	송파구	석촌동	9	349	11,876	94,258	94,409	…	…	37,044	57,214	22,652	9	349	11,876	94,258	94,409	…	…	37,044	57,214	22,652
2016	송파구	삼전동	5	239	9,046	55,811	54,697	…	…	23,634	32,177	5,142	5	239	9,046	55,811	54,697	…	…	23,634	32,177	5,142
2016	송파구	가락본동	12	579	21,206	391,976	409,844	…	…	245,854	146,122	29,709	12	579	21,206	391,976	409,844	…	…	245,854	146,122	29,709
2016	송파구	가락1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	송파구	가락2동	6	254	6,533	53,927	52,205	…	…	30,964	22,963	3,905	6	254	6,533	53,927	52,205	…	…	30,964	22,963	3,905
2016	송파구	문정1동	7	187	9,450	58,717	57,954	…	…	40,429	18,288	22,570	7	187	9,450	58,717	57,954	…	…	40,429	18,288	22,570
2016	송파구	문정2동	12	275	10,439	174,337	175,223	…	…	99,013	75,324	44,595	12	275	10,439	174,337	175,223	…	…	99,013	75,324	44,595
2016	송파구	장지동	5	84	2,933	23,358	22,907	…	…	8,965	14,393	12,508	5	84	2,933	23,358	22,907	…	…	8,965	14,393	12,508
2016	송파구	잠실본동	7	145	5,226	48,940	50,048	…	…	33,325	15,615	9,079	7	145	5,226	48,940	50,048	…	…	33,325	15,615	9,079
2016	송파구	잠실6동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	강동구	소계	84	2,008	81,426	607,025	602,489	70,780	75,316	349,523	257,502	305,052	84	2,008	81,426	607,025	602,489	70,780	75,316	349,523	257,502	305,052
2016	강동구	강일동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	강동구	상일동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	강동구	고덕1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	강동구	고덕2동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	강동구	암사2동	5	63	1,310	3,734	3,734	…	…	1,301	2,433	111	5	63	1,310	3,734	3,734	…	…	1,301	2,433	111
2016	강동구	천호1동	6	96	2,379	6,524	5,885	…	…	2,730	3,794	513	6	96	2,379	6,524	5,885	…	…	2,730	3,794	513
2016	강동구	천호3동	3	68	2,371	29,221	29,979	…	…	11,045	18,176	574	3	68	2,371	29,221	29,979	…	…	11,045	18,176	574
2016	강동구	성내1동	12	587	37,188	266,682	262,940	…	…	143,596	123,086	118,620	12	587	37,188	266,682	262,940	…	…	143,596	123,086	118,620
2016	강동구	성내2동	8	134	3,888	21,290	21,132	…	…	12,555	8,735	2,032	8	134	3,888	21,290	21,132	…	…	12,555	8,735	2,032
2016	강동구	성내3동	10	185	4,495	22,517	21,792	…	…	12,894	9,623	896	10	185	4,495	22,517	21,792	…	…	12,894	9,623	896
2016	강동구	둔촌1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
