기간	자치구	행정동	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업
기간	자치구	행정동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
기간	자치구	행정동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
2016	용산구	남영동	5	218	8,668	94,837	98,088	…	…	58,461	36,376	26,368	5	218	8,668	94,837	98,088	…	…	58,461	36,376	26,368
2016	용산구	원효로2동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	용산구	용문동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	용산구	이태원1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	용산구	서빙고동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	용산구	청파동	5	95	4,230	22,777	22,878	…	…	14,171	8,606	947	5	95	4,230	22,777	22,878	…	…	14,171	8,606	947
2016	용산구	원효로1동	4	88	2,710	25,557	25,644	…	…	13,738	11,819	5,693	4	88	2,710	25,557	25,644	…	…	13,738	11,819	5,693
2016	용산구	한강로동	5	137	4,887	31,306	31,106	…	…	14,290	17,016	6,352	5	137	4,887	31,306	31,106	…	…	14,290	17,016	6,352
2016	용산구	한남동	3	52	1,417	7,145	6,792	…	…	3,487	3,658	518	3	52	1,417	7,145	6,792	…	…	3,487	3,658	518
2016	성동구	소계	571	14,875	452,165	3,871,933	3,844,189	433,816	461,560	2,284,266	1,587,667	1,053,753	571	14,875	452,165	3,871,933	3,844,189	433,816	461,560	2,284,266	1,587,667	1,053,753
2016	성동구	왕십리2동	4	84	3,093	26,053	26,042	…	…	19,013	7,040	1,368	4	84	3,093	26,053	26,042	…	…	19,013	7,040	1,368
2016	성동구	마장동	13	186	4,513	38,156	38,458	…	…	26,524	11,632	5,433	13	186	4,513	38,156	38,458	…	…	26,524	11,632	5,433
2016	성동구	사근동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	성동구	행당1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	성동구	금호1가동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	성동구	성수1가1동	34	955	23,490	249,793	252,118	…	…	168,869	80,924	36,874	34	955	23,490	249,793	252,118	…	…	168,869	80,924	36,874
2016	성동구	성수1가2동	70	1,467	49,243	443,917	439,916	…	…	317,111	126,806	103,459	70	1,467	49,243	443,917	439,916	…	…	317,111	126,806	103,459
2016	성동구	성수2가1동	107	2,695	77,556	655,513	650,523	…	…	393,078	262,435	130,789	107	2,695	77,556	655,513	650,523	…	…	393,078	262,435	130,789
2016	성동구	성수2가3동	299	8,459	263,641	2,084,702	2,065,773	…	…	1,129,489	955,213	696,098	299	8,459	263,641	2,084,702	2,065,773	…	…	1,129,489	955,213	696,098
2016	성동구	송정동	11	211	5,577	83,941	84,387	…	…	67,288	16,653	1,733	11	211	5,577	83,941	84,387	…	…	67,288	16,653	1,733
2016	성동구	용답동	15	503	16,530	201,333	201,449	…	…	106,683	94,650	65,785	15	503	16,530	201,333	201,449	…	…	106,683	94,650	65,785
2016	성동구	왕십리도선동	9	161	4,309	38,487	37,647	…	…	21,577	16,910	5,538	9	161	4,309	38,487	37,647	…	…	21,577	16,910	5,538
2016	성동구	옥수동	5	84	2,943	42,105	40,226	…	…	30,805	11,300	2,539	5	84	2,943	42,105	40,226	…	…	30,805	11,300	2,539
2016	광진구	소계	88	2,098	59,263	709,130	710,441	105,870	104,559	384,477	324,653	103,669	88	2,098	59,263	709,130	710,441	105,870	104,559	384,477	324,653	103,669
2016	광진구	화양동	5	99	3,555	25,342	25,447	…	…	15,263	10,079	581	5	99	3,555	25,342	25,447	…	…	15,263	10,079	581
2016	광진구	군자동	6	84	1,622	23,390	23,262	…	…	12,012	11,378	924	6	84	1,622	23,390	23,262	…	…	12,012	11,378	924
2016	광진구	중곡1동	18	585	17,852	346,886	351,975	…	…	180,488	166,398	52,446	18	585	17,852	346,886	351,975	…	…	180,488	166,398	52,446
2016	광진구	중곡2동	8	122	2,780	27,698	27,438	…	…	16,339	11,359	1,790	8	122	2,780	27,698	27,438	…	…	16,339	11,359	1,790
2016	광진구	중곡3동	9	149	3,723	21,044	21,596	…	…	13,464	7,580	3,252	9	149	3,723	21,044	21,596	…	…	13,464	7,580	3,252
2016	광진구	중곡4동	9	172	3,985	30,013	30,283	…	…	15,943	14,070	13,507	9	172	3,985	30,013	30,283	…	…	15,943	14,070	13,507
2016	광진구	능동	3	58	1,002	8,472	8,460	…	…	6,536	1,936	130	3	58	1,002	8,472	8,460	…	…	6,536	1,936	130
2016	광진구	구의1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	광진구	구의2동	4	142	3,322	22,255	22,255	…	…	17,786	4,469	6,327	4	142	3,322	22,255	22,255	…	…	17,786	4,469	6,327
2016	광진구	구의3동	4	131	4,405	59,695	57,828	…	…	27,811	31,884	8,670	4	131	4,405	59,695	57,828	…	…	27,811	31,884	8,670
2016	광진구	광장동	5	123	3,938	25,068	25,204	…	…	13,580	11,488	3,419	5	123	3,938	25,068	25,204	…	…	13,580	11,488	3,419
