기간	자치구	동	인구	면적	인구밀도
2016	용산구	원효로1동	14,717	0.59	24,944
2016	용산구	한강로동	16,463	2.9	5,677
2016	용산구	한남동	23,434	3.01	7,785
2016	성동구	소계	307,161	16.86	18,218
2016	성동구	왕십리2동	16,917	0.41	41,261
2016	성동구	마장동	24,569	1.06	23,178
2016	성동구	사근동	12,722	1.11	11,461
2016	성동구	행당1동	14,708	0.59	24,929
2016	성동구	행당2동	25,748	0.42	61,305
2016	성동구	응봉동	16,921	0.57	29,686
2016	성동구	금호1가동	13,419	0.46	29,172
2016	성동구	금호4가동	14,557	0.84	17,330
2016	성동구	성수1가1동	17,231	1.98	8,703
2016	성동구	성수1가2동	17,024	0.89	19,128
2016	성동구	성수2가1동	19,378	1.18	16,422
2016	성동구	성수2가3동	12,142	1.03	11,788
2016	성동구	송정동	12,005	0.68	17,654
2016	성동구	용답동	17,059	2.32	7,353
2016	성동구	왕십리도선동	22,878	0.72	31,775
2016	성동구	금호2.3가동	25,038	0.64	39,122
2016	성동구	옥수동	24,845	1.95	12,741
2016	광진구	소계	372,104	17.06	21,807
2016	광진구	화양동	24,495	1.16	21,116
2016	광진구	군자동	22,048	0.74	29,795
2016	광진구	중곡1동	16,342	0.62	26,358
2016	광진구	중곡2동	22,877	0.55	41,595
2016	광진구	중곡3동	17,960	0.6	29,933
2016	광진구	중곡4동	31,786	2.32	13,701
2016	광진구	능동	11,648	1.1	10,589
2016	광진구	구의1동	23,387	0.56	41,763
2016	광진구	구의2동	25,889	1.39	18,625
2016	광진구	구의3동	29,789	1.02	29,205
2016	광진구	광장동	36,613	2.39	15,319
2016	광진구	자양1동	23,951	0.57	42,019
2016	광진구	자양2동	27,532	1.68	16,388
2016	광진구	자양3동	30,555	1.2	25,463
2016	광진구	자양4동	27,232	1.16	23,476
2016	동대문구	소계	370,312	14.22	26,050
2016	동대문구	회기동	12,587	0.76	16,562
2016	동대문구	휘경1동	14,964	0.63	23,752
2016	동대문구	휘경2동	25,467	1.05	24,254
2016	동대문구	청량리동	23,560	1.2	19,633
2016	동대문구	용신동	33,484	1.61	20,798
2016	동대문구	제기동	28,551	1.18	24,196
2016	동대문구	전농1동	30,779	1.21	25,437
2016	동대문구	전농2동	20,793	0.86	24,178
2016	동대문구	답십리1동	24,846	0.79	31,451
2016	동대문구	답십리2동	30,291	0.85	35,636
2016	동대문구	장안1동	38,812	1.25	31,050
2016	동대문구	장안2동	31,441	1.09	28,845
2016	동대문구	이문1동	32,045	1.04	30,813
2016	동대문구	이문2동	22,692	0.69	32,887
2016	중랑구	소계	415,677	18.5	22,474
2016	중랑구	면목2동	27,424	0.73	37,567
2016	중랑구	면목4동	21,957	1.1	19,961
2016	중랑구	면목5동	10,824	0.64	16,913
2016	중랑구	면목7동	23,357	0.87	26,847
2016	중랑구	상봉1동	26,152	0.85	30,767
2016	중랑구	상봉2동	19,050	0.68	28,015
2016	중랑구	중화1동	21,285	0.68	31,301
2016	중랑구	중화2동	28,578	0.98	29,161
2016	중랑구	묵1동	34,516	1.2	28,763
2016	중랑구	묵2동	20,250	0.7	28,929
2016	중랑구	망우3동	18,741	0.99	18,930
2016	중랑구	신내1동	42,023	2.53	16,610
2016	중랑구	신내2동	23,511	0.99	23,748
2016	중랑구	면목본동	36,839	1.01	36,474
2016	중랑구	면목3.8동	28,137	1.67	16,849
2016	중랑구	망우본동	33,033	2.88	11,470
2016	성북구	소계	461,617	24.58	18,781
2016	성북구	돈암1동	17,007	0.49	34,708
2016	성북구	돈암2동	23,681	0.48	49,335
2016	성북구	안암동	18,211	1.33	13,692
2016	성북구	보문동	15,069	0.56	26,909
2016	성북구	정릉1동	19,273	0.44	43,802
2016	성북구	정릉2동	24,609	1.17	21,033
2016	성북구	정릉3동	17,630	3.71	4,752
2016	성북구	정릉4동	27,818	3.13	8,888
2016	성북구	길음1동	37,908	0.79	47,985
2016	성북구	길음2동	13,173	0.58	22,712
2016	성북구	월곡1동	28,450	0.81	35,123
2016	성북구	월곡2동	21,147	1.36	15,549
2016	성북구	장위1동	22,573	0.7	32,247
2016	성북구	장위2동	20,533	0.67	30,646
2016	성북구	장위3동	13,226	0.65	20,348
2016	성북구	성북동	18,331	2.86	6,409
2016	성북구	삼선동	27,510	0.92	29,902
2016	성북구	동선동	16,770	0.73	22,973
2016	성북구	종암동	43,625	1.46	29,880
2016	성북구	석관동	35,073	1.73	20,273
2016	강북구	소계	330,704	23.6	14,015
2016	강북구	번1동	20,334	0.55	36,971
2016	강북구	번2동	18,407	1.25	14,726
2016	강북구	번3동	19,882	0.86	23,119
2016	강북구	수유1동	22,844	1.07	21,350
2016	강북구	수유2동	22,372	0.73	30,647
2016	강북구	수유3동	24,126	0.86	28,053
2016	강북구	삼양동	29,747	0.95	31,313
2016	강북구	미아동	23,591	0.73	32,316
2016	강북구	송중동	29,310	1.22	24,025
2016	강북구	송천동	30,536	0.88	34,700
2016	강북구	삼각산동	34,452	0.62	55,568
2016	강북구	우이동	22,014	10.95	2,010
2016	강북구	인수동	33,089	2.93	11,293
2016	도봉구	소계	350,272	20.67	16,948
2016	도봉구	쌍문1동	22,555	1.24	18,190
2016	도봉구	쌍문2동	21,104	0.54	39,081
2016	도봉구	쌍문3동	17,762	0.5	35,524
2016	도봉구	쌍문4동	20,763	0.52	39,929
2016	도봉구	방학1동	31,371	0.69	45,465
2016	도봉구	방학2동	22,391	0.74	30,258
2016	도봉구	방학3동	30,448	2.64	11,533
2016	도봉구	창1동	27,745	0.88	31,528
2016	도봉구	창2동	31,477	1.07	29,418
2016	도봉구	창3동	15,568	0.67	23,236
2016	도봉구	창4동	29,374	0.96	30,598
2016	도봉구	창5동	26,862	0.7	38,374
2016	도봉구	도봉1동	23,628	8.72	2,710
2016	도봉구	도봉2동	29,224	0.83	35,210
2016	노원구	소계	571,212	35.44	16,119
2016	노원구	월계1동	24,289	1.16	20,939
2016	노원구	월계2동	26,914	1.94	13,873
2016	노원구	월계3동	33,919	1.17	28,991
2016	노원구	공릉2동	44,747	6.82	6,561
2016	노원구	하계1동	29,914	1.55	19,299
2016	노원구	하계2동	24,778	0.51	48,584
2016	노원구	중계본동	28,026	1.97	14,226
2016	노원구	중계1동	29,363	0.63	46,608
2016	노원구	중계4동	22,336	1.7	13,139
2016	노원구	상계1동	42,402	5.62	7,545
2016	노원구	상계2동	22,171	0.61	36,346
2016	노원구	상계5동	27,742	0.44	63,050
2016	노원구	상계8동	25,627	0.67	38,249
2016	노원구	상계9동	23,300	0.81	28,765
2016	노원구	상계10동	19,155	0.8	23,944
2016	노원구	상계3.4동	30,174	5.62	5,369
2016	노원구	상계6.7동	36,593	1.11	32,967
2016	노원구	중계2.3동	39,542	0.9	43,936
2016	노원구	공릉1동	40,220	1.41	28,525
2016	은평구	소계	495,937	29.7	16,696
2016	은평구	녹번동	33,068	1.79	18,474
2016	은평구	불광1동	42,833	3.13	13,685
2016	은평구	갈현1동	25,974	0.97	26,777
2016	은평구	갈현2동	30,930	0.96	32,219
2016	은평구	구산동	34,302	1.38	24,857
2016	은평구	대조동	33,485	0.85	39,394
2016	은평구	응암1동	27,790	1.2	23,158
2016	은평구	응암2동	19,972	0.78	25,605
2016	은평구	신사1동	28,410	0.84	33,821
2016	은평구	신사2동	22,255	1	22,255
2016	은평구	증산동	19,422	0.81	23,978
2016	은평구	수색동	16,048	1.29	12,440
2016	은평구	진관동	53,811	11.53	4,667
2016	은평구	불광2동	29,881	1.38	21,653
2016	은평구	응암3동	27,152	0.63	43,098
2016	은평구	역촌동	50,604	1.16	43,624
2016	서대문구	소계	325,871	17.61	18,506
2016	서대문구	천연동	19,915	0.97	20,531
2016	서대문구	홍제1동	24,982	1.23	20,311
2016	서대문구	홍제3동	19,418	0.81	23,973
2016	서대문구	홍제2동	15,247	1.05	14,521
2016	서대문구	홍은1동	23,846	1.58	15,092
2016	서대문구	홍은2동	30,606	2.06	14,857
2016	서대문구	남가좌1동	16,929	0.51	33,194
2016	서대문구	남가좌2동	23,539	0.77	30,570
2016	서대문구	북가좌1동	19,873	0.52	38,217
2016	서대문구	북가좌2동	34,804	0.84	41,433
2016	서대문구	충현동	19,212	1.12	17,154
2016	서대문구	북아현동	12,993	0.46	28,246
2016	서대문구	신촌동	23,077	2.63	8,775
2016	서대문구	연희동	41,430	3.05	13,584
2016	마포구	소계	390,887	23.84	16,394
2016	마포구	용강동	22,535	0.84	26,827
2016	마포구	대흥동	14,223	0.88	16,163
2016	마포구	염리동	12,033	0.43	27,984
2016	마포구	신수동	22,093	0.78	28,324
2016	마포구	서교동	27,798	1.65	16,847
2016	마포구	합정동	20,272	1.69	11,995
2016	마포구	망원1동	22,292	1.14	19,554
2016	마포구	망원2동	20,494	0.67	30,588
2016	마포구	연남동	18,592	0.65	28,603
2016	마포구	성산1동	20,838	0.8	26,048
2016	마포구	성산2동	40,199	2.07	19,420
2016	마포구	상암동	33,814	8.4	4,025
2016	마포구	도화동	23,387	0.62	37,721
2016	마포구	서강동	26,362	1.45	18,181
2016	마포구	공덕동	39,705	1.01	39,312
2016	마포구	아현동	26,250	0.76	34,539
2016	양천구	소계	481,845	17.41	27,681
2016	양천구	목1동	32,960	1.41	23,376
2016	양천구	목2동	31,956	1.03	31,025
2016	양천구	목3동	22,005	0.53	41,519
2016	양천구	목4동	27,940	0.57	49,018
2016	양천구	신월1동	23,328	0.65	35,889
2016	양천구	신월2동	23,542	0.61	38,593
2016	양천구	신월3동	18,276	0.87	21,007
2016	양천구	신월4동	20,009	0.52	38,479
2016	양천구	신월5동	16,391	0.69	23,755
2016	양천구	신월6동	7,947	0.41	19,383
2016	양천구	신월7동	23,493	1.19	19,742
2016	양천구	신정1동	21,854	0.7	31,220
2016	양천구	신정2동	21,492	0.52	41,331
2016	양천구	신정3동	52,998	2.72	19,485
2016	양천구	신정6동	25,918	0.96	26,998
2016	양천구	신정7동	31,435	1.21	25,979
2016	양천구	목5동	43,987	1.81	24,302
2016	양천구	신정4동	36,314	1.01	35,954
2016	강서구	소계	602,104	41.44	14,531
2016	강서구	염창동	41,116	1.74	23,630
2016	강서구	등촌1동	23,067	0.59	39,097
2016	강서구	등촌2동	22,072	0.92	23,991
2016	강서구	등촌3동	34,962	0.79	44,256
2016	강서구	화곡본동	36,628	1.11	32,998
2016	강서구	화곡2동	20,465	0.47	43,543
2016	강서구	화곡3동	23,190	0.51	45,471
2016	강서구	화곡4동	23,317	0.82	28,435
2016	강서구	화곡6동	25,797	1.12	23,033
2016	강서구	화곡8동	27,232	0.53	51,381
2016	강서구	가양1동	27,547	4.7	5,861
2016	강서구	가양2동	16,432	1	16,432
2016	강서구	가양3동	17,289	0.99	17,464
2016	강서구	발산1동	39,921	2.96	13,487
2016	강서구	공항동	24,660	10.87	2,269
2016	강서구	방화1동	46,284	1.04	44,504
2016	강서구	방화2동	25,035	6.41	3,906
2016	강서구	방화3동	25,779	2.38	10,832
2016	강서구	화곡1동	54,425	1.12	48,594
2016	강서구	우장산동	46,886	1.36	34,475
2016	구로구	소계	449,600	20.12	22,347
2016	구로구	신도림동	38,202	1.47	25,988
2016	구로구	구로1동	22,645	1.02	22,201
2016	구로구	구로3동	28,081	1.02	27,530
2016	구로구	구로4동	28,651	0.46	62,285
2016	구로구	구로5동	35,068	1.03	34,047
2016	구로구	고척1동	25,371	1.16	21,872
2016	구로구	고척2동	30,410	1.02	29,814
2016	구로구	개봉2동	34,663	0.8	43,329
2016	구로구	개봉3동	22,262	0.81	27,484
2016	구로구	오류1동	21,943	0.59	37,192
2016	구로구	오류2동	45,854	4.6	9,968
2016	구로구	수궁동	25,920	2.67	9,708
2016	구로구	가리봉동	17,575	0.4	43,938
2016	구로구	구로2동	37,072	1.76	21,064
2016	구로구	개봉1동	35,883	1.31	27,392
2016	금천구	소계	254,654	13.02	19,560
2016	금천구	가산동	23,488	2.52	9,321
2016	금천구	독산1동	36,800	2.09	17,608
2016	금천구	독산2동	23,077	0.6	38,462
2016	금천구	독산3동	31,245	0.92	33,962
2016	금천구	독산4동	19,158	0.59	32,471
2016	금천구	시흥1동	38,320	1.71	22,409
2016	금천구	시흥2동	24,154	1.26	19,170
2016	금천구	시흥3동	12,255	1.07	11,453
2016	금천구	시흥4동	23,271	0.87	26,748
2016	금천구	시흥5동	22,886	1.39	16,465
2016	영등포구	소계	406,779	24.53	16,583
2016	영등포구	여의동	34,013	8.41	4,044
2016	영등포구	당산1동	21,260	0.75	28,347
2016	영등포구	당산2동	36,518	1.55	23,560
2016	영등포구	양평1동	17,333	0.88	19,697
2016	영등포구	양평2동	22,602	3	7,534
2016	영등포구	신길1동	21,836	0.66	33,085
2016	영등포구	신길3동	18,110	0.48	37,729
2016	영등포구	신길4동	11,556	0.35	33,017
2016	영등포구	신길5동	15,326	0.47	32,609
2016	영등포구	신길6동	21,453	0.68	31,549
2016	영등포구	신길7동	13,031	0.64	20,361
2016	영등포구	대림1동	17,890	0.49	36,510
2016	영등포구	대림2동	23,028	0.55	41,869
2016	영등포구	대림3동	30,621	1	30,621
2016	영등포구	영등포본동	26,350	1.02	25,833
2016	영등포구	영등포동	20,933	1.26	16,613
2016	영등포구	도림동	23,089	0.89	25,943
2016	영등포구	문래동	31,830	1.49	21,362
2016	동작구	소계	413,247	16.35	25,269
2016	동작구	노량진2동	14,949	0.64	23,358
2016	동작구	상도1동	48,245	1.51	31,950
2016	동작구	상도2동	27,817	0.98	28,385
2016	동작구	상도3동	26,041	0.6	43,402
2016	동작구	상도4동	30,501	0.75	40,668
2016	동작구	사당1동	23,961	0.79	30,330
2016	동작구	사당3동	24,625	0.92	26,766
2016	동작구	사당4동	15,043	0.38	39,587
2016	동작구	사당5동	13,389	0.57	23,489
2016	동작구	대방동	40,656	1.55	26,230
2016	동작구	신대방1동	27,939	0.62	45,063
2016	동작구	신대방2동	21,461	1.03	20,836
2016	동작구	흑석동	35,115	1.68	20,902
2016	동작구	노량진1동	33,400	1.58	21,139
2016	동작구	사당2동	30,105	2.75	10,947
2016	관악구	소계	525,607	29.57	17,776
2016	관악구	보라매동	26,649	0.76	35,064
2016	관악구	청림동	16,974	0.3	56,580
2016	관악구	행운동	30,578	0.72	42,469
2016	관악구	낙성대동	18,213	2.27	8,023
2016	관악구	중앙동	15,368	0.39	39,405
2016	관악구	인헌동	28,004	1.08	25,930
2016	관악구	남현동	18,981	3.27	5,805
2016	관악구	서원동	23,973	0.65	36,882
2016	관악구	신원동	20,272	0.55	36,858
2016	관악구	서림동	25,475	0.99	25,732
2016	관악구	신사동	26,627	0.64	41,605
2016	관악구	신림동	21,341	0.54	39,520
2016	관악구	난향동	17,013	0.8	21,266
2016	관악구	조원동	20,413	0.67	30,467
2016	관악구	대학동	24,408	8.3	2,941
2016	관악구	은천동	36,111	0.78	46,296
2016	관악구	성현동	34,015	0.68	50,022
2016	관악구	청룡동	29,582	1.18	25,069
2016	관악구	난곡동	30,539	0.96	31,811
2016	관악구	삼성동	27,467	2.66	10,326
2016	관악구	미성동	33,604	1.38	24,351
2016	서초구	소계	451,477	46.98	9,610
2016	서초구	서초1동	21,388	1.42	15,062
2016	서초구	서초2동	21,239	1.24	17,128
2016	서초구	서초3동	30,123	2.93	10,281
2016	서초구	서초4동	29,019	0.88	32,976
2016	서초구	잠원동	35,035	1.76	19,906
2016	서초구	반포본동	12,961	1.01	12,833
2016	서초구	반포1동	30,431	1	30,431
2016	서초구	반포2동	23,491	1.35	17,401
2016	서초구	반포3동	19,259	1.28	15,046
2016	서초구	반포4동	20,561	1.43	14,378
2016	서초구	방배본동	21,956	0.67	32,770
2016	서초구	방배1동	17,202	0.7	24,574
2016	서초구	방배2동	27,735	1.93	14,370
2016	서초구	방배3동	24,055	2.4	10,023
2016	서초구	방배4동	26,497	0.98	27,038
2016	서초구	양재1동	47,744	5.76	8,289
2016	서초구	양재2동	23,796	7.58	3,139
2016	서초구	내곡동	18,985	12.68	1,497
2016	강남구	소계	572,140	39.5	14,484
2016	강남구	신사동	18,349	1.89	9,708
2016	강남구	논현1동	24,867	1.25	19,894
2016	강남구	논현2동	22,639	1.47	15,401
2016	강남구	삼성1동	15,357	1.94	7,916
2016	강남구	삼성2동	30,999	1.24	24,999
2016	강남구	대치1동	24,834	0.79	31,435
2016	강남구	대치4동	21,292	0.73	29,167
2016	강남구	역삼1동	36,305	2.35	15,449
2016	강남구	역삼2동	37,047	1.15	32,215
2016	강남구	도곡1동	23,057	1.02	22,605
2016	강남구	도곡2동	34,934	1.02	34,249
2016	강남구	개포1동	21,162	1.27	16,663
2016	강남구	개포4동	18,550	1.49	12,450
2016	강남구	일원본동	25,104	2.58	9,730
2016	강남구	일원1동	17,275	0.92	18,777
2016	강남구	일원2동	16,520	1.24	13,323
2016	강남구	수서동	16,708	1.43	11,684
2016	강남구	세곡동	44,344	6.36	6,972
2016	강남구	압구정동	28,360	2.53	11,209
2016	강남구	청담동	30,623	2.33	13,143
2016	강남구	대치2동	42,068	2	21,034
2016	강남구	개포2동	21,746	2.51	8,664
2016	송파구	소계	664,946	33.88	19,629
2016	송파구	풍납1동	18,034	0.77	23,421
2016	송파구	풍납2동	25,842	1.59	16,253
2016	송파구	거여1동	14,774	0.51	28,969
2016	송파구	거여2동	19,609	0.53	36,998
2016	송파구	마천1동	22,912	0.58	39,503
2016	송파구	마천2동	21,128	0.89	23,739
2016	송파구	방이1동	16,358	0.5	32,716
2016	송파구	방이2동	25,446	0.8	31,808
2016	송파구	오륜동	19,714	3.17	6,219
2016	송파구	오금동	37,069	1.65	22,466
2016	송파구	송파1동	26,717	0.79	33,819
2016	송파구	송파2동	21,974	0.53	41,460
2016	송파구	석촌동	35,420	0.95	37,284
2016	송파구	삼전동	33,851	0.95	35,633
2016	송파구	가락본동	28,395	1.13	25,128
2016	송파구	가락1동	918	1.34	685
2016	송파구	가락2동	35,064	0.96	36,525
2016	송파구	문정1동	21,660	0.56	38,679
2016	송파구	문정2동	24,043	2.2	10,929
2016	송파구	장지동	35,834	1.37	26,156
2016	송파구	위례동	17,338	2.55	6,799
2016	송파구	잠실본동	30,187	0.94	32,114
2016	송파구	잠실4동	30,534	1.56	19,573
2016	송파구	잠실6동	17,689	2.79	6,340
2016	송파구	잠실7동	10,516	0.6	17,527
2016	송파구	잠실2동	36,853	2.18	16,905
2016	송파구	잠실3동	37,067	1.49	24,877
2016	강동구	소계	448,471	24.59	18,238
2016	강동구	강일동	34,356	2.8	12,270
2016	강동구	상일동	12,755	2.65	4,813
2016	강동구	명일1동	23,036	0.61	37,764
2016	강동구	명일2동	18,503	0.97	19,075
2016	강동구	고덕1동	16,318	1.73	9,432
2016	강동구	고덕2동	8,674	2.01	4,315
2016	강동구	암사2동	15,502	1.18	13,137
2016	강동구	암사3동	19,293	2.51	7,686
2016	강동구	천호1동	29,555	0.71	41,627
2016	강동구	천호3동	25,857	0.79	32,730
2016	강동구	성내1동	20,992	0.58	36,193
2016	강동구	성내2동	25,979	0.67	38,775
2016	강동구	성내3동	24,628	0.71	34,687
2016	강동구	둔촌1동	18,715	0.92	20,342
2016	강동구	둔촌2동	28,760	0.98	29,347
2016	강동구	암사1동	37,988	1.02	37,243
2016	강동구	천호2동	36,126	1.57	23,010
2016	강동구	길동	51,434	2.17	23,702
