기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2016	중랑구	망우본동	892	-	1,265	808	1,114	66	131	18	20	-	-
2016	중랑구	기타	-	43	491	-	-	-	-	-	-	43	491
2016	성북구	소계	8,434	31	12,888	7,036	9,625	1,138	2,402	260	359	31	502
2016	성북구	돈암1동	296	-	426	250	331	37	85	9	10	-	-
2016	성북구	돈암2동	180	-	239	154	194	23	42	3	3	-	-
2016	성북구	안암동	250	-	335	212	271	25	47	13	17	-	-
2016	성북구	보문동	280	-	380	246	323	26	49	8	8	-	-
2016	성북구	정릉1동	230	-	345	194	261	32	77	4	7	-	-
2016	성북구	정릉2동	423	-	639	342	483	63	128	18	28	-	-
2016	성북구	정릉3동	476	-	678	399	528	59	128	18	22	-	-
2016	성북구	정릉4동	502	-	772	408	577	77	176	17	19	-	-
2016	성북구	길음1동	339	-	503	292	409	39	83	8	11	-	-
2016	성북구	길음2동	258	-	330	220	268	31	53	7	9	-	-
2016	성북구	월곡1동	495	-	699	410	541	69	134	16	24	-	-
2016	성북구	월곡2동	437	-	590	365	456	64	124	8	10	-	-
2016	성북구	장위1동	708	-	1,230	566	887	121	310	21	33	-	-
2016	성북구	장위2동	636	-	998	516	736	100	229	20	33	-	-
2016	성북구	장위3동	383	-	618	307	452	68	155	8	11	-	-
2016	성북구	성북동	263	-	370	226	302	30	58	7	10	-	-
2016	성북구	삼선동	522	-	781	428	603	75	151	19	27	-	-
2016	성북구	동선동	267	-	336	220	272	38	55	9	9	-	-
2016	성북구	종암동	752	-	1,062	637	844	93	184	22	34	-	-
2016	성북구	석관동	737	-	1,055	644	887	68	134	25	34	-	-
2016	성북구	기타	-	31	502	-	-	-	-	-	-	31	502
2016	강북구	소계	9,993	32	15,325	8,676	12,419	958	2,056	359	564	32	286
2016	강북구	번1동	549	-	717	472	596	62	98	15	23	-	-
2016	강북구	번2동	789	-	1,303	672	1,026	91	229	26	48	-	-
2016	강북구	번3동	1,261	-	2,184	1,086	1,760	126	332	49	92	-	-
2016	강북구	수유1동	711	-	1,113	631	948	59	130	21	35	-	-
2016	강북구	수유2동	617	-	928	538	761	58	137	21	30	-	-
2016	강북구	수유3동	658	-	895	577	765	57	94	24	36	-	-
2016	강북구	삼양동	994	-	1,491	837	1,188	121	251	36	52	-	-
2016	강북구	미아동	559	-	744	475	610	61	101	23	33	-	-
2016	강북구	송중동	694	-	948	631	838	40	80	23	30	-	-
2016	강북구	송천동	871	-	1,189	778	1,022	62	120	31	47	-	-
2016	강북구	삼각산동	753	-	1,084	636	873	84	161	33	50	-	-
2016	강북구	우이동	527	-	807	459	662	50	116	18	29	-	-
2016	강북구	인수동	1,010	-	1,636	884	1,370	87	207	39	59	-	-
2016	강북구	기타	-	32	286	-	-	-	-	-	-	32	286
2016	도봉구	소계	6,641	54	10,331	5,633	8,051	837	1,760	171	258	54	262
2016	도봉구	쌍문1동	572	-	872	490	690	73	167	9	15	-	-
2016	도봉구	쌍문2동	511	-	798	411	608	72	152	28	38	-	-
2016	도봉구	쌍문3동	334	-	464	286	372	43	83	5	9	-	-
2016	도봉구	쌍문4동	130	-	184	106	135	16	38	8	11	-	-
2016	도봉구	방학1동	750	-	1,141	620	873	117	247	13	21	-	-
2016	도봉구	방학2동	1,139	-	1,867	988	1,562	117	255	34	50	-	-
2016	도봉구	방학3동	199	-	285	184	257	10	20	5	8	-	-
2016	도봉구	창1동	272	-	369	231	291	33	68	8	10	-	-
2016	도봉구	창2동	517	-	889	431	679	75	187	11	23	-	-
2016	도봉구	창3동	526	-	813	442	638	75	159	9	16	-	-
2016	도봉구	창4동	195	-	275	162	212	29	59	4	4	-	-
2016	도봉구	창5동	229	-	351	195	284	30	63	4	4	-	-
2016	도봉구	도봉1동	709	-	1,016	617	828	77	168	15	20	-	-
2016	도봉구	도봉2동	558	-	745	470	622	70	94	18	29	-	-
2016	도봉구	기타	-	54	262	-	-	-	-	-	-	54	262
2016	노원구	소계	15,384	41	24,889	13,421	20,077	1,676	3,526	287	485	41	801
2016	노원구	월계1동	470	-	644	415	558	48	73	7	13	-	-
2016	노원구	월계2동	1,812	-	2,749	1,602	2,328	179	372	31	49	-	-
2016	노원구	월계3동	1,106	-	1,642	971	1,381	108	209	27	52	-	-
2016	노원구	공릉2동	419	-	626	379	565	32	52	8	9	-	-
2016	노원구	하계1동	1,634	-	2,539	1,421	2,110	189	383	24	46	-	-
2016	노원구	하계2동	568	-	1,005	496	829	61	155	11	21	-	-
2016	노원구	중계본동	275	-	438	238	360	29	66	8	12	-	-
2016	노원구	중계1동	376	-	607	321	505	50	91	5	11	-	-
2016	노원구	중계4동	913	-	1,378	787	1,119	112	238	14	21	-	-
2016	노원구	상계1동	686	-	1,049	612	901	67	133	7	15	-	-
2016	노원구	상계2동	479	-	716	386	552	78	143	15	21	-	-
2016	노원구	상계5동	798	-	1,284	664	1,008	114	239	20	37	-	-
2016	노원구	상계8동	106	-	158	98	137	8	21	-	-	-	-
2016	노원구	상계9동	177	-	298	159	254	14	38	4	6	-	-
2016	노원구	상계10동	187	-	298	157	241	27	54	3	3	-	-
2016	노원구	상계3.4동	1,405	-	2,014	1,208	1,654	163	319	34	41	-	-
2016	노원구	상계6.7동	388	-	734	324	570	56	149	8	15	-	-
2016	노원구	중계2.3동	2,367	-	4,120	2,083	3,460	254	606	30	54	-	-
2016	노원구	공릉1동	1,218	-	1,789	1,100	1,545	87	185	31	59	-	-
2016	노원구	기타	-	41	801	-	-	-	-	-	-	41	801
2016	은평구	소계	10,045	39	17,644	8,472	12,208	1,148	2,490	425	635	39	2,311
