기간	자치구	동	사업체수	종사자수	평균종사자	사업체 평균연령
2016	노원구	월계3동	965	3,371	3.49	14년6개월
2016	노원구	공릉2동	1,944	11,763	6.05	11년9개월
2016	노원구	하계1동	1,023	7,727	7.55	10년11개월
2016	노원구	하계2동	387	1,248	3.22	16년4개월
2016	노원구	중계본동	1,184	5,296	4.47	10년1개월
2016	노원구	중계1동	951	4,219	4.44	10년6개월
2016	노원구	중계4동	1,044	3,766	3.61	10년1개월
2016	노원구	상계1동	3,133	10,559	3.37	16년12개월
2016	노원구	상계2동	2,459	9,991	4.06	6년10개월
2016	노원구	상계5동	1,568	4,708	3	9년6개월
2016	노원구	상계8동	577	1,935	3.35	13년7개월
2016	노원구	상계9동	721	2,519	3.49	14년10개월
2016	노원구	상계10동	469	2,191	4.67	14년5개월
2016	노원구	상계3.4동	1,434	4,495	3.13	12년8개월
2016	노원구	상계6.7동	1,910	14,943	7.82	11년2개월
2016	노원구	중계2.3동	1,360	5,472	4.02	11년1개월
2016	노원구	공릉1동	2,776	11,472	4.13	10년6개월
2016	은평구	계	24,615	90,203	3.66	11년3개월
2016	은평구	녹번동	1,900	9,821	5.17	10년5개월
2016	은평구	불광1동	1,640	6,326	3.86	10년9개월
2016	은평구	갈현1동	1,419	4,944	3.48	9년3개월
2016	은평구	갈현2동	1,594	6,148	3.86	10년2개월
2016	은평구	구산동	1,209	5,252	4.34	13년3개월
2016	은평구	대조동	2,553	8,019	3.14	9년3개월
2016	은평구	응암1동	1,680	7,696	4.58	10년4개월
2016	은평구	응암2동	610	1,823	2.99	12년0개월
2016	은평구	신사1동	1,290	3,909	3.03	12년1개월
2016	은평구	신사2동	1,639	3,686	2.25	20년11개월
2016	은평구	증산동	1,130	4,192	3.71	11년6개월
2016	은평구	수색동	727	2,695	3.71	13년11개월
2016	은평구	진관동	1,539	8,504	5.53	8년2개월
2016	은평구	불광2동	1,347	4,290	3.18	11년10개월
2016	은평구	응암3동	1,815	4,965	2.74	10년2개월
2016	은평구	역촌동	2,523	7,933	3.14	10년1개월
2016	서대문구	계	19,540	113,979	5.83	9년8개월
2016	서대문구	천연동	922	2,835	3.07	10년5개월
2016	서대문구	홍제1동	1,119	4,489	4.01	9년10개월
2016	서대문구	홍제3동	1,255	3,790	3.02	11년3개월
2016	서대문구	홍제2동	590	1,677	2.84	8년11개월
2016	서대문구	홍은1동	981	2,470	2.52	10년7개월
2016	서대문구	홍은2동	1,168	5,372	4.6	9년11개월
2016	서대문구	남가좌1동	733	2,047	2.79	11년2개월
2016	서대문구	남가좌2동	1,308	4,207	3.22	9년1개월
2016	서대문구	북가좌1동	642	3,126	4.87	8년8개월
2016	서대문구	북가좌2동	2,330	7,183	3.08	11년8개월
2016	서대문구	충현동	1,812	25,628	14.14	10년5개월
2016	서대문구	북아현동	790	2,099	2.66	10년2개월
2016	서대문구	신촌동	3,642	37,929	10.41	7년3개월
2016	서대문구	연희동	2,248	11,127	4.95	9년5개월
2016	마포구	계	36,191	250,605	6.92	7년9개월
2016	마포구	용강동	2,608	19,216	7.37	8년5개월
2016	마포구	대흥동	1,583	9,646	6.09	9년0개월
2016	마포구	염리동	720	3,618	5.03	9년5개월
2016	마포구	신수동	1,174	5,334	4.54	8년11개월
2016	마포구	서교동	9,536	62,203	6.52	6년2개월
2016	마포구	합정동	2,049	14,716	7.18	7년3개월
2016	마포구	망원1동	1,771	4,705	2.66	9년4개월
2016	마포구	망원2동	1,362	5,226	3.84	8년7개월
2016	마포구	연남동	1,506	5,926	3.93	6년6개월
2016	마포구	성산1동	1,539	11,078	7.2	9년1개월
2016	마포구	성산2동	1,782	11,771	6.61	9년1개월
2016	마포구	상암동	2,341	38,152	16.3	6년1개월
2016	마포구	도화동	2,012	15,583	7.75	9년1개월
2016	마포구	서강동	1,699	11,958	7.04	6년7개월
2016	마포구	공덕동	2,764	18,875	6.83	9년3개월
2016	마포구	아현동	1,745	12,598	7.22	8년7개월
2016	양천구	계	26,108	117,259	4.49	10년9개월
2016	양천구	목1동	2,943	20,725	7.04	7년3개월
2016	양천구	목2동	1,139	4,094	3.59	10년9개월
2016	양천구	목3동	1,242	4,644	3.74	9년6개월
2016	양천구	목4동	1,326	3,853	2.91	9년4개월
2016	양천구	신월1동	1,775	5,063	2.85	10년11개월
2016	양천구	신월2동	1,239	3,984	3.22	13년2개월
2016	양천구	신월3동	958	4,277	4.46	11년11개월
2016	양천구	신월4동	1,164	3,745	3.22	12년6개월
2016	양천구	신월5동	1,010	4,422	4.38	10년6개월
2016	양천구	신월6동	1,460	3,231	2.21	22년7개월
2016	양천구	신월7동	1,391	5,695	4.09	12년2개월
2016	양천구	신정1동	1,099	4,929	4.48	9년1개월
2016	양천구	신정2동	1,104	3,612	3.27	8년10개월
2016	양천구	신정3동	1,882	9,536	5.07	12년8개월
2016	양천구	신정6동	738	5,769	7.82	8년8개월
2016	양천구	신정7동	991	4,481	4.52	11년7개월
2016	양천구	목5동	1,525	10,258	6.73	8년3개월
2016	양천구	신정4동	3,122	14,941	4.79	8년10개월
2016	강서구	계	34,662	207,406	5.98	10년5개월
2016	강서구	염창동	2,149	15,633	7.27	10년8개월
2016	강서구	등촌1동	1,939	15,729	8.11	8년9개월
2016	강서구	등촌2동	735	3,454	4.7	11년0개월
2016	강서구	등촌3동	2,627	22,329	8.5	9년1개월
2016	강서구	화곡본동	1,355	4,047	2.99	11년1개월
2016	강서구	화곡2동	852	2,790	3.27	10년2개월
2016	강서구	화곡3동	1,227	5,360	4.37	8년6개월
2016	강서구	화곡4동	1,444	3,860	2.67	9년12개월
2016	강서구	화곡6동	1,850	11,322	6.12	8년11개월
2016	강서구	화곡8동	1,230	3,229	2.63	9년9개월
2016	강서구	가양1동	1,809	14,040	7.76	8년5개월
2016	강서구	가양2동	640	3,495	5.46	10년8개월
2016	강서구	가양3동	933	7,631	8.18	12년4개월
2016	강서구	발산1동	2,322	11,966	5.15	10년2개월
2016	강서구	공항동	1,973	35,503	17.99	9년6개월
2016	강서구	방화1동	2,879	10,377	3.6	12년0개월
2016	강서구	방화2동	2,932	13,631	4.65	14년10개월
2016	강서구	방화3동	932	4,739	5.08	13년7개월
2016	강서구	화곡1동	3,126	10,841	3.47	9년2개월
2016	강서구	우장산동	1,708	7,430	4.35	9년1개월
2016	구로구	계	38,033	211,391	5.56	9년7개월
2016	구로구	신도림동	2,835	14,839	5.23	9년1개월
2016	구로구	구로1동	626	3,021	4.83	9년11개월
2016	구로구	구로3동	6,881	82,785	12.03	7년10개월
2016	구로구	구로4동	2,023	5,011	2.48	9년2개월
2016	구로구	구로5동	4,857	26,516	5.46	8년11개월
2016	구로구	고척1동	2,629	9,475	3.6	10년10개월
2016	구로구	고척2동	1,427	3,976	2.79	10년2개월
2016	구로구	개봉2동	1,133	2,989	2.64	10년0개월
2016	구로구	개봉3동	1,012	5,099	5.04	9년10개월
2016	구로구	오류1동	1,121	5,158	4.6	9년10개월
2016	구로구	오류2동	1,573	7,882	5.01	9년2개월
2016	구로구	수궁동	1,272	5,881	4.62	11년1개월
2016	구로구	가리봉동	976	2,820	2.89	9년5개월
2016	구로구	구로2동	7,912	30,343	3.84	11년2개월
2016	구로구	개봉1동	1,756	5,596	3.19	9년7개월
2016	금천구	계	30,987	225,578	7.28	8년9개월
2016	금천구	가산동	13,752	153,745	11.18	7년9개월
2016	금천구	독산1동	3,922	24,440	6.23	9년7개월
2016	금천구	독산2동	1,178	3,542	3.01	8년5개월
2016	금천구	독산3동	2,190	8,267	3.77	8년10개월
2016	금천구	독산4동	1,011	3,674	3.63	8년9개월
2016	금천구	시흥1동	2,986	13,912	4.66	8년11개월
2016	금천구	시흥2동	576	2,005	3.48	9년6개월
2016	금천구	시흥3동	3,340	10,610	3.18	11년1개월
2016	금천구	시흥4동	859	1,938	2.26	9년0개월
2016	금천구	시흥5동	1,173	3,445	2.94	9년5개월
2016	영등포구	계	43,678	366,625	8.39	10년6개월
2016	영등포구	여의동	7,966	152,605	19.16	9년9개월
2016	영등포구	당산1동	3,183	18,621	5.85	9년3개월
2016	영등포구	당산2동	2,306	21,446	9.3	8년8개월
2016	영등포구	양평1동	3,246	23,475	7.23	12년10개월
2016	영등포구	양평2동	2,154	19,830	9.21	9년9개월
2016	영등포구	신길1동	1,176	6,721	5.72	11년2개월
2016	영등포구	신길3동	985	2,745	2.79	11년8개월
2016	영등포구	신길4동	491	1,691	3.44	12년2개월
2016	영등포구	신길5동	655	3,031	4.63	12년1개월
2016	영등포구	신길6동	1,277	4,697	3.68	10년11개월
2016	영등포구	신길7동	533	2,676	5.02	10년4개월
2016	영등포구	대림1동	1,128	4,251	3.77	9년9개월
2016	영등포구	대림2동	1,390	4,513	3.25	8년2개월
2016	영등포구	대림3동	2,807	11,203	3.99	12년8개월
2016	영등포구	영등포본동	1,470	5,715	3.89	9년2개월
2016	영등포구	영등포동	6,524	39,392	6.04	10년7개월
2016	영등포구	도림동	984	3,334	3.39	10년5개월
2016	영등포구	문래동	5,403	40,679	7.53	11년4개월
2016	동작구	계	19,747	108,058	5.47	10년5개월
2016	동작구	노량진2동	1,554	6,340	4.08	12년5개월
2016	동작구	상도1동	1,704	8,381	4.92	9년11개월
2016	동작구	상도2동	1,287	4,543	3.53	9년9개월
2016	동작구	상도3동	946	2,683	2.84	11년2개월
2016	동작구	상도4동	983	2,910	2.96	11년10개월
2016	동작구	사당1동	1,845	9,566	5.18	8년9개월
2016	동작구	사당3동	1,005	4,316	4.29	11년6개월
2016	동작구	사당4동	684	1,738	2.54	10년3개월
2016	동작구	사당5동	506	1,709	3.38	10년12개월
2016	동작구	대방동	1,660	12,152	7.32	10년5개월
2016	동작구	신대방1동	1,060	4,364	4.12	9년11개월
2016	동작구	신대방2동	1,219	24,086	19.76	9년7개월
2016	동작구	흑석동	1,495	10,142	6.78	10년10개월
2016	동작구	노량진1동	2,148	9,310	4.33	11년3개월
2016	동작구	사당2동	1,651	5,818	3.52	8년8개월
2016	관악구	계	26,377	113,781	4.31	10년5개월
2016	관악구	보라매동	1,397	6,434	4.61	9년7개월
2016	관악구	청림동	443	1,185	2.67	10년12개월
2016	관악구	행운동	1,464	6,151	4.2	9년7개월
2016	관악구	낙성대동	1,265	7,741	6.12	8년3개월
2016	관악구	중앙동	1,086	5,076	4.67	10년6개월
2016	관악구	인헌동	1,047	4,006	3.83	10년8개월
2016	관악구	남현동	874	5,163	5.91	9년9개월
2016	관악구	서원동	1,296	7,974	6.15	8년8개월
2016	관악구	신원동	851	2,453	2.88	10년3개월
2016	관악구	서림동	1,316	3,296	2.5	16년8개월
2016	관악구	신사동	1,422	4,712	3.31	8년12개월
2016	관악구	신림동	1,623	5,671	3.49	7년2개월
2016	관악구	난향동	420	1,926	4.59	12년11개월
2016	관악구	조원동	2,184	7,073	3.24	10년0개월
2016	관악구	대학동	1,701	12,609	7.41	8년7개월
2016	관악구	은천동	1,596	7,330	4.59	11년3개월
2016	관악구	성현동	880	2,964	3.37	11년11개월
2016	관악구	청룡동	1,866	11,207	6.01	9년5개월
2016	관악구	난곡동	959	2,411	2.51	12년11개월
2016	관악구	삼성동	1,062	2,372	2.23	14년9개월
2016	관악구	미성동	1,625	6,027	3.71	11년2개월
2016	서초구	계	46,404	427,227	9.21	8년9개월
2016	서초구	서초1동	3,626	29,810	8.22	8년12개월
2016	서초구	서초2동	4,406	48,060	10.91	8년3개월
2016	서초구	서초3동	7,466	74,335	9.96	8년8개월
2016	서초구	서초4동	2,916	27,163	9.32	7년10개월
2016	서초구	잠원동	2,273	16,956	7.46	8년1개월
2016	서초구	반포본동	677	2,727	4.03	9년10개월
2016	서초구	반포1동	1,517	8,836	5.82	7년1개월
2016	서초구	반포2동	452	2,841	6.29	9년1개월
2016	서초구	반포3동	922	7,073	7.67	9년4개월
2016	서초구	반포4동	3,594	32,423	9.02	9년1개월
2016	서초구	방배본동	1,670	10,580	6.34	8년2개월
2016	서초구	방배1동	1,767	14,930	8.45	8년4개월
2016	서초구	방배2동	1,957	17,422	8.9	8년2개월
2016	서초구	방배3동	1,222	13,934	11.4	10년9개월
2016	서초구	방배4동	2,384	14,073	5.9	8년9개월
2016	서초구	양재1동	3,631	46,647	12.85	9년2개월
2016	서초구	양재2동	5,257	50,006	9.51	9년3개월
2016	서초구	내곡동	667	9,411	14.11	11년5개월
2016	강남구	계	72,281	689,623	9.54	7년11개월
2016	강남구	신사동	4,503	27,741	6.16	6년10개월
2016	강남구	논현1동	5,788	44,157	7.63	7년3개월
2016	강남구	논현2동	5,656	60,642	10.72	7년7개월
2016	강남구	삼성1동	4,330	66,958	15.46	7년8개월
2016	강남구	삼성2동	3,734	38,887	10.41	8년0개월
2016	강남구	대치1동	1,066	7,154	6.71	7년9개월
2016	강남구	대치4동	3,716	27,829	7.49	6년6개월
2016	강남구	역삼1동	15,079	147,157	9.76	6년11개월
2016	강남구	역삼2동	3,416	38,937	11.4	7년10개월
2016	강남구	도곡1동	1,614	17,135	10.62	8년1개월
2016	강남구	도곡2동	1,926	22,629	11.75	8년6개월
2016	강남구	개포1동	503	1,616	3.21	12년1개월
2016	강남구	개포4동	2,221	12,024	5.41	9년7개월
2016	강남구	일원본동	564	8,402	14.9	10년10개월
2016	강남구	일원1동	1,870	7,340	3.93	17년8개월
2016	강남구	일원2동	636	10,125	15.92	11년4개월
2016	강남구	수서동	1,584	15,857	10.01	9년9개월
2016	강남구	세곡동	950	5,285	5.56	8년1개월
2016	강남구	압구정동	4,314	29,474	6.83	7년2개월
2016	강남구	청담동	4,497	39,652	8.82	7년7개월
2016	강남구	대치2동	3,468	57,241	16.51	9년0개월
2016	강남구	개포2동	846	3,381	4	10년3개월
2016	송파구	계	45,555	312,661	6.86	8년10개월
2016	송파구	풍납1동	770	2,443	3.17	9년10개월
2016	송파구	풍납2동	1,182	15,395	13.02	9년5개월
2016	송파구	거여1동	881	3,041	3.45	9년3개월
2016	송파구	거여2동	951	4,152	4.37	9년8개월
2016	송파구	마천1동	948	2,165	2.28	9년3개월
2016	송파구	마천2동	1,373	4,414	3.21	9년5개월
2016	송파구	방이1동	1,326	12,889	9.72	8년1개월
2016	송파구	방이2동	2,969	22,135	7.46	7년10개월
2016	송파구	오륜동	516	4,514	8.75	14년2개월
2016	송파구	오금동	2,427	16,661	6.86	9년1개월
2016	송파구	송파1동	2,487	13,710	5.51	9년2개월
2016	송파구	송파2동	936	6,088	6.5	8년4개월
2016	송파구	석촌동	2,663	13,767	5.17	8년7개월
2016	송파구	삼전동	2,050	14,868	7.25	7년12개월
2016	송파구	가락본동	3,598	28,777	8	7년12개월
2016	송파구	가락1동	2,865	10,639	3.71	14년9개월
2016	송파구	가락2동	1,909	10,539	5.52	8년5개월
2016	송파구	문정1동	1,381	8,917	6.46	7년12개월
2016	송파구	문정2동	3,823	24,211	6.33	8년3개월
2016	송파구	장지동	1,426	10,324	7.24	8년3개월
2016	송파구	위례동	329	2,815	8.56	3년4개월
2016	송파구	잠실본동	3,149	22,442	7.13	7년6개월
2016	송파구	잠실4동	503	2,071	4.12	7년11개월
2016	송파구	잠실6동	2,493	39,676	15.91	8년10개월
2016	송파구	잠실7동	199	1,194	6	11년11개월
2016	송파구	잠실2동	821	4,616	5.62	5년12개월
2016	송파구	잠실3동	1,580	10,198	6.45	7년3개월
2016	강동구	계	30,268	141,100	4.66	8년10개월
2016	강동구	강일동	946	15,030	15.89	7년10개월
2016	강동구	상일동	1,018	5,201	5.11	10년2개월
2016	강동구	명일1동	1,681	6,083	3.62	8년1개월
2016	강동구	명일2동	1,151	4,698	4.08	8년3개월
2016	강동구	고덕1동	610	1,993	3.27	9년6개월
2016	강동구	고덕2동	1,786	3,245	1.82	15년5개월
2016	강동구	암사2동	864	5,139	5.95	8년9개월
2016	강동구	암사3동	609	2,009	3.3	8년12개월
2016	강동구	천호1동	1,529	5,643	3.69	8년11개월
2016	강동구	천호3동	1,863	7,584	4.07	8년5개월
2016	강동구	성내1동	2,105	18,175	8.63	8년10개월
2016	강동구	성내2동	1,978	7,625	3.85	7년11개월
2016	강동구	성내3동	2,461	9,455	3.84	7년12개월
2016	강동구	둔촌1동	408	1,371	3.36	11년7개월
2016	강동구	둔촌2동	1,637	9,468	5.78	8년7개월
2016	강동구	암사1동	1,927	5,510	2.86	8년4개월
2016	강동구	천호2동	3,707	14,190	3.83	8년1개월
2016	강동구	길동	3,988	18,681	4.68	8년3개월
