기간	자치구	동	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	광업	광업	광업	광업	광업	광업	광업	광업	광업	광업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업
2012	종로구	종로5·6가동	22	482	7,040	60,225	63,094	…	…	27,522	32,703	21,230	-	-	-	-	-	-	-	-	-	-	22	482	7,040	60,225	63,094	…	…	27,522	32,703	21,230
2012	종로구	이화동	3	42	880	11,521	11,189	…	…	7,886	3,635	536	-	-	-	-	-	-	-	-	-	-	3	42	880	11,521	11,189	…	…	7,886	3,635	536
2012	종로구	창신2동	4	50	589	1,808	1,804	…	…	1,099	709	151	-	-	-	-	-	-	-	-	-	-	4	50	589	1,808	1,804	…	…	1,099	709	151
2012	종로구	숭인1동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	종로구	숭인2동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	종로구	청운효자동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	종로구	혜화동	3	74	1,199	3,547	3,562	…	…	1,007	2,540	2,068	-	-	-	-	-	-	-	-	-	-	3	74	1,199	3,547	3,562	…	…	1,007	2,540	2,068
2012	중구	소계	306	5,122	136,759	774,792	774,511	14,559	14,840	423,527	351,265	254,968	-	-	-	-	-	-	-	-	-	-	306	5,122	136,759	774,792	774,511	14,559	14,840	423,527	351,265	254,968
2012	중구	소공동	6	117	3,970	12,891	12,875	…	…	6,201	6,690	1,240	-	-	-	-	-	-	-	-	-	-	6	117	3,970	12,891	12,875	…	…	6,201	6,690	1,240
2012	중구	회현동	3	44	1,272	4,130	4,010	…	…	1,474	2,656	2,068	-	-	-	-	-	-	-	-	-	-	3	44	1,272	4,130	4,010	…	…	1,474	2,656	2,068
2012	중구	명동	17	323	8,380	34,208	34,616	…	…	17,091	17,117	8,032	-	-	-	-	-	-	-	-	-	-	17	323	8,380	34,208	34,616	…	…	17,091	17,117	8,032
2012	중구	필동	92	1,515	49,818	280,192	279,648	…	…	151,410	128,782	108,740	-	-	-	-	-	-	-	-	-	-	92	1,515	49,818	280,192	279,648	…	…	151,410	128,782	108,740
2012	중구	장충동	19	311	7,112	55,199	55,151	…	…	34,422	20,777	11,382	-	-	-	-	-	-	-	-	-	-	19	311	7,112	55,199	55,151	…	…	34,422	20,777	11,382
2012	중구	광희동	53	913	22,085	149,543	149,633	…	…	84,038	65,505	59,187	-	-	-	-	-	-	-	-	-	-	53	913	22,085	149,543	149,633	…	…	84,038	65,505	59,187
2012	중구	을지로동	60	975	25,678	146,470	146,541	…	…	78,508	67,962	52,173	-	-	-	-	-	-	-	-	-	-	60	975	25,678	146,470	146,541	…	…	78,508	67,962	52,173
2012	중구	신당1동	8	82	1,056	6,483	6,522	…	…	3,477	3,006	308	-	-	-	-	-	-	-	-	-	-	8	82	1,056	6,483	6,522	…	…	3,477	3,006	308
2012	중구	신당2동	8	205	5,642	28,404	28,451	…	…	14,926	13,478	698	-	-	-	-	-	-	-	-	-	-	8	205	5,642	28,404	28,451	…	…	14,926	13,478	698
2012	중구	신당3동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	중구	신당4동	8	140	2,921	14,678	14,712	…	…	10,120	4,558	2,745	-	-	-	-	-	-	-	-	-	-	8	140	2,921	14,678	14,712	…	…	10,120	4,558	2,745
2012	중구	신당5동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	중구	신당6동	24	319	5,392	27,087	27,090	…	…	15,338	11,749	6,730	-	-	-	-	-	-	-	-	-	-	24	319	5,392	27,087	27,090	…	…	15,338	11,749	6,730
2012	중구	황학동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	중구	중림동	3	122	2,320	10,119	9,716	…	…	4,249	5,870	1,016	-	-	-	-	-	-	-	-	-	-	3	122	2,320	10,119	9,716	…	…	4,249	5,870	1,016
2012	용산구	소계	37	617	13,737	151,554	150,564	3,992	4,982	73,513	78,041	24,422	-	-	-	-	-	-	-	-	-	-	37	617	13,737	151,554	150,564	3,992	4,982	73,513	78,041	24,422
2012	용산구	후암동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	용산구	남영동	3	43	911	3,463	3,464	…	…	1,416	2,047	2,095	-	-	-	-	-	-	-	-	-	-	3	43	911	3,463	3,464	…	…	1,416	2,047	2,095
2012	용산구	원효로2동	3	48	1,701	16,326	16,335	…	…	7,905	8,421	5,712	-	-	-	-	-	-	-	-	-	-	3	48	1,701	16,326	16,335	…	…	7,905	8,421	5,712
2012	용산구	효창동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	용산구	용문동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	용산구	이태원1동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	용산구	서빙고동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	용산구	보광동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	용산구	청파동	8	175	3,030	20,546	20,546	…	…	11,004	9,542	6,122	-	-	-	-	-	-	-	-	-	-	8	175	3,030	20,546	20,546	…	…	11,004	9,542	6,122
2012	용산구	원효로1동	4	60	1,132	12,935	12,939	…	…	7,809	5,126	65	-	-	-	-	-	-	-	-	-	-	4	60	1,132	12,935	12,939	…	…	7,809	5,126	65
2012	용산구	한강로동	7	112	2,563	17,342	17,126	…	…	7,771	9,571	2,962	-	-	-	-	-	-	-	-	-	-	7	112	2,563	17,342	17,126	…	…	7,771	9,571	2,962
2012	용산구	한남동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	성동구	소계	586	15,791	452,272	4,501,940	4,491,761	446,098	456,277	2,539,820	1,962,120	950,755	-	-	-	-	-	-	-	-	-	-	586	15,791	452,272	4,501,940	4,491,761	446,098	456,277	2,539,820	1,962,120	950,755
2012	성동구	왕십리2동	6	129	4,236	55,150	55,375	…	…	39,212	15,938	4,671	-	-	-	-	-	-	-	-	-	-	6	129	4,236	55,150	55,375	…	…	39,212	15,938	4,671
2012	성동구	마장동	12	179	5,070	34,417	34,086	…	…	21,338	13,079	6,480	-	-	-	-	-	-	-	-	-	-	12	179	5,070	34,417	34,086	…	…	21,338	13,079	6,480
2012	성동구	행당1동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	성동구	금호1가동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	성동구	성수1가1동	32	632	14,878	146,907	147,283	…	…	86,956	59,951	16,481	-	-	-	-	-	-	-	-	-	-	32	632	14,878	146,907	147,283	…	…	86,956	59,951	16,481
2012	성동구	성수1가2동	69	1,307	35,287	288,735	288,803	…	…	196,723	92,012	55,726	-	-	-	-	-	-	-	-	-	-	69	1,307	35,287	288,735	288,803	…	…	196,723	92,012	55,726
2012	성동구	성수2가1동	85	1,938	51,245	527,549	521,598	…	…	345,153	182,396	113,803	-	-	-	-	-	-	-	-	-	-	85	1,938	51,245	527,549	521,598	…	…	345,153	182,396	113,803
2012	성동구	성수2가3동	334	10,561	311,669	3,096,004	3,088,061	…	…	1,627,968	1,468,036	705,036	-	-	-	-	-	-	-	-	-	-	334	10,561	311,669	3,096,004	3,088,061	…	…	1,627,968	1,468,036	705,036
2012	성동구	송정동	8	178	4,930	84,742	85,805	…	…	68,389	16,353	6,347	-	-	-	-	-	-	-	-	-	-	8	178	4,930	84,742	85,805	…	…	68,389	16,353	6,347
2012	성동구	용답동	22	614	19,786	209,140	211,157	…	…	117,348	91,792	38,864	-	-	-	-	-	-	-	-	-	-	22	614	19,786	209,140	211,157	…	…	117,348	91,792	38,864
2012	성동구	왕십리도선동	11	151	3,094	25,325	25,389	…	…	11,205	14,120	1,196	-	-	-	-	-	-	-	-	-	-	11	151	3,094	25,325	25,389	…	…	11,205	14,120	1,196
2012	성동구	옥수동	4	62	1,598	27,155	27,388	…	…	20,707	6,448	1,516	-	-	-	-	-	-	-	-	-	-	4	62	1,598	27,155	27,388	…	…	20,707	6,448	1,516
2012	광진구	소계	129	2,704	65,126	713,698	703,920	61,853	71,631	412,291	301,407	122,494	-	-	-	-	-	-	-	-	-	-	129	2,704	65,126	713,698	703,920	61,853	71,631	412,291	301,407	122,494
2012	광진구	화양동	5	123	3,426	28,004	28,582	…	…	14,121	13,883	2,459	-	-	-	-	-	-	-	-	-	-	5	123	3,426	28,004	28,582	…	…	14,121	13,883	2,459
2012	광진구	군자동	5	106	2,641	18,051	17,815	…	…	11,585	6,466	6,815	-	-	-	-	-	-	-	-	-	-	5	106	2,641	18,051	17,815	…	…	11,585	6,466	6,815
2012	광진구	중곡1동	29	639	18,036	243,020	236,496	…	…	142,306	100,714	67,895	-	-	-	-	-	-	-	-	-	-	29	639	18,036	243,020	236,496	…	…	142,306	100,714	67,895
2012	광진구	중곡2동	14	225	4,918	45,603	45,691	…	…	30,665	14,938	2,526	-	-	-	-	-	-	-	-	-	-	14	225	4,918	45,603	45,691	…	…	30,665	14,938	2,526
2012	광진구	중곡3동	11	186	2,581	16,315	16,266	…	…	10,078	6,237	2,715	-	-	-	-	-	-	-	-	-	-	11	186	2,581	16,315	16,266	…	…	10,078	6,237	2,715
2012	광진구	중곡4동	10	174	3,857	31,699	31,530	…	…	20,340	11,359	6,893	-	-	-	-	-	-	-	-	-	-	10	174	3,857	31,699	31,530	…	…	20,340	11,359	6,893
2012	광진구	능동	4	59	1,012	18,521	18,457	…	…	13,952	4,569	1,103	-	-	-	-	-	-	-	-	-	-	4	59	1,012	18,521	18,457	…	…	13,952	4,569	1,103
2012	광진구	구의1동	5	57	1,651	14,224	14,237	…	…	10,137	4,087	280	-	-	-	-	-	-	-	-	-	-	5	57	1,651	14,224	14,237	…	…	10,137	4,087	280
2012	광진구	구의2동	5	237	3,920	36,062	36,102	…	…	27,476	8,586	10,250	-	-	-	-	-	-	-	-	-	-	5	237	3,920	36,062	36,102	…	…	27,476	8,586	10,250
2012	광진구	구의3동	6	158	4,809	56,786	53,944	…	…	24,913	31,873	2,278	-	-	-	-	-	-	-	-	-	-	6	158	4,809	56,786	53,944	…	…	24,913	31,873	2,278
2012	광진구	광장동	4	59	1,991	53,487	53,989	…	…	42,361	11,126	1,647	-	-	-	-	-	-	-	-	-	-	4	59	1,991	53,487	53,989	…	…	42,361	11,126	1,647
2012	광진구	자양1동	7	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	7	X	X	X	X	X	X	X	X	X
2012	광진구	자양2동	6	147	4,690	40,760	40,898	…	…	17,511	23,249	3,800	-	-	-	-	-	-	-	-	-	-	6	147	4,690	40,760	40,898	…	…	17,511	23,249	3,800
2012	광진구	자양3동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	광진구	자양4동	16	330	7,607	91,818	90,166	…	…	38,636	53,182	10,795	-	-	-	-	-	-	-	-	-	-	16	330	7,607	91,818	90,166	…	…	38,636	53,182	10,795
2012	동대문구	소계	181	3,454	86,471	1,101,936	1,136,544	182,489	147,881	747,285	354,651	219,235	-	-	-	-	-	-	-	-	-	-	181	3,454	86,471	1,101,936	1,136,544	182,489	147,881	747,285	354,651	219,235
2012	동대문구	휘경1동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	동대문구	휘경2동	4	143	5,545	58,695	82,141	…	…	51,064	7,631	25,906	-	-	-	-	-	-	-	-	-	-	4	143	5,545	58,695	82,141	…	…	51,064	7,631	25,906
2012	동대문구	청량리동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	동대문구	용신동	44	613	16,000	122,415	127,083	…	…	85,056	37,359	11,089	-	-	-	-	-	-	-	-	-	-	44	613	16,000	122,415	127,083	…	…	85,056	37,359	11,089
2012	동대문구	제기동	6	120	2,590	27,843	28,016	…	…	17,070	10,773	3,498	-	-	-	-	-	-	-	-	-	-	6	120	2,590	27,843	28,016	…	…	17,070	10,773	3,498
2012	동대문구	전농1동	5	68	1,678	12,750	12,601	…	…	6,349	6,401	2,737	-	-	-	-	-	-	-	-	-	-	5	68	1,678	12,750	12,601	…	…	6,349	6,401	2,737
2012	동대문구	전농2동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	동대문구	답십리1동	11	219	5,349	68,844	68,942	…	…	42,977	25,867	4,272	-	-	-	-	-	-	-	-	-	-	11	219	5,349	68,844	68,942	…	…	42,977	25,867	4,272
2012	동대문구	답십리2동	8	107	2,054	20,542	21,245	…	…	14,747	5,795	478	-	-	-	-	-	-	-	-	-	-	8	107	2,054	20,542	21,245	…	…	14,747	5,795	478
2012	동대문구	장안1동	63	1,217	29,572	439,869	434,025	…	…	318,335	121,534	29,516	-	-	-	-	-	-	-	-	-	-	63	1,217	29,572	439,869	434,025	…	…	318,335	121,534	29,516
2012	동대문구	장안2동	33	849	20,099	321,745	332,674	…	…	183,329	138,416	132,297	-	-	-	-	-	-	-	-	-	-	33	849	20,099	321,745	332,674	…	…	183,329	138,416	132,297
2012	동대문구	이문2동	3	50	2,019	17,084	17,712	…	…	19,994	-	3,812	-	-	-	-	-	-	-	-	-	-	3	50	2,019	17,084	17,712	…	…	19,994	-	3,812
2012	중랑구	소계	299	4,661	80,572	395,892	395,406	13,598	14,084	208,478	187,414	43,141	-	-	-	-	-	-	-	-	-	-	299	4,661	80,572	395,892	395,406	13,598	14,084	208,478	187,414	43,141
2012	중랑구	면목2동	32	458	6,955	41,484	41,470	…	…	25,581	15,903	3,110	-	-	-	-	-	-	-	-	-	-	32	458	6,955	41,484	41,470	…	…	25,581	15,903	3,110
2012	중랑구	면목4동	11	174	3,149	19,488	19,763	…	…	12,089	7,399	436	-	-	-	-	-	-	-	-	-	-	11	174	3,149	19,488	19,763	…	…	12,089	7,399	436
2012	중랑구	면목5동	16	255	3,576	15,578	15,553	…	…	8,362	7,216	2,919	-	-	-	-	-	-	-	-	-	-	16	255	3,576	15,578	15,553	…	…	8,362	7,216	2,919
2012	중랑구	면목7동	26	301	4,579	15,791	15,891	…	…	7,038	8,753	668	-	-	-	-	-	-	-	-	-	-	26	301	4,579	15,791	15,891	…	…	7,038	8,753	668
2012	중랑구	상봉1동	16	311	6,439	42,039	40,856	…	…	21,329	20,710	9,795	-	-	-	-	-	-	-	-	-	-	16	311	6,439	42,039	40,856	…	…	21,329	20,710	9,795
2012	중랑구	상봉2동	25	373	6,377	26,372	26,460	…	…	10,781	15,591	2,172	-	-	-	-	-	-	-	-	-	-	25	373	6,377	26,372	26,460	…	…	10,781	15,591	2,172
2012	중랑구	중화1동	12	227	3,885	28,117	28,989	…	…	21,882	6,235	1,558	-	-	-	-	-	-	-	-	-	-	12	227	3,885	28,117	28,989	…	…	21,882	6,235	1,558
2012	중랑구	중화2동	17	248	3,986	16,799	16,897	…	…	7,466	9,333	743	-	-	-	-	-	-	-	-	-	-	17	248	3,986	16,799	16,897	…	…	7,466	9,333	743
2012	중랑구	묵1동	9	235	6,709	44,388	44,288	…	…	29,108	15,280	726	-	-	-	-	-	-	-	-	-	-	9	235	6,709	44,388	44,288	…	…	29,108	15,280	726
2012	중랑구	묵2동	15	231	4,093	30,911	30,728	…	…	16,690	14,221	2,408	-	-	-	-	-	-	-	-	-	-	15	231	4,093	30,911	30,728	…	…	16,690	14,221	2,408
2012	중랑구	망우3동	27	429	7,205	28,982	28,953	…	…	8,419	20,563	3,227	-	-	-	-	-	-	-	-	-	-	27	429	7,205	28,982	28,953	…	…	8,419	20,563	3,227
2012	중랑구	신내1동	6	81	1,581	7,170	7,140	…	…	3,754	3,416	2,642	-	-	-	-	-	-	-	-	-	-	6	81	1,581	7,170	7,140	…	…	3,754	3,416	2,642
2012	중랑구	면목본동	25	457	8,437	38,149	37,823	…	…	20,034	18,115	8,322	-	-	-	-	-	-	-	-	-	-	25	457	8,437	38,149	37,823	…	…	20,034	18,115	8,322
2012	중랑구	면목3.8동	27	369	5,582	15,695	15,778	…	…	5,221	10,474	1,141	-	-	-	-	-	-	-	-	-	-	27	369	5,582	15,695	15,778	…	…	5,221	10,474	1,141
2012	중랑구	망우본동	35	512	8,019	24,929	24,817	…	…	10,724	14,205	3,274	-	-	-	-	-	-	-	-	-	-	35	512	8,019	24,929	24,817	…	…	10,724	14,205	3,274
2012	성북구	소계	72	1,334	28,040	223,791	214,155	21,496	31,132	112,378	111,413	25,019	-	-	-	-	-	-	-	-	-	-	72	1,334	28,040	223,791	214,155	21,496	31,132	112,378	111,413	25,019
2012	성북구	돈암1동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	성북구	안암동	3	32	628	5,753	5,733	…	…	3,037	2,716	1,479	-	-	-	-	-	-	-	-	-	-	3	32	628	5,753	5,733	…	…	3,037	2,716	1,479
2012	성북구	보문동	3	34	900	8,832	7,383	…	…	2,917	5,915	628	-	-	-	-	-	-	-	-	-	-	3	34	900	8,832	7,383	…	…	2,917	5,915	628
2012	성북구	정릉1동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	성북구	정릉3동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	성북구	정릉4동	3	53	854	1,705	1,705	…	…	219	1,486	62	-	-	-	-	-	-	-	-	-	-	3	53	854	1,705	1,705	…	…	219	1,486	62
2012	성북구	길음1동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	성북구	월곡1동	5	70	1,421	5,383	5,394	…	…	1,426	3,957	450	-	-	-	-	-	-	-	-	-	-	5	70	1,421	5,383	5,394	…	…	1,426	3,957	450
2012	성북구	월곡2동	10	139	1,874	10,711	8,105	…	…	3,571	7,140	2,384	-	-	-	-	-	-	-	-	-	-	10	139	1,874	10,711	8,105	…	…	3,571	7,140	2,384
2012	성북구	장위1동	9	179	2,578	11,921	12,082	…	…	4,065	7,856	526	-	-	-	-	-	-	-	-	-	-	9	179	2,578	11,921	12,082	…	…	4,065	7,856	526
2012	성북구	장위2동	7	103	2,283	12,793	12,885	…	…	7,842	4,951	907	-	-	-	-	-	-	-	-	-	-	7	103	2,283	12,793	12,885	…	…	7,842	4,951	907
2012	성북구	장위3동	13	325	6,540	80,106	80,579	…	…	38,756	41,350	4,578	-	-	-	-	-	-	-	-	-	-	13	325	6,540	80,106	80,579	…	…	38,756	41,350	4,578
2012	성북구	성북동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	성북구	삼선동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	성북구	동선동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	성북구	종암동	4	47	1,768	10,695	10,557	…	…	6,449	4,246	278	-	-	-	-	-	-	-	-	-	-	4	47	1,768	10,695	10,557	…	…	6,449	4,246	278
2012	성북구	석관동	5	66	1,681	12,093	12,076	…	…	8,172	3,921	558	-	-	-	-	-	-	-	-	-	-	5	66	1,681	12,093	12,076	…	…	8,172	3,921	558
2012	강북구	소계	98	1,604	28,916	175,529	177,274	18,395	16,650	103,840	71,689	20,163	-	-	-	-	-	-	-	-	-	-	98	1,604	28,916	175,529	177,274	18,395	16,650	103,840	71,689	20,163
2012	강북구	번1동	4	54	1,063	5,359	5,190	…	…	2,848	2,511	713	-	-	-	-	-	-	-	-	-	-	4	54	1,063	5,359	5,190	…	…	2,848	2,511	713
2012	강북구	번2동	14	237	4,772	34,180	33,722	…	…	22,668	11,512	4,732	-	-	-	-	-	-	-	-	-	-	14	237	4,772	34,180	33,722	…	…	22,668	11,512	4,732
2012	강북구	번3동	6	217	4,594	24,868	24,726	…	…	16,659	8,209	2,629	-	-	-	-	-	-	-	-	-	-	6	217	4,594	24,868	24,726	…	…	16,659	8,209	2,629
2012	강북구	수유1동	8	109	1,570	6,430	6,369	…	…	3,741	2,689	2,041	-	-	-	-	-	-	-	-	-	-	8	109	1,570	6,430	6,369	…	…	3,741	2,689	2,041
2012	강북구	수유2동	4	61	1,050	12,425	13,103	…	…	8,842	3,583	1,466	-	-	-	-	-	-	-	-	-	-	4	61	1,050	12,425	13,103	…	…	8,842	3,583	1,466
2012	강북구	수유3동	14	215	3,219	21,131	22,768	…	…	8,193	12,938	951	-	-	-	-	-	-	-	-	-	-	14	215	3,219	21,131	22,768	…	…	8,193	12,938	951
2012	강북구	삼양동	3	33	560	862	862	…	…	61	801	115	-	-	-	-	-	-	-	-	-	-	3	33	560	862	862	…	…	61	801	115
2012	강북구	미아동	9	117	2,140	10,031	9,970	…	…	4,017	6,014	2,753	-	-	-	-	-	-	-	-	-	-	9	117	2,140	10,031	9,970	…	…	4,017	6,014	2,753
2012	강북구	송중동	10	139	2,416	13,176	13,179	…	…	5,308	7,868	1,785	-	-	-	-	-	-	-	-	-	-	10	139	2,416	13,176	13,179	…	…	5,308	7,868	1,785
2012	강북구	송천동	14	215	4,481	13,712	14,219	…	…	6,637	7,075	1,312	-	-	-	-	-	-	-	-	-	-	14	215	4,481	13,712	14,219	…	…	6,637	7,075	1,312
2012	강북구	삼각산동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	강북구	우이동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	강북구	인수동	9	167	2,175	13,697	13,614	…	…	8,251	5,446	1,410	-	-	-	-	-	-	-	-	-	-	9	167	2,175	13,697	13,614	…	…	8,251	5,446	1,410
2012	도봉구	소계	55	1,058	18,721	183,338	182,939	4,897	5,296	117,768	65,570	23,877	-	-	-	-	-	-	-	-	-	-	55	1,058	18,721	183,338	182,939	4,897	5,296	117,768	65,570	23,877
2012	도봉구	쌍문2동	3	54	566	2,844	2,844	…	…	1,156	1,688	537	-	-	-	-	-	-	-	-	-	-	3	54	566	2,844	2,844	…	…	1,156	1,688	537
2012	도봉구	쌍문3동	4	72	1,387	11,323	11,378	…	…	7,745	3,578	3,956	-	-	-	-	-	-	-	-	-	-	4	72	1,387	11,323	11,378	…	…	7,745	3,578	3,956
2012	도봉구	방학1동	9	162	2,028	10,433	10,075	…	…	6,370	4,063	2,723	-	-	-	-	-	-	-	-	-	-	9	162	2,028	10,433	10,075	…	…	6,370	4,063	2,723
2012	도봉구	방학2동	6	81	1,095	6,486	6,519	…	…	4,045	2,441	448	-	-	-	-	-	-	-	-	-	-	6	81	1,095	6,486	6,519	…	…	4,045	2,441	448
2012	도봉구	창1동	1	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	1	X	X	X	X	X	X	X	X	X
2012	도봉구	창2동	18	486	10,968	137,093	137,343	…	…	90,217	46,876	14,737	-	-	-	-	-	-	-	-	-	-	18	486	10,968	137,093	137,343	…	…	90,217	46,876	14,737
2012	도봉구	창3동	3	45	1,181	5,546	5,416	…	…	3,003	2,543	283	-	-	-	-	-	-	-	-	-	-	3	45	1,181	5,546	5,416	…	…	3,003	2,543	283
2012	도봉구	창5동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	도봉구	도봉1동	7	84	854	3,827	3,827	…	…	2,141	1,686	169	-	-	-	-	-	-	-	-	-	-	7	84	854	3,827	3,827	…	…	2,141	1,686	169
2012	도봉구	도봉2동	2	X	X	X	X	X	X	X	X	X	-	-	-	-	-	-	-	-	-	-	2	X	X	X	X	X	X	X	X	X
2012	노원구	소계	65	1,534	33,143	271,408	274,960	30,335	26,783	189,626	81,782	41,351	-	-	-	-	-	-	-	-	-	-	65	1,534	33,143	271,408	274,960	30,335	26,783	189,626	81,782	41,351
