기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	소계	소계	개인단위보장특례	개인단위보장특례	타법령에 의한 특례	타법령에 의한 특례	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	가구	인원	가구	인원	시설수	인원
2012	강북구	소계	6,263	23	10,481	5,435	8,392	673	1,618	155	243	48	86	107	157	23	228
2012	강북구	번1동	319	-	437	285	386	29	46	5	5	3	3	2	2	-	-
2012	강북구	번2동	497	-	945	445	819	46	119	6	7	6	7	-	-	-	-
2012	강북구	번3동	975	-	1,932	843	1,567	123	351	9	14	6	11	3	3	-	-
2012	강북구	수유1동	358	-	582	302	464	49	108	7	10	5	8	2	2	-	-
2012	강북구	수유2동	315	-	532	253	378	50	132	12	22	1	1	11	21	-	-
2012	강북구	수유3동	382	-	575	342	487	34	76	6	12	3	8	3	4	-	-
2012	강북구	삼양동	667	-	1,066	591	906	65	145	11	15	4	8	7	7	-	-
2012	강북구	미아동	315	-	449	284	384	28	60	3	5	3	5	-	-	-	-
2012	강북구	송중동	479	-	636	428	530	45	93	6	13	4	8	2	5	-	-
2012	강북구	송천동	608	-	874	535	736	66	127	7	11	5	9	2	2	-	-
2012	강북구	삼각산동	542	-	843	437	659	28	66	77	118	4	9	73	109	-	-
2012	강북구	우이동	233	-	395	211	345	20	47	2	3	2	3	-	-	-	-
2012	강북구	인수동	573	-	987	479	731	90	248	4	8	2	6	2	2	-	-
2012	강북구	기타	-	23	228	-	-	-	-	-	-	-	-	-	-	23	228
2012	도봉구	소계	3,252	32	5,220	2,843	4,079	361	839	48	83	44	79	4	4	32	219
2012	도봉구	쌍문1동	264	-	432	228	328	30	83	6	19	6	19	-	-	-	2
2012	도봉구	쌍문2동	266	-	425	223	330	32	77	11	16	9	14	2	2	-	2
2012	도봉구	쌍문3동	189	-	267	166	215	21	46	2	5	2	5	-	-	-	1
2012	도봉구	쌍문4동	59	-	84	53	67	6	17	-	-	-	-	-	-	-	-
2012	도봉구	방학1동	410	-	655	345	499	56	131	9	22	9	22	-	-	-	3
2012	도봉구	방학2동	464	-	761	401	614	61	144	2	2	1	1	1	1	-	1
2012	도봉구	방학3동	73	-	95	69	85	3	4	1	1	1	1	-	-	-	5
2012	도봉구	창1동	128	-	159	115	138	10	17	3	3	3	3	-	-	-	1
2012	도봉구	창2동	256	-	479	215	364	38	110	3	3	3	3	-	-	-	2
2012	도봉구	창3동	242	-	359	214	300	27	56	1	1	1	1	-	-	-	2
2012	도봉구	창4동	89	-	109	79	94	9	14	1	1	1	1	-	-	-	-
2012	도봉구	창5동	108	-	166	93	133	15	32	-	-	-	-	-	-	-	1
2012	도봉구	도봉1동	387	-	598	355	524	27	60	5	6	5	6	-	-	-	8
2012	도봉구	도봉2동	317	-	442	287	388	26	48	4	4	3	3	1	1	-	2
2012	도봉구	기타	-	32	189	-	-	-	-	-	-	-	-	-	-	32	189
2012	노원구	소계	11,814	32	21,315	10,616	17,676	1,011	2,469	187	327	77	179	110	148	32	843
2012	노원구	월계1동	223	1	346	204	300	18	42	1	2	1	2	-	-	1	2
2012	노원구	월계2동	1,652	-	2,746	1,508	2,430	130	291	14	24	8	17	6	7	-	1
2012	노원구	월계3동	923	-	1,533	829	1,338	71	163	23	32	11	16	12	16	-	-
2012	노원구	공릉2동	290	-	473	269	421	19	50	2	2	2	2	-	-	-	-
2012	노원구	하계1동	1,420	3	2,457	1,292	2,164	111	256	17	36	8	21	9	15	3	1
2012	노원구	하계2동	459	1	880	413	761	39	110	7	9	2	2	5	7	1	-
2012	노원구	중계본동	212	2	371	180	288	27	75	5	6	1	1	4	5	2	2
2012	노원구	중계1동	274	1	475	233	389	29	62	12	19	4	10	8	9	1	5
2012	노원구	중계4동	696	-	1,180	626	1,010	59	147	11	22	3	7	8	15	-	1
2012	노원구	상계1동	443	5	829	393	651	47	111	3	6	3	6	-	-	5	61
2012	노원구	상계2동	292	2	418	249	337	38	72	5	6	5	6	-	-	2	3
2012	노원구	상계5동	440	8	786	385	635	52	134	3	8	3	8	-	-	8	9
2012	노원구	상계8동	57	-	100	53	92	3	7	1	1	1	1	-	-	-	-
2012	노원구	상계9동	102	-	171	93	146	8	23	1	2	1	2	-	-	-	-
2012	노원구	상계10동	81	-	161	69	128	10	31	2	2	2	2	-	-	-	-
