기간	자치구	동	사업체수	종사자수	평균종사자	사업체 평균연령
2012	동작구	소계	20,022	99,628	4.98	9년11개월
2012	동작구	노량진2동	1,060	5,119	4.83	9년5개월
2012	동작구	상도1동	1,670	6,517	3.9	9년1개월
2012	동작구	상도2동	1,281	4,346	3.39	9년10개월
2012	동작구	상도3동	992	2,748	2.77	10년7개월
2012	동작구	상도4동	1,021	2,694	2.64	11년4개월
2012	동작구	사당1동	1,808	8,482	4.69	8년3개월
2012	동작구	사당3동	1,011	4,444	4.4	11년0개월
2012	동작구	사당4동	698	1,672	2.4	9년4개월
2012	동작구	사당5동	494	1,521	3.08	9년9개월
2012	동작구	대방동	1,653	12,649	7.65	9년11개월
2012	동작구	신대방1동	1,018	3,975	3.9	8년11개월
2012	동작구	신대방2동	1,263	19,901	15.76	8년9개월
2012	동작구	흑석동	1,619	9,261	5.72	10년2개월
2012	동작구	노량진1동	2,881	10,811	3.75	12년6개월
2012	동작구	사당2동	1,553	5,488	3.53	8년4개월
2012	관악구	소계	26,294	109,069	4.15	8년1개월
2012	관악구	보라매동	1,280	4,477	3.5	7년5개월
2012	관악구	청림동	393	998	2.54	7년10개월
2012	관악구	행운동	1,435	4,895	3.41	7년9개월
2012	관악구	낙성대동	1,242	8,242	6.64	7년4개월
2012	관악구	중앙동	1,443	4,363	3.02	10년5개월
2012	관악구	인헌동	1,123	4,316	3.84	8년3개월
2012	관악구	남현동	795	5,538	6.97	8년4개월
2012	관악구	서원동	1,267	7,033	5.55	6년12개월
2012	관악구	신원동	887	2,385	2.69	8년4개월
2012	관악구	서림동	844	2,654	3.14	8년5개월
2012	관악구	신사동	1,498	4,940	3.3	7년2개월
2012	관악구	신림동	1,752	6,754	3.86	6년3개월
2012	관악구	난향동	379	1,642	4.33	8년5개월
2012	관악구	조원동	2,176	6,979	3.21	7년12개월
2012	관악구	대학동	1,596	10,394	6.51	6년7개월
2012	관악구	은천동	1,633	7,599	4.65	8년3개월
2012	관악구	성현동	857	2,495	2.91	8년6개월
2012	관악구	청룡동	1,986	11,677	5.88	8년2개월
2012	관악구	난곡동	936	2,327	2.49	9년11개월
2012	관악구	삼성동	1,160	2,600	2.24	10년4개월
2012	관악구	미성동	1,612	6,761	4.19	8년8개월
2012	서초구	소계	42,602	376,962	8.85	8년2개월
2012	서초구	서초1동	3,138	28,304	9.02	8년3개월
2012	서초구	서초2동	4,131	46,119	11.16	7년10개월
2012	서초구	서초3동	6,695	63,373	9.47	8년4개월
2012	서초구	서초4동	2,658	26,148	9.84	6년12개월
2012	서초구	잠원동	2,231	15,673	7.03	7년5개월
2012	서초구	반포본동	644	2,296	3.57	9년5개월
2012	서초구	반포1동	1,524	9,872	6.48	6년5개월
2012	서초구	반포2동	405	1,990	4.91	8년9개월
2012	서초구	반포3동	882	5,766	6.54	9년9개월
2012	서초구	반포4동	3,325	28,714	8.64	8년8개월
2012	서초구	방배본동	1,585	11,363	7.17	7년3개월
2012	서초구	방배1동	1,602	14,976	9.35	7년12개월
2012	서초구	방배2동	1,880	16,233	8.63	8년1개월
2012	서초구	방배3동	1,124	10,357	9.21	9년11개월
2012	서초구	방배4동	2,315	15,252	6.59	7년11개월
2012	서초구	양재1동	3,070	30,622	9.97	8년6개월
2012	서초구	양재2동	4,942	45,417	9.19	8년0개월
2012	서초구	내곡동	451	4,487	9.95	12년12개월
2012	강남구	소계	62,448	611,206	9.79	7년6개월
2012	강남구	신사동	4,423	26,400	5.97	6년2개월
2012	강남구	논현1동	5,049	37,939	7.51	6년11개월
2012	강남구	논현2동	5,086	53,983	10.61	7년5개월
2012	강남구	삼성1동	3,657	57,706	15.78	8년10개월
2012	강남구	삼성2동	3,054	30,856	10.1	7년6개월
2012	강남구	대치1동	1,040	6,289	6.05	7년0개월
2012	강남구	대치4동	3,272	31,940	9.76	6년2개월
2012	강남구	역삼1동	11,473	133,384	11.63	6년12개월
2012	강남구	역삼2동	2,799	37,603	13.43	7년8개월
2012	강남구	도곡1동	1,426	13,664	9.58	7년7개월
2012	강남구	도곡2동	1,698	16,951	9.98	7년8개월
2012	강남구	개포1동	448	1,291	2.88	11년3개월
2012	강남구	개포4동	3,307	13,458	4.07	9년10개월
2012	강남구	일원본동	481	8,005	16.64	9년12개월
2012	강남구	일원1동	868	4,248	4.89	8년0개월
2012	강남구	일원2동	573	5,505	9.61	9년8개월
2012	강남구	수서동	1,492	14,416	9.66	8년1개월
2012	강남구	세곡동	400	1,881	4.7	9년1개월
2012	강남구	압구정동	3,983	26,298	6.6	6년8개월
2012	강남구	청담동	3,672	37,003	10.08	7년3개월
2012	강남구	대치2동	3,200	48,576	15.18	8년9개월
2012	강남구	개포2동	1,047	3,810	3.64	9년2개월
2012	송파구	소계	43,771	257,200	5.88	8년12개월
2012	송파구	풍납1동	813	2,320	2.85	10년2개월
2012	송파구	풍납2동	1,210	14,637	12.1	9년11개월
2012	송파구	거여1동	788	2,665	3.38	9년12개월
2012	송파구	거여2동	1,243	4,283	3.45	10년5개월
2012	송파구	마천1동	923	2,106	2.28	10년11개월
2012	송파구	마천2동	1,365	4,128	3.02	10년4개월
2012	송파구	방이1동	1,290	8,988	6.97	7년4개월
2012	송파구	방이2동	2,849	21,109	7.41	7년7개월
2012	송파구	오륜동	521	4,111	7.89	13년6개월
2012	송파구	오금동	3,211	15,708	4.89	12년5개월
2012	송파구	송파1동	2,467	11,042	4.48	8년9개월
2012	송파구	송파2동	893	4,614	5.17	8년6개월
2012	송파구	석촌동	2,801	14,862	5.31	8년0개월
