기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	남	여	계	남	여	계	남	여	계	남	여
2016	성북구	성북동	608	175	433	76	21	55	30	5	25	502	149	353
2016	성북구	삼선동	898	254	644	142	54	88	56	9	47	700	191	509
2016	성북구	동선동	506	139	367	77	31	46	40	7	33	389	101	288
2016	성북구	종암동	1,258	359	899	221	62	159	66	18	48	971	279	692
2016	성북구	석관동	1,186	356	830	232	70	162	58	9	49	896	277	619
2016	강북구	소계	13,760	4,234	9,526	2,750	819	1,931	1,176	256	920	9,834	3,159	6,675
2016	강북구	번1동	829	283	546	148	47	101	38	10	28	643	226	417
2016	강북구	번2동	813	201	612	187	48	139	137	21	116	489	132	357
2016	강북구	번3동	942	240	702	286	91	195	183	35	148	473	114	359
2016	강북구	수유1동	1,061	362	699	186	57	129	64	18	46	811	287	524
2016	강북구	수유2동	843	213	630	158	39	119	76	14	62	609	160	449
2016	강북구	수유3동	979	337	642	185	70	115	73	12	61	721	255	466
2016	강북구	삼양동	1,316	429	887	296	86	210	101	25	76	919	318	601
2016	강북구	미아동	1,013	322	691	150	51	99	65	16	49	798	255	543
2016	강북구	송중동	1,252	413	839	198	65	133	80	24	56	974	324	650
2016	강북구	송천동	1,550	501	1,049	287	95	192	123	24	99	1,140	382	758
2016	강북구	삼각산동	809	187	622	233	47	186	67	15	52	509	125	384
2016	강북구	우이동	959	308	651	151	44	107	48	12	36	760	252	508
2016	강북구	인수동	1,394	438	956	285	79	206	121	30	91	988	329	659
2016	도봉구	소계	10,601	3,162	7,439	1,548	460	1,088	845	194	651	8,208	2,508	5,700
2016	도봉구	쌍문1동	758	224	534	118	31	87	64	20	44	576	173	403
2016	도봉구	쌍문2동	755	208	547	98	26	72	59	13	46	598	169	429
2016	도봉구	쌍문3동	588	188	400	78	22	56	26	6	20	484	160	324
2016	도봉구	쌍문4동	399	90	309	32	7	25	14	1	13	353	82	271
2016	도봉구	방학1동	986	330	656	160	58	102	86	22	64	740	250	490
2016	도봉구	방학2동	934	332	602	237	67	170	114	23	91	583	242	341
2016	도봉구	방학3동	646	128	518	39	4	35	33	10	23	574	114	460
2016	도봉구	창1동	798	209	589	71	22	49	41	10	31	686	177	509
2016	도봉구	창2동	766	231	535	109	20	89	50	11	39	607	200	407
2016	도봉구	창3동	594	178	416	135	37	98	90	14	76	369	127	242
2016	도봉구	창4동	678	170	508	49	12	37	39	8	31	590	150	440
2016	도봉구	창5동	611	181	430	52	19	33	44	10	34	515	152	363
2016	도봉구	도봉1동	1,135	415	720	200	77	123	93	21	72	842	317	525
2016	도봉구	도봉2동	953	278	675	170	58	112	92	25	67	691	195	496
2016	노원구	소계	17,944	4,555	13,389	4,360	1,029	3,331	1,489	297	1,192	12,095	3,229	8,866
2016	노원구	월계1동	764	254	510	99	35	64	29	6	23	636	213	423
2016	노원구	월계2동	1,338	372	966	551	158	393	153	21	132	634	193	441
2016	노원구	월계3동	1,200	270	930	351	70	281	92	22	70	757	178	579
2016	노원구	공릉2동	910	240	670	101	19	82	48	6	42	761	215	546
2016	노원구	하계1동	1,109	239	870	456	86	370	97	13	84	556	140	416
2016	노원구	하계2동	610	129	481	149	35	114	55	15	40	406	79	327
2016	노원구	중계본동	634	179	455	89	22	67	53	11	42	492	146	346
2016	노원구	중계1동	473	94	379	82	17	65	34	9	25	357	68	289
2016	노원구	중계4동	845	193	652	257	72	185	111	29	82	477	92	385
2016	노원구	상계1동	1,061	320	741	221	41	180	87	11	76	753	268	485
2016	노원구	상계2동	627	192	435	111	37	74	55	5	50	461	150	311
2016	노원구	상계5동	1,063	278	785	204	41	163	75	25	50	784	212	572
2016	노원구	상계8동	511	98	413	30	5	25	20	3	17	461	90	371
2016	노원구	상계9동	636	134	502	35	4	31	26	8	18	575	122	453
2016	노원구	상계10동	504	100	404	35	6	29	22	2	20	447	92	355
2016	노원구	상계3.4동	1,718	561	1,157	520	139	381	139	45	94	1,059	377	682
2016	노원구	상계6.7동	1,072	194	878	52	9	43	34	9	25	986	176	810
2016	노원구	중계2.3동	1,703	358	1,345	658	134	524	265	48	217	780	176	604
2016	노원구	공릉1동	1,166	350	816	359	99	260	94	9	85	713	242	471
2016	은평구	소계	16,628	5,176	11,452	3,374	1,158	2,216	1,001	222	779	12,253	3,796	8,457
2016	은평구	녹번동	1,419	450	969	226	86	140	78	22	56	1,115	342	773
2016	은평구	불광1동	1,576	465	1,111	270	101	169	84	28	56	1,222	336	886
2016	은평구	갈현1동	993	309	684	240	66	174	77	19	58	676	224	452
2016	은평구	갈현2동	881	270	611	189	66	123	56	4	52	636	200	436
2016	은평구	구산동	948	379	569	235	108	127	58	11	47	655	260	395
2016	은평구	대조동	1,322	448	874	293	107	186	63	16	47	966	325	641
2016	은평구	응암1동	868	256	612	175	48	127	30	12	18	663	196	467
2016	은평구	응암2동	664	204	460	156	46	110	38	9	29	470	149	321
2016	은평구	신사1동	756	218	538	133	42	91	35	7	28	588	169	419
2016	은평구	신사2동	701	217	484	140	49	91	48	14	34	513	154	359
2016	은평구	증산동	644	225	419	95	41	54	40	11	29	509	173	336
2016	은평구	수색동	721	191	530	176	49	127	65	6	59	480	136	344
2016	은평구	진관동	903	266	637	123	38	85	71	9	62	709	219	490
2016	은평구	불광2동	1,392	466	926	352	133	219	94	23	71	946	310	636
2016	은평구	응암3동	1,363	367	996	293	85	208	78	18	60	992	264	728
2016	은평구	역촌동	1,477	445	1,032	278	93	185	86	13	73	1,113	339	774
2016	서대문구	소계	10,482	2,920	7,562	1,610	453	1,157	623	167	456	8,249	2,300	5,949
2016	서대문구	천연동	872	233	639	202	62	140	59	15	44	611	156	455
2016	서대문구	홍제1동	832	225	607	109	36	73	44	10	34	679	179	500
2016	서대문구	홍제3동	760	203	557	127	35	92	74	24	50	559	144	415
2016	서대문구	홍제2동	498	122	376	92	24	68	56	8	48	350	90	260
2016	서대문구	홍은1동	897	241	656	185	55	130	46	12	34	666	174	492
2016	서대문구	홍은2동	891	273	618	127	37	90	44	14	30	720	222	498
2016	서대문구	남가좌1동	340	104	236	46	12	34	22	5	17	272	87	185
2016	서대문구	남가좌2동	826	211	615	165	34	131	58	19	39	603	158	445
2016	서대문구	북가좌1동	388	108	280	44	9	35	24	5	19	320	94	226
2016	서대문구	북가좌2동	1,161	320	841	163	44	119	67	22	45	931	254	677
2016	서대문구	충현동	760	231	529	118	29	89	38	11	27	604	191	413
2016	서대문구	북아현동	484	146	338	65	27	38	20	4	16	399	115	284
2016	서대문구	신촌동	528	159	369	54	17	37	27	7	20	447	135	312
2016	서대문구	연희동	1,245	344	901	113	32	81	44	11	33	1,088	301	787
2016	마포구	소계	10,268	2,779	7,489	1,615	581	1,034	561	195	366	8,092	2,003	6,089
2016	마포구	용강동	623	154	469	74	23	51	24	3	21	525	128	397
2016	마포구	대흥동	515	170	345	86	32	54	32	7	25	397	131	266
2016	마포구	염리동	476	151	325	82	24	58	8	1	7	386	126	260
2016	마포구	신수동	527	131	396	60	12	48	22	5	17	445	114	331
2016	마포구	서교동	614	186	428	46	21	25	26	7	19	542	158	384
2016	마포구	합정동	525	143	382	71	18	53	22	7	15	432	118	314
2016	마포구	망원1동	720	195	525	138	27	111	48	17	31	534	151	383
