기간	자치구	동	인구	면적	인구밀도
2012	서대문구	연희동	43,419	3.05	14,236
2012	마포구	소계	393,576	23.84	16,511
2012	마포구	용강동	19,333	0.84	23,015
2012	마포구	대흥동	15,889	0.88	18,056
2012	마포구	염리동	18,047	0.43	41,970
2012	마포구	신수동	22,237	0.78	28,511
2012	마포구	서교동	29,491	1.65	17,873
2012	마포구	합정동	20,605	1.69	12,192
2012	마포구	망원1동	24,534	1.14	21,521
2012	마포구	망원2동	21,350	0.67	31,866
2012	마포구	연남동	20,202	0.65	31,157
2012	마포구	성산1동	21,372	0.8	26,715
2012	마포구	성산2동	40,975	2.07	19,773
2012	마포구	상암동	33,618	8.4	4,004
2012	마포구	도화동	23,725	0.62	38,257
2012	마포구	서강동	25,616	1.45	17,666
2012	마포구	공덕동	37,138	1.01	36,773
2012	마포구	아현동	19,444	0.76	25,586
2012	양천구	소계	500,533	17.4	28,769
2012	양천구	목1동	33,320	1.41	23,631
2012	양천구	목2동	31,953	1.03	31,022
2012	양천구	목3동	23,230	0.53	43,830
2012	양천구	목4동	28,762	0.57	50,460
2012	양천구	신월1동	25,070	1.8	13,928
2012	양천구	신월2동	21,114	0.65	32,483
2012	양천구	신월3동	17,994	0.61	29,498
2012	양천구	신월4동	19,264	0.87	22,143
2012	양천구	신월5동	16,378	0.52	31,496
2012	양천구	신월6동	13,031	0.69	18,886
2012	양천구	신월7동	25,210	0.41	61,488
2012	양천구	신정1동	20,503	1.19	17,229
2012	양천구	신정2동	22,634	0.7	32,334
2012	양천구	신정3동	58,364	0.52	112,238
2012	양천구	신정6동	27,115	2.72	9,969
2012	양천구	신정7동	33,238	1.01	32,909
2012	양천구	목5동	45,733	0.96	47,639
2012	양천구	신정4동	37,619	1.21	31,090
2012	양천구	기타	1	-	-
2012	강서구	소계	573,794	41.43	13,851
2012	강서구	염창동	42,695	1.74	24,537
2012	강서구	등촌1동	22,706	0.59	38,485
2012	강서구	등촌2동	22,254	0.92	24,189
2012	강서구	등촌3동	37,491	0.79	47,457
2012	강서구	화곡본동	37,006	1.11	33,339
2012	강서구	화곡2동	20,661	0.47	43,960
2012	강서구	화곡3동	24,262	0.51	47,573
2012	강서구	화곡4동	23,405	0.82	28,543
2012	강서구	화곡6동	25,446	1.11	22,924
2012	강서구	화곡8동	27,744	0.53	52,347
2012	강서구	가양1동	20,676	4.7	4,399
2012	강서구	가양2동	17,967	1	17,967
2012	강서구	가양3동	18,847	0.99	19,037
2012	강서구	발산1동	33,268	2.96	11,239
2012	강서구	공항동	22,421	10.88	2,061
2012	강서구	방화1동	31,155	1.04	29,957
2012	강서구	방화2동	26,109	6.41	4,073
2012	강서구	방화3동	27,479	2.38	11,546
2012	강서구	화곡1동	52,354	1.12	46,745
2012	강서구	우장산동	39,848	1.36	29,300
2012	구로구	소계	454,478	20.12	22,589
2012	구로구	신도림동	38,378	1.47	26,107
2012	구로구	구로1동	23,320	1.02	22,863
2012	구로구	구로3동	28,948	1.02	28,380
2012	구로구	구로4동	30,490	0.46	66,283
2012	구로구	구로5동	35,276	1.03	34,249
2012	구로구	고척1동	25,668	1.16	22,128
2012	구로구	고척2동	31,570	1.02	30,951
2012	구로구	개봉2동	35,133	0.8	43,916
2012	구로구	개봉3동	22,565	0.81	27,858
2012	구로구	오류1동	21,578	0.59	36,573
2012	구로구	오류2동	40,874	4.6	8,886
2012	구로구	수궁동	25,979	2.67	9,730
2012	구로구	가리봉동	20,359	0.4	50,898
2012	구로구	구로2동	39,579	1.76	22,488
2012	구로구	개봉1동	34,759	1.31	26,534
2012	구로구	기타	2	-	-
2012	금천구	소계	260,734	13	20,055
2012	금천구	가산동	23,901	2.5	9,560
2012	금천구	독산1동	35,601	2.08	17,116
2012	금천구	독산2동	24,050	0.61	39,426
2012	금천구	독산3동	31,752	0.92	34,513
2012	금천구	독산4동	20,371	0.59	34,527
2012	금천구	시흥1동	38,386	1.71	22,448
2012	금천구	시흥2동	25,237	1.26	20,029
2012	금천구	시흥3동	12,821	1.07	11,982
2012	금천구	시흥4동	24,511	0.87	28,174
2012	금천구	시흥5동	24,104	1.39	17,341
2012	영등포구	소계	426,876	24.55	17,386
2012	영등포구	여의동	34,364	8.4	4,091
2012	영등포구	당산1동	21,246	0.75	28,328
2012	영등포구	당산2동	34,437	1.55	22,217
2012	영등포구	양평1동	17,656	0.88	20,064
2012	영등포구	양평2동	22,514	3	7,505
2012	영등포구	신길1동	23,813	0.66	36,080
2012	영등포구	신길3동	17,786	0.48	37,054
2012	영등포구	신길4동	13,946	0.35	39,846
2012	영등포구	신길5동	19,728	0.47	41,974
2012	영등포구	신길6동	24,791	0.68	36,457
2012	영등포구	신길7동	15,864	0.64	24,788
2012	영등포구	대림1동	19,998	0.49	40,812
2012	영등포구	대림2동	25,417	0.55	46,213
2012	영등포구	대림3동	31,881	1	31,881
2012	영등포구	영등포본동	28,024	1.02	27,475
2012	영등포구	영등포동	20,801	1.26	16,509
2012	영등포구	도림동	21,841	0.89	24,540
2012	영등포구	문래동	32,758	1.49	21,985
2012	영등포구	기타	11	-	-
2012	동작구	소계	416,268	16.35	25,456
2012	동작구	노량진2동	16,697	0.65	25,688
2012	동작구	상도1동	43,787	1.51	28,998
2012	동작구	상도2동	26,232	0.97	27,043
2012	동작구	상도3동	24,985	0.6	41,642
2012	동작구	상도4동	30,065	0.75	40,087
2012	동작구	사당1동	24,361	0.79	30,837
2012	동작구	사당3동	26,396	0.92	28,691
2012	동작구	사당4동	15,380	0.38	40,474
2012	동작구	사당5동	15,612	0.57	27,389
2012	동작구	대방동	40,795	1.55	26,319
2012	동작구	신대방1동	28,931	0.62	46,663
2012	동작구	신대방2동	21,431	1.03	20,807
2012	동작구	흑석동	36,533	1.68	21,746
2012	동작구	노량진1동	35,008	1.58	22,157
2012	동작구	사당2동	30,050	2.75	10,927
2012	동작구	기타	5	-	-
2012	관악구	소계	540,520	29.57	18,280
2012	관악구	보라매동	28,345	0.78	36,340
2012	관악구	청림동	17,288	0.79	21,884
2012	관악구	행운동	30,334	0.68	44,609
2012	관악구	낙성대동	18,327	0.39	46,992
2012	관악구	중앙동	15,279	0.32	47,747
2012	관악구	인헌동	28,769	0.69	41,694
2012	관악구	남현동	18,368	1.18	15,566
2012	관악구	서원동	24,274	1.8	13,486
2012	관악구	신원동	20,484	1.53	13,388
2012	관악구	서림동	24,916	3.27	7,620
2012	관악구	신사동	26,716	0.54	49,474
2012	관악구	신림동	23,553	0.64	36,802
2012	관악구	난향동	17,899	0.67	26,715
2012	관악구	조원동	19,744	1.35	14,625
2012	관악구	대학동	24,078	0.98	24,569
2012	관악구	은천동	37,105	0.82	45,250
2012	관악구	성현동	35,003	0.65	53,851
2012	관악구	청룡동	34,411	0.54	63,724
2012	관악구	난곡동	31,240	0.98	31,878
2012	관악구	삼성동	29,711	3.05	9,741
2012	관악구	미성동	34,676	7.92	4,378
2012	서초구	소계	439,998	47	9,361
2012	서초구	서초1동	21,884	1.42	15,411
2012	서초구	서초2동	23,783	1.24	19,180
2012	서초구	서초3동	31,219	2.93	10,655
2012	서초구	서초4동	30,880	0.88	35,091
2012	서초구	잠원동	35,984	1.76	20,445
2012	서초구	반포본동	13,664	1.01	13,529
2012	서초구	반포1동	34,318	1	34,318
2012	서초구	반포2동	21,970	1.35	16,274
2012	서초구	반포3동	24,456	1.28	19,106
2012	서초구	반포4동	20,940	1.43	14,643
2012	서초구	방배본동	22,338	0.67	33,340
2012	서초구	방배1동	17,379	0.7	24,827
2012	서초구	방배2동	27,850	1.93	14,430
2012	서초구	방배3동	25,925	2.4	10,802
2012	서초구	방배4동	26,178	0.98	26,712
2012	서초구	양재1동	31,954	5.76	5,548
2012	서초구	양재2동	23,386	7.58	3,085
2012	서초구	내곡동	5,890	12.68	465
2012	강남구	소계	569,997	39.5	14,431
2012	강남구	신사동	20,306	1.89	10,744
2012	강남구	논현1동	26,651	1.25	21,321
2012	강남구	논현2동	22,658	1.46	15,519
2012	강남구	삼성1동	16,190	1.94	8,345
2012	강남구	삼성2동	32,721	1.24	26,388
2012	강남구	대치1동	20,603	0.79	26,080
2012	강남구	대치4동	22,315	0.73	30,568
2012	강남구	역삼1동	36,194	2.35	15,402
2012	강남구	역삼2동	35,480	1.15	30,852
2012	강남구	도곡1동	22,978	1.02	22,527
2012	강남구	도곡2동	34,429	1.02	33,754
2012	강남구	개포1동	23,353	1.27	18,388
2012	강남구	개포4동	23,897	1.49	16,038
2012	강남구	일원본동	23,210	2.58	8,996
2012	강남구	일원1동	18,954	0.92	20,602
2012	강남구	일원2동	19,212	1.24	15,494
2012	강남구	수서동	16,831	1.43	11,770
2012	강남구	세곡동	14,400	6.36	2,264
2012	강남구	압구정동	29,630	2.53	11,711
2012	강남구	청담동	31,791	2.33	13,644
2012	강남구	대치2동	43,193	2	21,597
2012	강남구	개포2동	34,999	2.51	13,944
2012	강남구	기타	2	-	-
2012	송파구	소계	680,150	33.88	20,078
2012	송파구	풍납1동	19,974	0.77	25,940
2012	송파구	풍납2동	28,831	1.59	18,133
2012	송파구	거여1동	16,084	0.67	24,006
2012	송파구	거여2동	28,458	1.69	16,839
2012	송파구	마천1동	24,536	0.55	44,611
2012	송파구	마천2동	22,469	0.92	24,423
2012	송파구	방이1동	17,461	0.5	34,922
2012	송파구	방이2동	26,202	0.8	32,753
2012	송파구	오륜동	20,394	3.17	6,433
2012	송파구	오금동	38,747	1.65	23,483
2012	송파구	송파1동	27,875	0.79	35,285
2012	송파구	송파2동	22,931	0.53	43,266
2012	송파구	석촌동	36,060	0.95	37,958
2012	송파구	삼전동	35,278	0.95	37,135
2012	송파구	가락본동	29,975	1.13	26,527
2012	송파구	가락1동	6,591	1.34	4,919
2012	송파구	가락2동	36,265	0.96	37,776
2012	송파구	문정1동	22,751	0.56	40,627
2012	송파구	문정2동	15,955	2.2	7,252
2012	송파구	장지동	37,635	2.6	14,475
2012	송파구	잠실본동	31,356	0.94	33,357
2012	송파구	잠실4동	31,511	1.56	20,199
2012	송파구	잠실6동	17,432	2.79	6,248
2012	송파구	잠실7동	10,794	0.6	17,990
2012	송파구	잠실2동	37,101	2.18	17,019
2012	송파구	잠실3동	37,484	1.49	25,157
2012	강동구	소계	492,728	24.59	20,042
