기간	자치구	동	사업체수	종사자수	평균종사자	사업체 창업률
2016	서대문구	남가좌1동	733	2,047	2.79	16.51
2016	서대문구	남가좌2동	1,308	4,207	3.22	13.99
2016	서대문구	북가좌1동	642	3,126	4.87	14.02
2016	서대문구	북가좌2동	2,330	7,183	3.08	7.73
2016	서대문구	충현동	1,812	25,628	14.14	10.87
2016	서대문구	북아현동	790	2,099	2.66	14.05
2016	서대문구	신촌동	3,642	37,929	10.41	15.73
2016	서대문구	연희동	2,248	11,127	4.95	9.34
2016	마포구	계	36,191	250,605	6.92	15.51
2016	마포구	용강동	2,608	19,216	7.37	13.69
2016	마포구	대흥동	1,583	9,646	6.09	12.57
2016	마포구	염리동	720	3,618	5.03	15
2016	마포구	신수동	1,174	5,334	4.54	14.82
2016	마포구	서교동	9,536	62,203	6.52	17.71
2016	마포구	합정동	2,049	14,716	7.18	16.4
2016	마포구	망원1동	1,771	4,705	2.66	13.44
2016	마포구	망원2동	1,362	5,226	3.84	14.98
2016	마포구	연남동	1,506	5,926	3.93	20.45
2016	마포구	성산1동	1,539	11,078	7.2	11.18
2016	마포구	성산2동	1,782	11,771	6.61	11.28
2016	마포구	상암동	2,341	38,152	16.3	20.5
2016	마포구	도화동	2,012	15,583	7.75	13.02
2016	마포구	서강동	1,699	11,958	7.04	17.36
2016	마포구	공덕동	2,764	18,875	6.83	13.35
2016	마포구	아현동	1,745	12,598	7.22	12.72
2016	양천구	계	26,108	117,259	4.49	11.07
2016	양천구	목1동	2,943	20,725	7.04	14.17
2016	양천구	목2동	1,139	4,094	3.59	12.47
2016	양천구	목3동	1,242	4,644	3.74	12.48
2016	양천구	목4동	1,326	3,853	2.91	12.9
2016	양천구	신월1동	1,775	5,063	2.85	12.45
2016	양천구	신월2동	1,239	3,984	3.22	7.34
2016	양천구	신월3동	958	4,277	4.46	8.98
2016	양천구	신월4동	1,164	3,745	3.22	9.19
2016	양천구	신월5동	1,010	4,422	4.38	10.79
2016	양천구	신월6동	1,460	3,231	2.21	3.56
2016	양천구	신월7동	1,391	5,695	4.09	8.99
2016	양천구	신정1동	1,099	4,929	4.48	13.28
2016	양천구	신정2동	1,104	3,612	3.27	12.05
2016	양천구	신정3동	1,882	9,536	5.07	7.55
2016	양천구	신정6동	738	5,769	7.82	13.82
2016	양천구	신정7동	991	4,481	4.52	10.9
2016	양천구	목5동	1,525	10,258	6.73	11.67
2016	양천구	신정4동	3,122	14,941	4.79	12.97
2016	강서구	계	34,662	207,406	5.98	12.38
2016	강서구	염창동	2,149	15,633	7.27	8.98
2016	강서구	등촌1동	1,939	15,729	8.11	11.96
