기간	자치구	동	시설합계	노인복지관	노인복지관	경로당	노인교실
기간	자치구	동	시설합계	시설수	종사자수	경로당	노인교실
2016	노원구	하계1동	14	1	35	11	2
2016	노원구	하계2동	7	-	-	6	1
2016	노원구	중계본동	19	-	-	17	2
2016	노원구	중계1동	12	-	-	12	-
2016	노원구	중계4동	14	-	-	14	-
2016	노원구	상계1동	28	-	-	27	1
2016	노원구	상계2동	15	-	-	13	2
2016	노원구	상계5동	11	-	-	10	1
2016	노원구	상계8동	4	-	-	3	1
2016	노원구	상계9동	4	-	-	4	-
2016	노원구	상계10동	5	-	-	5	-
2016	노원구	상계3.4동	17	-	-	16	1
2016	노원구	상계6.7동	10	-	-	10	-
2016	노원구	중계2.3동	10	-	-	10	-
2016	노원구	공릉1동	19	-	-	18	1
2016	은평구	소계	170	6	69	148	16
2016	은평구	녹번동	10	-	-	9	1
2016	은평구	불광1동	19	1	8	17	1
2016	은평구	갈현1동	8	1	9	4	3
2016	은평구	갈현2동	7	-	-	7	-
2016	은평구	구산동	11	-	-	10	1
2016	은평구	대조동	5	-	-	4	1
2016	은평구	응암1동	6	-	-	5	1
2016	은평구	응암2동	7	-	-	6	1
2016	은평구	신사1동	10	-	-	10	-
2016	은평구	신사2동	9	1	8	8	-
2016	은평구	증산동	9	-	-	8	1
2016	은평구	수색동	11	-	-	11	-
2016	은평구	진관동	38	1	26	37	-
2016	은평구	불광2동	7	-	-	6	1
2016	은평구	응암3동	5	1	10	2	2
2016	은평구	역촌동	8	1	8	4	3
2016	서대문구	소계	116	5	52	101	10
2016	서대문구	천연동	…	1	36	…	…
2016	서대문구	홍제1동	…	-	-	…	…
2016	서대문구	홍제3동	…	-	-	…	…
2016	서대문구	홍제2동	…	1	4	…	…
2016	서대문구	홍은1동	…	-	-	…	…
2016	서대문구	홍은2동	…	-	-	…	…
2016	서대문구	남가좌1동	…	-	-	…	…
2016	서대문구	남가좌2동	…	-	-	…	…
2016	서대문구	북가좌1동	…	-	-	…	…
2016	서대문구	북가좌2동	…	1	4	…	…
2016	서대문구	충현동	…	-	-	…	…
2016	서대문구	북아현동	…	-	-	…	…
2016	서대문구	신촌동	…	1	3	…	…
2016	서대문구	연희동	…	1	5	…	…
2016	마포구	소계	170	4	70	150	16
2016	마포구	용강동	10	1	12	9	-
2016	마포구	대흥동	7	1	15	5	1
2016	마포구	염리동	11	-	-	6	5
2016	마포구	신수동	14	-	-	13	1
2016	마포구	서교동	8	-	-	5	3
2016	마포구	합정동	2	-	-	2	-
2016	마포구	망원1동	5	-	-	4	1
2016	마포구	망원2동	5	-	-	5	-
2016	마포구	연남동	5	-	-	5	-
2016	마포구	성산1동	5	-	-	4	1
2016	마포구	성산2동	20	-	-	19	1
2016	마포구	상암동	17	-	-	16	1
2016	마포구	도화동	14	-	-	14	-
2016	마포구	서강동	13	1	35	11	1
2016	마포구	공덕동	21	1	8	19	1
2016	마포구	아현동	13	-	-	13	-
2016	양천구	소계	193	4	54	163	26
2016	양천구	목1동	…	-	-	…	…
2016	양천구	목2동	…	-	-	…	…
2016	양천구	목3동	…	-	-	…	…
2016	양천구	목4동	…	1	10	…	…
2016	양천구	신월1동	…	-	-	…	…
2016	양천구	신월2동	…	1	4	…	…
2016	양천구	신월3동	…	1	8	…	…
2016	양천구	신월4동	…	-	-	…	…
2016	양천구	신월5동	…	-	-	…	…
2016	양천구	신월6동	…	-	-	…	…
2016	양천구	신월7동	…	-	-	…	…
2016	양천구	신정1동	…	-	-	…	…
2016	양천구	신정2동	…	-	-	…	…
2016	양천구	신정3동	…	-	-	…	…
2016	양천구	신정6동	…	-	-	…	…
2016	양천구	신정7동	…	1	32	…	…
2016	양천구	목5동	…	-	-	…	…
2016	양천구	신정4동	…	-	-	…	…
2016	강서구	소계	239	5	57	213	21
2016	강서구	염창동	34	-	-	33	1
2016	강서구	등촌1동	16	-	-	14	2
2016	강서구	등촌2동	9	-	-	8	1
2016	강서구	등촌3동	20	1	29	16	3
2016	강서구	화곡본동	8	1	12	5	2
2016	강서구	화곡2동	3	-	-	2	1
2016	강서구	화곡3동	6	-	-	5	1
2016	강서구	화곡4동	4	-	-	4	-
2016	강서구	화곡6동	11	1	5	8	2
2016	강서구	화곡8동	6	1	7	5	-
2016	강서구	가양1동	16	-	-	16	-
2016	강서구	가양2동	6	-	-	6	-
2016	강서구	가양3동	8	-	-	8	-
2016	강서구	발산1동	12	-	-	11	1
2016	강서구	공항동	7	-	-	6	1
2016	강서구	방화1동	24	-	-	24	-
2016	강서구	방화2동	12	-	-	11	1
2016	강서구	방화3동	18	-	-	16	2
