,읍면동명,자치구,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수,새누리당,더민주
120,구로3동,구로구,719771.4951460727,26445,7227,905,576,117.1,3729.5,5601.5
121,구로4동,구로구,720968.3940797999,59054,2042,1189,955,197.8,3393.8,5266.6
122,구로5동,구로구,916443.7517562804,33092,4907,1104,781,127.7,2550.4,5056.7
123,가리봉동,구로구,422124.49212686147,40515,986,583,701,244.7,1674.5,2184.0
124,가산동,금천구,1453629.0086131894,9706,14339,732,642,162.9,3482.7,4309.7
125,독산1동,금천구,2582970.041879557,20012,4085,1926,980,114.3,6830.9,6673.8
126,독산2동,금천구,1281842.4233196771,36838,1194,958,835,159.7,3485.1,4013.3
127,독산3동,금천구,1789191.4057927455,33372,2174,1205,1028,176.5,4081.5,4559.3
128,독산4동,금천구,1094449.6646471675,31824,1018,796,582,165.7,3167.1,3555.3
129,시흥1동,금천구,2197562.8323868583,21683,3023,1665,1422,148.8,6213.4,6140.1
130,시흥2동,금천구,1349073.580880143,18455,577,1127,719,121.1,4207.8,4441.8
131,시흥3동,금천구,688214.4442950472,10972,3325,541,437,199.6,2063.8,2158.1
132,시흥4동,금천구,1320056.77942642,26146,855,1065,794,159.7,2982.0,4210.1
133,시흥5동,금천구,1247959.8187591946,15350,1160,1182,1113,209.2,4171.6,3843.9
134,월계1동,노원구,235740.04692597105,20765,1488,1056,839,166.2,4034.5,4737.2
135,월계2동,노원구,256966.84785737703,13759,944,2298,1399,173.5,4218.0,4760.0
136,월계3동,노원구,312803.6290603136,27774,963,1958,1233,135.6,6000.2,7331.5
137,공릉1동,노원구,384886.51148419216,28362,2849,2234,1346,143.3,6404.3,7605.9
138,공릉2동,노원구,403789.6395191809,6091,1834,1353,863,81.9,7414.7,6026.9
139,상계1동,노원구,395700.9047531719,7297,3114,1874,1201,142.7,6377.5,3579.2
140,상계2동,노원구,209405.08743324282,35449,2614,906,688,153.4,2459.6,3068.0
141,상계3.4동,노원구,254388.2572592432,5272,1278,1587,1697,236.3,3768.4,3014.0
142,상계5동,노원구,252015.5617278805,25970,1605,1312,1219,201.0,4186.8,4122.2
143,상계8동,노원구,236151.8370595133,36458,595,708,506,61.2,3678.2,3528.7
144,상계9동,노원구,215719.20281422453,27590,713,753,683,106.9,1783.3,3197.6
145,상계10동,노원구,164088.56368961278,21276,455,516,411,109.8,2792.4,2112.9
146,하계1동,노원구,292312.16765309015,19291,1103,2117,1149,140.1,5458.0,5178.4
147,하계2동,노원구,230327.94802798665,46769,395,998,602,90.9,4014.2,5343.1
148,중계본동,노원구,256496.23056190016,13636,1198,881,640,65.5,4832.7,6214.4
