자치구,읍면동명,장애등급
송파구,잠실본동,842
송파구,잠실4동,597
송파구,잠실6동,357
송파구,잠실7동,200
송파구,잠실2동,564
송파구,잠실3동,712
강동구,강일동,1493
강동구,상일동,485
강동구,명일1동,779
강동구,명일2동,468
강동구,고덕1동,773
강동구,고덕2동,551
강동구,암사2동,480
강동구,암사3동,556
강동구,천호1동,1414
강동구,천호3동,1337
강동구,성내1동,652
강동구,성내2동,1120
강동구,성내3동,876
강동구,둔촌1동,7
강동구,둔촌2동,956
강동구,암사1동,1661
강동구,천호2동,1807
강동구,길동,1965
