,자치구,읍면동명,종사자수
286,영등포구,당산1동,"18,621"
287,영등포구,당산2동,"21,446"
288,영등포구,양평1동,"23,475"
289,영등포구,양평2동,"19,830"
290,영등포구,신길1동,"6,721"
291,영등포구,신길3동,"2,745"
292,영등포구,신길4동,"1,691"
293,영등포구,신길5동,"3,031"
294,영등포구,신길6동,"4,697"
295,영등포구,신길7동,"2,676"
296,영등포구,대림1동,"4,251"
297,영등포구,대림2동,"4,513"
298,영등포구,대림3동,"11,203"
299,영등포구,영등포본동,"5,715"
300,영등포구,영등포동,"39,392"
301,영등포구,도림동,"3,334"
302,영등포구,문래동,"40,679"
303,동작구,노량진2동,"6,340"
304,동작구,상도1동,"8,381"
305,동작구,상도2동,"4,543"
306,동작구,상도3동,"2,683"
307,동작구,상도4동,"2,910"
308,동작구,사당1동,"9,566"
309,동작구,사당3동,"4,316"
310,동작구,사당4동,"1,738"
311,동작구,사당5동,"1,709"
312,동작구,대방동,"12,152"
313,동작구,신대방1동,"4,364"
314,동작구,신대방2동,"24,086"
315,동작구,흑석동,"10,142"
316,동작구,노량진1동,"9,310"
317,동작구,사당2동,"5,818"
318,관악구,보라매동,"6,434"
319,관악구,청림동,"1,185"
320,관악구,행운동,"6,151"
321,관악구,낙성대동,"7,741"
322,관악구,중앙동,"5,076"
323,관악구,인헌동,"4,006"
324,관악구,남현동,"5,163"
325,관악구,서원동,"7,974"
326,관악구,신원동,"2,453"
327,관악구,서림동,"3,296"
328,관악구,신사동,"4,712"
329,관악구,신림동,"5,671"
330,관악구,난향동,"1,926"
331,관악구,조원동,"7,073"
332,관악구,대학동,"12,609"
333,관악구,은천동,"7,330"
334,관악구,성현동,"2,964"
335,관악구,청룡동,"11,207"
336,관악구,난곡동,"2,411"
337,관악구,삼성동,"2,372"
338,관악구,미성동,"6,027"
339,서초구,서초1동,"29,810"
340,서초구,서초2동,"48,060"
341,서초구,서초3동,"74,335"
342,서초구,서초4동,"27,163"
343,서초구,잠원동,"16,956"
344,서초구,반포본동,"2,727"
345,서초구,반포1동,"8,836"
346,서초구,반포2동,"2,841"
347,서초구,반포3동,"7,073"
348,서초구,반포4동,"32,423"
349,서초구,방배본동,"10,580"
350,서초구,방배1동,"14,930"
351,서초구,방배2동,"17,422"
352,서초구,방배3동,"13,934"
353,서초구,방배4동,"14,073"
354,서초구,양재1동,"46,647"
355,서초구,양재2동,"50,006"
356,서초구,내곡동,"9,411"
357,강남구,신사동,"27,741"
358,강남구,논현1동,"44,157"
359,강남구,논현2동,"60,642"
360,강남구,삼성1동,"66,958"
361,강남구,삼성2동,"38,887"
362,강남구,대치1동,"7,154"
363,강남구,대치4동,"27,829"
364,강남구,역삼1동,"147,157"
365,강남구,역삼2동,"38,937"
366,강남구,도곡1동,"17,135"
367,강남구,도곡2동,"22,629"
368,강남구,개포1동,"1,616"
369,강남구,개포4동,"12,024"
370,강남구,일원본동,"8,402"
371,강남구,일원1동,"7,340"
372,강남구,일원2동,"10,125"
373,강남구,수서동,"15,857"
374,강남구,세곡동,"5,285"
375,강남구,압구정동,"29,474"
376,강남구,청담동,"39,652"
377,강남구,대치2동,"57,241"
378,강남구,개포2동,"3,381"
379,송파구,풍납1동,"2,443"
380,송파구,풍납2동,"15,395"
381,송파구,거여1동,"3,041"
382,송파구,거여2동,"4,152"
383,송파구,마천1동,"2,165"
384,송파구,마천2동,"4,414"
385,송파구,방이1동,"12,889"
386,송파구,방이2동,"22,135"
387,송파구,오륜동,"4,514"
388,송파구,오금동,"16,661"
389,송파구,송파1동,"13,710"
390,송파구,송파2동,"6,088"
391,송파구,석촌동,"13,767"
392,송파구,삼전동,"14,868"
393,송파구,가락본동,"28,777"
394,송파구,가락1동,"10,639"
395,송파구,가락2동,"10,539"
396,송파구,문정1동,"8,917"
397,송파구,문정2동,"24,211"
398,송파구,장지동,"10,324"
399,송파구,위례동,"2,815"
400,송파구,잠실본동,"22,442"
401,송파구,잠실4동,"2,071"
402,송파구,잠실6동,"39,676"
403,송파구,잠실7동,"1,194"
404,송파구,잠실2동,"4,616"
405,송파구,잠실3동,"10,198"
406,강동구,강일동,"15,030"
407,강동구,상일동,"5,201"
408,강동구,명일1동,"6,083"
409,강동구,명일2동,"4,698"
