,자치구,읍면동명,보육시설
147,도봉구,방학1동,"1,125"
148,도봉구,방학2동,984
149,도봉구,방학3동,936
150,도봉구,창1동,634
151,도봉구,창2동,"1,058"
152,도봉구,창3동,794
153,도봉구,창4동,637
154,도봉구,창5동,656
155,도봉구,도봉1동,853
156,도봉구,도봉2동,989
157,노원구,월계1동,800
158,노원구,월계2동,629
159,노원구,월계3동,"1,029"
160,노원구,공릉2동,"1,510"
161,노원구,하계1동,717
162,노원구,하계2동,441
163,노원구,중계본동,435
164,노원구,중계1동,680
165,노원구,중계4동,420
166,노원구,상계1동,"1,466"
167,노원구,상계2동,989
168,노원구,상계5동,674
169,노원구,상계8동,879
170,노원구,상계9동,528
171,노원구,상계10동,504
172,노원구,상계3.4동,"1,055"
173,노원구,상계6.7동,918
174,노원구,중계2.3동,839
175,노원구,공릉1동,"1,044"
176,은평구,녹번동,"1,014"
177,은평구,불광1동,"1,295"
178,은평구,갈현1동,868
179,은평구,갈현2동,800
180,은평구,구산동,"1,052"
181,은평구,대조동,"1,091"
182,은평구,응암1동,"1,046"
183,은평구,응암2동,548
184,은평구,신사1동,816
185,은평구,신사2동,675
186,은평구,증산동,619
187,은평구,수색동,284
188,은평구,진관동,"1,869"
189,은평구,불광2동,725
190,은평구,응암3동,978
191,은평구,역촌동,"1,717"
192,서대문구,천연동,560
193,서대문구,홍제1동,611
194,서대문구,홍제3동,636
195,서대문구,홍제2동,379
196,서대문구,홍은1동,507
197,서대문구,홍은2동,539
198,서대문구,남가좌1동,183
199,서대문구,남가좌2동,805
200,서대문구,북가좌1동,456
201,서대문구,북가좌2동,817
202,서대문구,충현동,722
203,서대문구,북아현동,433
204,서대문구,신촌동,512
205,서대문구,연희동,676
206,마포구,용강동,280
207,마포구,대흥동,210
208,마포구,염리동,545
209,마포구,신수동,532
210,마포구,서교동,401
211,마포구,합정동,347
212,마포구,망원1동,564
213,마포구,망원2동,553
214,마포구,연남동,488
215,마포구,성산1동,387
216,마포구,성산2동,"1,321"
217,마포구,상암동,"1,120"
218,마포구,도화동,421
219,마포구,서강동,724
220,마포구,공덕동,627
221,마포구,아현동,498
222,양천구,목1동,444
223,양천구,목2동,873
224,양천구,목3동,513
225,양천구,목4동,705
226,양천구,신월1동,"1,121"
227,양천구,신월2동,672
228,양천구,신월3동,570
229,양천구,신월4동,936
230,양천구,신월5동,408
231,양천구,신월6동,492
232,양천구,신월7동,963
233,양천구,신정1동,382
234,양천구,신정2동,326
235,양천구,신정3동,"1,790"
236,양천구,신정6동,465
237,양천구,신정7동,706
238,양천구,목5동,511
239,양천구,신정4동,"1,188"
240,강서구,염창동,971
241,강서구,등촌1동,408
242,강서구,등촌2동,421
243,강서구,등촌3동,"1,082"
244,강서구,화곡본동,"1,082"
245,강서구,화곡2동,750
246,강서구,화곡3동,759
247,강서구,화곡4동,855
248,강서구,화곡6동,764
249,강서구,화곡8동,902
250,강서구,가양1동,356
251,강서구,가양2동,404
252,강서구,가양3동,371
253,강서구,발산1동,"1,004"
254,강서구,공항동,649
255,강서구,방화1동,986
256,강서구,방화2동,565
257,강서구,방화3동,792
258,강서구,화곡1동,"1,293"
259,강서구,우장산동,"1,031"
260,구로구,신도림동,880
261,구로구,구로1동,753
262,구로구,구로3동,716
263,구로구,구로4동,783
264,구로구,구로5동,"1,095"
265,구로구,고척1동,815
266,구로구,고척2동,"1,035"
267,구로구,개봉2동,"1,027"
268,구로구,개봉3동,837
269,구로구,오류1동,576
270,구로구,오류2동,"1,500"
271,구로구,수궁동,770
272,구로구,가리봉동,375
273,구로구,구로2동,"1,014"
274,구로구,개봉1동,990
275,금천구,가산동,717
276,금천구,독산1동,672
277,금천구,독산2동,"1,137"
278,금천구,독산3동,981
279,금천구,독산4동,721
280,금천구,시흥1동,"1,003"
281,금천구,시흥2동,586
282,금천구,시흥3동,300
283,금천구,시흥4동,"1,043"
284,금천구,시흥5동,"1,386"
285,영등포구,여의동,"1,485"
286,영등포구,당산1동,672
287,영등포구,당산2동,728
288,영등포구,양평1동,433
289,영등포구,양평2동,522
290,영등포구,신길1동,434
291,영등포구,신길3동,293
292,영등포구,신길4동,557
293,영등포구,신길5동,305
294,영등포구,신길6동,895
295,영등포구,신길7동,493
296,영등포구,대림1동,477
297,영등포구,대림2동,567
298,영등포구,대림3동,928
299,영등포구,영등포본동,488
300,영등포구,영등포동,559
301,영등포구,도림동,373
302,영등포구,문래동,680
303,동작구,노량진2동,233
304,동작구,상도1동,"1,016"
305,동작구,상도2동,630
306,동작구,상도3동,770
307,동작구,상도4동,898
308,동작구,사당1동,671
309,동작구,사당3동,596
310,동작구,사당4동,380
311,동작구,사당5동,353
312,동작구,대방동,666
313,동작구,신대방1동,610
314,동작구,신대방2동,399
315,동작구,흑석동,828
316,동작구,노량진1동,695
317,동작구,사당2동,678
318,관악구,보라매동,708
319,관악구,청림동,483
320,관악구,행운동,539
321,관악구,낙성대동,702
322,관악구,중앙동,317
323,관악구,인헌동,606
324,관악구,남현동,335
325,관악구,서원동,390
326,관악구,신원동,511
327,관악구,서림동,307
328,관악구,신사동,579
329,관악구,신림동,229
330,관악구,난향동,488
331,관악구,조원동,498
332,관악구,대학동,507
333,관악구,은천동,"1,068"
334,관악구,성현동,846
335,관악구,청룡동,676
336,관악구,난곡동,731
337,관악구,삼성동,601
338,관악구,미성동,827
339,서초구,서초1동,648
340,서초구,서초2동,704
341,서초구,서초3동,615
342,서초구,서초4동,114
343,서초구,잠원동,376
344,서초구,반포본동,73
345,서초구,반포1동,466
346,서초구,반포2동,402
347,서초구,반포3동,528
348,서초구,반포4동,601
349,서초구,방배본동,95
350,서초구,방배1동,162
351,서초구,방배2동,744
352,서초구,방배3동,575
353,서초구,방배4동,505
354,서초구,양재1동,921
355,서초구,양재2동,604
356,서초구,내곡동,192
357,강남구,신사동,211
358,강남구,논현1동,416
359,강남구,논현2동,246
360,강남구,삼성1동,653
361,강남구,삼성2동,711
362,강남구,대치1동,180
363,강남구,대치4동,497
364,강남구,역삼1동,656
365,강남구,역삼2동,437
366,강남구,도곡1동,411
367,강남구,도곡2동,290
368,강남구,개포1동,225
369,강남구,개포4동,807
370,강남구,일원본동,706
371,강남구,일원1동,486
372,강남구,일원2동,419
373,강남구,수서동,375
374,강남구,세곡동,749
375,강남구,압구정동,291
376,강남구,청담동,545
377,강남구,대치2동,414
378,강남구,개포2동,300
379,송파구,풍납1동,398
380,송파구,풍납2동,"1,046"
381,송파구,거여1동,782
382,송파구,거여2동,614
383,송파구,마천1동,725
384,송파구,마천2동,945
385,송파구,방이1동,361
386,송파구,방이2동,437
387,송파구,오륜동,99
388,송파구,오금동,697
389,송파구,송파1동,632
390,송파구,송파2동,232
391,송파구,석촌동,999
392,송파구,삼전동,975
393,송파구,가락본동,742
394,송파구,가락1동,402
395,송파구,가락2동,992
396,송파구,문정1동,443
397,송파구,문정2동,40
398,송파구,장지동,"1,134"
399,송파구,잠실본동,784
400,송파구,잠실4동,682
401,송파구,잠실6동,215
402,송파구,잠실2동,526
403,송파구,잠실3동,311
404,강동구,강일동,"1,477"
405,강동구,상일동,524
406,강동구,명일1동,900
407,강동구,명일2동,299
408,강동구,고덕1동,565
409,강동구,고덕2동,431
410,강동구,암사2동,646
411,강동구,암사3동,446
412,강동구,천호1동,792
413,강동구,천호3동,621
414,강동구,성내1동,721
415,강동구,성내2동,704
416,강동구,성내3동,714
417,강동구,둔촌1동,112
418,강동구,둔촌2동,781
419,강동구,암사1동,"1,181"
420,강동구,천호2동,"1,014"
421,강동구,길동,"1,521"
