동,인구,면적,인구밀도
신사동,20306,1.89,10744
논현1동,26651,1.25,21321
논현2동,22658,1.46,15519
삼성1동,16190,1.94,8345
삼성2동,32721,1.24,26388
대치1동,20603,0.79,26080
대치4동,22315,0.73,30568
역삼1동,36194,2.35,15402
역삼2동,35480,1.15,30852
도곡1동,22978,1.02,22527
도곡2동,34429,1.02,33754
개포1동,23353,1.27,18388
개포4동,23897,1.49,16038
일원본동,23210,2.58,8996
일원1동,18954,0.92,20602
일원2동,19212,1.24,15494
수서동,16831,1.43,11770
세곡동,14400,6.36,2264
압구정동,29630,2.53,11711
청담동,31791,2.33,13644
대치2동,43193,2.0,21597
개포2동,34999,2.51,13944
풍납1동,19974,0.77,25940
풍납2동,28831,1.59,18133
거여1동,16084,0.67,24006
거여2동,28458,1.69,16839
마천1동,24536,0.55,44611
마천2동,22469,0.92,24423
방이1동,17461,0.5,34922
방이2동,26202,0.8,32753
오륜동,20394,3.17,6433
오금동,38747,1.65,23483
송파1동,27875,0.79,35285
송파2동,22931,0.53,43266
석촌동,36060,0.95,37958
삼전동,35278,0.95,37135
가락본동,29975,1.13,26527
가락1동,6591,1.34,4919
가락2동,36265,0.96,37776
문정1동,22751,0.56,40627
문정2동,15955,2.2,7252
장지동,37635,2.6,14475
잠실본동,31356,0.94,33357
잠실4동,31511,1.56,20199
잠실6동,17432,2.79,6248
잠실7동,10794,0.6,17990
잠실2동,37101,2.18,17019
잠실3동,37484,1.49,25157
강일동,34701,2.8,12393
상일동,27912,2.66,10493
명일1동,28642,0.61,46954
명일2동,19064,0.97,19654
고덕1동,17558,1.73,10149
고덕2동,18163,2.01,9036
암사2동,16530,1.18,14008
암사3동,19083,2.51,7603
천호1동,32013,0.71,45089
천호3동,26970,0.79,34139
성내1동,20147,0.58,34736
성내2동,27162,0.67,40540
성내3동,25623,0.71,36089
둔촌1동,20258,0.92,22020
둔촌2동,29655,1.54,19256
암사1동,39384,1.01,38994
천호2동,38480,1.57,24510
길동,51382,1.61,31914
