,자치구,읍면동명,종사자수
69,광진구,중곡3동,"4,205"
70,광진구,중곡4동,"4,804"
71,광진구,능동,"4,237"
72,광진구,구의1동,"6,353"
73,광진구,구의2동,"4,934"
74,광진구,구의3동,"19,257"
75,광진구,광장동,"10,149"
76,광진구,자양1동,"8,742"
77,광진구,자양2동,"7,671"
78,광진구,자양3동,"6,130"
79,광진구,자양4동,"6,816"
80,동대문구,회기동,"9,677"
81,동대문구,휘경1동,"4,039"
82,동대문구,휘경2동,"4,409"
83,동대문구,청량리동,"8,070"
84,동대문구,용신동,"27,469"
85,동대문구,제기동,"11,201"
86,동대문구,전농1동,"7,911"
87,동대문구,전농2동,"4,213"
88,동대문구,답십리1동,"9,558"
89,동대문구,답십리2동,"5,342"
90,동대문구,장안1동,"21,258"
91,동대문구,장안2동,"11,085"
92,동대문구,이문1동,"6,039"
93,동대문구,이문2동,"2,126"
94,중랑구,면목2동,"6,030"
95,중랑구,면목4동,"3,433"
96,중랑구,면목5동,"3,596"
97,중랑구,면목7동,"3,786"
98,중랑구,상봉1동,"5,306"
99,중랑구,상봉2동,"9,848"
100,중랑구,중화1동,"4,125"
101,중랑구,중화2동,"7,560"
102,중랑구,묵1동,"5,736"
103,중랑구,묵2동,"5,399"
104,중랑구,망우3동,"3,655"
105,중랑구,신내1동,"6,806"
106,중랑구,신내2동,"5,557"
107,중랑구,면목본동,"6,636"
108,중랑구,면목3.8동,"8,174"
109,중랑구,망우본동,"10,966"
110,성북구,돈암1동,"1,395"
111,성북구,돈암2동,"1,797"
112,성북구,안암동,"13,520"
113,성북구,보문동,"4,287"
114,성북구,정릉1동,"1,938"
115,성북구,정릉2동,"2,535"
116,성북구,정릉3동,"4,427"
117,성북구,정릉4동,"3,856"
118,성북구,길음1동,"3,328"
119,성북구,길음2동,"4,255"
120,성북구,월곡1동,"5,165"
121,성북구,월곡2동,"7,627"
122,성북구,장위1동,"2,660"
123,성북구,장위2동,"5,127"
124,성북구,장위3동,"4,548"
125,성북구,성북동,"5,608"
126,성북구,삼선동,"8,666"
127,성북구,동선동,"7,957"
128,성북구,종암동,"7,316"
129,성북구,석관동,"7,042"
130,강북구,번1동,"8,763"
131,강북구,번2동,"3,665"
132,강북구,번3동,"2,637"
133,강북구,수유1동,"5,376"
134,강북구,수유2동,"3,853"
135,강북구,수유3동,"8,736"
136,강북구,삼양동,"3,305"
137,강북구,미아동,"6,044"
138,강북구,송중동,"7,986"
139,강북구,송천동,"7,511"
140,강북구,삼각산동,"2,165"
141,강북구,우이동,"3,511"
142,강북구,인수동,"5,956"
143,도봉구,쌍문1동,"3,734"
144,도봉구,쌍문2동,"3,838"
145,도봉구,쌍문3동,"3,293"
146,도봉구,쌍문4동,"1,880"
147,도봉구,방학1동,"10,834"
148,도봉구,방학2동,"3,121"
149,도봉구,방학3동,"2,874"
150,도봉구,창1동,"3,207"
151,도봉구,창2동,"4,135"
152,도봉구,창3동,"1,886"
153,도봉구,창4동,"6,659"
154,도봉구,창5동,"6,557"
155,도봉구,도봉1동,"5,316"
156,도봉구,도봉2동,"5,486"
157,노원구,월계1동,"5,054"
158,노원구,월계2동,"3,651"
159,노원구,월계3동,"3,549"
160,노원구,공릉2동,"9,436"
161,노원구,하계1동,"6,891"
162,노원구,하계2동,"1,169"
163,노원구,중계본동,"4,561"
164,노원구,중계1동,"3,728"
165,노원구,중계4동,"3,618"
166,노원구,상계1동,"8,031"
167,노원구,상계2동,"8,249"
168,노원구,상계5동,"2,729"
169,노원구,상계8동,"1,965"
170,노원구,상계9동,"2,314"
171,노원구,상계10동,"1,757"
172,노원구,상계3.4동,"4,957"
173,노원구,상계6.7동,"14,903"
174,노원구,중계2.3동,"5,049"
175,노원구,공릉1동,"10,716"
176,은평구,녹번동,"7,024"
177,은평구,불광1동,"6,304"
178,은평구,갈현1동,"5,562"
179,은평구,갈현2동,"5,927"
180,은평구,구산동,"5,491"
181,은평구,대조동,"7,450"
182,은평구,응암1동,"7,517"
183,은평구,응암2동,"2,180"
184,은평구,신사1동,"3,569"
185,은평구,신사2동,"2,707"
186,은평구,증산동,"3,917"
187,은평구,수색동,"2,550"
188,은평구,진관동,"4,228"
189,은평구,불광2동,"3,919"
190,은평구,응암3동,"4,906"
191,은평구,역촌동,"7,421"
192,서대문구,천연동,"2,488"
193,서대문구,홍제1동,"4,145"
194,서대문구,홍제3동,"3,835"
195,서대문구,홍제2동,"1,623"
196,서대문구,홍은1동,"2,315"
197,서대문구,홍은2동,"5,853"
198,서대문구,남가좌1동,"1,179"
199,서대문구,남가좌2동,"4,110"
200,서대문구,북가좌1동,"3,218"
201,서대문구,북가좌2동,"6,278"
202,서대문구,충현동,"20,424"
203,서대문구,북아현동,"1,795"
204,서대문구,신촌동,"30,867"
205,서대문구,연희동,"9,556"
206,마포구,용강동,"15,858"
207,마포구,대흥동,"16,141"
208,마포구,염리동,"4,257"
209,마포구,신수동,"5,375"
210,마포구,서교동,"51,978"
211,마포구,합정동,"8,490"
212,마포구,망원1동,"3,790"
213,마포구,망원2동,"3,572"
214,마포구,연남동,"4,543"
215,마포구,성산1동,"8,483"
216,마포구,성산2동,"8,608"
217,마포구,상암동,"27,067"
218,마포구,도화동,"14,457"
219,마포구,서강동,"10,411"
220,마포구,공덕동,"17,164"
221,마포구,아현동,"12,526"
222,양천구,목1동,"21,035"
223,양천구,목2동,"3,613"
224,양천구,목3동,"3,535"
225,양천구,목4동,"3,931"
226,양천구,신월1동,"5,352"
227,양천구,신월2동,"3,669"
228,양천구,신월3동,"3,917"
229,양천구,신월4동,"3,645"
230,양천구,신월5동,"3,585"
231,양천구,신월6동,"3,322"
232,양천구,신월7동,"5,793"
233,양천구,신정1동,"4,600"
234,양천구,신정2동,"3,727"
235,양천구,신정3동,"7,788"
236,양천구,신정6동,"5,128"
237,양천구,신정7동,"4,457"
238,양천구,목5동,"8,977"
239,양천구,신정4동,"12,728"
240,강서구,염창동,"15,540"
241,강서구,등촌1동,"9,851"
242,강서구,등촌2동,"3,051"
243,강서구,등촌3동,"17,135"
244,강서구,화곡본동,"3,881"
245,강서구,화곡2동,"2,388"
246,강서구,화곡3동,"4,492"
247,강서구,화곡4동,"3,891"
248,강서구,화곡6동,"10,913"
249,강서구,화곡8동,"3,127"
250,강서구,가양1동,"6,086"
251,강서구,가양2동,"2,961"
252,강서구,가양3동,"6,091"
253,강서구,발산1동,"10,463"
254,강서구,공항동,"31,699"
255,강서구,방화1동,"6,850"
256,강서구,방화2동,"12,130"
257,강서구,방화3동,"3,904"
258,강서구,화곡1동,"8,280"
259,강서구,우장산동,"6,050"
260,구로구,신도림동,"13,980"
261,구로구,구로1동,"2,744"
262,구로구,구로3동,"74,353"
263,구로구,구로4동,"4,957"
264,구로구,구로5동,"26,098"
265,구로구,고척1동,"8,230"
266,구로구,고척2동,"3,888"
267,구로구,개봉2동,"2,601"
268,구로구,개봉3동,"2,610"
269,구로구,오류1동,"4,540"
270,구로구,오류2동,"6,233"
271,구로구,수궁동,"5,826"
272,구로구,가리봉동,"2,669"
273,구로구,구로2동,"26,613"
274,구로구,개봉1동,"5,350"
275,금천구,가산동,"132,931"
276,금천구,독산1동,"20,363"
277,금천구,독산2동,"3,454"
278,금천구,독산3동,"8,752"
279,금천구,독산4동,"3,406"
280,금천구,시흥1동,"13,306"
281,금천구,시흥2동,"1,565"
282,금천구,시흥3동,"9,283"
283,금천구,시흥4동,"2,019"
284,금천구,시흥5동,"3,486"
285,영등포구,여의동,"144,894"
286,영등포구,당산1동,"18,431"
287,영등포구,당산2동,"16,306"
288,영등포구,양평1동,"22,350"
289,영등포구,양평2동,"18,182"
290,영등포구,신길1동,"4,110"
291,영등포구,신길3동,"2,560"
292,영등포구,신길4동,"1,928"
293,영등포구,신길5동,"2,300"
294,영등포구,신길6동,"3,592"
295,영등포구,신길7동,"3,306"
296,영등포구,대림1동,"5,240"
297,영등포구,대림2동,"4,965"
298,영등포구,대림3동,"9,554"
299,영등포구,영등포본동,"4,122"
300,영등포구,영등포동,"34,074"
301,영등포구,도림동,"2,812"
302,영등포구,문래동,"36,952"
303,동작구,노량진2동,"5,119"
304,동작구,상도1동,"6,517"
305,동작구,상도2동,"4,346"
306,동작구,상도3동,"2,748"
307,동작구,상도4동,"2,694"
308,동작구,사당1동,"8,482"
309,동작구,사당3동,"4,444"
310,동작구,사당4동,"1,672"
311,동작구,사당5동,"1,521"
312,동작구,대방동,"12,649"
313,동작구,신대방1동,"3,975"
314,동작구,신대방2동,"19,901"
315,동작구,흑석동,"9,261"
316,동작구,노량진1동,"10,811"
317,동작구,사당2동,"5,488"
318,관악구,보라매동,"4,477"
319,관악구,청림동,998
320,관악구,행운동,"4,895"
321,관악구,낙성대동,"8,242"
322,관악구,중앙동,"4,363"
323,관악구,인헌동,"4,316"
324,관악구,남현동,"5,538"
325,관악구,서원동,"7,033"
326,관악구,신원동,"2,385"
327,관악구,서림동,"2,654"
328,관악구,신사동,"4,940"
329,관악구,신림동,"6,754"
330,관악구,난향동,"1,642"
331,관악구,조원동,"6,979"
332,관악구,대학동,"10,394"
333,관악구,은천동,"7,599"
334,관악구,성현동,"2,495"
335,관악구,청룡동,"11,677"
336,관악구,난곡동,"2,327"
337,관악구,삼성동,"2,600"
338,관악구,미성동,"6,761"
339,서초구,서초1동,"28,304"
340,서초구,서초2동,"46,119"
341,서초구,서초3동,"63,373"
342,서초구,서초4동,"26,148"
343,서초구,잠원동,"15,673"
344,서초구,반포본동,"2,296"
345,서초구,반포1동,"9,872"
346,서초구,반포2동,"1,990"
347,서초구,반포3동,"5,766"
348,서초구,반포4동,"28,714"
349,서초구,방배본동,"11,363"
350,서초구,방배1동,"14,976"
351,서초구,방배2동,"16,233"
352,서초구,방배3동,"10,357"
353,서초구,방배4동,"15,252"
354,서초구,양재1동,"30,622"
355,서초구,양재2동,"45,417"
356,서초구,내곡동,"4,487"
357,강남구,신사동,"26,400"
358,강남구,논현1동,"37,939"
359,강남구,논현2동,"53,983"
360,강남구,삼성1동,"57,706"
361,강남구,삼성2동,"30,856"
362,강남구,대치1동,"6,289"
363,강남구,대치4동,"31,940"
364,강남구,역삼1동,"133,384"
365,강남구,역삼2동,"37,603"
366,강남구,도곡1동,"13,664"
367,강남구,도곡2동,"16,951"
368,강남구,개포1동,"1,291"
369,강남구,개포4동,"13,458"
370,강남구,일원본동,"8,005"
371,강남구,일원1동,"4,248"
372,강남구,일원2동,"5,505"
373,강남구,수서동,"14,416"
374,강남구,세곡동,"1,881"
375,강남구,압구정동,"26,298"
376,강남구,청담동,"37,003"
377,강남구,대치2동,"48,576"
378,강남구,개포2동,"3,810"
379,송파구,풍납1동,"2,320"
380,송파구,풍납2동,"14,637"
381,송파구,거여1동,"2,665"
382,송파구,거여2동,"4,283"
383,송파구,마천1동,"2,106"
384,송파구,마천2동,"4,128"
385,송파구,방이1동,"8,988"
386,송파구,방이2동,"21,109"
387,송파구,오륜동,"4,111"
388,송파구,오금동,"15,708"
389,송파구,송파1동,"11,042"
390,송파구,송파2동,"4,614"
391,송파구,석촌동,"14,862"
392,송파구,삼전동,"10,220"
393,송파구,가락본동,"29,940"
394,송파구,가락1동,"10,371"
395,송파구,가락2동,"9,247"
396,송파구,문정1동,"7,913"
397,송파구,문정2동,"10,279"
398,송파구,장지동,"10,267"
399,송파구,잠실본동,"17,312"
400,송파구,잠실4동,"1,890"
401,송파구,잠실6동,"26,355"
402,송파구,잠실7동,970
403,송파구,잠실2동,"3,534"
404,송파구,잠실3동,"8,329"
405,강동구,강일동,"10,962"
406,강동구,상일동,"5,238"
407,강동구,명일1동,"4,937"
408,강동구,명일2동,"4,869"
409,강동구,고덕1동,"1,878"
410,강동구,고덕2동,"3,795"
411,강동구,암사2동,"3,170"
412,강동구,암사3동,"2,019"
413,강동구,천호1동,"5,296"
414,강동구,천호3동,"6,456"
415,강동구,성내1동,"14,744"
416,강동구,성내2동,"7,849"
417,강동구,성내3동,"10,355"
418,강동구,둔촌1동,"1,390"
419,강동구,둔촌2동,"9,051"
420,강동구,암사1동,"4,984"
421,강동구,천호2동,"13,651"
422,강동구,길동,"18,786"
