year,읍면동명,인구,면적,인구밀도
2012,상계3.4동,39274,5.62,6988
2012,상계6.7동,37203,1.11,33516
2012,중계2.3동,42416,1.7,24951
2012,공릉1동,40455,1.41,28691
2012,녹번동,33447,1.79,18692
2012,불광1동,42182,3.13,13477
2012,갈현1동,26489,0.97,27308
2012,갈현2동,28903,0.96,30107
2012,구산동,34279,1.38,24813
2012,대조동,32042,0.85,37751
2012,응암1동,32281,1.2,26901
2012,응암2동,26330,0.78,33756
2012,신사1동,28328,0.84,33724
2012,신사2동,23224,1.0,23224
2012,증산동,21269,0.81,26362
2012,수색동,19747,1.29,15290
2012,진관동,49691,11.52,4313
2012,불광2동,30564,1.38,22148
2012,응암3동,27898,0.63,44283
2012,역촌동,49228,1.16,42502
2012,천연동,20457,0.97,21090
2012,홍제1동,27841,1.23,22635
2012,홍제3동,20292,0.82,24746
2012,홍제2동,15927,1.06,15025
2012,홍은1동,26748,1.58,16929
2012,홍은2동,30100,2.06,14612
2012,남가좌1동,4040,0.49,8245
2012,남가좌2동,30972,0.78,39708
2012,북가좌1동,17067,0.54,31606
2012,북가좌2동,34308,0.85,40362
2012,충현동,20749,1.08,19212
2012,북아현동,11227,0.46,24407
2012,신촌동,21586,2.63,8208
2012,연희동,43419,3.05,14236
2012,용강동,19333,0.84,23015
2012,대흥동,15889,0.88,18056
2012,염리동,18047,0.43,41970
2012,신수동,22237,0.78,28511
2012,서교동,29491,1.65,17873
2012,합정동,20605,1.69,12192
2012,망원1동,24534,1.14,21521
2012,망원2동,21350,0.67,31866
2012,연남동,20202,0.65,31157
2012,성산1동,21372,0.8,26715
2012,성산2동,40975,2.07,19773
2012,상암동,33618,8.4,4004
2012,도화동,23725,0.62,38257
2012,서강동,25616,1.45,17666
2012,공덕동,37138,1.01,36773
2012,아현동,19444,0.76,25586
2012,목1동,33320,1.41,23631
2012,목2동,31953,1.03,31022
2012,목3동,23230,0.53,43830
2012,목4동,28762,0.57,50460
2012,신월1동,25070,1.8,13928
2012,신월2동,21114,0.65,32483
2012,신월3동,17994,0.61,29498
2012,신월4동,19264,0.87,22143
2012,신월5동,16378,0.52,31496
2012,신월6동,13031,0.69,18886
2012,신월7동,25210,0.41,61488
2012,신정1동,20503,1.19,17229
2012,신정2동,22634,0.7,32334
2012,신정3동,58364,0.52,112238
2012,신정6동,27115,2.72,9969
2012,신정7동,33238,1.01,32909
2012,목5동,45733,0.96,47639
2012,신정4동,37619,1.21,31090
2012,염창동,42695,1.74,24537
2012,등촌1동,22706,0.59,38485
2012,등촌2동,22254,0.92,24189
2012,등촌3동,37491,0.79,47457
2012,화곡본동,37006,1.11,33339
2012,화곡2동,20661,0.47,43960
2012,화곡3동,24262,0.51,47573
2012,화곡4동,23405,0.82,28543
2012,화곡6동,25446,1.11,22924
2012,화곡8동,27744,0.53,52347
2012,가양1동,20676,4.7,4399
2012,가양2동,17967,1.0,17967
2012,가양3동,18847,0.99,19037
2012,발산1동,33268,2.96,11239
2012,공항동,22421,10.88,2061
2012,방화1동,31155,1.04,29957
2012,방화2동,26109,6.41,4073
2012,방화3동,27479,2.38,11546
2012,화곡1동,52354,1.12,46745
2012,우장산동,39848,1.36,29300
2012,신도림동,38378,1.47,26107
2012,구로1동,23320,1.02,22863
2012,구로3동,28948,1.02,28380
