,읍면동명,자치구,선거인수,새누리당,더불어민주당,국민의당,독거노인수,유년부양비,노년부양비,노령화지수,사업체수,종사자수,사업체 창업률,중위연령,기초수급자인원수,보육시설,금융기관,사업체 평균연령,장애등급
41,번2동,강북구,15289,3204.0,2860,2253.0,813,12.5,25.6,205.4,656,3314,8.69,45.7,1303,552.0,4.0,10.75,1394.0
42,수유1동,강북구,18851,3663.0,3317,2395.0,1061,12.3,21.9,178.1,1449,4878,10.84,44.6,1113,870.0,2.0,10.167,1296.0
43,수유2동,강북구,18663,4615.0,3497,2556.0,843,13.0,24.2,185.8,1363,4339,11.89,45.4,928,745.0,1.0,8.833,1029.0
44,수유3동,강북구,20709,4063.0,3671,3055.0,979,9.4,20.7,219.8,2399,8658,17.22,44.1,895,517.0,8.0,7.0829999999999975,1113.0
45,우이동,강북구,17844,4115.0,3168,2208.0,959,14.1,25.2,178.7,993,3970,12.99,45.8,807,702.0,2.0,9.583,987.0
46,인수동,강북구,27054,5709.0,4722,3583.0,1394,13.1,24.4,186.8,1550,5487,10.0,45.7,1636,524.0,1.0,9.5,1735.0
47,삼양동,강북구,23926,4302.0,5824,1810.0,1316,14.8,21.0,141.7,1176,3641,12.41,44.2,1491,870.0,2.0,9.25,1529.0
48,미아동,강북구,19984,3592.0,5622,1500.0,1013,10.7,20.6,193.2,1639,6194,13.61,44.2,744,426.0,2.0,7.8329999999999975,1138.0
49,송중동,강북구,24690,4700.0,6438,1680.0,1252,11.9,22.5,188.7,1955,7783,14.63,45.2,948,771.0,2.0,8.083,1402.0
50,송천동,강북구,25342,4952.0,6486,1818.0,1550,11.3,23.1,203.9,2128,7241,11.7,46.1,1189,716.0,6.0,9.417,1542.0
51,삼각산동,강북구,25129,5079.0,8526,1835.0,809,25.5,14.8,57.9,781,2354,14.47,40.0,1084,1213.0,3.0,7.25,1249.0
52,번3동,강북구,16319,3567.0,4317,1344.0,942,15.7,30.1,192.1,860,2922,6.98,45.3,2184,457.0,1.0,10.833,2010.0
53,화곡1동,강서구,43602,7033.0,7629,3969.0,1279,11.5,15.4,134.1,3126,10841,13.31,39.6,1081,1265.0,3.0,9.167,2072.0
54,화곡2동,강서구,15786,2478.0,2892,1463.0,467,17.2,15.0,87.3,852,2790,12.09,39.9,560,770.0,4.0,10.167,774.0
55,화곡3동,강서구,19419,4476.0,4139,1642.0,557,13.4,17.7,132.0,1227,5360,15.57,42.3,361,743.0,3.0,8.5,876.0
56,화곡8동,강서구,22054,3620.0,4354,2118.0,619,14.7,17.1,116.1,1230,3229,13.58,40.7,594,836.0,3.0,9.75,1018.0
57,우장산동,강서구,34715,7424.0,8294,2955.0,741,22.1,13.0,58.7,1708,7430,14.4,39.7,321,1199.0,7.0,9.083,1289.0
58,발산1동,강서구,28886,5395.0,7233,2928.0,601,24.5,12.9,52.7,2322,11966,9.52,38.6,848,1446.0,7.0,10.167,1451.0
59,염창동,강서구,31048,5889.0,9687,4159.0,446,22.8,10.7,46.9,2149,15633,8.98,38.4,129,1302.0,4.0,10.667,1048.0
60,등촌1동,강서구,18183,3127.0,4879,2072.0,552,12.6,12.9,101.8,1939,15729,11.96,36.7,174,524.0,4.0,8.75,730.0
61,등촌2동,강서구,17331,3596.0,4225,2124.0,348,14.3,13.9,97.6,735,3454,9.66,40.1,262,444.0,1.0,11.0,709.0
62,화곡본동,강서구,28769,4253.0,6145,3059.0,691,16.0,13.6,85.5,1355,4047,10.7,38.8,1189,1480.0,2.0,11.083,1394.0
63,화곡4동,강서구,18828,3261.0,3650,2139.0,650,13.5,16.5,122.9,1444,3860,12.19,41.7,560,776.0,3.0,9.999,940.0
64,화곡6동,강서구,20901,4456.0,4642,2235.0,553,13.9,14.2,102.4,1850,11322,13.84,40.4,536,817.0,5.0,8.917,950.0
65,가양3동,강서구,14822,3064.0,3758,1786.0,781,11.2,21.8,195.3,933,7631,8.68,43.1,1890,391.0,4.0,12.334000000000001,1637.0
66,등촌3동,강서구,28742,7865.0,6937,2524.0,1652,12.6,19.5,154.7,2627,22329,15.76,43.5,5271,998.0,7.0,9.083,3821.0
67,가양1동,강서구,19628,5580.0,4979,1640.0,334,14.5,10.2,70.6,1809,14040,21.72,36.8,141,470.0,3.0,8.417,774.0
68,가양2동,강서구,14892,4295.0,3203,1304.0,997,7.5,24.6,329.5,640,3495,8.75,48.5,2673,393.0,3.0,10.667,2399.0
69,공항동,강서구,16883,3815.0,3226,1516.0,1308,16.8,16.5,98.3,1973,35503,12.47,40.1,618,759.0,8.0,9.5,1014.0
70,방화1동,강서구,33912,9528.0,8315,2912.0,906,22.7,15.4,67.6,2879,10377,12.16,39.4,585,1652.0,4.0,12.0,1734.0
71,방화2동,강서구,20415,5492.0,3817,1818.0,1001,12.7,21.1,166.5,2932,13631,8.77,43.5,1116,651.0,3.0,14.833,1613.0
72,방화3동,강서구,21700,6548.0,5084,1807.0,1065,14.9,21.1,141.6,932,4739,8.26,43.2,1692,769.0,2.0,13.583,1997.0
73,보라매동,관악구,21183,2920.0,3972,4433.0,846,12.7,18.2,142.9,1397,6434,11.38,40.6,710,701.0,2.0,9.583,1090.0
74,은천동,관악구,28717,3429.0,5851,7077.0,1048,16.7,17.8,106.7,1596,7330,9.77,40.5,1051,971.0,1.0,11.25,1643.0
75,성현동,관악구,26477,3505.0,5679,7182.0,1079,18.6,19.7,105.9,880,2964,10.34,42.1,1167,893.0,4.0,11.917,1523.0
76,중앙동,관악구,12820,1244.0,2597,2974.0,552,7.9,17.2,218.6,1086,5076,13.44,38.4,284,252.0,3.0,10.5,618.0
77,청림동,관악구,13289,1883.0,3138,3520.0,584,20.0,19.7,98.4,443,1185,9.26,40.3,439,491.0,4.0,10.999,690.0
78,행운동,관악구,25499,2891.0,6117,5658.0,912,9.8,15.3,155.6,1464,6151,14.82,36.9,768,580.0,5.0,9.583,1136.0
79,청룡동,관악구,24647,2496.0,5283,5411.0,933,8.8,14.6,165.5,1866,11207,12.75,36.4,479,622.0,7.0,9.417,977.0
80,낙성대동,관악구,14769,1487.0,3584,3422.0,481,10.1,12.2,121.5,1265,7741,16.44,33.7,267,856.0,3.0,8.25,521.0
81,인헌동,관악구,23195,2781.0,5143,5368.0,704,12.7,15.6,123.1,1047,4006,8.98,37.7,305,569.0,5.0,10.667,906.0
82,남현동,관악구,15217,2231.0,3285,3191.0,396,12.5,14.9,119.4,874,5163,9.73,37.2,130,398.0,1.0,9.75,566.0
83,신림동,관악구,18299,1701.0,3963,2957.0,475,4.5,9.5,210.3,1623,5671,15.65,33.2,316,217.0,2.0,7.1670000000000025,566.0
84,신사동,관악구,20014,3752.0,3727,2796.0,701,10.0,13.9,138.1,1422,4712,11.67,40.8,661,538.0,2.0,8.999,924.0
85,조원동,관악구,15471,3054.0,2920,2213.0,559,10.1,14.5,144.5,2184,7073,10.71,40.9,330,510.0,2.0,10.0,719.0
86,미성동,관악구,27195,6670.0,4765,4095.0,972,14.0,17.9,127.9,1625,6027,10.58,42.4,895,894.0,4.0,11.167,1355.0
87,난곡동,관악구,24857,5665.0,3966,3496.0,1121,12.8,19.7,153.7,959,2411,10.53,43.9,1242,668.0,1.0,12.917,1539.0
88,난향동,관악구,13296,3177.0,2803,1966.0,476,20.4,18.8,92.3,420,1926,9.29,41.8,427,534.0,4.0,12.917,697.0
89,서원동,관악구,20218,3555.0,4371,2488.0,613,7.3,14.3,195.2,1296,7974,13.66,37.5,502,373.0,2.0,8.667,827.0
90,신원동,관악구,16111,3167.0,3237,1962.0,697,9.8,17.6,180.6,851,2453,13.4,40.7,607,504.0,1.0,10.25,835.0
91,서림동,관악구,21046,4112.0,4934,2466.0,636,8.6,14.0,162.9,1316,3296,7.52,36.8,532,374.0,1.0,16.667,859.0
92,삼성동,관악구,23296,5768.0,4798,3108.0,1325,11.8,24.7,210.2,1062,2372,6.59,46.6,1009,567.0,4.0,14.75,1473.0
93,대학동,관악구,20292,3899.0,5199,2326.0,545,7.0,11.6,164.9,1701,12609,14.11,36.0,476,315.0,6.0,8.583,678.0
94,중곡1동,광진구,13504,2689.0,2843,1592.0,485,10.6,16.1,151.5,1639,6476,11.71,41.6,444,304.0,2.0,9.583,683.0
95,중곡2동,광진구,18357,3641.0,4091,2045.0,480,13.0,14.3,110.2,1660,6711,12.77,39.9,622,615.0,4.0,9.083,871.0
96,중곡3동,광진구,14767,3053.0,2900,1662.0,534,11.6,16.1,138.9,1347,5601,12.77,42.4,704,966.0,1.0,9.917,748.0
97,중곡4동,광진구,25930,5555.0,5648,2960.0,842,12.8,16.4,128.2,1545,4810,11.65,42.2,1079,868.0,2.0,10.833,1348.0
98,능동,광진구,9624,1872.0,2493,1046.0,260,11.1,14.4,130.4,758,5945,18.34,36.9,191,248.0,4.0,8.833,364.0
99,구의2동,광진구,20286,4374.0,4337,2329.0,669,15.8,16.8,106.4,1251,5199,11.27,41.6,677,697.0,2.0,11.083,1044.0
100,광장동,광진구,25721,6682.0,6649,2872.0,493,25.8,11.5,44.8,1402,12078,14.41,39.6,124,608.0,9.0,8.833,708.0
101,군자동,광진구,17435,3401.0,4016,1894.0,574,10.3,13.8,134.4,1609,10040,11.5,37.4,531,709.0,6.0,9.334,774.0
102,구의1동,광진구,19127,3512.0,5316,1638.0,580,9.9,14.1,142.6,1900,6556,13.47,39.1,519,474.0,4.0,8.75,792.0
103,구의3동,광진구,23623,5955.0,7158,1912.0,608,14.8,13.7,92.3,2636,19517,13.81,40.0,249,613.0,8.0,8.25,775.0
104,자양1동,광진구,19275,3931.0,5169,1527.0,681,11.2,14.4,128.3,1736,8527,11.0,40.6,685,731.0,4.0,10.083,880.0
105,자양2동,광진구,21608,4860.0,5877,1827.0,532,15.3,14.3,94.0,1524,7659,10.5,40.7,416,619.0,2.0,10.5,973.0
106,자양3동,광진구,23895,6535.0,7244,1966.0,562,19.0,13.7,72.1,1356,6395,11.5,39.8,255,776.0,6.0,9.75,777.0
107,자양4동,광진구,19756,4171.0,4583,1681.0,938,8.3,15.7,188.8,2058,6388,13.07,45.2,692,655.0,2.0,9.167,1038.0
108,화양동,광진구,19224,2771.0,5220,1475.0,622,5.0,9.9,196.8,2474,15035,16.77,30.9,315,414.0,7.0,7.334,581.0
109,고척1동,구로구,20153,4225.0,6520,1221.0,663,15.7,18.0,114.3,2629,9475,9.59,42.5,421,815.0,4.0,10.833,1118.0
110,고척2동,구로구,23486,4575.0,7357,1559.0,850,16.6,17.4,104.9,1427,3976,9.32,42.4,734,1014.0,2.0,10.167,1233.0
111,개봉1동,구로구,28163,5721.0,8538,1864.0,1116,15.4,19.0,123.9,1756,5596,11.45,43.3,912,969.0,3.0,9.583,1590.0
112,개봉2동,구로구,27625,5982.0,9346,2015.0,815,17.3,19.3,111.6,1133,2989,9.53,41.7,592,1049.0,3.0,10.0,1435.0
113,개봉3동,구로구,17603,3318.0,5140,1324.0,579,15.8,17.9,112.7,1012,5099,9.98,42.2,587,826.0,2.0,9.833,906.0
114,오류1동,구로구,17821,3901.0,5311,1091.0,686,12.9,18.2,141.1,1121,5158,12.13,40.8,596,722.0,4.0,9.833,982.0
115,오류2동,구로구,34069,6578.0,11610,2105.0,987,23.8,18.1,76.1,1573,7882,13.1,39.9,955,1880.0,1.0,9.167,2021.0
116,수궁동,구로구,20266,5155.0,5839,1163.0,699,17.5,17.6,100.4,1272,5881,9.04,41.4,555,813.0,1.0,11.083,1204.0
117,신도림동,구로구,28914,6343.0,10788,1981.0,501,21.8,12.9,59.3,2835,14839,13.69,38.5,131,975.0,5.0,9.083,974.0
118,구로1동,구로구,16984,3282.0,6598,1245.0,270,20.6,10.8,52.1,626,3021,8.95,37.9,69,807.0,2.0,9.917,509.0
119,구로2동,구로구,24165,4825.0,5819,1576.0,1383,10.0,17.4,173.9,7912,30343,6.52,46.4,775,1043.0,12.0,11.167,1411.0
120,구로3동,구로구,22456,3299.0,7625,2004.0,648,13.3,12.9,96.8,6881,82785,15.3,37.3,290,898.0,19.0,7.8329999999999975,870.0
121,구로4동,구로구,20146,3582.0,5664,1647.0,1011,11.4,17.3,152.5,2023,5011,12.65,44.6,662,752.0,5.0,9.167,1234.0
122,구로5동,구로구,26032,4914.0,8377,1869.0,731,13.2,13.9,105.5,4857,26516,12.25,40.0,312,1149.0,6.0,8.917,1107.0
123,가리봉동,구로구,9597,1543.0,2110,565.0,793,6.3,13.6,215.2,976,2820,14.14,49.5,587,282.0,1.0,9.417,619.0
124,가산동,금천구,17334,2574.0,4108,2118.0,623,7.4,10.9,148.3,13752,153745,14.18,40.3,468,893.0,30.0,7.75,761.0
125,독산1동,금천구,25878,4595.0,5771,3315.0,889,12.5,14.7,117.7,3922,24440,10.76,40.1,1258,835.0,7.0,9.583,1761.0
126,독산2동,금천구,17719,3054.0,3210,2137.0,781,11.7,15.4,131.5,1178,3542,12.65,45.0,1031,982.0,2.0,8.417,949.0
127,독산3동,금천구,22666,3834.0,4283,2917.0,980,10.3,14.9,144.8,2190,8267,11.92,46.0,942,769.0,3.0,8.833,1187.0
128,독산4동,금천구,15214,2655.0,2843,1946.0,535,11.5,15.2,132.5,1011,3674,12.56,45.2,743,661.0,2.0,8.75,758.0
129,시흥1동,금천구,29359,6001.0,5670,3640.0,1315,14.5,17.1,117.8,2986,13912,13.53,43.0,1223,958.0,9.0,8.917,1604.0
130,시흥2동,금천구,18869,4213.0,4392,2956.0,701,19.5,19.0,97.8,576,2005,9.2,42.8,1115,610.0,1.0,9.5,1109.0
131,시흥3동,금천구,10366,2282.0,2180,1331.0,431,13.2,21.0,159.1,3340,10610,6.41,45.1,275,338.0,5.0,11.083,565.0
132,시흥4동,금천구,18820,3734.0,3593,2558.0,759,13.8,17.9,129.1,859,1938,10.36,44.5,934,936.0,1.0,9.0,1024.0
133,시흥5동,금천구,18496,3732.0,3453,2438.0,1056,13.4,21.6,161.2,1173,3445,10.06,45.4,1240,1364.0,1.0,9.417,1202.0
134,월계1동,노원구,18698,4557.0,4519,1947.0,764,14.5,19.2,132.4,1444,6011,10.04,41.1,644,759.0,2.0,10.667,1008.0
135,월계2동,노원구,22413,5408.0,4779,2375.0,1338,15.5,22.1,142.1,922,3313,5.97,44.4,2749,568.0,4.0,15.833,2168.0
136,월계3동,노원구,27052,6768.0,7170,3047.0,1200,18.6,19.3,104.1,965,3371,7.25,41.4,1642,928.0,3.0,14.5,1976.0
137,공릉1동,노원구,32340,7155.0,7808,3883.0,1166,13.7,16.3,119.0,2776,11472,11.56,40.3,1789,992.0,7.0,10.5,2186.0
138,공릉2동,노원구,33265,7872.0,8986,3809.0,910,19.2,12.9,67.5,1944,11763,10.8,38.7,626,1488.0,6.0,11.75,1438.0
139,상계1동,노원구,33715,6590.0,2853,11256.0,1061,15.1,17.3,114.5,3133,10559,7.88,42.7,1049,1367.0,2.0,16.999000000000002,1902.0
140,상계2동,노원구,17591,3464.0,1439,5474.0,627,12.6,15.5,123.1,2459,9991,17.24,42.8,716,917.0,2.0,6.8329999999999975,887.0
141,상계3.4동,노원구,25798,5313.0,1827,7201.0,1718,13.4,25.4,189.9,1434,4495,8.65,46.5,2014,1042.0,1.0,12.667,1760.0
142,상계5동,노원구,22441,4654.0,1764,6677.0,1063,13.5,20.7,153.5,1568,4708,12.88,44.4,1284,605.0,1.0,9.5,1349.0
143,상계8동,노원구,18201,3355.0,2017,6889.0,511,25.1,12.3,48.8,577,1935,5.89,36.6,158,844.0,3.0,13.583,724.0
144,상계9동,노원구,17965,3699.0,1713,6446.0,636,18.4,14.7,80.2,721,2519,8.46,40.9,298,587.0,4.0,14.833,761.0
145,상계10동,노원구,15395,3000.0,1530,5381.0,504,15.1,13.2,87.4,469,2191,8.53,40.2,298,411.0,1.0,14.417,583.0
146,하계1동,노원구,23136,4464.0,7145,2495.0,1109,13.0,15.2,116.8,1023,7727,12.61,42.1,2539,637.0,5.0,10.917,2095.0
147,하계2동,노원구,18995,3386.0,6784,2053.0,610,18.6,14.4,77.4,387,1248,5.68,41.1,1005,351.0,1.0,16.334,1021.0
148,중계본동,노원구,20225,3802.0,6528,2222.0,634,19.5,11.2,57.4,1184,5296,11.15,41.5,438,367.0,2.0,10.083,895.0
149,중계1동,노원구,20193,3725.0,7147,2279.0,473,22.8,9.3,40.9,951,4219,9.67,40.7,607,597.0,3.0,10.5,792.0
150,중계2.3동,노원구,31449,5900.0,10271,3157.0,1703,16.8,21.7,129.5,1360,5472,10.81,42.8,4120,746.0,2.0,11.083,3214.0
151,중계4동,노원구,17493,3457.0,5117,2083.0,845,16.5,19.8,119.9,1044,3766,11.49,43.2,1378,388.0,3.0,10.083,1399.0
152,상계6.7동,노원구,27466,5061.0,8532,3558.0,1072,18.9,14.2,74.8,1910,14943,10.73,39.9,734,842.0,14.0,11.167,1272.0
153,쌍문1동,도봉구,17961,3959.0,5518,0.0,758,14.5,21.8,149.8,928,3908,11.64,44.1,872,632.0,2.0,8.667,1051.0
154,쌍문3동,도봉구,14783,3135.0,4575,0.0,588,12.7,21.3,168.3,975,4078,14.46,43.5,464,639.0,2.0,7.8329999999999975,764.0
155,창1동,도봉구,21695,5073.0,7672,0.0,798,16.9,18.1,106.5,1404,3739,10.11,42.0,369,690.0,3.0,8.334,1032.0
156,창2동,도봉구,24892,5183.0,8071,0.0,766,15.4,17.1,111.6,1398,4457,10.94,41.8,889,1120.0,1.0,7.9170000000000025,1268.0
157,창3동,도봉구,12769,2643.0,3623,0.0,594,14.4,21.2,147.5,969,2242,13.42,44.5,813,623.0,4.0,7.6670000000000025,794.0
158,창4동,도봉구,22692,5488.0,8854,0.0,678,17.4,15.8,90.5,1284,7286,13.01,41.7,275,665.0,4.0,7.9170000000000025,1000.0
159,창5동,도봉구,21578,5589.0,7379,0.0,611,15.5,16.8,108.0,2219,7259,10.86,42.0,351,713.0,5.0,7.1670000000000025,991.0
160,쌍문2동,도봉구,17402,3970.0,3456,1914.0,755,13.8,19.9,144.4,1308,5503,14.07,43.4,798,627.0,1.0,6.999,929.0
161,쌍문4동,도봉구,16090,4084.0,3738,1852.0,399,16.0,14.6,91.2,616,1922,14.45,42.3,184,363.0,2.0,7.6670000000000025,668.0
162,방학1동,도봉구,25293,6268.0,4807,2887.0,986,13.3,18.9,142.3,2330,10831,14.25,44.4,1141,982.0,6.0,6.9170000000000025,1439.0
163,방학2동,도봉구,18358,4203.0,3137,1983.0,934,12.8,21.0,163.9,1244,3029,12.7,45.3,1867,920.0,4.0,7.999,1183.0
164,방학3동,도봉구,24060,6252.0,5934,2604.0,646,17.4,16.4,93.9,871,3127,10.68,42.7,285,847.0,3.0,8.167,1014.0
165,도봉1동,도봉구,19899,5195.0,3432,2111.0,1135,11.1,27.6,250.1,1701,6063,12.58,47.7,1016,697.0,2.0,8.833,1476.0
166,도봉2동,도봉구,24385,6524.0,5352,3000.0,953,15.1,24.2,160.5,1439,6722,12.44,45.5,745,1025.0,3.0,7.4170000000000025,1406.0
167,용신동,동대문구,27097,5377.0,5919,2511.0,1488,10.6,20.8,196.6,5820,32819,10.34,43.2,1164,747.0,12.0,9.917,1479.0
168,제기동,동대문구,22439,5013.0,4848,2099.0,1442,10.4,22.5,216.5,4739,11977,8.06,42.3,1074,649.0,9.0,11.75,1314.0
169,청량리동,동대문구,19616,5319.0,4173,1554.0,1363,11.2,28.0,249.9,1683,8132,9.74,48.2,1250,505.0,5.0,10.833,1384.0
170,회기동,동대문구,9655,1937.0,2951,765.0,322,9.7,13.7,141.7,988,9709,17.0,31.3,209,222.0,6.0,8.25,315.0
171,휘경1동,동대문구,11961,2474.0,2657,997.0,476,8.6,17.7,206.2,1027,4606,10.22,39.0,397,371.0,2.0,9.334,616.0
172,휘경2동,동대문구,19929,4428.0,5494,1752.0,643,14.8,16.5,111.7,1197,4977,9.02,39.3,405,687.0,2.0,9.999,860.0
173,이문1동,동대문구,24353,5175.0,5470,2114.0,1001,9.4,17.1,182.4,1486,6849,12.25,37.7,900,547.0,2.0,8.999,1287.0
174,이문2동,동대문구,17684,3900.0,4665,1714.0,655,16.9,19.2,113.9,729,2257,11.25,42.3,731,679.0,4.0,9.75,1031.0
175,전농1동,동대문구,25078,5411.0,7709,0.0,1420,13.6,21.3,156.3,2178,8303,13.04,43.7,1410,633.0,2.0,8.5,1576.0
176,전농2동,동대문구,16612,3799.0,5950,0.0,527,17.3,19.7,114.2,875,4824,9.26,42.8,582,423.0,4.0,10.083,875.0
177,답십리1동,동대문구,20915,4494.0,7017,0.0,648,16.5,17.1,103.5,2242,10402,9.9,40.7,630,858.0,7.0,10.334000000000001,958.0
178,답십리2동,동대문구,23496,5424.0,7918,0.0,924,14.8,20.1,136.1,2055,6059,8.18,43.7,969,925.0,1.0,10.334000000000001,1439.0
179,장안1동,동대문구,30890,6428.0,9628,0.0,913,15.1,16.6,110.1,4539,21790,11.37,41.4,903,1372.0,10.0,9.25,1552.0
180,장안2동,동대문구,25288,5564.0,8279,0.0,748,18.9,16.9,89.7,3204,11468,12.86,41.3,721,948.0,3.0,8.167,1223.0
181,노량진1동,동작구,26568,5857.0,5866,3861.0,941,14.1,19.4,136.9,2148,9310,12.15,41.0,570,653.0,5.0,11.25,1228.0
182,노량진2동,동작구,13099,2729.0,2533,1778.0,671,8.1,20.9,259.0,1554,6340,12.29,45.8,538,233.0,4.0,12.417,646.0
183,상도2동,동작구,20280,4361.0,4363,2958.0,951,15.9,17.1,107.2,1287,4543,13.68,39.5,378,716.0,4.0,9.75,931.0
