,읍면동명,자치구,선거인수,새누리당,민주통합당,통합진보당
22,응암제2동,은평구,"18,754","3,749","4,269",
28,응암제3동,은평구,"22,537","4,272","5,065",
35,증산동,은평구,"17,111","3,876","4,482",
40,수색동,은평구,"16,381","3,931","4,085",
46,신사제1동,은평구,"22,293","4,699","5,979",
52,신사제2동,은평구,"18,338","3,810","4,741",
7,갈현제2동,은평구,"22,210","6,120",,"5,596"
13,구산동,은평구,"26,754","7,315",,"6,225"
20,갈현제1동,은평구,"21,277","5,398",,"5,524"
26,진관동,은평구,"34,756","11,096",,"10,704"
37,불광제1동,은평구,"33,475","9,228",,"9,430"
46,불광제2동,은평구,"25,285","6,442",,"6,094"
54,대조동,은평구,"25,591","6,268",,"6,560"
61,역촌동,은평구,"38,494","8,958",,"10,107"
7,청운효자동,종로구,"11,696","3,355","3,712",
11,사직동,종로구,"8,499","2,806","2,119",
14,삼청동,종로구,"2,831",902,755,
16,부암동,종로구,"9,022","2,624","2,539",
20,평창동,종로구,"15,744","5,596","3,746",
26,무악동,종로구,"6,628","1,995","2,106",
29,교남동,종로구,"7,552","1,654","2,085",
32,가회동,종로구,"4,575","1,306","1,336",
34,종로1·2·3·4가동,종로구,"7,318","1,794","1,618",
37,종로5·6가동,종로구,"5,245","1,186","1,412",
40,이화동,종로구,"7,830","1,613","2,448",
43,혜화동,종로구,"9,995","2,705","3,227",
47,명륜3가동,종로구,"5,464","1,125","1,944",
50,창신제1동,종로구,"5,794","1,095","1,719",
53,창신제2동,종로구,"9,488","1,572","3,225",
57,창신제3동,종로구,"6,726","1,507","2,308",
60,숭인제1동,종로구,"6,099","1,247","1,864",
63,숭인제2동,종로구,"8,007","1,599","2,319",
7,소공동,중구,"1,142",273,309,
10,회현동,중구,"5,212","1,321","1,027",
13,명동,중구,"3,080",756,730,
16,필동,중구,"4,035","1,011","1,042",
19,장충동,중구,"4,799","1,100","1,317",
22,광희동,중구,"5,082","1,351","1,090",
25,을지로동,중구,"1,861",483,319,
28,신당제1동,중구,"6,836","1,506","1,702",
32,신당제2동,중구,"13,745","3,061","3,865",
37,신당제3동,중구,"16,086","4,391","4,553",
43,신당제4동,중구,"12,792","3,577","3,775",
49,신당제5동,중구,"8,346","1,867","2,418",
53,신당제6동,중구,"9,301","2,622","2,653",
58,황학동,중구,"10,553","2,450","2,743",
62,중림동,중구,"10,370","2,495","2,972",
