,자치구,읍면동명,보육시설
223,양천구,목2동,801
224,양천구,목3동,551
225,양천구,목4동,726
226,양천구,신월1동,"1,069"
227,양천구,신월2동,872
228,양천구,신월3동,551
229,양천구,신월4동,916
230,양천구,신월5동,520
231,양천구,신월6동,423
232,양천구,신월7동,936
233,양천구,신정1동,352
234,양천구,신정2동,431
235,양천구,신정3동,"1,648"
236,양천구,신정6동,468
237,양천구,신정7동,798
238,양천구,목5동,697
239,양천구,신정4동,"1,134"
240,강서구,염창동,"1,302"
241,강서구,등촌1동,524
242,강서구,등촌2동,444
243,강서구,등촌3동,998
244,강서구,화곡본동,"1,480"
245,강서구,화곡2동,770
246,강서구,화곡3동,743
247,강서구,화곡4동,776
248,강서구,화곡6동,817
249,강서구,화곡8동,836
250,강서구,가양1동,470
251,강서구,가양2동,393
252,강서구,가양3동,391
253,강서구,발산1동,"1,446"
254,강서구,공항동,759
255,강서구,방화1동,"1,652"
256,강서구,방화2동,651
257,강서구,방화3동,769
258,강서구,화곡1동,"1,265"
259,강서구,우장산동,"1,199"
260,구로구,신도림동,975
261,구로구,구로1동,807
262,구로구,구로3동,898
263,구로구,구로4동,752
264,구로구,구로5동,"1,149"
265,구로구,고척1동,815
266,구로구,고척2동,"1,014"
267,구로구,개봉2동,"1,049"
268,구로구,개봉3동,826
269,구로구,오류1동,722
270,구로구,오류2동,"1,880"
271,구로구,수궁동,813
272,구로구,가리봉동,282
273,구로구,구로2동,"1,043"
274,구로구,개봉1동,969
275,금천구,가산동,893
276,금천구,독산1동,835
277,금천구,독산2동,982
278,금천구,독산3동,769
279,금천구,독산4동,661
280,금천구,시흥1동,958
281,금천구,시흥2동,610
282,금천구,시흥3동,338
283,금천구,시흥4동,936
284,금천구,시흥5동,"1,364"
285,영등포구,여의동,"2,380"
286,영등포구,당산1동,753
287,영등포구,당산2동,841
288,영등포구,양평1동,484
289,영등포구,양평2동,702
290,영등포구,신길1동,522
291,영등포구,신길3동,476
292,영등포구,신길4동,544
293,영등포구,신길5동,240
294,영등포구,신길6동,872
295,영등포구,신길7동,301
296,영등포구,대림1동,440
297,영등포구,대림2동,400
298,영등포구,대림3동,848
299,영등포구,영등포본동,497
300,영등포구,영등포동,467
301,영등포구,도림동,447
302,영등포구,문래동,838
303,동작구,노량진2동,233
304,동작구,상도1동,"1,134"
305,동작구,상도2동,716
306,동작구,상도3동,854
307,동작구,상도4동,921
308,동작구,사당1동,741
309,동작구,사당3동,557
310,동작구,사당4동,457
311,동작구,사당5동,318
312,동작구,대방동,745
313,동작구,신대방1동,626
314,동작구,신대방2동,559
315,동작구,흑석동,878
316,동작구,노량진1동,653
317,동작구,사당2동,607
318,관악구,보라매동,701
319,관악구,청림동,491
320,관악구,행운동,580
321,관악구,낙성대동,856
322,관악구,중앙동,252
323,관악구,인헌동,569
324,관악구,남현동,398
325,관악구,서원동,373
326,관악구,신원동,504
327,관악구,서림동,374
328,관악구,신사동,538
329,관악구,신림동,217
330,관악구,난향동,534
331,관악구,조원동,510
332,관악구,대학동,315
333,관악구,은천동,971
334,관악구,성현동,893
335,관악구,청룡동,622
336,관악구,난곡동,668
337,관악구,삼성동,567
338,관악구,미성동,894
339,서초구,서초1동,668
340,서초구,서초2동,679
341,서초구,서초3동,549
342,서초구,서초4동,176
343,서초구,잠원동,417
344,서초구,반포본동,16
345,서초구,반포1동,427
346,서초구,반포2동,590
347,서초구,반포3동,457
348,서초구,반포4동,832
349,서초구,방배본동,131
350,서초구,방배1동,146
351,서초구,방배2동,640
352,서초구,방배3동,419
353,서초구,방배4동,497
354,서초구,양재1동,"1,613"
355,서초구,양재2동,545
356,서초구,내곡동,"1,151"
357,강남구,신사동,303
358,강남구,논현1동,375
359,강남구,논현2동,287
360,강남구,삼성1동,565
361,강남구,삼성2동,733
362,강남구,대치1동,294
363,강남구,대치4동,617
364,강남구,역삼1동,767
365,강남구,역삼2동,528
366,강남구,도곡1동,412
367,강남구,도곡2동,343
368,강남구,개포1동,214
369,강남구,개포4동,854
370,강남구,일원본동,754
371,강남구,일원1동,500
372,강남구,일원2동,479
373,강남구,수서동,560
374,강남구,세곡동,"1,619"
375,강남구,압구정동,301
376,강남구,청담동,507
377,강남구,대치2동,504
378,강남구,개포2동,278
379,송파구,풍납1동,358
380,송파구,풍납2동,"1,237"
381,송파구,거여1동,691
382,송파구,거여2동,650
383,송파구,마천1동,523
384,송파구,마천2동,799
385,송파구,방이1동,287
386,송파구,방이2동,532
387,송파구,오륜동,113
388,송파구,오금동,820
389,송파구,송파1동,611
390,송파구,송파2동,331
391,송파구,석촌동,956
392,송파구,삼전동,"1,043"
393,송파구,가락본동,671
394,송파구,가락1동,165
395,송파구,가락2동,"1,248"
396,송파구,문정1동,480
397,송파구,문정2동,223
398,송파구,장지동,"1,053"
399,송파구,위례동,621
400,송파구,잠실본동,732
401,송파구,잠실4동,749
402,송파구,잠실6동,554
403,송파구,잠실2동,478
404,송파구,잠실3동,523
405,강동구,강일동,"1,250"
406,강동구,상일동,472
407,강동구,명일1동,876
408,강동구,명일2동,249
409,강동구,고덕1동,607
410,강동구,고덕2동,235
411,강동구,암사2동,647
412,강동구,암사3동,575
413,강동구,천호1동,855
414,강동구,천호3동,722
415,강동구,성내1동,867
416,강동구,성내2동,728
417,강동구,성내3동,823
418,강동구,둔촌1동,81
419,강동구,둔촌2동,778
420,강동구,암사1동,"1,461"
421,강동구,천호2동,888
422,강동구,길동,"1,282"
