자치구,읍면동명,사업체 창업률
중랑구,상봉2동,14.1
중랑구,중화1동,12.8
중랑구,중화2동,14.3
중랑구,묵1동,16.6
중랑구,묵2동,12.3
중랑구,망우3동,15.2
중랑구,신내1동,13.8
중랑구,신내2동,13.7
중랑구,면목본동,13.9
중랑구,면목3.8동,11.6
중랑구,망우본동,15.0
성북구,돈암1동,12.1
성북구,돈암2동,13.9
성북구,안암동,14.1
성북구,보문동,12.6
성북구,정릉1동,13.9
성북구,정릉2동,11.0
성북구,정릉3동,8.8
성북구,정릉4동,13.5
성북구,길음1동,14.2
성북구,길음2동,19.8
성북구,월곡1동,8.8
성북구,월곡2동,16.7
성북구,장위1동,12.2
성북구,장위2동,13.2
성북구,장위3동,12.4
성북구,성북동,11.1
성북구,삼선동,14.8
성북구,동선동,18.0
성북구,종암동,13.8
성북구,석관동,11.5
강북구,번1동,16.4
강북구,번2동,10.8
강북구,번3동,9.9
강북구,수유1동,11.9
강북구,수유2동,14.9
강북구,수유3동,18.7
강북구,삼양동,15.5
강북구,미아동,14.7
강북구,송중동,13.0
강북구,송천동,12.1
강북구,삼각산동,18.2
강북구,우이동,13.5
강북구,인수동,11.8
도봉구,쌍문1동,11.3
도봉구,쌍문2동,12.0
도봉구,쌍문3동,12.6
도봉구,쌍문4동,14.9
도봉구,방학1동,18.2
도봉구,방학2동,15.4
도봉구,방학3동,11.2
도봉구,창1동,10.6
도봉구,창2동,12.7
도봉구,창3동,14.4
도봉구,창4동,13.0
도봉구,창5동,11.3
도봉구,도봉1동,13.9
도봉구,도봉2동,17.3
노원구,월계1동,11.5
노원구,월계2동,12.4
노원구,월계3동,11.7
노원구,공릉2동,13.9
노원구,하계1동,12.0
노원구,하계2동,11.4
노원구,중계본동,17.0
노원구,중계1동,13.2
노원구,중계4동,16.6
노원구,상계1동,13.1
노원구,상계2동,17.1
노원구,상계5동,13.1
노원구,상계8동,12.2
노원구,상계9동,12.2
노원구,상계10동,9.6
노원구,상계3.4동,12.3
노원구,상계6.7동,15.2
노원구,중계2.3동,14.4
노원구,공릉1동,14.0
은평구,녹번동,14.7
은평구,불광1동,17.6
은평구,갈현1동,17.5
은평구,갈현2동,17.9
은평구,구산동,11.3
은평구,대조동,14.9
은평구,응암1동,11.1
은평구,응암2동,13.1
은평구,신사1동,11.9
은평구,신사2동,12.5
은평구,증산동,14.3
은평구,수색동,8.6
은평구,진관동,21.6
은평구,불광2동,14.5
은평구,응암3동,12.7
은평구,역촌동,14.6
서대문구,천연동,14.2
서대문구,홍제1동,10.4
서대문구,홍제3동,12.2
서대문구,홍제2동,14.7
서대문구,홍은1동,10.2
서대문구,홍은2동,13.0
서대문구,남가좌1동,3.1
서대문구,남가좌2동,12.2
서대문구,북가좌1동,11.7
서대문구,북가좌2동,8.0
서대문구,충현동,14.1
서대문구,북아현동,9.9
서대문구,신촌동,19.3
서대문구,연희동,11.8
마포구,용강동,13.0
마포구,대흥동,12.5
마포구,염리동,8.7
마포구,신수동,10.2
마포구,서교동,20.5
마포구,합정동,16.4
마포구,망원1동,15.6
마포구,망원2동,13.8
마포구,연남동,13.7
마포구,성산1동,16.5
마포구,성산2동,11.9
마포구,상암동,17.6
마포구,도화동,13.6
마포구,서강동,17.6
마포구,공덕동,11.3
마포구,아현동,11.2
양천구,목1동,17.4
양천구,목2동,14.8
양천구,목3동,16.0
양천구,목4동,14.9
양천구,신월1동,12.2
양천구,신월2동,8.5
양천구,신월3동,11.7
양천구,신월4동,11.5
양천구,신월5동,10.0
양천구,신월6동,2.6
양천구,신월7동,12.1
양천구,신정1동,13.7
양천구,신정2동,13.6
양천구,신정3동,9.7
양천구,신정6동,18.2
양천구,신정7동,13.6
양천구,목5동,16.6
양천구,신정4동,14.9
강서구,염창동,11.2
강서구,등촌1동,15.1
강서구,등촌2동,13.1
강서구,등촌3동,12.1
강서구,화곡본동,14.7
강서구,화곡2동,13.6
강서구,화곡3동,15.6
강서구,화곡4동,15.9
강서구,화곡6동,18.2
강서구,화곡8동,14.2
강서구,가양1동,10.1
강서구,가양2동,14.6
강서구,가양3동,9.8
강서구,발산1동,11.6
강서구,공항동,14.4
강서구,방화1동,13.2
강서구,방화2동,7.8
강서구,방화3동,9.2
강서구,화곡1동,14.1
강서구,우장산동,16.0
구로구,신도림동,11.8
구로구,구로1동,9.5
구로구,구로3동,16.2
구로구,구로4동,14.5
구로구,구로5동,11.2
구로구,고척1동,8.8
구로구,고척2동,11.3
구로구,개봉2동,10.3
구로구,개봉3동,12.5
구로구,오류1동,12.9
구로구,오류2동,14.7
구로구,수궁동,9.1
구로구,가리봉동,12.6
구로구,구로2동,8.4
구로구,개봉1동,11.4
금천구,가산동,14.0
금천구,독산1동,13.0
금천구,독산2동,14.9
금천구,독산3동,12.6
금천구,독산4동,12.0
금천구,시흥1동,13.3
금천구,시흥2동,10.7
금천구,시흥3동,5.7
금천구,시흥4동,12.0
금천구,시흥5동,13.9
영등포구,여의동,15.4
영등포구,당산1동,12.8
영등포구,당산2동,14.0
영등포구,양평1동,6.5
영등포구,양평2동,13.2
영등포구,신길1동,10.9
영등포구,신길3동,9.6
영등포구,신길4동,10.2
영등포구,신길5동,8.9
영등포구,신길6동,10.9
영등포구,신길7동,13.6
영등포구,대림1동,12.4
영등포구,대림2동,16.6
영등포구,대림3동,11.2
영등포구,영등포본동,16.3
영등포구,영등포동,11.8
영등포구,도림동,9.5
영등포구,문래동,8.1
동작구,노량진2동,13.9
동작구,상도1동,14.3
동작구,상도2동,12.3
동작구,상도3동,12.8
동작구,상도4동,10.1
동작구,사당1동,13.8
동작구,사당3동,9.4
동작구,사당4동,11.3
동작구,사당5동,9.9
동작구,대방동,11.3
동작구,신대방1동,16.6
동작구,신대방2동,12.4
동작구,흑석동,14.7
동작구,노량진1동,9.6
동작구,사당2동,15.1
관악구,보라매동,15.5
관악구,청림동,13.5
관악구,행운동,15.7
관악구,낙성대동,15.1
관악구,중앙동,10.9
관악구,인헌동,12.7
관악구,남현동,14.5
관악구,서원동,19.1
관악구,신원동,14.0
관악구,서림동,14.1
관악구,신사동,17.6
관악구,신림동,20.8
관악구,난향동,11.3
관악구,조원동,12.9
관악구,대학동,18.9
관악구,은천동,13.5
관악구,성현동,11.7
관악구,청룡동,15.7
관악구,난곡동,10.9
관악구,삼성동,9.4
관악구,미성동,12.0
서초구,서초1동,13.6
서초구,서초2동,15.8
서초구,서초3동,12.3
서초구,서초4동,17.5
서초구,잠원동,14.2
서초구,반포본동,13.2
서초구,반포1동,20.8
서초구,반포2동,13.3
서초구,반포3동,12.5
서초구,반포4동,15.0
서초구,방배본동,15.0
서초구,방배1동,14.0
서초구,방배2동,11.2
서초구,방배3동,11.4
서초구,방배4동,14.7
서초구,양재1동,12.7
서초구,양재2동,13.1
서초구,내곡동,6.4
강남구,신사동,18.5
강남구,논현1동,16.3
강남구,논현2동,14.8
강남구,삼성1동,13.2
강남구,삼성2동,16.9
강남구,대치1동,16.5
강남구,대치4동,18.7
강남구,역삼1동,18.3
강남구,역삼2동,17.3
강남구,도곡1동,14.8
강남구,도곡2동,12.5
강남구,개포1동,8.5
강남구,개포4동,9.4
강남구,일원본동,9.8
강남구,일원1동,12.3
강남구,일원2동,12.2
강남구,수서동,12.4
강남구,세곡동,15.3
강남구,압구정동,18.3
강남구,청담동,17.1
강남구,대치2동,13.7
강남구,개포2동,13.9
송파구,풍납1동,11.6
송파구,풍납2동,11.6
송파구,거여1동,12.7
송파구,거여2동,10.7
송파구,마천1동,8.8
송파구,마천2동,10.5
송파구,방이1동,15.7
송파구,방이2동,16.5
송파구,오륜동,7.3
송파구,오금동,10.9
송파구,송파1동,11.8
송파구,송파2동,13.7
송파구,석촌동,14.4
송파구,삼전동,15.5
송파구,가락본동,17.0
송파구,가락1동,4.0
송파구,가락2동,14.0
송파구,문정1동,13.3
송파구,문정2동,22.7
송파구,장지동,13.9
송파구,잠실본동,17.1
송파구,잠실4동,14.8
송파구,잠실6동,10.9
송파구,잠실7동,14.5
송파구,잠실2동,27.1
송파구,잠실3동,18.2
강동구,강일동,18.1
강동구,상일동,11.3
강동구,명일1동,14.4
강동구,명일2동,17.0
강동구,고덕1동,8.0
강동구,고덕2동,3.3
강동구,암사2동,12.0
강동구,암사3동,7.8
강동구,천호1동,13.4
강동구,천호3동,14.7
강동구,성내1동,13.7
강동구,성내2동,17.0
강동구,성내3동,14.1
강동구,둔촌1동,9.7
강동구,둔촌2동,13.8
강동구,암사1동,15.4
강동구,천호2동,16.2
강동구,길동,15.3
