기간	자치구	동	합계	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	집단급식소	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업
기간	자치구	동	합계	소계	휴게음식점	일반음식점	제과점	단란주점	유흥주점	위탁급식영업	집단급식소	소계	식품제조가공업	즉석판매제조가공업	식품첨가물 제조업	소계	식품운반업	식품판매업	식품보존업	용기·포장류제조업	소계	건강기능식품수입업	건강기능식품판매업
2016	동대문구	장안1동	1,491	1,111	175	841	21	37	34	3	33	95	13	82	-	88	2	86	-	-	164	…	164
2016	동대문구	장안2동	239	179	13	144	4	8	10	-	6	18	1	17	-	18	-	18	-	-	18	…	18
2016	동대문구	이문1동	675	563	102	445	11	3	1	1	11	27	4	23	-	29	3	26	-	-	45	…	45
2016	동대문구	이문2동	95	67	5	57	1	1	2	1	4	13	1	12	-	6	-	6	-	-	5	…	5
2016	동대문구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	중랑구	계	6,071	4,539	610	3,675	100	104	27	23	218	523	77	446	-	393	13	380	-	-	398	…	398
2016	중랑구	면목2동	450	332	46	273	9	3	-	1	14	39	4	35	-	18	-	18	-	-	47	…	47
2016	중랑구	면목4동	221	171	20	148	3	-	-	-	9	9	1	8	-	20	-	20	-	-	12	…	12
2016	중랑구	면목5동	150	112	14	89	4	4	-	1	6	12	1	11	-	12	-	12	-	-	8	…	8
2016	중랑구	면목7동	305	213	21	183	4	4	1	-	9	34	3	31	-	30	-	30	-	-	19	…	19
2016	중랑구	상봉1동	296	195	59	125	6	1	1	3	16	23	5	18	-	29	1	28	-	-	33	…	33
2016	중랑구	상봉2동	607	524	37	448	4	19	14	2	8	18	5	13	-	26	1	25	-	-	31	…	31
2016	중랑구	중화1동	219	135	30	102	2	-	-	1	16	24	4	20	-	18	-	18	-	-	26	…	26
2016	중랑구	중화2동	499	404	37	349	8	10	-	-	8	32	8	24	-	34	-	34	-	-	21	…	21
2016	중랑구	묵1동	423	292	48	223	7	9	2	3	17	46	6	40	-	33	7	26	-	-	35	…	35
