기간,자치구,동,계,소득(구별),인구비,소득(동별),,기간,자치구,지역내총생산(당해년가격)
2012,용산구,효창동,"11,449",8905758,0.044846334,399390.5981,,,,
2012,용산구,용문동,"13,126",8905758,0.051415231,457891.6054,,,,
2012,용산구,이촌1동,"28,405",8905758,0.111263876,990889.1552,,,,
2012,용산구,이촌2동,"10,367",8905758,0.040608083,361645.7621,,,,
2012,용산구,이태원1동,"9,981",8905758,0.039096101,348180.4139,,,,
2012,용산구,이태원2동,"11,878",8905758,0.04652675,414355.972,,,,
2012,용산구,서빙고동,"14,456",8905758,0.056624911,504287.7531,,,,
2012,용산구,보광동,"18,361",8905758,0.071921001,640511.029,,,,
2012,용산구,청파동,"23,948",8905758,0.093805573,835409.7338,,,,
2012,용산구,원효로1동,"12,838",8905758,0.05028712,447844.9208,,,,
2012,용산구,한강로동,"16,548",8905758,0.064819385,577265.7539,,,,
2012,용산구,한남동,"25,573",8905758,0.100170783,892096.7564,,,,
2012,성동구,소계,"306,868",8447774,1,8447774,,,,
2012,성동구,왕십리2동,"17,423",8447774,0.056776855,479638.0411,,,,
2012,성동구,마장동,"25,783",8447774,0.084019839,709780.6126,,,,
2012,성동구,사근동,"11,699",8447774,0.038123884,322061.9551,,,,
2012,성동구,행당1동,"18,129",8447774,0.059077519,499073.5262,,,,
2012,성동구,행당2동,"27,031",8447774,0.088086734,744136.8243,,,,
2012,성동구,응봉동,"17,579",8447774,0.057285217,483932.5676,,,,
2012,성동구,금호1가동,"16,087",8447774,0.052423192,442859.2761,,,,
2012,성동구,금호4가동,"15,016",8447774,0.048933092,413375.7002,,,,
2012,성동구,성수1가1동,"18,588",8447774,0.060573276,511709.3444,,,,
2012,성동구,성수1가2동,"18,906",8447774,0.061609552,520463.5715,,,,
2012,성동구,성수2가1동,"21,430",8447774,0.069834587,589946.8072,,,,
2012,성동구,성수2가3동,"12,440",8447774,0.040538603,342460.9557,,,,
2012,성동구,송정동,"12,721",8447774,0.041454306,350196.6091,,,,
2012,성동구,용답동,"17,551",8447774,0.057193973,483161.7551,,,,
2012,성동구,왕십리도선동,"13,150",8447774,0.042852301,362006.5569,,,,
2012,성동구,금호2.3가동,"23,248",8447774,0.075758958,639994.5578,,,,
2012,성동구,옥수동,"20,081",8447774,0.06543856,552810.1649,,,,
2012,광진구,소계,"384,269",5443737,1,5443737,,,,
2012,광진구,화양동,"23,990",5443737,0.062430225,339853.7239,,,,
2012,광진구,군자동,"22,227",5443737,0.057842293,314878.2293,,,,
2012,광진구,중곡1동,"17,244",5443737,0.044874814,244286.6867,,,,
2012,광진구,중곡2동,"23,234",5443737,0.060462853,329143.8692,,,,
2012,광진구,중곡3동,"19,106",5443737,0.049720378,270664.6623,,,,
2012,광진구,중곡4동,"32,281",5443737,0.084006256,457307.9642,,,,
2012,광진구,능동,"11,328",5443737,0.029479349,160477.8234,,,,
2012,광진구,구의1동,"23,547",5443737,0.061277386,333577.9757,,,,
2012,광진구,구의2동,"27,744",5443737,0.072199423,393034.6693,,,,
2012,광진구,구의3동,"30,036",5443737,0.078163994,425504.2289,,,,
2012,광진구,광장동,"37,100",5443737,0.09654695,525576.205,,,,
2012,광진구,자양1동,"26,164",5443737,0.06808772,370651.6395,,,,
2012,광진구,자양2동,"29,114",5443737,0.075764634,412442.7394,,,,
2012,광진구,자양3동,"32,296",5443737,0.084045291,457520.4613,,,,
2012,광진구,자양4동,"28,858",5443737,0.075098434,408816.1219,,,,
2012,동대문구,소계,"375,683",6301762,1,6301762,,,,
