기간	자치구	동	합계	합계	합계	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	목적세	목적세	목적세	목적세	목적세	과년도수입	과년도수입	비고
기간	자치구	동	합계	시세	구세	시세	시세	시세	시세	시세	시세	시세	시세	시세	구세	구세	구세	시세	시세	시세	시세	구세	시세	구세	비고
기간	자치구	동	합계	시세	구세	취득세	등록세	레저세	주민세	자동차세	주행세	담배소비세	도축세	특별시분 재산세	재산세	종합토지세	면허세	도시계획세	공동시설세	지역개발세	지방교육세	사업소세	시세	구세	비고
2008	종로구	창신2동	…	…	513	…	736	-	519	274	-	-	-	192	477	…	9	330	35	-	292	18	62	9	-
2008	종로구	창신3동	…	…	399	…	824	-	263	355	-	-	-	154	385	…	5	288	41	-	311	1	56	8	-
2008	종로구	숭인1동	…	…	650	…	1,503	-	437	306	-	-	-	250	625	…	14	384	82	-	482	3	42	8	-
2008	종로구	숭인2동	…	…	2,016	…	1,560	4,272	1,024	268	-	-	-	712	1,752	…	30	913	202	-	3,290	217	84	17	-
2008	종로구	청운효자동	…	…	1,903	…	2,283	-	8,475	965	-	-	-	755	1,853	…	18	963	92	-	1,043	16	137	16	-
2008	중구	소계	1,122,433	1,004,402	118,031	91,940	101,014	1,253	663,404	19,773	-	-	-	32,935	73,390	-134	968	39,776	8,805	19	42,662	42,422	2,821	1,385	-
2008	중구	소공동	301,456	268,684	32,772	13,780	20,254	-	202,921	1,919	-	-	-	9,043	20,171	-33	138	9,397	2,152	7	9,070	12,364	140	131	-
2008	중구	회현동	198,164	179,472	18,691	16,714	17,196	-	123,357	5,287	-	-	-	3,845	8,576	-21	125	4,696	1,387	1	6,763	9,907	226	104	-
2008	중구	명동	328,071	294,603	33,469	23,728	29,081	-	206,792	2,689	-	-	-	8,888	19,826	-32	191	9,704	2,128	6	11,281	13,253	304	231	-
2008	중구	필동	23,901	19,859	4,042	1,869	2,205	-	10,739	630	-	-	-	1,203	2,684	-6	67	1,563	365	-	1,169	1,218	117	79	-
2008	중구	장충동	23,132	19,878	3,254	2,800	2,624	-	10,462	549	-	-	-	928	2,070	-3	29	1,093	194	-	1,123	1,123	106	34	-
2008	중구	광희동	56,516	49,208	7,307	11,134	13,122	554	12,371	694	-	-	-	2,502	5,581	-12	101	3,183	757	-	4,554	1,431	337	205	-
2008	중구	을지로동	102,215	95,945	6,270	4,726	4,241	699	78,201	394	-	-	-	2,032	4,533	-6	94	2,653	332	1	2,502	1,550	163	99	-
2008	중구	신당1동	23,199	20,711	2,488	7,680	4,543	-	2,661	1,003	-	-	-	933	2,082	-7	56	1,482	474	-	1,683	197	251	160	-
2008	중구	신당2동	10,140	8,962	1,178	1,355	1,176	-	3,216	939	-	-	-	449	1,000	-2	28	814	155	-	626	103	233	49	-
2008	중구	신당3동	13,447	11,327	2,120	1,529	1,248	-	3,427	1,700	-	-	-	811	1,808	-2	21	1,287	148	-	914	232	264	61	-
2008	중구	신당4동	8,942	7,829	1,113	1,332	967	-	2,143	1,181	-	-	-	479	1,069	-2	16	847	111	-	625	2	143	27	-
2008	중구	신당5동	4,572	3,792	779	725	516	-	954	383	-	-	-	273	610	-1	22	467	74	-	306	127	93	22	-
2008	중구	신당6동	8,237	7,298	939	1,113	974	-	2,455	872	-	-	-	386	862	-2	20	739	138	-	498	34	124	25	-
2008	중구	황학동	7,411	6,077	1,334	1,393	1,404	-	859	268	-	-	-	521	1,161	-1	21	795	86	-	606	66	146	86	-
2008	중구	중림동	13,289	11,180	2,110	1,988	2,007	-	3,614	822	-	-	-	540	1,205	-4	33	889	291	1	856	805	172	70	-
2008	용산구	소계	519,922	447,684	72,238	103,269	94,056	5,911	127,294	13,490	-	-	-	27,093	64,842	-4	689	31,211	4,090	9	38,377	5,980	2,884	731	-
2008	용산구	후암동	11,655	10,068	1,587	2,189	2,539	-	1,813	723	-	-	-	609	1,455	-	22	902	102	-	984	75	207	35	-
