기간	자치구	동	합계	합계	합계	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	보통세	목적세	목적세	목적세	목적세	목적세	과년도수입	과년도수입	비고
기간	자치구	동	합계	시세	구세	시세	시세	시세	시세	시세	시세	시세	시세	시세	구세	구세	구세	시세	시세	시세	시세	구세	시세	구세	비고
기간	자치구	동	합계	시세	구세	취득세	등록세	레저세	주민세	자동차세	주행세	담배소비세	도축세	특별시분 재산세	재산세	종합토지세	면허세	도시계획세	공동시설세	지역개발세	지방교육세	사업소세	시세	구세	비고
2008	노원구	월계1동	7,971	6,499	1,472	1,144	1,317	-	1,025	985	-	-	-	409	1,353	…	27	682	132	-	681	67	124	25	-
2008	노원구	월계2동	7,349	6,055	1,294	1,244	1,413	-	501	984	-	-	-	369	1,223	…	17	617	119	-	691	32	117	22	-
2008	노원구	월계3동	19,473	15,409	4,064	2,904	3,495	-	1,853	1,841	-	-	-	1,136	3,763	…	40	1,896	367	2	1,624	193	291	68	-
2008	노원구	공릉2동	22,366	18,281	4,085	3,459	4,033	-	3,015	2,430	-	-	-	1,042	3,450	…	66	1,739	336	4	1,872	500	351	69	-
2008	노원구	하계1동	16,015	13,070	2,945	2,590	3,004	-	1,930	1,570	-	-	-	796	2,636	…	28	1,329	257	6	1,338	231	250	50	-
2008	노원구	하계2동	9,277	7,539	1,738	1,417	1,712	-	681	1,196	-	-	-	512	1,697	…	10	855	165	-	858	2	143	29	-
2008	노원구	중계본동	20,715	17,181	3,534	3,598	3,972	-	2,904	1,636	-	-	-	1,033	3,422	…	30	1,724	333	1	1,651	23	329	59	-
2008	노원구	중계1동	16,738	14,054	2,684	2,735	3,325	-	2,015	1,897	-	-	-	775	2,566	…	27	1,293	250	1	1,491	46	272	45	-
2008	노원구	중계4동	9,181	7,591	1,590	1,682	1,855	-	850	901	-	-	-	454	1,505	…	24	759	146	1	798	34	145	27	-
2008	노원구	상계1동	20,711	17,065	3,646	3,797	4,169	-	1,592	2,230	-	-	-	1,034	3,426	…	64	1,727	333	6	1,850	95	327	61	-
2008	노원구	상계2동	14,334	10,794	3,540	1,750	2,078	-	1,731	1,014	-	-	-	994	3,292	…	52	1,659	321	7	1,040	136	200	60	-
2008	노원구	상계5동	7,912	6,777	1,135	1,664	1,903	-	587	772	-	-	-	327	1,085	…	29	548	106	1	738	2	131	19	-
2008	노원구	상계8동	6,678	5,827	851	1,250	1,486	-	541	1,022	-	-	-	245	812	…	13	409	79	-	681	12	114	14	-
2008	노원구	상계9동	7,211	6,088	1,123	1,319	1,579	-	437	957	-	-	-	324	1,074	…	17	541	105	-	709	13	117	19	-
2008	노원구	상계10동	17,739	16,585	1,154	2,825	7,096	-	2,334	1,004	-	-	-	331	1,096	…	12	552	107	1	2,004	27	331	19	-
2008	노원구	공릉1.3동	17,809	14,294	3,515	2,991	3,298	-	1,635	1,623	-	-	-	1,000	3,314	…	48	1,670	323	2	1,481	94	271	59	-
2008	노원구	상계3.4동	11,928	9,543	2,385	1,952	2,191	-	956	1,306	-	-	-	642	2,126	…	34	1,071	207	1	1,036	185	181	40	-
2008	노원구	상계6.7동	20,537	16,029	4,508	2,592	2,861	-	3,556	1,532	-	-	-	1,254	4,154	…	48	2,094	405	2	1,432	230	301	76	-
2008	노원구	중계2.3동	16,353	14,280	2,073	4,174	4,261	-	988	1,380	-	-	-	563	1,866	…	29	940	182	-	1,512	143	280	35	-
2008	은평구	소계	234,277	192,641	41,636	52,648	51,981	-	20,013	16,433	-	-	-	9,900	38,992	-93	550	15,586	2,682	18	19,382	1,640	3,998	547	-
2008	은평구	녹번동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	은평구	불광1동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	은평구	불광2동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	은평구	갈현1동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	은평구	갈현2동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	은평구	구산동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	은평구	대조동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	은평구	응암1동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	은평구	응암2동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	은평구	응암3동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	은평구	역촌동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	은평구	신사1동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	은평구	신사2동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	은평구	증산동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	은평구	수색동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	은평구	진관동	…	…	…	…	…	…	…	…	-	-	-	…	…	…	…	…	…	…	…	…	…	…	-
2008	서대문구	소계	224,326	179,466	44,860	34,749	38,925	-	40,145	14,252	-	-	-	11,459	41,369	-1	504	16,744	2,975	13	17,080	2,233	3,124	755	재산세합계(공동재산세24156포함)
2008	서대문구	천연동	9,782	8,731	1,051	1,772	1,938	-	1,402	887	-	-	-	612	917	-	20	948	101	-	915	29	156	85	-
2008	서대문구	홍제1동	10,212	9,156	1,056	1,683	2,023	-	1,190	1,213	-	-	-	644	967	-	23	1,070	143	-	1,044	23	146	43	-
2008	서대문구	홍제3동	8,964	8,129	835	1,634	1,914	-	1,270	875	-	-	-	500	747	-	32	797	95	-	843	26	201	30	-
2008	서대문구	홍제2동	7,191	6,419	772	1,158	1,319	-	1,115	730	-	-	-	491	736	-	8	733	87	2	686	8	98	20	-
2008	서대문구	홍은1동	9,718	8,961	757	1,887	2,251	-	1,018	1,253	-	-	-	462	693	-	31	784	104	1	998	5	203	28	-
2008	서대문구	홍은2동	13,377	12,042	1,335	2,049	2,486	-	2,629	1,251	-	-	-	709	1,062	-	40	1,140	255	2	1,154	196	367	37	-
2008	서대문구	남가좌1동	7,512	6,693	819	1,286	2,073	-	600	476	-	-	-	508	762	-	28	763	85	1	766	2	135	27	-
2008	서대문구	남가좌2동	10,768	9,732	1,036	2,059	2,369	-	1,049	1,122	-	-	-	635	952	-	30	1,055	147	1	1,071	25	224	29	-
2008	서대문구	북가좌1동	8,200	7,604	596	1,687	2,370	-	774	746	-	-	-	360	540	-	23	619	81	1	806	16	160	17	-
2008	서대문구	북가좌2동	12,787	11,755	1,032	2,952	3,263	-	1,029	1,253	-	-	-	590	885	-	33	1,015	161	1	1,246	84	245	30	-
2008	서대문구	충현동	30,955	27,444	3,511	4,632	4,374	-	12,010	938	-	-	-	1,232	1,874	-	48	1,645	484	1	1,736	1,360	392	229	-
2008	서대문구	북아현동	6,210	5,446	764	972	1,101	-	693	632	-	-	-	473	711	-	20	766	89	1	601	16	118	17	-
2008	서대문구	신촌동	35,306	30,767	4,539	6,050	5,827	-	8,252	753	-	-	-	2,716	4,080	-	106	3,341	816	1	2,751	278	260	75	-
2008	서대문구	연희동	29,186	26,586	2,600	4,928	5,617	-	7,114	2,123	-	-	-	1,527	2,285	-	62	2,068	327	1	2,463	165	418	88	-
2008	마포구	소계	403,057	340,763	62,294	76,739	76,444	5,964	71,357	19,562	-	-	-	19,504	53,465	1	871	27,988	6,229	13	33,007	7,304	3,956	653	-
2008	마포구	용강동	26,073	20,808	5,265	3,805	5,021	-	3,581	1,123	-	-	-	1,857	4,877	-	47	2,397	652	-	2,211	292	161	49	-
2008	마포구	대흥동	16,196	13,368	2,828	3,232	3,281	-	1,999	803	-	-	-	946	2,486	-	46	1,303	289	1	1,354	265	160	31	-
2008	마포구	염리동	9,321	7,585	1,736	1,167	1,179	-	2,386	666	-	-	-	466	1,224	-	22	801	131	1	651	463	137	27	-
2008	마포구	신수동	16,129	13,878	2,251	3,388	3,533	-	1,976	1,129	-	-	-	805	2,118	-	40	1,266	191	-	1,427	67	163	26	-
2008	마포구	서교동	58,416	47,528	10,888	9,413	9,530	-	11,704	1,962	-	-	-	3,824	10,081	-	205	4,899	1,325	3	4,401	501	467	101	-
2008	마포구	합정동	17,946	15,463	2,483	3,771	4,059	-	2,513	999	-	-	-	874	2,303	-	57	1,261	229	1	1,531	102	225	21	-
2008	마포구	망원1동	11,538	10,302	1,236	2,786	2,736	-	1,164	950	-	-	-	446	1,173	-	36	820	136	-	1,040	2	224	25	-
2008	마포구	망원2동	9,844	8,719	1,125	2,261	2,271	-	1,040	799	-	-	-	410	1,077	-	27	745	128	-	877	3	188	18	-
2008	마포구	연남동	10,918	9,536	1,382	1,881	2,145	-	2,029	896	-	-	-	484	1,272	-	33	828	135	2	922	47	214	30	-
2008	마포구	성산1동	15,535	13,737	1,798	3,363	3,440	-	2,506	1,097	-	-	-	608	1,597	-	47	960	217	1	1,275	119	270	35	-
2008	마포구	성산2동	18,135	15,108	3,027	3,130	3,367	-	1,604	1,825	-	-	-	1,087	2,855	-	39	1,808	257	-	1,729	96	301	37	-
2008	마포구	상암동	42,830	36,937	5,893	15,397	6,421	-	6,689	1,355	-	-	-	1,523	4,086	-	35	2,050	946	1	2,438	1,752	117	20	-
2008	마포구	도화동	38,357	33,131	5,226	2,971	3,411	5,964	8,982	1,747	-	-	-	1,686	4,425	-	64	2,175	340	2	5,618	702	235	35	-
2008	마포구	서강동	29,913	23,770	6,143	4,752	5,449	-	5,965	1,380	-	-	-	1,315	5,550	1	46	1,989	351	1	2,145	460	423	86	-
2008	마포구	공덕동	50,351	45,201	5,150	10,921	14,459	-	10,300	1,944	-	-	-	1,464	3,831	-	87	2,221	485	-	3,036	1,167	371	65	-
2008	마포구	아현동	31,553	25,690	5,863	4,501	6,142	-	6,920	887	-	-	-	1,707	4,509	1	39	2,464	417	-	2,354	1,267	298	47	-
2008	양천구	소계	335,955	271,842	64,113	43,087	54,857	-	55,003	25,669	-	-	-	23,719	59,508	-21	633	31,799	5,061	15	27,910	3,365	4,722	628	-
2008	양천구	목1동	60,492	48,082	12,410	6,434	6,122	-	17,881	3,022	-	-	-	4,122	10,053	-17	78	4,816	1,530	2	3,882	2,263	271	33	-
2008	양천구	목2동	16,883	14,780	2,103	3,230	4,133	-	1,960	1,384	-	-	-	785	1,979	-	32	1,311	187	1	1,458	59	331	33	-
2008	양천구	목3동	11,111	9,115	1,996	1,658	2,042	-	1,113	954	-	-	-	758	1,920	-	29	1,182	177	1	988	16	242	31	-
2008	양천구	목4동	12,539	10,838	1,701	2,152	2,873	-	1,139	1,257	-	-	-	641	1,617	-	32	1,145	210	-	1,145	30	276	22	-
2008	양천구	목5동	59,770	44,230	15,540	4,608	6,627	-	10,811	3,598	-	-	-	6,095	15,358	1	44	6,552	556	2	5,160	81	221	56	-
2008	양천구	신월1동	9,712	8,619	1,093	1,768	2,200	-	863	1,213	-	-	-	384	972	-2	41	753	143	1	879	56	415	26	-
2008	양천구	신월2동	10,464	9,277	1,187	2,143	2,824	-	920	848	-	-	-	417	1,054	-	28	811	134	-	896	46	284	59	-
2008	양천구	신월3동	5,212	4,447	765	796	1,143	-	550	487	-	-	-	267	670	-	20	458	72	1	448	57	225	18	-
2008	양천구	신월4동	7,728	6,862	866	1,603	1,996	-	578	738	-	-	-	317	800	-	24	647	116	-	674	24	193	18	-
2008	양천구	신월5동	7,986	7,069	917	2,142	2,206	-	397	490	-	-	-	335	842	1	20	564	100	1	660	41	174	13	-
2008	양천구	신월6동	5,145	4,382	763	890	1,050	-	384	568	-	-	-	271	684	-	30	509	75	-	448	37	187	12	-
2008	양천구	신월7동	9,059	8,162	897	1,832	2,439	-	968	864	-	-	-	298	750	-2	30	623	112	1	770	97	255	22	-
2008	양천구	신정1동	23,293	17,486	5,807	1,898	2,371	-	3,790	2,102	-	-	-	2,259	5,704	-	32	2,548	159	-	2,114	42	245	29	-
2008	양천구	신정2동	11,010	8,798	2,212	1,058	1,708	-	1,284	1,250	-	-	-	854	2,155	-	25	1,222	192	1	1,063	8	166	24	-
2008	양천구	신정3동	19,146	16,010	3,136	2,538	3,693	-	1,998	2,134	-	-	-	1,093	2,758	-2	47	2,034	339	-	1,721	226	460	107	-
2008	양천구	신정4동	19,919	17,118	2,801	3,458	4,600	-	2,764	1,236	-	-	-	995	2,517	-	76	1,691	393	2	1,572	144	407	64	-
2008	양천구	신정6동	30,610	23,233	7,377	2,543	3,690	-	5,693	2,011	-	-	-	2,854	7,208	-	21	3,368	305	-	2,598	107	171	41	-
2008	양천구	신정7동	15,876	13,334	2,542	2,335	3,141	-	1,910	1,513	-	-	-	974	2,467	-	24	1,565	261	2	1,434	31	199	20	-
2008	강서구	소계	400,483	333,219	67,264	80,367	84,354	-	50,624	26,651	-	-	-	20,242	56,796	-22	841	28,302	5,557	23	32,203	8,932	4,896	717	-
2008	강서구	염창동	34,077	28,707	5,370	6,865	7,164	-	4,141	2,180	-	-	-	1,889	4,914	2	46	2,859	452	2	2,788	373	367	35	-
2008	강서구	등촌1동	26,430	22,019	4,411	4,340	5,138	-	3,894	2,050	-	-	-	1,558	4,053	-	50	2,019	518	-	2,298	280	204	28	-
2008	강서구	등촌2동	14,090	11,183	2,907	1,647	2,109	-	2,037	1,072	-	-	-	1,073	2,789	-2	19	1,327	164	-	1,581	73	173	28	-
2008	강서구	등촌3동	27,746	23,064	4,682	3,882	5,729	-	4,267	2,246	-	-	-	1,575	4,109	-5	54	2,174	543	-	2,330	496	318	28	-
2008	강서구	화곡본동	18,335	16,661	1,674	5,764	6,441	-	983	517	-	-	-	569	1,480	-10	45	958	193	1	839	47	396	112	-
2008	강서구	화곡2동	8,083	6,744	1,339	1,825	2,182	-	833	438	-	-	-	260	676	-	25	512	95	-	383	619	216	19	-
2008	강서구	화곡3동	15,535	12,462	3,073	2,196	2,710	-	1,844	971	-	-	-	1,155	3,003	-1	29	1,462	226	-	1,703	10	195	32	-
2008	강서구	화곡4동	8,702	7,371	1,331	1,664	1,948	-	969	510	-	-	-	456	1,187	-	37	773	137	2	673	71	239	36	-
2008	강서구	화곡6동	25,776	21,015	4,761	2,843	3,218	-	5,450	2,869	-	-	-	1,715	4,457	-	50	1,785	374	1	2,527	220	233	34	-
2008	강서구	화곡8동	10,504	9,481	1,023	2,936	3,391	-	781	411	-	-	-	353	916	-	32	723	126	-	519	54	241	21	-
2008	강서구	가양1동	23,346	17,762	5,584	3,388	4,388	-	1,546	814	-	-	-	1,988	5,180	-1	55	2,328	215	1	2,937	329	157	21	-
2008	강서구	가양2동	6,678	5,698	980	1,256	1,316	-	961	506	-	-	-	334	878	-	16	543	170	-	498	67	114	19	-
2008	강서구	가양3동	6,526	5,277	1,249	821	1,442	-	690	363	-	-	-	433	1,126	-	17	648	138	-	638	93	104	13	-
2008	강서구	발산1동	26,612	23,792	2,820	8,983	6,809	-	2,855	1,503	-	-	-	818	2,130	-5	53	1,155	295	4	1,207	618	163	24	-
2008	강서구	공항동	43,537	31,480	12,057	5,077	2,652	-	10,634	5,598	-	-	-	1,322	7,504	-	71	1,295	424	5	4,254	4,441	219	41	-
2008	강서구	방화1동	18,164	15,282	2,882	4,139	4,068	-	1,935	1,019	-	-	-	865	2,289	-	47	1,449	250	1	1,298	515	258	31	-
2008	강서구	방화2동	10,951	8,884	2,067	1,957	2,165	-	1,115	588	-	-	-	635	1,652	-	45	1,031	226	1	937	321	229	49	-
2008	강서구	방화3동	10,320	8,800	1,520	1,858	2,384	-	1,296	683	-	-	-	507	1,320	-	26	933	202	-	748	150	189	24	-
2008	강서구	화곡1동	23,019	19,908	3,111	5,352	6,360	-	1,739	916	-	-	-	1,097	2,853	-	84	1,827	413	4	1,618	81	582	93	-
2008	강서구	우장산동	42,052	37,629	4,423	13,574	12,740	-	2,654	1,397	-	-	-	1,640	4,280	-	40	2,501	396	1	2,427	74	299	29	-
2008	구로구	소계	330,756	277,967	52,789	56,967	76,098	-	49,933	20,701	-	-	-	14,418	45,762	-73	739	22,995	6,011	11	26,768	5,559	4,065	802	-
2008	구로구	신도림동	41,229	34,487	6,742	8,873	10,318	-	3,442	2,432	-	-	-	2,031	6,443	-13	44	2,809	455	-	3,650	156	477	112	-
2008	구로구	구로1동	24,352	22,299	2,053	5,948	8,509	-	1,745	1,931	-	-	-	586	1,859	-3	24	1,088	224	-	1,889	140	379	33	-
2008	구로구	구로3동	54,081	45,504	8,577	6,279	11,064	-	16,627	1,690	-	-	-	1,615	5,127	-5	162	2,868	1,673	2	3,354	3,203	332	90	-
2008	구로구	구로4동	18,660	13,532	5,128	1,656	2,370	-	1,386	1,481	-	-	-	1,560	4,951	-5	78	2,475	722	1	1,589	17	292	87	-
2008	구로구	구로5동	34,591	28,772	5,819	6,510	7,529	-	5,595	1,663	-	-	-	1,527	4,846	-3	89	2,193	852	1	2,576	802	326	85	-
2008	구로구	고척1동	19,993	16,550	3,443	2,985	4,337	-	2,883	1,430	-	-	-	994	3,153	-4	44	1,602	336	-	1,702	194	281	56	-
2008	구로구	고척2동	13,679	11,867	1,812	2,876	3,516	-	1,074	1,133	-	-	-	546	1,732	-4	38	1,045	173	1	1,280	15	223	31	-
2008	구로구	개봉2동	25,499	22,778	2,721	6,417	7,870	-	1,489	1,719	-	-	-	833	2,645	-2	29	1,413	224	-	2,476	3	337	46	-
2008	구로구	개봉3동	9,133	7,802	1,331	1,537	2,007	-	1,105	885	-	-	-	390	1,239	-5	22	758	129	-	817	54	174	21	-
2008	구로구	오류1동	13,547	11,167	2,380	1,989	2,756	-	2,193	943	-	-	-	686	2,177	-6	31	972	275	-	1,168	140	185	38	-
2008	구로구	오류2동	19,085	15,121	3,964	2,892	3,812	-	2,238	1,316	-	-	-	1,203	3,820	-2	31	1,547	200	1	1,653	48	259	67	-
2008	구로구	수궁동	12,095	10,273	1,822	2,383	3,135	-	1,185	839	-	-	-	502	1,594	-3	30	837	138	2	1,089	173	163	28	-
2008	구로구	가리봉동	8,350	6,927	1,423	1,698	1,832	-	854	448	-	-	-	435	1,381	-6	18	710	137	-	724	7	89	23	-
2008	구로구	구로2동	20,630	17,851	2,779	2,760	4,197	-	6,287	974	-	-	-	669	2,125	-6	56	1,182	223	1	1,367	566	191	38	-
2008	구로구	개봉1동	15,832	13,037	2,795	2,164	2,846	-	1,830	1,817	-	-	-	841	2,670	-5	43	1,496	250	2	1,434	40	357	47	-
2008	금천구	소계	219,639	173,853	45,786	34,271	43,755	-	41,479	10,781	-	-	-	8,483	36,846	1	562	14,181	4,298	9	14,119	7,782	2,477	595	전체합계구세합계재산세합계에공동재산세24157백만원포함
2008	금천구	가산동	82,311	71,544	10,767	11,947	15,034	-	27,807	2,115	-	-	-	2,554	3,821	-	230	4,725	2,360	1	4,577	6,560	424	156	-
2008	금천구	독산1동	32,609	29,228	3,381	7,889	7,444	-	4,577	1,713	-	-	-	1,582	2,367	-	86	2,365	643	1	2,442	679	572	249	-
2008	금천구	독산2동	6,756	6,146	610	1,217	1,829	-	606	649	-	-	-	369	551	-	25	629	102	-	590	21	155	13	-
2008	금천구	독산3동	10,549	9,456	1,093	1,734	2,832	-	983	840	-	-	-	658	984	-	43	1,075	228	1	970	51	135	15	-
2008	금천구	독산4동	6,507	5,937	570	1,204	1,751	-	619	530	-	-	-	326	488	-	24	577	115	1	539	31	275	27	-
2008	금천구	시흥1동	22,403	20,051	2,352	4,461	6,008	-	2,383	1,343	-	-	-	1,320	1,974	-	67	1,930	326	2	1,996	235	282	76	-
2008	금천구	시흥2동	10,777	9,841	936	1,753	2,839	-	1,270	1,281	-	-	-	540	808	-	13	861	142	1	1,018	96	136	19	-
2008	금천구	시흥3동	9,783	8,815	968	1,261	2,032	-	2,188	777	-	-	-	551	824	-	32	911	196	1	770	100	128	12	-
2008	금천구	시흥4동	5,733	5,317	416	1,053	1,453	-	419	780	-	-	-	255	381	-	19	506	77	-	577	3	197	13	-
2008	금천구	시흥5동	8,053	7,517	536	1,752	2,532	-	627	752	-	-	-	328	492	-	23	602	109	1	641	6	173	15	-
2008	영등포구	소계	834,725	732,005	102,720	101,972	111,378	16,527	340,134	28,653	-	-	-	29,282	67,949	-	1,064	37,768	9,364	32	52,814	32,796	4,081	911	-
2008	영등포구	여의동	233,021	177,125	55,896	47,633	49,627	-	18,004	10,428	-	-	-	12,066	27,989	-	302	15,562	3,864	13	19,296	27,412	632	193	-
2008	영등포구	당산1동	47,702	44,244	3,458	3,648	4,952	-	28,706	1,298	-	-	-	1,286	2,984	-	77	1,658	411	1	2,043	361	241	36	-
2008	영등포구	당산2동	69,377	63,678	5,699	6,097	6,991	2,007	36,084	2,173	-	-	-	2,309	5,359	-	65	2,978	738	1	4,058	240	242	35	-
2008	영등포구	양평1동	43,199	40,552	2,647	3,945	4,915	-	26,316	1,238	-	-	-	827	1,919	-	70	1,066	264	5	1,797	636	179	22	-
2008	영등포구	양평2동	49,615	45,915	3,700	3,794	4,989	-	30,757	1,335	-	-	-	1,104	2,562	-	47	1,424	353	2	1,975	1,027	182	64	-
2008	영등포구	신길1동	13,480	12,417	1,063	1,496	1,677	-	6,264	959	-	-	-	383	889	-	31	494	122	-	828	128	194	15	-
2008	영등포구	신길3동	9,132	7,980	1,152	912	1,037	-	3,434	602	-	-	-	474	1,101	-	21	612	151	1	628	13	129	17	-
2008	영등포구	신길4동	5,679	5,121	558	458	606	-	2,591	419	-	-	-	219	509	-	11	283	70	-	360	23	115	15	-
2008	영등포구	신길5동	10,922	10,407	515	3,191	2,860	-	2,421	473	-	-	-	192	446	-	15	248	61	-	830	5	131	49	-
2008	영등포구	신길6동	14,851	13,385	1,466	1,671	1,813	-	6,478	889	-	-	-	559	1,297	-	28	721	178	1	919	127	156	14	-
2008	영등포구	신길7동	11,752	10,936	816	1,006	1,112	-	6,428	819	-	-	-	315	732	-	16	407	100	-	635	60	114	8	-
2008	영등포구	대림1동	11,458	10,565	893	1,209	1,322	-	5,629	723	-	-	-	332	771	-	25	428	106	1	657	83	158	14	-
2008	영등포구	대림2동	18,074	16,762	1,312	2,922	2,687	-	8,239	557	-	-	-	483	1,121	-	29	623	154	-	960	148	137	14	-
2008	영등포구	대림3동	24,533	22,534	1,999	2,833	3,011	-	11,805	1,288	-	-	-	757	1,757	-	67	976	242	1	1,385	143	236	32	-
2008	영등포구	영등포본동	27,441	25,612	1,829	1,880	2,261	-	17,057	1,169	-	-	-	726	1,686	-	28	937	232	3	1,178	93	169	22	-
2008	영등포구	영등포동	128,388	117,603	10,785	8,605	8,588	14,519	63,722	999	-	-	-	4,084	9,479	-	134	5,268	1,306	3	10,052	928	457	244	-
2008	영등포구	도림동	12,381	11,421	960	1,782	2,039	-	4,780	768	-	-	-	388	900	-	26	500	124	-	846	17	194	17	-
2008	영등포구	문래동	103,720	95,748	7,972	8,890	10,892	-	61,419	2,516	-	-	-	2,778	6,447	-	72	3,583	888	1	4,366	1,352	415	101	-
2008	동작구	소계	260,810	211,881	48,929	42,872	49,045	-	40,386	17,563	-	-	-	13,854	44,839	-133	495	20,845	3,425	12	20,776	3,287	3,103	441	-
2008	동작구	노량진2동	…	18,762	…	2,865	4,319	-	2,647	1,680	-	-	-	1,739	…	-	54	2,657	463	2	2,142	326	248	28	-
2008	동작구	상도1동	…	7,164	…	865	1,070	-	2,316	438	-	-	-	640	…	-1	24	918	139	1	636	162	141	13	-
2008	동작구	상도2동	…	19,322	…	4,138	4,309	-	2,957	2,050	-	-	-	1,306	…	-	48	1,958	308	-	2,008	77	288	30	-
2008	동작구	상도3동	…	20,024	…	5,675	6,194	-	1,492	1,086	-	-	-	1,376	…	-	30	1,715	193	-	2,106	41	187	26	-
2008	동작구	상도4동	…	9,104	…	2,387	2,679	-	862	790	-	-	-	437	…	-	24	763	103	-	919	10	164	19	-
2008	동작구	사당1동	…	12,413	…	3,968	3,937	-	936	883	-	-	-	433	…	-	24	772	92	1	1,155	25	236	27	-
2008	동작구	사당3동	…	14,613	…	2,596	3,541	-	2,696	1,315	-	-	-	953	…	-1	37	1,566	142	-	1,494	44	310	41	-
2008	동작구	사당4동	…	12,904	…	2,352	2,452	-	3,375	1,027	-	-	-	840	…	-3	44	1,235	243	1	1,165	124	214	23	-
2008	동작구	사당5동	…	14,192	…	2,641	3,171	-	1,882	1,474	-	-	-	1,177	…	-	37	1,796	228	1	1,592	43	230	50	-
2008	동작구	대방동	…	13,752	…	3,064	3,771	-	1,632	1,268	-	-	-	861	…	-130	23	1,336	167	-	1,466	8	187	32	-
2008	동작구	신대방1동	…	5,885	…	2,486	1,198	-	352	482	-	-	-	243	…	2	15	481	51	1	479	1	112	12	-
2008	동작구	신대방2동	…	5,553	…	1,199	1,465	-	599	644	-	-	-	290	…	-	17	540	76	-	594	7	146	16	-
2008	동작구	흑석동	…	20,125	…	3,262	3,927	-	4,813	1,933	-	-	-	1,445	…	-	44	2,095	382	2	1,983	452	283	58	-
2008	동작구	노량진1동	…	16,562	…	2,884	3,697	-	3,800	1,453	-	-	-	1,064	…	-	30	1,575	297	1	1,623	329	168	20	-
2008	동작구	사당2동	…	21,503	…	2,489	3,314	-	10,027	1,041	-	-	-	1,049	…	-	44	1,437	542	1	1,414	1,639	189	48	-
2008	관악구	소계	254,540	206,709	47,831	41,298	46,712	4,107	27,231	19,495	-	-	-	13,600	44,573	-5	658	21,970	4,620	7	23,787	1,988	3,882	617	-
2008	관악구	보라매동	14,115	11,591	2,524	1,751	2,014	1,215	1,594	1,311	-	-	-	702	2,302	-	34	1,153	352	1	1,304	157	194	31	-
2008	관악구	청림동	10,534	8,793	1,741	1,028	1,348	-	3,119	883	-	-	-	429	1,408	-	11	760	90	-	1,020	307	116	15	-
2008	관악구	행운동	14,698	11,992	2,706	2,622	3,050	-	1,413	1,042	-	-	-	794	2,601	-	39	1,246	242	-	1,389	38	194	28	-
2008	관악구	낙성대동	13,042	11,084	1,958	3,363	3,142	-	884	684	-	-	-	583	1,912	-	31	842	200	1	1,280	2	105	13	-
2008	관악구	중앙동	9,494	7,774	1,720	1,550	1,531	-	1,933	386	-	-	-	429	1,405	-	33	694	201	-	918	267	132	15	-
2008	관악구	인헌동	11,450	9,768	1,682	2,356	2,549	-	1,007	980	-	-	-	481	1,577	-	30	916	193	-	1,115	58	171	17	-
2008	관악구	남현동	12,243	10,123	2,120	1,771	2,491	699	1,130	960	-	-	-	610	1,999	-	29	909	204	-	1,147	66	202	26	-
2008	관악구	서원동	12,216	9,569	2,647	1,690	2,570	-	1,290	696	-	-	-	742	2,429	-5	37	1,081	239	-	1,125	155	136	31	-
2008	관악구	신원동	6,153	5,223	930	862	961	-	941	874	-	-	-	257	841	-	18	544	80	-	591	59	113	12	-
2008	관악구	서림동	12,063	9,989	2,074	1,946	2,061	-	2,011	804	-	-	-	578	1,896	-	22	997	269	-	1,156	114	167	42	-
2008	관악구	신사동	10,435	8,564	1,871	1,924	2,069	-	968	788	-	-	-	542	1,778	-	34	962	166	-	990	39	155	20	-
2008	관악구	신림동	13,936	10,360	3,576	2,110	2,412	-	1,208	509	-	-	-	1,037	3,400	-	50	1,252	355	-	1,248	49	229	77	-
2008	관악구	난향동	8,882	6,931	1,951	1,150	967	-	1,554	784	-	-	-	537	1,760	-	9	837	116	1	818	169	167	13	-
