기간,컬럼1,컬럼2,계,남자,여자,계,남자,여자
2008,마포구,성산1동,"20,710","10,197","10,513","1,884",813,"1,071"
2008,마포구,성산2동,"41,494","20,227","21,267","3,610","1,456","2,154"
2008,마포구,상암동,"21,694","10,809","10,885","1,721",692,"1,029"
2008,마포구,도화동,"23,713","11,525","12,188","2,565","1,070","1,495"
2008,마포구,서강동,"26,926","13,030","13,896","2,125",896,"1,229"
2008,마포구,공덕동,"38,445","18,927","19,518","4,067","1,703","2,364"
2008,마포구,아현동,"18,318","8,998","9,320","1,948",792,"1,156"
2008,양천구,소계,"507,899","253,061","254,838","35,375","14,220","21,155"
2008,양천구,목1동,"31,997","15,685","16,312","1,754",703,"1,051"
2008,양천구,목2동,"32,320","16,029","16,291","2,331",901,"1,430"
2008,양천구,목3동,"23,772","11,744","12,028","1,705",687,"1,018"
2008,양천구,목4동,"29,626","14,843","14,783","1,886",712,"1,174"
2008,양천구,신월1동,"25,266","12,923","12,343","1,806",785,"1,021"
2008,양천구,신월2동,"23,703","11,873","11,830","1,851",780,"1,071"
2008,양천구,신월3동,"18,552","9,510","9,042","1,496",612,884
2008,양천구,신월4동,"18,570","9,322","9,248","1,456",634,822
2008,양천구,신월5동,"15,626","7,773","7,853","1,175",496,679
2008,양천구,신월6동,"15,576","7,868","7,708","1,179",475,704
2008,양천구,신월7동,"26,558","13,324","13,234","2,259",931,"1,328"
2008,양천구,신정1동,"25,627","12,653","12,974","1,679",676,"1,003"
2008,양천구,신정2동,"23,446","11,669","11,777","1,538",603,935
2008,양천구,신정3동,"50,643","25,152","25,491","3,391","1,337","2,054"
2008,양천구,신정6동,"28,141","13,857","14,284","1,542",577,965
2008,양천구,신정7동,"33,992","16,863","17,129","2,839","1,056","1,783"
2008,양천구,목5동,"47,681","23,631","24,050","2,682",965,"1,717"
2008,양천구,신정4동,"36,803","18,342","18,461","2,806","1,290","1,516"
2008,강서구,소계,"583,545","288,063","295,482","45,460","18,407","27,053"
2008,강서구,염창동,"42,053","20,840","21,213","2,445",958,"1,487"
2008,강서구,등촌1동,"21,644","10,819","10,825","1,641",691,950
2008,강서구,등촌2동,"23,035","11,552","11,483","1,568",652,916
2008,강서구,등촌3동,"38,947","18,653","20,294","3,859","1,326","2,533"
2008,강서구,화곡본동,"35,965","17,692","18,273","2,412","1,028","1,384"
2008,강서구,화곡2동,"20,827","10,341","10,486","1,444",626,818
2008,강서구,화곡3동,"24,369","11,966","12,403","1,905",793,"1,112"
2008,강서구,화곡4동,"23,060","11,481","11,579","1,819",787,"1,032"
2008,강서구,화곡6동,"24,819","12,225","12,594","1,748",740,"1,008"
