읍면동명,자치구,새누리당,더불어민주당
서초1동,서초구,1645.040356827537,2580.0
서초2동,서초구,1030.4823264061051,796.5
서초3동,서초구,2561.387227828836,3131.4
서초4동,서초구,1557.006017097457,2224.5
방배2동,서초구,2882.791814934653,2333.2
방배3동,서초구,1955.9860471375898,2381.5
양재1동,서초구,3986.4980929892417,4383.7
양재2동,서초구,2417.6174725326277,2690.4
내곡동,서초구,3000.2016827917614,2697.0
성북동,성북구,2019.311029241019,2381.5
삼선동,성북구,3778.4213122104984,2601.4
동선동,성북구,2097.137968381831,2325.5
돈암2동,성북구,3355.3981609207053,2528.1
안암동,성북구,1955.9860471375898,2497.8
보문동,성북구,1955.9860471375898,2504.5
정릉1동,성북구,2687.963269795913,2980.1
정릉2동,성북구,3715.791429564356,2870.2
정릉3동,성북구,2747.9786625915176,2528.1
정릉4동,성북구,4031.877266158252,3056.0
길음1동,성북구,3952.016386947782,2947.7
돈암1동,성북구,1468.1078613991476,2727.0
길음2동,성북구,1726.8434494455955,1922.0
종암동,성북구,4742.306351533339,4085.6
월곡1동,성북구,3929.973988408282,2588.6
월곡2동,성북구,3246.6914411016323,2422.1
장위1동,성북구,4031.877266158252,3056.0
장위2동,성북구,2741.639893690411,2643.6
장위3동,성북구,1962.3248160386972,2338.6
석관동,성북구,4742.306351533339,3958.1
풍납1동,송파구,2728.7670880855676,2815.8
풍납2동,송파구,2804.9648757938407,2722.4
방이1동,송파구,1682.1709277661441,1864.0
방이2동,송파구,2430.694203380358,2869.0
오륜동,송파구,1258.243670138338,907.4
송파1동,송파구,2597.263408515774,3317.1
송파2동,송파구,2000.6585688170414,2502.7
잠실4동,송파구,2079.283513824168,2283.7
잠실6동,송파구,1372.6593753375166,1168.5
거여1동,송파구,1962.3248160386972,2510.7
거여2동,송파구,2658.0956979424054,2870.2
마천1동,송파구,4273.7273062139775,2783.8
마천2동,송파구,4012.438181280339,2588.6
오금동,송파구,4643.207641082354,4369.8
가락본동,송파구,2430.694203380358,2952.3
가락2동,송파구,3387.843362345874,2479.4
문정1동,송파구,1955.9860471375898,2381.5
장지동,송파구,4563.6157645442945,2637.0
위례동,송파구,2747.9786625915176,2528.1
석촌동,송파구,3828.190316891465,3637.2
삼전동,송파구,3778.4213122104984,2920.4
가락1동,송파구,748.4675490315515,369.7
문정2동,송파구,1691.97901877541,2357.8
잠실본동,송파구,2640.007471538258,2780.2
잠실2동,송파구,1802.7816647221707,2402.5
잠실3동,송파구,2741.639893690411,2275.9
잠실7동,송파구,691.6354979340928,617.2
목1동,양천구,2370.6788105847536,2960.4
목2동,양천구,4050.5297265822296,2963.3
목3동,양천구,3230.931730741477,2697.0
목4동,양천구,3246.6914411016323,2697.0
목5동,양천구,2741.639893690411,2281.3
신정1동,양천구,2019.311029241019,2381.5
신정2동,양천구,2706.4515361593926,2643.6
신정6동,양천구,1802.7816647221707,2427.5
신정7동,양천구,4328.652164630917,3032.3
신월1동,양천구,4226.9894217294,3000.3
신월2동,양천구,3987.2047444788004,2980.6
신월3동,양천구,3591.386792010426,2870.2
신월4동,양천구,3246.6914411016323,2697.0
신월5동,양천구,2786.312415369863,2643.6
신월6동,양천구,1294.4893547682848,1076.8
신월7동,양천구,3929.973988408282,2598.9
신정3동,양천구,4225.736794677267,3089.6
신정4동,양천구,4260.819286914379,4435.9
영등포본동,영등포구,3987.2047444788004,2941.6
영등포동,영등포구,3659.9587461333085,3637.2
당산1동,영등포구,2430.694203380358,2869.0
당산2동,영등포구,3461.1319373642523,2908.6
도림동,영등포구,3291.3639627810844,2697.0
문래동,영등포구,2982.6844127394534,2908.6
양평1동,영등포구,2430.694203380358,2952.3
양평2동,영등포구,2822.7764221390485,2928.2
신길3동,영등포구,2741.639893690411,2387.9
여의동,영등포구,2580.598802334786,2869.0
신길1동,영등포구,2804.9648757938407,2722.4
신길4동,영등포구,1919.7403625076442,2398.6
신길5동,영등포구,1802.7816647221707,2338.6
신길6동,영등포구,2741.639893690411,2750.2
신길7동,영등포구,1802.7816647221707,2391.5
대림1동,영등포구,2706.4515361593926,2750.2
대림2동,영등포구,2741.639893690411,2606.8
대림3동,영등포구,4037.276392733876,4000.6
후암동,용산구,2747.9786625915176,2750.2
용산2가동,용산구,1802.7816647221707,2391.5
남영동,용산구,2097.137968381831,2268.2
청파동,용산구,2798.1548678289423,2439.8
원효로1동,용산구,1823.322849010386,2217.4
원효로2동,용산구,2000.6585688170414,2381.5
효창동,용산구,1258.243670138338,907.4
용문동,용산구,1802.7816647221707,2391.5
한강로동,용산구,1691.97901877541,2357.8
이촌1동,용산구,1802.7816647221707,2502.7
이촌2동,용산구,1079.3170709319527,1279.8
이태원1동,용산구,1406.7104218132954,603.9
이태원2동,용산구,1268.946313473635,1266.5
한남동,용산구,2822.7764221390485,2928.2
서빙고동,용산구,1034.749590711176,1433.2
보광동,용산구,1962.3248160386972,2790.9
녹번동,은평구,4742.306351533339,3470.0
응암1동,은평구,3929.973988408282,2355.0
응암2동,은평구,2747.9786625915176,2634.7
