읍면동명,자치구,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수
시흥2동,금천구,1349073.580880143,18455,577,1127,719,121.1
시흥3동,금천구,688214.4442950472,10972,3325,541,437,199.6
시흥4동,금천구,1320056.77942642,26146,855,1065,794,159.7
시흥5동,금천구,1247959.8187591946,15350,1160,1182,1113,209.2
월계1동,노원구,235740.04692597105,20765,1488,1056,839,166.2
월계2동,노원구,256966.84785737703,13759,944,2298,1399,173.5
월계3동,노원구,312803.6290603136,27774,963,1958,1233,135.6
공릉1동,노원구,384886.51148419216,28362,2849,2234,1346,143.3
공릉2동,노원구,403789.6395191809,6091,1834,1353,863,81.9
상계1동,노원구,395700.9047531719,7297,3114,1874,1201,142.7
상계2동,노원구,209405.08743324282,35449,2614,906,688,153.4
상계3.4동,노원구,254388.2572592432,5272,1278,1587,1697,236.3
상계5동,노원구,252015.5617278805,25970,1605,1312,1219,201.0
상계8동,노원구,236151.8370595133,36458,595,708,506,61.2
상계9동,노원구,215719.20281422453,27590,713,753,683,106.9
상계10동,노원구,164088.56368961278,21276,455,516,411,109.8
하계1동,노원구,292312.16765309015,19291,1103,2117,1149,140.1
하계2동,노원구,230327.94802798665,46769,395,998,602,90.9
중계본동,노원구,256496.23056190016,13636,1198,881,640,65.5
중계1동,노원구,276017.0437972025,45002,1000,778,474,44.1
중계2.3동,노원구,363826.3875116009,41984,1361,3240,1965,158.4
중계4동,노원구,210601.2397259132,12848,1049,1554,935,149.7
상계6.7동,노원구,341530.8931383827,31964,1958,1273,1045,92.5
쌍문1동,도봉구,187971.40745392395,18087,890,1096,796,184.9
쌍문3동,도봉구,144558.08922848155,34812,971,814,615,215.5
창1동,도봉구,220596.0613577256,30369,1413,1046,828,131.6
창2동,도봉구,256349.67823184052,29300,1356,1314,822,134.0
창3동,도봉구,124516.03841596712,22612,929,793,642,179.9
창4동,도봉구,233912.9277593796,29650,1277,1000,725,107.8
창5동,도봉구,215823.3498403408,37184,2133,1002,649,140.1
쌍문2동,도봉구,167987.76395018867,38111,1242,947,781,180.7
쌍문4동,도봉구,166427.45441565904,38658,616,704,431,109.6
방학1동,도봉구,253187.3396565105,44294,2266,1449,1065,174.8
방학2동,도봉구,177458.09187367075,29254,1207,1234,1009,207.2
방학3동,도봉구,240688.1755777649,11112,872,1010,655,112.6
도봉1동,도봉구,187162.04903226948,2619,1714,1477,1202,304.4
도봉2동,도봉구,240212.5732062773,34973,1465,1487,1108,205.2
용신동,동대문구,633040.307400922,19852,5640,1442,1735,231.4
제기동,동대문구,545346.6683343459,23369,4750,1329,1747,279.8
청량리동,동대문구,434915.44830790133,18773,1679,1374,1603,304.3
회기동,동대문구,263238.8170675053,16932,997,313,416,165.4
휘경1동,동대문구,326398.76417825103,23259,977,601,570,247.9
휘경2동,동대문구,496910.8838937928,23950,1210,901,748,140.4
이문1동,동대문구,446501.35110602865,25904,1477,1059,1239,214.4
이문2동,동대문구,419875.48590215493,31890,705,1030,773,139.8
전농1동,동대문구,613756.7860486724,26040,2199,1526,1774,173.1
전농2동,동대문구,401480.1513061503,23664,894,891,673,142.5
답십리1동,동대문구,590920.5176714434,36410,1961,1045,887,94.3
답십리2동,동대문구,600789.2594074975,34082,2186,1408,1134,170.6
장안1동,동대문구,776689.7121109245,31370,4572,1653,1132,133.1
장안2동,동대문구,630217.8472644106,29036,3164,1266,924,101.2
노량진1동,동작구,411804.1804515125,20761,2148,1263,1027,158.6
노량진2동,동작구,176251.1282403584,22355,1634,666,733,326.2
상도2동,동작구,371296.9876561256,28334,1344,951,732,122.8
상도3동,동작구,329804.5871781567,43635,1017,1138,830,168.9
상도4동,동작구,380277.53460889135,40352,934,1306,1192,149.7
대방동,동작구,508316.6407413633,26039,1734,1605,1236,108.2
신대방1동,동작구,337837.8190515168,43894,1052,820,625,101.9
신대방2동,동작구,261787.36447682872,20462,1238,720,503,105.6
상도1동,동작구,610980.3336134885,31998,1697,1556,1245,121.9
흑석동,동작구,448168.44863296533,19780,1514,1098,1059,159.6
사당1동,동작구,304896.51602364995,30461,1856,797,385,231.4
사당2동,동작구,359613.43501012214,10452,1667,893,751,164.1
사당3동,동작구,331888.68035284925,29089,959,815,567,128.5
사당4동,동작구,188225.1908440462,39713,664,560,491,191.5
사당5동,동작구,163658.15311812554,23170,508,503,364,134.6
공덕동,마포구,1722207.5102734664,40105,2781,1500,1434,157.0
아현동,마포구,1076978.8166725016,33572,1630,684,498,81.5
도화동,마포구,961268.5960477692,36847,2047,770,695,138.8
용강동,마포구,950240.4958415995,26961,2550,622,569,76.3
대흥동,마포구,584319.6478468899,15524,1547,431,528,239.0
염리동,마포구,574012.6157311238,30379,699,455,445,118.6
신수동,마포구,954948.6463142334,27956,1230,683,546,118.6
서강동,마포구,1112989.8054226476,17670,1779,681,543,103.5
서교동,마포구,1107221.2606994202,15918,9686,685,617,195.7
합정동,마포구,813322.3902050025,11358,2044,611,558,135.3
망원1동,마포구,932934.861671918,19580,1802,854,733,164.9
망원2동,마포구,817351.8883572569,29315,1360,775,532,124.2
연남동,마포구,723231.2946746022,27177,1611,541,466,198.9
성산1동,마포구,860531.142241413,25554,1488,712,521,145.1
성산2동,마포구,1765471.59569767,20166,1747,2027,1353,115.2
상암동,마포구,1398702.4323024857,3994,2324,1188,413,61.9
충현동,서대문구,419462.37561904296,16331,1825,725,783,217.7
천연동,서대문구,432362.18883701705,19633,941,776,894,138.0
북아현동,서대문구,404860.98276090826,38765,864,626,538,110.0
신촌동,서대문구,570489.0658430246,9094,3720,482,548,151.8
연희동,서대문구,950999.0642940672,13263,2318,1377,1314,183.0
홍제1동,서대문구,575892.7309165075,18799,1163,865,853,167.9
홍제2동,서대문구,336383.89940417605,14223,594,648,535,168.7
홍제3동,서대문구,380188.07797858,20514,1201,825,741,237.2
홍은1동,서대문구,523304.7223077611,15273,964,1099,939,184.8
홍은2동,서대문구,653084.6613491973,14080,1176,1298,926,171.9
남가좌1동,서대문구,391570.2661120865,33724,797,537,353,66.0
남가좌2동,서대문구,591620.8454282619,32453,1243,1060,870,153.0
북가좌1동,서대문구,441215.0018297442,37137,665,709,416,100.9
북가좌2동,서대문구,780772.1173196251,40758,2381,1583,1270,178.5
잠원동,서초구,2368457.4332258105,19865,2137,609,708,74.3
반포본동,서초구,820317.1598040701,12458,682,200,258,110.4
반포1동,서초구,2245538.605546595,32109,1508,532,575,62.1
반포2동,서초구,1109996.315442795,12416,455,254,331,48.2
반포3동,서초구,1377178.7506903952,15964,969,326,392,70.8
반포4동,서초구,1373519.6455665377,14406,3586,364,374,81.9
방배본동,서초구,1454900.8539693698,32457,1583,469,423,91.8
방배1동,서초구,1189819.016107688,25261,1805,464,402,141.0
방배4동,서초구,1645106.5592039663,24941,2396,616,547,100.7
서초1동,서초구,1470960.2597907446,15193,3612,472,429,102.9
서초2동,서초구,1265440.5220007442,14924,4356,298,400,85.9
서초3동,서초구,2105137.3867200604,10496,7525,699,633,144.7
서초4동,서초구,2160633.8144319,36156,2869,453,435,68.6
방배2동,서초구,1432133.088754256,11653,1977,756,742,151.1
방배3동,서초구,1523881.761674685,9278,1196,603,555,150.7
양재1동,서초구,3118506.2224106165,8110,3599,1940,978,80.5
양재2동,서초구,1575448.0394386775,3170,5271,674,505,99.1
내곡동,서초구,1256631.565221087,1474,681,852,502,91.7
성북동,성북구,203018.04300462,6259,1132,587,620,183.2
삼선동,성북구,305589.7756708668,29316,1906,965,936,161.5
동선동,성북구,189105.14333405264,22447,1995,575,515,195.1
돈암2동,성북구,288092.379966264,52652,433,724,447,80.1
안암동,성북구,205384.72948863052,12977,1456,575,514,221.0
보문동,성북구,193459.38691385865,30477,1330,621,570,145.7
정릉1동,성북구,223847.18181778144,42368,753,658,502,123.7
정릉2동,성북구,275431.75615374115,20741,887,973,783,152.0
정릉3동,성북구,199766.72128144035,4661,677,758,788,246.5
정릉4동,성북구,309024.9177034841,8678,921,1062,903,139.7
길음1동,성북구,428106.011911106,47885,1092,1064,636,57.9
돈암1동,성북구,184371.77036603141,33478,389,627,501,156.0
길음2동,성북구,190081.68872794046,20288,935,443,431,136.6
종암동,성북구,487020.42108589475,29367,2022,1607,1310,118.5
월곡1동,성북구,318215.93317537004,34388,1351,1180,834,110.1
월곡2동,성북구,236335.4740902064,15222,1589,935,632,155.2
장위1동,성북구,239621.2621214057,30326,928,1064,754,188.1
장위2동,성북구,163220.94601135398,22491,1478,752,723,267.0
장위3동,성북구,157511.02764944485,17983,628,580,425,141.7
석관동,성북구,420006.4295265066,19680,2137,1665,1258,197.1
풍납1동,송파구,504675.5765031315,21273,752,697,586,185.6
풍납2동,송파구,796125.1592897078,15817,1168,811,551,100.0
방이1동,송파구,530975.1637860239,33262,1382,431,289,94.8
방이2동,송파구,842647.7788475871,32251,2940,795,665,146.0
오륜동,송파구,608202.0692304096,6071,522,310,217,79.0
송파1동,송파구,840815.167019806,33419,2535,687,518,134.4
송파2동,송파구,671604.0082546929,40019,893,518,305,96.9
