읍면동명,자치구,새누리당,더불어민주당,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수
난곡동,관악구,4557.20690758265,1916.0,300634.23610018595,30713.0,973.0,1588.0,1228.0,182.8
난향동,관악구,3411.565618403077,2254.7,169376.6258027168,20866.0,426.0,710.0,508.0,112.0
서원동,관악구,3050.0303713730273,1301.6,248304.3197077428,36820.0,1312.0,847.0,621.0,240.9
신원동,관악구,3013.4593882317886,1797.1,204991.47240615977,36580.0,847.0,831.0,749.0,233.0
서림동,관악구,3287.0991882238486,1667.0,252323.35621681192,25132.0,1311.0,869.0,689.0,200.9
삼성동,관악구,4557.20690758265,1967.1,262309.1161585759,9800.0,1052.0,1528.0,1377.0,272.5
대학동,관악구,2910.0284182177934,1021.7,253539.37239135074,2991.0,1669.0,717.0,559.0,193.3
중곡1동,광진구,2778.5957766668334,1541.6,266146.5004058783,26613.0,1612.0,686.0,504.0,172.6
중곡2동,광진구,3302.858898584004,2194.6,366883.4370698572,41271.0,1622.0,884.0,570.0,132.4
중곡3동,광진구,2797.8073511727835,1166.9,283522.2037210489,29738.0,1330.0,775.0,845.0,170.2
중곡4동,광진구,4447.395936557304,2575.6,495353.4225885535,13431.0,1563.0,1374.0,937.0,157.5
능동,광진구,1585.1340028330953,1384.6,192348.3873518001,10810.0,783.0,366.0,273.0,152.7
구의2동,광진구,3986.1414458906547,2965.4,454361.67474893905,20125.0,1297.0,1131.0,775.0,118.3
광장동,광진구,2797.8073511727835,1166.9,586429.9868870083,15192.0,1419.0,731.0,499.0,50.8
군자동,광진구,2797.8073511727835,1245.7,358892.5585862946,29769.0,1580.0,790.0,647.0,161.4
구의1동,광진구,3148.2725405749243,1521.3,374841.8981964885,41575.0,1846.0,833.0,591.0,169.6
구의3동,광진구,2986.1656219730767,1511.2,489161.70741467725,29878.0,2652.0,818.0,658.0,105.7
자양1동,광진구,3444.0108198282455,2194.6,392720.0705440942,42940.0,1711.0,902.0,937.0,148.6
자양2동,광진구,3727.286365367276,3034.7,439368.6471682182,16330.0,1487.0,975.0,585.0,118.4
자양3동,광진구,3287.0991882238486,1667.0,479404.08297835954,25110.0,1353.0,867.0,550.0,85.3
자양4동,광진구,3444.0108198282455,3002.0,378764.3983851744,20736.0,1996.0,929.0,832.0,221.7
화양동,광진구,2226.5940008825805,1938.5,412057.0239536077,21383.0,2437.0,549.0,508.0,259.4
고척1동,구로구,4225.287146878011,2640.4,660824.2226599978,21258.0,2590.0,1116.0,686.0,141.6
고척2동,구로구,4428.811511576537,2444.4,789382.0490417187,28964.0,1407.0,1300.0,889.0,128.2
개봉1동,구로구,4798.473809015711,3045.2,929691.2467727634,26456.0,1704.0,1626.0,1187.0,153.3
개봉2동,구로구,4403.472082537265,1967.1,909316.7626509038,42144.0,1170.0,1436.0,802.0,134.8
개봉3동,구로구,3771.9588870467273,2826.0,603237.0625986131,27353.0,990.0,979.0,635.0,146.9
오류1동,구로구,4008.1838444301534,3030.7,626331.7715698534,38392.0,1125.0,1075.0,663.0,173.8
오류2동,구로구,3914.9831636697913,3377.4,1402738.3480800274,9869.0,1575.0,2120.0,1050.0,96.4
수궁동,구로구,4285.2222420168955,2622.2,680056.2123451176,9536.0,1266.0,1241.0,724.0,127.0
신도림동,구로구,3875.8769457193507,2597.1,1017146.4756803457,25588.0,2864.0,947.0,496.0,70.1
구로1동,구로구,1858.9491222045415,2538.0,601713.7366829601,21481.0,736.0,529.0,274.0,64.6
구로2동,구로구,4294.5040578818125,2134.5,965162.9788086849,20619.0,7816.0,1453.0,1274.0,202.4
구로3동,구로구,3539.97793580307,2468.7,719771.4951460727,26445.0,7227.0,905.0,576.0,117.1
구로4동,구로구,4093.4438502162484,4050.5,720968.3940797999,59054.0,2042.0,1189.0,955.0,197.8
구로5동,구로구,4057.055576119854,2686.0,916443.7517562804,33092.0,4907.0,1104.0,781.0,127.7
가리봉동,구로구,2056.8260262994113,2305.1,422124.49212686147,40515.0,986.0,583.0,701.0,244.7
가산동,금천구,3087.4173177446305,1425.1,1453629.0086131894,9706.0,14339.0,732.0,642.0,162.9
독산1동,금천구,4089.6042124194855,2851.0,2582970.041879557,20012.0,4085.0,1926.0,980.0,114.3
독산2동,금천구,3727.286365367276,2826.0,1281842.4233196771,36838.0,1194.0,958.0,835.0,159.7
독산3동,금천구,4283.156879211771,4119.7,1789191.4057927455,33372.0,2174.0,1205.0,1028.0,176.5
독산4동,금천구,2842.4798728522346,1445.7,1094449.6646471675,31824.0,1018.0,796.0,582.0,165.7
시흥1동,금천구,4316.98674439675,2851.0,2197562.8323868583,21683.0,3023.0,1665.0,1422.0,148.8
시흥2동,금천구,3992.480214791761,2622.2,1349073.580880143,18455.0,577.0,1127.0,719.0,121.1
시흥3동,금천구,2099.3679428846003,1938.5,688214.4442950472,10972.0,3325.0,541.0,437.0,199.6
시흥4동,금천구,4049.7109708622784,3030.7,1320056.77942642,26146.0,855.0,1065.0,794.0,159.7
시흥5동,금천구,4049.4664279940835,2622.2,1247959.8187591946,15350.0,1160.0,1182.0,1113.0,209.2
월계1동,노원구,4043.372201961173,3239.4,235740.04692597105,20765.0,1488.0,1056.0,839.0,166.2
월계2동,노원구,3214.42313363014,1982.1,256966.84785737703,13759.0,944.0,2298.0,1399.0,173.5
