읍면동명,자치구,새누리당,더불어민주당,국민의당,독거노인수,노령화지수,사업체수,장애등급,인구밀도,소득(동별)
가리봉동,구로구,1543.0,2110,565.0,793.0,215.2,976,619.0,43938,422124.49212686147
가산동,금천구,2574.0,4108,2118.0,623.0,148.3,13752,761.0,9321,1453629.0086131894
독산1동,금천구,4595.0,5771,3315.0,889.0,117.7,3922,1761.0,17608,2582970.041879557
독산2동,금천구,3054.0,3210,2137.0,781.0,131.5,1178,949.0,38462,1281842.4233196771
독산3동,금천구,3834.0,4283,2917.0,980.0,144.8,2190,1187.0,33962,1789191.4057927455
독산4동,금천구,2655.0,2843,1946.0,535.0,132.5,1011,758.0,32471,1094449.6646471675
시흥1동,금천구,6001.0,5670,3640.0,1315.0,117.8,2986,1604.0,22409,2197562.8323868583
시흥2동,금천구,4213.0,4392,2956.0,701.0,97.8,576,1109.0,19170,1349073.580880143
시흥3동,금천구,2282.0,2180,1331.0,431.0,159.1,3340,565.0,11453,688214.4442950472
시흥4동,금천구,3734.0,3593,2558.0,759.0,129.1,859,1024.0,26748,1320056.77942642
시흥5동,금천구,3732.0,3453,2438.0,1056.0,161.2,1173,1202.0,16465,1247959.8187591946
월계1동,노원구,4557.0,4519,1947.0,764.0,132.4,1444,1008.0,20939,235740.04692597105
월계2동,노원구,5408.0,4779,2375.0,1338.0,142.1,922,2168.0,13873,256966.84785737703
월계3동,노원구,6768.0,7170,3047.0,1200.0,104.1,965,1976.0,28991,312803.6290603136
공릉1동,노원구,7155.0,7808,3883.0,1166.0,119.0,2776,2186.0,28525,384886.51148419216
공릉2동,노원구,7872.0,8986,3809.0,910.0,67.5,1944,1438.0,6561,403789.6395191809
상계1동,노원구,6590.0,2853,11256.0,1061.0,114.5,3133,1902.0,7545,395700.9047531719
상계2동,노원구,3464.0,1439,5474.0,627.0,123.1,2459,887.0,36346,209405.08743324282
상계3.4동,노원구,5313.0,1827,7201.0,1718.0,189.9,1434,1760.0,5369,254388.2572592432
상계5동,노원구,4654.0,1764,6677.0,1063.0,153.5,1568,1349.0,63050,252015.5617278805
상계8동,노원구,3355.0,2017,6889.0,511.0,48.8,577,724.0,38249,236151.8370595133
상계9동,노원구,3699.0,1713,6446.0,636.0,80.2,721,761.0,28765,215719.20281422453
상계10동,노원구,3000.0,1530,5381.0,504.0,87.4,469,583.0,23944,164088.56368961278
하계1동,노원구,4464.0,7145,2495.0,1109.0,116.8,1023,2095.0,19299,292312.16765309015
하계2동,노원구,3386.0,6784,2053.0,610.0,77.4,387,1021.0,48584,230327.94802798665
중계본동,노원구,3802.0,6528,2222.0,634.0,57.4,1184,895.0,14226,256496.23056190016
중계1동,노원구,3725.0,7147,2279.0,473.0,40.9,951,792.0,46608,276017.0437972025
중계2.3동,노원구,5900.0,10271,3157.0,1703.0,129.5,1360,3214.0,43936,363826.3875116009
중계4동,노원구,3457.0,5117,2083.0,845.0,119.9,1044,1399.0,13139,210601.2397259132
상계6.7동,노원구,5061.0,8532,3558.0,1072.0,74.8,1910,1272.0,32967,341530.8931383827
쌍문1동,도봉구,3959.0,5518,0.0,758.0,149.8,928,1051.0,18190,187971.40745392395
쌍문3동,도봉구,3135.0,4575,0.0,588.0,168.3,975,764.0,35524,144558.08922848155
창1동,도봉구,5073.0,7672,0.0,798.0,106.5,1404,1032.0,31528,220596.0613577256
창2동,도봉구,5183.0,8071,0.0,766.0,111.6,1398,1268.0,29418,256349.67823184052
창3동,도봉구,2643.0,3623,0.0,594.0,147.5,969,794.0,23236,124516.03841596712
창4동,도봉구,5488.0,8854,0.0,678.0,90.5,1284,1000.0,30598,233912.9277593796
창5동,도봉구,5589.0,7379,0.0,611.0,108.0,2219,991.0,38374,215823.3498403408
